作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1231	0001	完了	東京都	千代田区	帝国ホテル	100-0006	東京都千代田区内幸町1-１−１		35.672289	139.758222	"https://www.google.co.jp/maps/@35.6732911,139.7573947,2a,47y,144.53h,110.6t/data=!3m7!1e1!3m5!1souVIGFSvZomORx8OlwXNVw!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DouVIGFSvZomORx8OlwXNVw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D100.84507%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						22/7	ナナブンノニジュウニ	第10話で、「22/7」が解散会見を開いていたホテル。				チヨダク	ナ	13	17	2	
1231	0002	完了	東京都	台東区	中央通り（新幹線高架前）	110-0005	東京都台東区上野7-1		35.711507	139.775350	"https://www.google.co.jp/maps/@35.7115786,139.7754097,3a,87y,263.63h,102.36t/data=!3m6!1e1!3m4!1sppxuzpNMyj4Yc1h64hD1pA!2e0!7i16384!8i8192"				1		22/7	ナナブンノニジュウニ	オープニングで、新幹線の高架前を斎藤ニコルが走る後ろ姿が描かれていました。				タイトウク	ナ	13	15	2	
1231	0003	完了	東京都	台東区	JR 上野駅	110-0005	東京都台東区上野7-1-1		35.712134	139.776247	"https://www.google.co.jp/maps/@35.7116406,139.7764119,2a,33.3y,342.49h,93.08t/data=!3m6!1e1!3m4!1s3xmoAVirjkrlSkntZYCDOQ!2e0!7i13312!8i6656"						22/7	ナナブンノニジュウニ	第10話で、事務所の近くまでやって来ていた滝川みうがマスコミに追いかけられるシーンの冒頭カットで描かれていた駅。<br />第12話冒頭カットでも同じく駅舎が描かれていました。				タイトウク	ナ	13	15	2	
1231	0004	完了	東京都	台東区	都道437号（松坂屋 上野店前）	110-0005	東京都台東区上野3-29		35.708177	139.773124	"https://www.google.co.jp/maps/@35.7084301,139.7731155,3a,48.6y,170.33h,107.8t/data=!3m6!1e1!3m4!1sBg3WU2Osq6m0NseEmXI6KA!2e0!7i16384!8i8192"						22/7	ナナブンノニジュウニ	第8話冒頭カットで描かれていた池。				タイトウク	ナ	13	15	2	
1231	0005	完了	東京都	台東区	ueno3153　屋上	110-0007	東京都台東区上野公園1		35.711780	139.774418	-						22/7	ナナブンノニジュウニ	第11話で、他事務所への所属が決まっているものの、「22/7」への未練から事務所のある上野に来ていた斎藤ニコルが、同じ気持ちで上野に来ていた河野都、佐藤麗華、立川絢香、戸田ジュン、丸山あかねの5人に遭遇していた場所。<br />オープニングのラストで「22/7」メンバーが集合して朝陽を見ていたのも、この場所でした。				タイトウク	ナ	13	15	2	
1231	0006	完了	東京都	台東区	上野恩賜公園　蓮池テラスから望む不忍池	110-0007	東京都台東区上野公園2		35.710219	139.771628	"https://www.google.com/maps/@35.710191,139.7715961,2a,30.2y,310.41h,90.44t/data=!3m7!1e1!3m5!1sncNIlR1oW5tw_dxJSq_7ug!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DncNIlR1oW5tw_dxJSq_7ug%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D315.0751%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=ja"						22/7	ナナブンノニジュウニ	第8話の冒頭カットで描かれていた蓮池。テラスからパークタワー上野池之端を正面に望む構図で、周辺ビル群や弁天堂を含む景色が描かれていました。<br />第12話では、雪の降る中の蓮が枯れた池が、同じ構図で描かれていました。				タイトウク	ナ	13	15	2	
1231	0007	完了	東京都	台東区	不忍池のテラス	110-0007	東京都台東区上野公園2		35.712998	139.769539	"https://www.google.co.jp/maps/@35.7130578,139.7695702,2a,37.4y,184.63h,86.01t/data=!3m6!1e1!3m4!1sHQHAPE4W_TEgfIqyWoQCrw!2e0!7i13312!8i6656"						22/7	ナナブンノニジュウニ	第8話で、仕事を終えて事務所を後にした丸山あかねが歩いていた池上の歩道。<br />第10話では、恋人たちがテラスからイルミネーションの夜景を眺める姿が描かれていました。				タイトウク	ナ	13	15	2	
1231	0008	完了	東京都	台東区	上野恩賜公園　野外ステージ	110-0007	東京都台東区上野公園2-1		35.709858	139.770745	-						22/7	ナナブンノニジュウニ	第12話で、解散後の「22/7」メンバーが復活ライブをしていたステージ。<br />作中では、事務所の地下施設の壁を壊した通路からステージに繋がっている設定になっていました。<br />オープニングのライブカットもこのステージでした。				タイトウク	ナ	13	15	2	
1231	0009	完了	東京都	台東区	不忍通り（池之端交番前の交差点）	110-0007	東京都台東区上野公園2-43		35.712463	139.768530	"https://www.google.com/maps/@35.71248,139.7685574,3a,90y,82.72h,88.98t/data=!3m6!1e1!3m4!1sp9nj4z-Q1km-7ytksqOkfA!2e0!7i16384!8i8192"				1		22/7	ナナブンノニジュウニ	第8話で、仕事を終えて事務所を後にした丸山あかねが渡っていた交差点。				タイトウク	ナ	13	15	2	
1231	0010	完了	東京都	台東区	上野動物園	110-0007	東京都台東区上野公園9-83		35.715911	139.772890	"https://www.google.co.jp/maps/@35.715775,139.7730929,2a,38y,300.52h,90.01t/data=!3m6!1e1!3m4!1stL-nir24-JuCkWHx8O8Rdw!2e0!7i13312!8i6656"						22/7	ナナブンノニジュウニ	第1話で、「22/7」のメンバーとして選ばれた滝川みうたち8人の少女が集合していた動物園。集合場所となっていたゴリラ舎は実際の獣舎とは随分異なりますが、第12話で描かれていたゲートは忠実に描かれていました。<br />作中では、この動物園の地下に芸能プロダクションG.I.Pの施設がある設定になっていました。<br />作中では園名が「東京動物園」になっています。				タイトウク	ナ	13	15	2	
1231	0011	完了	東京都	江東区	Zepp TOKYO	135-0064	東京都江東区青海1-3-11		35.625932	139.782252	-						22/7	ナナブンノニジュウニ	第8話で、「22/7」が壁の指令「9月22日 3000人規模のワンマンライブを行う」に従ってライブを開催した施設。<br />作中では名前が「Jepp Tokyo」になっていました。				コウトウク	ナ	13	8	2	
1231	0012	完了	東京都	渋谷区	タワーレコード 渋谷店	150-0041	東京都渋谷区神南1-22-14		35.661888	139.700987	"https://www.google.co.jp/maps/@35.6618538,139.7008444,3a,25.8y,61.09h,97.95t/data=!3m6!1e1!3m4!1sKAFbS-Cdr6GgY7cq2Ihzmg!2e0!7i16384!8i8192"				4		22/7	ナナブンノニジュウニ	"オープニングで藤間桜が車から出てくるカットで描かれていた店。<br />店頭の「NO MUSIC, NO LIFE.」の看板の文字が「MUSIC RECORDS」に変えられていました。"				シブヤク	ナ	13	10	2	
