作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1288	0001	完了	東京都	千代田区	中央合同庁舎3号館	100-0013	東京都千代田区霞が関2-1-3		35.676033	139.750210	-						A.I.C.O. Incarnation	アイコインカーネイション	第3話で、出先から戻ってきた南原顕子局長が、堀歩から報告を受けていた庁舎。<br />作中では「人工生体汚染災害対策庁(CAAC)対策局」が入っている庁舎となっていました。				チヨダク	ア	13	17	2	
1288	0002	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675928	139.745071	"https://www.google.co.jp/maps/@35.6763097,139.7470483,3a,26y,257.33h,98.57t/data=!3m6!1e1!3m4!1s_oW84qE4IbjRWmW_72FlHg!2e0!7i16384!8i8192"				4		A.I.C.O. Incarnation	アイコインカーネイション	第3話冒頭で、車中から電話で伊佐津恭介と話す南原顕子局長を乗せた公用車が敷地内に入っていく様子が描かれていました。				チヨダク	ア	13	17	2	
1288	0003	完了	東京都	千代田区	首相官邸	100-0014	東京都千代田区永田町2-3-1		35.673133	139.742909	-						A.I.C.O. Incarnation	アイコインカーネイション	第4話で、南原顕子局長が出席した黒部峡谷一帯を浸食する「マリグナント・マター」の措置について会合が開かれていた場所。<br />第10話では、南原局長が、首相に自衛隊による作戦の中止を直談判していました。				チヨダク	ア	13	17	2	
1288	0004	完了	富山県	中新川郡	黒部ダム	930-1406	富山県中新川郡立山町芦峅寺		36.566501	137.662079	"https://www.google.co.jp/maps/@36.567538,137.6648227,2a,45y,236.41h,78.97t/data=!3m6!1e1!3m4!1sqbym7-L4YIDX5gesmTvHbA!2e0!7i13312!8i6656"						A.I.C.O. Incarnation	アイコインカーネイション	作中で桐生生命工学研究所がある設定になっていたダム。物語の発端である2033年に起きた細胞異常増殖事故の発生場所であり、「プライマリーポイント」と呼称されています。<br />橘アイコと神崎雄哉、ダイバーチームたち一行が到着した第9話以降の舞台となっていました。<br />オープニングでは、「マリグナント・マター」に侵食される様子が描かれており、エンディングで橘アイコが景色を眺めていたのもこのダムでした。				ナカニイカワグン	ア	16	3	4	
1288	0005	完了	富山県	黒部市	黒部峡谷鉄道線路沿いの道	938-0174	富山県黒部市宇奈月町音澤		36.812898	137.592082	"https://www.google.co.jp/maps/@36.8129045,137.5921044,3a,48.8y,326.56h,92.72t/data=!3m6!1e1!3m4!1stUUi8pE7kmhmISA9CEK_LA!2e0!7i13312!8i6656"						A.I.C.O. Incarnation	アイコインカーネイション	第4話で、「切断ゲート（ギロチンシャッター）」を起動するためにダムに向かうため、「バイポッド」に乗り、黒部峡谷鉄道の線路を移動してトンネルから出て来た橘アイコと神崎雄哉、ダイバーチームたちが走っていた場所。				クロベシ	ア	16	5	4	
1288	0006	完了	富山県	黒部市	愛本堰堤	938-0176	富山県黒部市宇奈月町中ノ口		36.859246	137.555173	-						A.I.C.O. Incarnation	アイコインカーネイション	第3話で描かれていた「マリグナント・マター」を堰き止めるための施設「愛本遮断堰」のモデル。<br />堰の手前に愛本橋も描かれていました。				クロベシ	ア	16	5	4	
1288	0007	完了	富山県	黒部市	中ノ口緑地公園脇の田園	938-0176	富山県黒部市宇奈月町中ノ口		36.868977	137.548825	-						A.I.C.O. Incarnation	アイコインカーネイション	第3話で、黒部峡谷一帯を浸食する「マリグナント・マター」へを攻撃するため、自衛隊の戦車が集結していた場所。<br />公園管理棟付近から愛本橋方向を望む構図で描かれていました。<br />オープニングでも同じ構図のカットが描かれていました。<br />作中では田園地帯が施設に描き変えられています。				クロベシ	ア	16	5	4	
1288	0008	完了	富山県	黒部市	新柳原発電所	938-0174	富山県黒部市宇奈月町音澤		36.803586	137.591780	"https://www.google.co.jp/maps/@36.8031994,137.5875716,3a,15y,85.21h,91.11t/data=!3m6!1e1!3m4!1sjY4VsayrQt9RFLknEhwuLQ!2e0!7i16384!8i8192"				5		A.I.C.O. Incarnation	アイコインカーネイション	第5話で、「切断ゲート（ギロチンシャッター）」による「マター」の断裂に成功した橘アイコと神崎雄哉、ダイバーチームたち一行が補給と束の間の休息をとっていた「柳河原キャンプ」のモデル。<br />作中では、実在する西洋風の建物に複数の建物が描き足されていました。				クロベシ	ア	16	5	4	
1288	0009	完了	富山県	黒部市	新愛本変電所	938-0281	富山県黒部市宇奈月町内山		36.856042	137.555056	"https://www.google.co.jp/maps/@36.8563718,137.555251,3a,44y,189.65h,100.83t/data=!3m6!1e1!3m4!1s7hzJZK48GPSOOpS13g5SMA!2e0!7i16384!8i8192"						A.I.C.O. Incarnation	アイコインカーネイション	"第4話で、「プライマリーポイント」へ向かう橘アイコと神崎雄哉、ダイバーチームたち一行が休憩していた施設。<br />作中では座標が「36.85661,137.555」になっており、複数の建物が描き足されていました。"				クロベシ	ア	16	5	4	
1288	0010	完了	富山県	黒部市	宇奈月ダム	938-0281	富山県黒部市宇奈月町内山字大尾		36.809541	137.590546	"https://www.google.co.jp/maps/@36.8107696,137.5921084,3a,27.4y,226.03h,89.34t/data=!3m6!1e1!3m4!1siBbiOMnaHrR-uvXpsIwL8Q!2e0!7i16384!8i8192"				4		A.I.C.O. Incarnation	アイコインカーネイション	第4話で、篠山大輔、白石真帆が切断することで下流の「マター」を死滅させ、同時に大量の電力を放出して周囲の「マター」を活動停止にさせる「切断ゲート（ギロチンシャッター）」を起動していたダム。<br />作中ではダムの上に「切断ゲート」が設置されている設定になっていました。				クロベシ	ア	16	5	4	
1288	0011	完了	富山県	黒部市	富山地方鉄道 宇奈月温泉駅	938-0282	富山県黒部市宇奈月温泉260		36.815687	137.583717	-						A.I.C.O. Incarnation	アイコインカーネイション	第5話で、黒部峡谷一帯を浸食する「マリグナント・マター」の対応のために現地入りする南原顕子局長が利用していた駅で、南原局長と接触すべく黒瀬進が駅前ロータリーに車で迎えに来ていました。				クロベシ	ア	16	5	4	
1288	0012	完了	富山県	黒部市	黒部峡谷鉄道 宇奈月駅	938-0283	富山県黒部市黒部峡谷口		36.814912	137.586239	"https://www.google.co.jp/maps/@36.8143653,137.5867516,3a,15y,310.99h,90.47t/data=!3m6!1e1!3m4!1sBfK9_OzDwienLSatxpcl4Q!2e0!7i16384!8i8192"				5		A.I.C.O. Incarnation	アイコインカーネイション	第4話で、「バイポッド」に乗って「プライマリーポイント」へ向かう橘アイコと神崎雄哉、ダイバーチームたち一行が人型の「マター」に遭遇し、「切断ゲート（ギロチンシャッター）」を起動するために二手に別れ、篠山大輔、白石真帆、アイコ、雄哉たちが駅構内に入って線路を移動していました。				クロベシ	ア	16	5	4	
1288	0013	完了	富山県	黒部市	新山彦橋	938-0283	富山県黒部市黒部峡谷口		36.814309	137.589525	-						A.I.C.O. Incarnation	アイコインカーネイション	第4話で、「バイポッド」に乗って「プライマリーポイント」へ向かう途中、人型の「マター」に遭遇した橘アイコ、神崎雄哉たちが、「切断ゲート（ギロチンシャッター）」を起動するためにダムに向かって渡っていた橋。				クロベシ	ア	16	5	4	
