作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	東京都	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0023	0014	完了	東京都	千代田区	中央通り（JR高架の北側）	101-0021	東京都千代田区外神田1		35.698847	139.771295	"https://www.google.com/maps/@35.6991693,139.7713131,3a,63.7y,181.49h,93.99t/data=!3m6!1e1!3m4!1sYKYR2J0zJh5srI9tW8rVeg!2e0!7i16384!8i8192"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話冒頭シーンおよびラストで、伝木凱タモツと破繰者（バグリモノ）たちとの戦闘が行われていた通り。<br />同話で、伝木凱にわかがいたAnimePlaza 秋葉原店で爆発事故があったと聞いた伝木凱タモツが駆けつけたシーンでも、通りが描かれていました。<br />第6話では、巨大パソコンロボットが出現してタモツたちと戦いを繰り広げていました。				チヨダク	ア	13	17	2	
0023	0001	完了	東京都	千代田区	万世橋	101-0021	東京都千代田区外神田1-1		35.697207	139.770811	"https://www.google.co.jp/maps/@35.6975358,139.7709893,3a,18.5y,213.49h,93.93t/data=!3m6!1e1!3m4!1sIuvBsQz84IwFLXGUMMUGNQ!2e0!7i13312!8i6656"				5		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第2話冒頭で、万世架まとめが伝木凱タモツに、破繰者（バグリモノ）や能力についての説明をしていた場所。<br />第3話では、アイドルにスカウトされた万世架まとめが、きゅうりを食べる姿を撮影されていたのも、この橋でした。<br />第6話では、タモツが動けるようになったぴゅう子改2を案内していました。<br />第11話で、タモツがまとめのフリをした万世架うらめに騙されて力を奪われていたのも、この橋でした。<br />第13話のラストでは、タモツとまとめが万世架ふかめがいなくなった後でも結界が消えていないことを確認していました。				チヨダク	ア	13	17	2	
0023	0052	完了	東京都	千代田区	石丸電気	101-0021	東京都千代田区外神田1-2		35.697985	139.770952	"https://www.google.com/maps/@35.6979821,139.7712734,3a,65y,271.31h,120.65t/data=!3m6!1e1!3m4!1sJB5s-sKiRIMf1p6LRz7HqA!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第8話で、実家から贈られてきた米を炊くために炊飯器を買いに来るも、出井馬リサとシ・ショウによる爆買いで全ての炊飯器が買い占められていた家電量販店。<br />※2012年10月に「エディオン秋葉原本店」にリニューアルされた後に2013年3月20日に閉店し、エディオンAKIBAと店舗統合されています。				チヨダク	ア	13	17	2	
0023	0053	完了	東京都	千代田区	オノデン 本館	101-0021	東京都千代田区外神田1-2-7		35.698300	139.771031	"https://www.google.com/maps/@35.6983728,139.7713147,3a,17y,253.3h,136.31t/data=!3m6!1e1!3m4!1sfvF0zGdwQXWyUAbl9tOdgA!2e0!7i13312!8i6656"				5		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第1話で、伝木凱タモツがエウリアン（絵画セールスの女性）を撃退したシーンから、スターケバブ前のシーンへの場面転換カットで、ビル看板が描かれており、各話冒頭の振り返りシーンでも同じカットが使われていました。				チヨダク	ア	13	17	2	
0023	0029	完了	東京都	千代田区	総武線脇の道	101-0021	東京都千代田区外神田1-3		35.698516	139.770278	"https://www.google.co.jp/maps/@35.6985117,139.7703728,3a,51.8y,275.14h,91.67t/data=!3m6!1e1!3m4!1sKYMrtAQf5Y_HRFxC5jsP5A!2e0!7i16384!8i8192"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第3話で、万世架まとめ、有紗・アホカイネンが、バイトで不参加の伝木凱タモツに変わって参加した伝木凱にわかを連れて「電気マヨネーズ」のパトロール活動中、グレートエンペラーレコード代表の紅影千房にスカウトされていた通り。<br />千房の背後にセイコーSHOPの看板が描かれていました。				チヨダク	ア	13	17	2	
0023	0026	完了	東京都	千代田区	鶏王けいすけ 秋葉原店	101-0021	東京都千代田区外神田1-3-4		35.698478	139.770163	"https://www.google.co.jp/maps/@35.6985325,139.7701643,3a,90y,192.01h,114.31t/data=!3m6!1e1!3m4!1sOb26UsEVQKX4A6DqAYcQxA!2e0!7i16384!8i8192"				1		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第3話で、伝木凱タモツがマシロの紹介所でバイトを紹介してもらうシーンから、万世架まとめ、有紗・アホカイネン、伝木凱にわかの3人が、「電気マヨネーズ」のパトロール活動中のシーンの場面転換カットで描かれていたラーメン屋。				チヨダク	ア	13	17	2	
0023	0034	完了	東京都	千代田区	akiba LED ピカリ館	101-0021	東京都千代田区外神田1-8-7	神林ビル103	35.699303	139.770422	"https://www.google.co.jp/maps/@35.6993617,139.7704131,3a,75y,219.46h,86.37t/data=!3m6!1e1!3m4!1svJI3gyyBuw2Emv0mX0Ko2A!2e0!7i16384!8i8192"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第4話で、幻の第2東京タワー（秋葉原タワー）が発信したバグリモノ電波によって店内の通信機器が一斉に爆発していた店の一つ。<br />第6話の伝木凱タモツとぴゅう子改2のデートシーンのカットでは、店に入る2人の姿が描かれていました。				チヨダク	ア	13	17	2	
0023	0036	完了	東京都	千代田区	ビートオン 秋葉原店	101-0021	東京都千代田区外神田1-10-2		35.698875	139.770610	"https://www.google.co.jp/maps/@35.6988689,139.7705336,3a,52.4y,67.61h,81.65t/data=!3m6!1e1!3m4!1s-xcgSDy0AV60ApXn1Rhs6Q!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第4話で、幻の第2東京タワー（秋葉原タワー）が発信したバグリモノ電波によって店内の通信機器が一斉に爆発していた店の一つ。<br />※2017年7月9日に閉店し、2017年7月15日からは「イオシス アキバ路地オモテ店」としてリニューアルオープンされてています。				チヨダク	ア	13	17	2	閉店
0023	0051	完了	東京都	千代田区	コトブキヤ 秋葉原館前の通り	101-0021	東京都千代田区外神田1-11		35.699195	139.770582	"https://www.google.co.jp/maps/@35.699341,139.770592,3a,37.8y,186.72h,99.29t/data=!3m6!1e1!3m4!1sYWmA-HKZOzBtM7_uIBr_eQ!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第6話の伝木凱タモツとぴゅう子改2のデートシーンのカットで、行き交う人々の注目を集めながら歩く2人の姿が描かれていた通り。<br />第10話では、恋愛の練習と称してデートに出かけた伝木凱タモツと万世架まとめが同じ場所を歩いており、通りを南側を望む構図で、JR線高架や第一石丸共同ビルのビル看板、JR神田万世橋ビルなどが描かれていました。				チヨダク	ア	13	17	2	
0023	0032	完了	東京都	千代田区	富士無線電機	101-0021	東京都千代田区外神田1-11-2		35.699373	139.770660	"https://www.google.co.jp/maps/@35.6993899,139.7705996,3a,64y,90.28h,88.63t/data=!3m6!1e1!3m4!1s3P-dOpAyEgDbyzt38Htbjw!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第4話で、持っているトランシーバーでは街中では30mまでしか通信できなかったため、通信環境を強化しようと伝木凱タモツたち「電気マヨネーズ」一行が訪れた店。				チヨダク	ア	13	17	2	
0023	0045	完了	東京都	千代田区	小暮ビル	101-0021	東京都千代田区外神田1-11-6		35.699554	139.771009	"https://www.google.co.jp/maps/@35.6997583,139.7712283,3a,39y,224.09h,119.77t/data=!3m6!1e1!3m4!1skwismIdCpMOX5Bv7Iu1yjg!2e0!7i13312!8i6656"						AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第11話で、中央通り自警団に逮捕された、「電気マヨネーズ」（伝木凱タモツ、万世架まとめ、有紗・アホカイネン）の3人を弾劾するアキバ自警団特別法廷が開かれていたアキバギルドの入っているビル。				チヨダク	ア	13	17	2	
0023	0057	完了	東京都	千代田区	買取販売市場ムーランアキバ 中央通り店	101-0021	東京都千代田区外神田1-11-9		35.699282	139.771082	"https://www.google.com/maps/@35.6993741,139.7712289,3a,15y,224.06h,98.85t/data=!3m6!1e1!3m4!1smNicDv3aBviJ1I6e2JPMkQ!2e0!7i13312!8i6656"				5		AKIBA'S TRIP -THE ANIMATION-	アキバズトリップジアニメーション	第10話で、巨大なパソコンロボットに投げ飛ばされた有紗・アホカイネンが、看板にめり込んでいた店。				チヨダク	ア	13	17	2	
