作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0114	0031	完了	東京都	品川区	武蔵小山商店街パルム（有明靴店前）	142-0062	東京都品川区小山3-21-13		35.619087	139.704999	"https://www.google.co.jp/maps/@35.6191326,139.7049314,3a,24y,118.68h,94.4t/data=!3m6!1e1!3m4!1sjb_7whbdbrkuCZ4_ittyKw!2e0!7i13312!8i6656"						Aチャンネル	エーチャンネル	第9話で、百木るんの家に向かうナギ（天王寺渚）が、トオル（一井透）と合流していた場所。<br />作中ではariakeの文字が「Life」になっていました。				シナガワク	エ	13	9	2	
0114	0032	完了	東京都	品川区	武蔵小山商店街パルム（洗濯丸前）	142-0063	東京都品川区荏原3-5		35.616448	139.708405	"https://www.google.co.jp/maps/@35.6164314,139.7084164,3a,49y,337.21h,99.01t/data=!3m6!1e1!3m4!1sMqAWYqDG-7fVTvYQsSymyw!2e0!7i13312!8i6656"						Aチャンネル	エーチャンネル	第9話で、百木るんの家に向かうナギ（天王寺渚）とトオル（一井透）が合流していた商店街で、洗濯丸のカットが描かれており、ナギとユー子（西由宇子）を駅まで送った帰りに商店街に立ち寄ったシーンでも同じ場所が描かれていました。<br />作中では洗濯丸の店名が「石鹸丸」になっています。				シナガワク	エ	13	9	2	
0114	0023	完了	東京都	品川区	シグマ書店	142-0063	東京都品川区荏原3-7-4		35.617169	139.707364	-						Aチャンネル	エーチャンネル	第9話で、ナギ（天王寺渚）とトオル（一井透）が、待ち合わせをして百木るんの家に向かう途中に2人で立ち寄った書店。それまで接点の少なかった2人がちょっとだけ近づいたかもと思わせるシーン<br />※2012年1月20日閉店済。				シナガワク	エ	13	9	2	
0114	0034	完了	東京都	杉並区	ペットのコジマ 阿佐ヶ谷店	166-0001	東京都杉並区阿佐谷北4-24-7		35.713759	139.634885	"https://www.google.co.jp/maps/@35.7137332,139.6347526,3a,32y,62.95h,91.99t/data=!3m6!1e1!3m4!1s221cox98xVpRBSxupGE_eA!2e0!7i16384!8i8192"						Aチャンネル	エーチャンネル	第10話で、百木るんとトオル（一井透）が、子猫（炭酸）の首輪を買っていたペットショップ「IKOYA」のモデル。				スギナミク	エ	13	12	2	
0114	0022	完了	東京都	中野区	ホットパワーズ	164-0001	東京都中野区中野5-50-9		35.709672	139.666724	"https://www.google.co.jp/maps/@35.7096856,139.6667642,3a,90y,245.12h,93.22t/data=!3m6!1e1!3m4!1sPqlXhRMA146fPo40_2bAmQ!2e0!7i13312!8i6656"						Aチャンネル	エーチャンネル	第11話で、猫のおもちゃが買える店を探すとトオル（一井透）に、百木るんがおもちゃの店を知っていると言って連れて来た店のモデル。もちろんるんは何のお店か気づいておらず、トオルに間違ってると店前から連れ出されていました。<br />作中では店名が「オトナ。♥おもちゃ♥」になっていました。<br />※閉店済。				ナカノク	エ	13	19	2	閉店
0114	0035	完了	東京都	中野区	秋吉 中野店 前	164-0001	東京都中野区中野5-54-3	藤田ビル1F	35.708528	139.666512	"https://www.google.co.jp/maps/@35.7085291,139.6663582,3a,19.3y,85.88h,90.13t/data=!3m7!1e1!3m5!1suWfmMuNWIVZvbYxPUaFzog!2e0!5s20180801T000000!7i13312!8i6656"						Aチャンネル	エーチャンネル	第10話で、駅でユー子（西由宇子）とナギ（天王寺渚）を見送った帰りの百木るんとトオル（一井透）が、ペットのおもちゃが買えそうな店を探していた場所のモデル。<br />立地的なものは前後のシーンと繋がりませんが、路地から見た秋吉（作中では「𠮷秋」）の外観や、路地の繁華亭（作中では「繁盛亭」）の暖簾や置き看板など細部まで忠実に描かれていました。			𠮷	ナカノク	エ	13	19	2	
0114	0001	完了	東京都	府中市	府中5号踏切	183-0021	東京都府中市片町2		35.670175	139.46908	"https://www.google.co.jp/maps/@35.6700725,139.4695244,3a,19.1y,286.24h,88.43t/data=!3m6!1e1!3m4!1siwp7SMMUKGSqA0PSHhUBag!2e0!7i13312!8i6656"	16.0					Aチャンネル	エーチャンネル	第1話ラストの歌シーンで、東側の道から見た踏切が描かれていました。				フチュウシ	エ	13	44	2	
0114	0002	完了	東京都	府中市	京王電鉄 府中駅	183-0023	東京都府中市宮町1		35.672111	139.480556	"https://www.google.co.jp/maps/@35.6717514,139.48054,3a,48y,329.33h,96.04t/data=!3m6!1e1!3m4!1sLsp4FtgiepKfoNBvgOH-kQ!2e0!7i13312!8i6656"	14.0					Aチャンネル	エーチャンネル	第6話で、夜の学校に忘れ物を取りに行った帰りに、百木るんたちが利用していた駅で、トオル（一井透）とホームで電車待ちを中のるんが、反対ホームにいるユー子（西由宇子）に手を振る姿が描かれていました。<br />エンディングでも、同じくトオルとホームで電車待ちをするるんが、反対ホームのユー子手を振っていました。				フチュウシ	エ	13	44	2	
0114	0025	完了	東京都	府中市	BIG ECHO 府中店	183-0023	東京都府中市宮町1-2-18	府中プライム 6F	35.671559	139.479444	"https://www.google.co.jp/maps/@35.6716801,139.4791571,3a,15y,130.75h,97.49t/data=!3m6!1e1!3m4!1skIDVIvii3s5tf1kLYuf_ew!2e0!7i13312!8i6656"						Aチャンネル	エーチャンネル	第7話で、夏休み中の百木るんたち一行が歌いに行ったカラオケ店。<br />※2013年の府中プライム閉鎖に伴い閉店。建物も解体済。				フチュウシ	エ	13	44	2	解体
0114	0009	完了	東京都	府中市	フォーリス 前	183-0023	東京都府中市宮町1-41		35.670970	139.479240	-						Aチャンネル	エーチャンネル	第5話で、ユー子（西由宇子）と一緒に買い物に来て予定のなかった水着を買ってしまったナギ（天王寺渚）が、電話でるんに海へ遊びに行こうと誘っていた場所。				フチュウシ	エ	13	44	2	
