作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0767	0001		東京都	中央区	銀座和光本店	104-0061	東京都中央区銀座4-5-11		35.671655	139.765016	"https://www.google.co.jp/maps/@35.671405,139.765203,3a,75y,308.72h,127.17t/data=!3m4!1e1!3m2!1sgjhksB59Rqp0_9qlIl_ivA!2e0?hl=ja"	18		120	1.7		BRIGADOON まりんとメラン	ブリガドーンマリントメラン					チュウオウク	フ	13	16	2	
0767	0002		東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658599	139.745417	"https://www.google.co.jp/maps/@35.65958,139.74545,3a,75y,90t/data=!3m5!1e2!3m3!1s23122582!2e1!3e10?hl=ja"	17		0			BRIGADOON まりんとメラン	ブリガドーンマリントメラン	第2話	http://www.tokyotower.co.jp/	http://www.tokyotower.co.jp/		ミナトク	フ	13	22	2	
0767	0003		東京都	台東区	不忍之池弁天堂	110-0007	東京都台東区上野公園2-1		35.712114	139.771097	"https://www.google.co.jp/maps/@35.712251,139.770883,3a,75y,90t/data=!3m5!1e2!3m3!1s32673476!2e1!3e10?hl=ja"	17		0			BRIGADOON まりんとメラン	ブリガドーンマリントメラン					タイトウク	フ	13	15	2	
0767	0004		東京都	台東区	浅草寺 雷門	111-0032	東京都台東区浅草2-3-1		35.711138	139.796377	"https://www.google.co.jp/maps/@35.711071,139.796246,3a,75y,90t/data=!3m5!1e2!3m3!1s29645684!2e1!3e10?hl=ja"	18		0			BRIGADOON まりんとメラン	ブリガドーンマリントメラン					タイトウク	フ	13	15	2	
0767	0005		東京都	台東区	浅草寺 五重塔	111-0032	東京都台東区浅草2-3-1		35.714109	139.796028	"https://www.google.co.jp/maps/@35.713745,139.796492,3a,75y,311.51h,115.49t/data=!3m5!1e1!3m3!1sf8St3b48-QCLZbTpiApi0g!2e0!3e5?hl=ja"	17		120	2.3		BRIGADOON まりんとメラン	ブリガドーンマリントメラン	仲見世から見上げる構図で描かれていましたが、仲見世からは作画のように五重塔は見えません。				タイトウク	フ	13	15	2	
0767	0006		東京都	台東区	浅草花やしき	111-0032	東京都台東区浅草2-28-1		35.715461	139.794678	"https://www.google.co.jp/maps/@35.715392,139.79423,3a,75y,96.35h,134.04t/data=!3m5!1e1!3m3!1srGnQrvyt0FVyfEeg3XR2GQ!2e0!3e5?hl=ja"	17		120	1		BRIGADOON まりんとメラン	ブリガドーンマリントメラン		http://www.hanayashiki.net/			タイトウク	フ	13	15	2	
0767	0007	完了	東京都	文京区	根津神社 乙女稲荷	113-0031	東京都文京区根津1-28-9		35.720113	139.760218	"https://www.google.co.jp/maps/@35.7200838,139.7602968,3a,75y,248.2h,98.35t/data=!3m5!1e1!3m3!1s89WzkOHm6LAAAAAGOvobjQ!2e0!3e11?hl=ja"	18		120	1	03-3822-0753	BRIGADOON まりんとメラン	ブリガドーンマリントメラン	第1話でメランのアンプルが納められていた社。境内では浅葱まりんが「モノマキア・ドロン」に追いかけられていました。社の内装、赤鳥居が連なる境内の様子など忠実に描かれていました。	http://www.nedujinja.or.jp/			ブンキョウク	フ	13	21	2	
0767	0008		東京都	文京区	根津神社	113-0031	東京都文京区根津1-28-9		35.72018	139.760749	"https://www.google.co.jp/maps/@35.7199605,139.7608426,3a,75y,351.16h,93.47t/data=!3m5!1e1!3m3!1stm3W-QtEFOEAAAAGOw6VvQ!2e0!3e11?hl=ja"	16		120	1.9	03-3822-0753	BRIGADOON まりんとメラン	ブリガドーンマリントメラン	社殿に唐門	http://www.nedujinja.or.jp/			ブンキョウク	フ	13	21	2	
0767	0009	完了	東京都	文京区	根津神社 境内	113-0031	東京都文京区根津1-28-9		35.720344	139.760151	"https://www.google.co.jp/maps/@35.7203479,139.7602706,3a,75y,201.87h,90.32t/data=!3m5!1e1!3m3!1sdn2s_LNt4bgAAAAGOvqa9Q!2e0!3e11?hl=ja"	18		120	2	03-3822-0754	BRIGADOON まりんとメラン	ブリガドーンマリントメラン	浅葱まりんが「モノマキア・ドロン」に追いかけられていた場所。				ブンキョウク	フ	13	21	2	
0767	0010	完了	東京都	文京区	根津神社 鳥居	113-0031	東京都文京区根津1-28-9		35.720148	139.760149	"https://www.google.co.jp/maps/@35.7201503,139.7601653,3a,75y,335.58h,86.53t/data=!3m5!1e1!3m3!1s1wMnlApUdeEAAAAGOvobjg!2e0!3e11?hl=ja"	18		120	1	03-3822-0755	BRIGADOON まりんとメラン	ブリガドーンマリントメラン	浅葱まりんが「モノマキア・ドロン」に追いかけられていた、何本もの鳥居が並んでいる場所。				ブンキョウク	フ	13	21	2	
