作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1223	0001	完了	東京都	千代田区	日本武道館	102-8321	東京都千代田区北の丸公園2-3		35.693384	139.749878	"https://www.google.com/maps/@35.6930624,139.7492269,3a,58y,59.21h,106.98t/data=!3m6!1e1!3m4!1sKaiO614QlqSp7zXAcF8SAg!2e0!7i16384!8i8192"						BanG Dream! 3rd Season	バンドリサードシーズン	第10話で、マスキング（佐藤ますき）が、バンドを辞めてしまうのではと心配して学校にまでやって来たロック（朝日六花）を連れて来た場所。<br />第13話では、Poppin'Party、Roselia、RAISE A SUILENの3バンドが「BanG Dream Girls Band Challenge!」の決勝で競演した会場となっていました。				チヨダク	ハ	13	17	2	
1223	0002	完了	東京都	文京区	子育地蔵	112-0014	東京都文京区関口1-7-4		35.708397	139.731555	"https://www.google.co.jp/maps/@35.7083636,139.73156,3a,75y,321.04h,95.67t/data=!3m6!1e1!3m4!1sw7c0P_VNbb3UVCHCVMkctw!2e0!7i16384!8i8192"				2		BanG Dream! 3rd Season	バンドリサードシーズン	第8話で、地蔵通り商店街フレッシュ会御一行の長老さんたちが揃ってぎっくり腰で行けなくなった温泉旅行に代わりに行くことになったPoppin'PartyやRoselia、Afterglow、ハロー、ハッピーワールド！、RAISE A SUILEN（チュチュ、パレオ除く）たちが集合していた場所。				ブンキョウク	ハ	13	21	2	
1223	0003	完了	東京都	文京区	江戸川公園　東屋（時計塔）	112-0014	東京都文京区関口1-27-7		35.710400	139.728379	-						BanG Dream! 3rd Season	バンドリサードシーズン	第4話で、Poppin'Partyに歌で背中を押され、再度RAISE A SUILEN（レイズ ア スイレン）のギタリストのテストを受けにチュチュのいる高層マンションに向かうロックが、この東屋の前を走る姿が描かれていました。<br />第5話では、ミュージックビデオの制作に苦心中の戸山香澄たちPoppin'Party一行がやって来た公園シーンの挿入カットでも、この東屋が描かれていました。				ブンキョウク	ハ	13	21	2	
1223	0004	完了	東京都	文京区	江戸川公園　すべり台	112-0014	東京都文京区関口1-27-7		35.710608	139.726366	-						BanG Dream! 3rd Season	バンドリサードシーズン	第5話で、ミュージックビデオの制作に苦心中の戸山香澄たちPoppin'Party一行がやって来た公園。<br />ここでデジカメの自分たちの写真データを見ながら、ミュージックビデオ制作のヒントを得ていました。<br />第10話では、チュチュとメンバーの間で起こった不和に悩むロック（朝日六花）が、この公園で戸山香澄から「バンドはみんなでバンドだから」と、みんなにどうしたいかを聞くことを勧められていました。<br />エンディングにも登場しています。				ブンキョウク	ハ	13	21	2	
1223	0005	完了	東京都	江東区	東京ゲートブリッジ	135-0065	東京都江東区中央防波堤		35.610481	139.826643	"https://www.google.co.jp/maps/@35.6167844,139.8320916,3a,15y,210.98h,93.95t/data=!3m6!1e1!3m4!1spEjK_4erQ8sR_jHF-4Yrsg!2e0!7i16384!8i8192"				5		BanG Dream! 3rd Season	バンドリサードシーズン	第10話のラストで、パレオ（鳰原令王那）を連れ戻そうと、ロック（朝日六花）を後ろに乗せてバイクで鴨川に向かうマスキング（佐藤ますき）が渡っていた橋。<br />作中では進行方向が千葉方面とは逆になっていました。				コウトウク	ハ	13	8	2	
1223	0006	完了	東京都	渋谷区	リキッドルーム	150-0011	東京都渋谷区東3-16-6		35.649132	139.710794	"https://www.google.com/maps/@35.6493562,139.7107998,3a,34y,183.34h,96.09t/data=!3m6!1e1!3m4!1s3rywBsi6aUE_e-hRWTnhbg!2e0!7i13312!8i6656"						BanG Dream! 3rd Season	バンドリサードシーズン	RAISE A SUILEN（レイズ ア スイレン）がホームとしているライブハウス。<br />第1話では、10月7日月曜日にRAISE A SUILENの第4回ワンマンライブが行われ、チュチュ（珠手ちゆ）が、ロック（朝日六花）を公開スカウトしていました。<br />第6話では、チュチュが仕掛けたRAISE A SUILENとRoseliaのツーマンライブが行われていました。<br />第9話では、終盤に入った「BanG Dream Girls Band Challenge!」の決勝進出に向けてライブハウスを梯子しているPoppin'Partyが、RAISE A SUILENと一緒のステージに立っていました。<br />作中では名前が「渋谷dub」になっています。				シブヤク	ハ	13	10	2	
1223	0007	完了	東京都	新宿区	都電 早稲田停留場	162-0051	東京都新宿区西早稲田1		35.711784	139.719316	"https://www.google.co.jp/maps/@35.7116926,139.7195066,3a,15y,289.65h,90.11t/data=!3m6!1e1!3m4!1sqK1nC99sorCJoeqC0vE3iw!2e0!7i13312!8i6656"				5		BanG Dream! 3rd Season	バンドリサードシーズン	第2話で、ロック（朝日六花）を追いかけるのをパレオ（鳰原令王那）に任せて休憩中のチュチュ（珠手ちゆ）が、湊友希那と遭遇してコーヒーを奢ってもらっていた都電の停留場。<br />第4話では、Poppin'Partyに歌で背中を押され、再度RAISE A SUILEN（レイズ ア スイレン）のギタリストのテストを受けにチュチュのいる高層マンションに向かうロックがやって来た停留場で、電車に乗り遅れたところを、バイクで後を追ってきたマスキング（佐藤ますき）と遭遇していました。<br />第9話では、終盤に入った「BanG Dream Girls Band Challenge!」の決勝進出に向けてライブハウスを梯子しているPoppin'Partyが、「Galaxy」でのライブを終えて「渋谷dub」に向かうシーンでも、駅前に先に着いた戸山香澄たちが、遅れて駅に向かっている市ヶ谷有咲と牛込りみを急かす様子が描かれていました。				シンジュクク	ハ	13	11	2	
1223	0008	完了	東京都	豊島区	南大塚公園	170-0005	東京都豊島区南大塚2-27		35.727797	139.731133	"https://www.google.co.jp/maps/@35.7277362,139.7310551,2a,48.8y,37.24h,85.91t/data=!3m6!1e1!3m4!1s-Vlpg-yM7xCb6qxx3Q3X5w!2e0!7i13312!8i6656"						BanG Dream! 3rd Season	バンドリサードシーズン	和奏レイと花園たえの思い出の公園で、第3話では、レイがたえに呼び出され、焼き芋を振る舞われていました。<br />作中で描かれていた園内展示の都電車両（6000形6162号車）は、「都電ものしり博物館」と銘打たれ、以前は作中のように車内に自由に入ることもできたものの、現在は金網で囲われて施錠されています。				トシマク	ハ	13	18	2	
1223	0009	完了	東京都	豊島区	都電早稲田1号踏切	170-0005	東京都豊島区南大塚3-37		35.730077	139.726319	"https://www.google.co.jp/maps/@35.7300631,139.7263195,3a,43.1y,28.94h,85.2t/data=!3m6!1e1!3m4!1shLeRtyIAIjeJyiTuB24udQ!2e0!7i16384!8i8192"						BanG Dream! 3rd Season	バンドリサードシーズン	第12話で、チュチュ（珠手ちゆ）のマンションへ武道館ライブの心得的なものを聞きに行った帰りのPoppin'Partyの5人が乗る都電が通っていた踏切。				トシマク	ハ	13	18	2	
1223	0010	完了	神奈川県	足柄下郡	源泉上野屋	259-0314	神奈川県足柄下郡湯河原町宮上616		35.147648	139.071180	"https://www.google.co.jp/maps/@35.1475829,139.0715828,3a,21.9y,281.55h,96.57t/data=!3m6!1e1!3m4!1sxDcttRZQUNd0Ht4hedLu3Q!2e0!7i13312!8i6656"				4.5		BanG Dream! 3rd Season	バンドリサードシーズン	第8話で、地蔵通り商店街フレッシュ会御一行の長老さんたちが揃ってぎっくり腰で行けなくなった温泉旅行に代わりに行くことになったPoppin'PartyやRoselia、Afterglow、ハロー、ハッピーワールド！、RAISE A SUILEN（チュチュ、パレオ除く）に、撮影の仕事で偶然温泉に来ていたPastel*Palettesが一緒に宿泊していた旅館。				アシガラシモグン	ハ	14	25	2	
