作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0169	0001	完了	東京都	渋谷区	歩道橋の階段	150-0002	東京都渋谷区渋谷3-8		35.657794	139.703576	"https://www.google.co.jp/maps/@35.6576031,139.7035998,3a,15y,1.95h,98.32t/data=!3m6!1e1!3m4!1sLgBjyGvt0sYKv-dZmLclTA!2e0!7i13312!8i6656"	18		120	3		CHAOS;CHILD	カオスチャイルド	第1話で、死体発見現場のホテルに潜入して気絶し、警察に保護されていた宮代拓留が、迎えに来た来栖乃々と共に上っていた歩道橋の階段。				シブヤク	カ	1	13	2	
0169	0002	完了	東京都	渋谷区	渋谷警察署	150-0002	東京都渋谷区渋谷3-8-15		35.657810	139.703739	"https://www.google.co.jp/maps/@35.6576713,139.7036183,3a,25y,21.46h,96.89t/data=!3m6!1e1!3m4!1sUeb2fHbkIDIEkM4R1DPvrg!2e0!7i13312!8i6656"	17		120	3		CHAOS;CHILD	カオスチャイルド	第1話で有村雛絵が尋問を受けていた警察署で、来栖乃々と別れた宮代拓留がこの前を通る姿が描かれていました。現在は改修工事をされて歩道橋の階段が異なります。	http://www.keishicho.metro.tokyo.jp/3/shibuya/			シブヤク	カ	1	13	2	
0169	0003	完了	東京都	渋谷区	ガード下	150-0002	東京都渋谷区渋谷3-21		35.657439	139.702656	"https://www.google.com/maps/@35.6573856,139.7025748,3a,47.9y,87.63h,82.77t/data=!3m6!1e1!3m4!1sVBsZfdUckqFEmXa_8S2CKQ!2e0!7i13312!8i6656"	18	○	120	3		CHAOS;CHILD	カオスチャイルド	第3話の冒頭で、宮代拓留が設置した監視カメラを取り外しに訪れた来栖乃々が、男に刺された場所。作中では左右反転して描かれていました。				シブヤク	カ	1	13	2	解体
0169	0004	完了	東京都	渋谷区	ガード脇	150-0002	東京都渋谷区渋谷3-21		35.657236	139.702535	"https://www.google.com/maps/@35.6571745,139.7026416,3a,35.3y,341.6h,92.9t/data=!3m6!1e1!3m4!1s-U3jJg0HQHgxuXBOxfh2fw!2e0!7i13312!8i6656"	18	○	120	3		CHAOS;CHILD	カオスチャイルド	第2話のラストで、来栖乃々がガード下の監視カメラを取り外しに訪れたシーンで描かれていた場所。				シブヤク	カ	1	13	2	解体
0169	0005	完了	東京都	渋谷区	桜丘郵便局前交差点	150-0031	東京都渋谷区桜丘町21-4		35.654269	139.700951	"https://www.google.co.jp/maps/@35.6542615,139.7008261,3a,18y,85.18h,94.62t/data=!3m6!1e1!3m4!1subPk7weptZiQhfxWZBOXKA!2e0!7i13312!8i6656"	18		120	3		CHAOS;CHILD	カオスチャイルド	第1話で、「回転DEAD」の現場を撮影した動画データを警察の目を盗んでストレージに上げていたことを告げに来た尾上世莉架の帰りを、宮代拓留が見送っていた場所。				シブヤク	カ	1	13	2	
0169	0006	完了	東京都	渋谷区	ホテル SK PLAZA	150-0043	東京都渋谷区道玄坂1-17-9		35.659848	139.696271	"https://www.google.co.jp/maps/@35.6598984,139.6961007,3a,20y,91.93h,89.54t/data=!3m6!1e1!3m4!1sPjI7_9J0vQC8BGPdYu0gLQ!2e0!7i13312!8i6656?hl=ja"	18		120	1	03-3780-5211	CHAOS;CHILD	カオスチャイルド	第1話で、ニュージェネレーションの狂気の再来第3の事件「回転DEAD」の現場となったラブホテル。	http://www.hotel-guide.jp/shop/sk-plaza1/			シブヤク	カ	1	13	2	
0169	0007	完了	東京都	渋谷区	CAFE LAX	150-0044	東京都渋谷区円山町7-11	梅北ビル2F	35.658046	139.694445	"https://www.google.co.jp/maps/@35.6579648,139.6943949,3a,34.9y,16.74h,108.33t/data=!3m6!1e1!3m4!1sDUJl4ldiFltywhfD830o6w!2e0!7i13312!8i6656"	18		120	1.6		CHAOS;CHILD	カオスチャイルド	第2話で、校門前で学校帰りの有村雛絵を待ち構えていた神成岳志が、場所を変えようと連れて来られた喫茶店。※2016年1月9日閉店済。	http://mail00718.wixsite.com/cafelax			シブヤク	カ	1	13	2	閉店
0169	0008	完了	東京都	渋谷区	松濤ハイツ 前	150-0045	東京都渋谷区神泉町18-8		35.657487	139.691211	"https://www.google.co.jp/maps/@35.657422,139.6911359,3a,40.5y,16.37h,96.65t/data=!3m7!1e1!3m5!1shlBbrG-HD5wwrWE2-kAunw!2e0!3e2!7i13312!8i6656"	18		120	3		CHAOS;CHILD	カオスチャイルド	第1話。ストリートミュージシャンの高柳桃寧が腹部にスピーカーを埋め込んで死亡したニュージェネレーションの狂気の再来第2の事件「音漏れたん」の現場。				シブヤク	カ	1	13	2	
0169	0009	完了	東京都	渋谷区	白滝医院	151-0063	東京都渋谷区富ヶ谷1-48-6		35.668058	139.689281	"https://www.google.co.jp/maps/@35.668051,139.6894686,3a,36.2y,268.26h,101.33t/data=!3m6!1e1!3m4!1snWY6RMdyL9JV9Xm2VMBB7g!2e0!7i13312!8i6656"	18		120	3		CHAOS;CHILD	カオスチャイルド	「青葉医院」のモデル。				シブヤク	カ	1	13	2	
0169	0010	完了	東京都	武蔵野市	井の頭恩賜公園 遊びの広場	180-0005	東京都武蔵野市御殿山1-18-31		35.694058	139.571496	"https://www.google.co.jp/maps/@35.694105,139.5713515,3a,20y,111.84h,92.11t/data=!3m6!1e1!3m4!1sxKtuoaj8uQo0hts7hYVd2Q!2e0!7i13312!8i6656"						CHAOS;CHILD	カオスチャイルド	第2話で、学校帰りの真壁政宗が、小岩井吉乃の罠にひっかかって吊り下げられていた場所。				ムサシノシ	カ	1	13	2	
