作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0269	0054	完了	東京都	大田区	ハイホーム田園調布前の階段下	145-0071	東京都大田区田園調布1-10		35.586275	139.670418	"https://www.google.co.jp/maps/@35.5862156,139.6702799,3a,34.5y,49.72h,93.78t/data=!3m6!1e1!3m4!1spjBOu69QvMfNAsShk_9AoA!2e0!7i13312!8i6656"						CLANNAD	クラナド	第18話で、藤林椋が語った占いが当たらない方がいい理由を思い出しながら、岡崎朋也が夜の町を歩いていたシーンの挿入カットで描かれていた場所の一つ②。				オオタク	ク	13	5	2		
0269	0050	完了	東京都	大田区	住宅地の坂道	145-0072	東京都大田区田園調布本町12		35.585018	139.677493	"https://www.google.co.jp/maps/@35.5847567,139.6772944,3a,18y,30.73h,83.45t/data=!3m6!1e1!3m4!1sIuG2t04hTJAqbRm9kDKAhA!2e0!7i13312!8i6656"				5		CLANNAD	クラナド	第1話で、飲んだくれて寝ていた父親の情けない姿に居たたまれずに家を飛び出した岡崎朋也が走っていた坂道。				オオタク	ク	13	5	2		
0269	0038	完了	東京都	大田区	桜橋	145-0072	東京都大田区田園調布本町18		35.585629	139.675250	"https://www.google.co.jp/maps/@35.5856294,139.6752811,3a,40y,305.71h,82.3t/data=!3m6!1e1!3m4!1swniq6B4WwgS92vdM0547Tg!2e0!7i16384!8i8192"						CLANNAD	クラナド	第19話で、古河家の居候を始めた翌日の朝の通学シーンの挿入カットで描かれていた場所の一つ②。				オオタク	ク	13	5	2		
0269	0001	完了	東京都	大田区	さくら坂交差点	145-0072	東京都大田区田園調布本町19		35.585189	139.674782	"https://www.google.co.jp/maps/@35.5852479,139.6745874,3a,40y,112.46h,94.01t/data=!3m6!1e1!3m4!1sktFtf24mvCbYza0Iw341Tg!2e0!7i13312!8i6656"	17		120	2		CLANNAD	クラナド	岡崎朋也と古河渚の帰路の分岐点で、2人が帰りに別れるシーンで度々作中に登場した交差点。<br />第１話では、学校帰りの別れ際に渚の両親が経営するパン屋を紹介されていました。同話で、渚の家で夕飯をご馳走になった帰りに渚に見送られていたのもこの交差点でした。<br />第10話では、学校帰りに一ノ瀬ことみを連れた朋也が、ここで別れた渚を2人で見送っていました。				オオタク	ク	13	5	2		
0269	0030	完了	東京都	大田区	桜坂通り	145-0072	東京都大田区田園調布本町20		35.584961	139.674475	"https://www.google.co.jp/maps/@35.5849134,139.6744567,3a,45y,65.42h,91.71t/data=!3m6!1e1!3m4!1s5t3e22ovKuAfY-5DUKFjAg!2e0!7i16384!8i8192"						CLANNAD	クラナド	第3話で、雨に濡れたことで倒れた古河渚を見舞いに古河家を訪れた帰りの岡崎朋也が歩いていた場所で、車のフロントが凹んだことを、電柱工事をしていた芳野祐介のせいだと思い込んだ男に証人になってくれと引っ張られていました。				オオタク	ク	13	5	2		
0269	0039	完了	東京都	大田区	さくら坂交差点付近の建物	145-0073	東京都大田区田園調布本町20		35.585236	139.674627	"https://www.google.co.jp/maps/@35.585303,139.6745283,3a,19.7y,130.46h,103.86t/data=!3m6!1e1!3m4!1sa32tUsVb3IqSc2QfM6RAWQ!2e0!7i13312!8i6656"						CLANNAD	クラナド	第19話で、古河家の居候を始めた翌日の朝の通学シーンの挿入カットで描かれていた場所の一つ①。<br />さくら坂交差点の西側の座標地点辺りから交差点の上側を望む構図で、住宅やマンション（田園調布コーポラス）などの建物が描かれていました。				オオタク	ク	13	5	2		
0269	0029	完了	東京都	大田区	交差点（多摩堤通り）	145-0072	東京都大田区田園調布本町27		35.583136	139.673198	"https://www.google.co.jp/maps/@35.5832243,139.673205,3a,80y,155.16h,90.43t/data=!3m6!1e1!3m4!1sB_5jZhrOjZquG-hvRMk7zA!2e0!7i13312!8i6656"				1		CLANNAD	クラナド	第6話、第7話で、岡崎朋也、古河渚、伊吹風子の3人が学校から古河家へ帰る途中で信号待ちをしていた交差点。<br />第9話では、風子のことを忘れてしまった朋也と渚が学校へ向かう途中、この交差点で信号待ちをしている間、風子の木彫りのヒトデを見ながら何かを忘れてしまったものと関係があるのかと不思議な気持ちになっていました。<br />第19話では、家庭訪問をすると言う先生と朋也が岡崎家へ向かうシーンで信号待ちをしていたのも、この交差点でした。<br />第21話の通学シーンでは、信号待ちする渚が朋也に演劇のクライマックスに歌を入れるアイデアを話していました。<br />※背後に描かれていた建物は解体され、駐車場となった後に、アパートが建てられています。				オオタク	ク	13	5	2		
0269	0057	完了	東京都	大田区	沼部駅北側の踏切	145-0072	東京都大田区田園調布本町28		35.582977	139.672915	"https://www.google.co.jp/maps/@35.5829775,139.6727359,3a,20y,85.69h,87.43t/data=!3m6!1e1!3m4!1shqHWWHmcIDNE2wltPjwHng!2e0!7i13312!8i6656"						CLANNAD	クラナド	DVD第8巻収録の「もうひとつの世界 智代編」で、教師や生徒会役員からの言葉で坂上智代の重荷になっているのではと考えるようになってしまった岡崎朋也が、思い悩みながら電車の通過待ちをしていた踏切。				オオタク	ク	13	5	2		
0269	0053	完了	東京都	大田区	沼部橋下のトンネル	145-0072	東京都大田区田園調布本町40		35.586014	139.670457	"https://www.google.co.jp/maps/@35.5860893,139.6704029,3a,34.5y,154.02h,81.46t/data=!3m6!1e1!3m4!1sgV6pCffRRdj2d_bgoGlzSw!2e0!7i13312!8i6656"						CLANNAD	クラナド	第18話で、藤林椋が語った占いが当たらない方がいい理由を思い出しながら、岡崎朋也が夜の町を歩いていたシーンの挿入カットで描かれていた場所の一つ①。				オオタク	ク	13	5	2		
0269	0051	完了	東京都	大田区	民家（岡崎家のモデル）	145-0072	東京都大田区田園調布本町54		35.586609	139.678951	"https://www.google.co.jp/maps/@35.5866783,139.6789664,3a,42y,150.02h,80.67t/data=!3m6!1e1!3m4!1sXacrmo1SJwxZnXbD1JhF_Q!2e0!7i13312!8i6656"						CLANNAD	クラナド	岡崎朋也の家のモデル。周囲の建物もほぼ忠実に描かれていましたが、向かい側の民家はマンション（セジョリ田園調布）に建て変わってしまいました。				オオタク	ク	13	5	2		
