作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1026	0001	完了	神奈川県	横浜市	横浜ベイシェラトンホテル&タワーズ	220-0004	神奈川県横浜市西区北幸1-3-23		35.466727	139.620343	"https://www.google.co.jp/maps/@35.4662999,139.6213094,3a,75y,316.59h,111.58t/data=!3m7!1e1!3m5!1sBOCw9bSojVxnn1_FJvauhg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DBOCw9bSojVxnn1_FJvauhg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D198.80513%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第2話で、ビル前面の巨大モニターにμが映し出されていたビル。実際のビルにはモニターはありません。				ヨコハマシ	カ	14	1	2	
1026	0002	完了	神奈川県	横浜市	横浜駅西口前	220-0005	神奈川県横浜市西区南幸1		35.466708	139.621750	"https://www.google.com/maps/@35.4666835,139.621666,3a,25y,253.4h,100.45t/data=!3m6!1e1!3m4!1sGGFrqKYsL09Dgr9x4rTQNA!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第3話で、式島律が、μの言葉と体験した事象から、自分たちの暮らしている街が作られた世界であるとの疑いを強めつつ、その合理的な解釈を求めながら一人街を巡っていたシーンの冒頭カットで、座標地点辺りから西側を望む構図で、横浜ベイシェラトンホテル & タワーズと横浜タカシマヤなどのビル群が描かれていました。作中では横浜ベイシェラトンホテル & タワーズのビル全面に巨大なデジタル時計が描き足されていました。				ヨコハマシ	カ	14	1	2	
1026	0003	完了	神奈川県	横浜市	横浜駅西口	220-0005	神奈川県横浜市西区南幸1		35.466597	139.621886	"https://www.google.com/maps/@35.4666835,139.621666,3a,19.7y,117.5h,91.28t/data=!3m7!1e1!3m5!1sGGFrqKYsL09Dgr9x4rTQNA!2e0!5s20170701T000000!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第3話で、式島律が、μの言葉と体験した事象から、自分たちの暮らしている街が作られた世界であるとの疑いを強めつつ、その合理的な解釈を求めながら一人街を巡っていた場所その1。<br />駅ビル工事中の仮囲いパネルに寄りかかって駅前を眺める律の姿が描かれていました。				ヨコハマシ	カ	14	1	2	
1026	0004	完了	神奈川県	横浜市	鶴屋橋	220-0005	神奈川県横浜市西区南幸1		35.467795	139.622534	"https://www.google.com/maps/@35.4676538,139.6225,3a,41.1y,347.05h,88.5t/data=!3m6!1e1!3m4!1sK2Sg2PdMm9DPs55_girK4Q!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第3話で、式島律が、μの言葉と体験した事象から、自分たちの暮らしている街が作られた世界であるとの疑いを強めつつ、その合理的な解釈を求めながら一人街を巡っていた場所その2。				ヨコハマシ	カ	14	1	2	
1026	0005	完了	神奈川県	横浜市	横浜モアーズ　屋上	220-0005	神奈川県横浜市西区南幸1-1-3		35.467117	139.621990	-						Caligula -カリギュラ-	カリギュラ	第2話で、式島律が、呼び出した友人たちを屋上から見下ろしていたビル。デジヘッドになった友人たちに襲撃され、佐竹笙悟に助けられていました。				ヨコハマシ	カ	14	1	2	
1026	0006	完了	神奈川県	横浜市	吉村家	220-0005	神奈川県横浜市西区南幸2-12-6		35.463403	139.616020	"https://www.google.co.jp/maps/@35.4634355,139.6158091,3a,15y,101.81h,91.85t/data=!3m6!1e1!3m4!1swDupibcAff1NJ01xZGD7ww!2e0!7i13312!8i6656"					045-322-9988	Caligula -カリギュラ-	カリギュラ	第1話で学校帰りの式島律が友人たちとラーメンを食べに来た店。守田鳴子のSNSで絶賛されていた明太濃厚トンコツバターラーメンを食べていましたが、実際にはないメニューです。作中では店名が「吉四六家」になっていました。				ヨコハマシ	カ	14	1	2	
1026	0007	完了	神奈川県	横浜市	横浜ポルタ　大階段エントランス	220-0011	神奈川県横浜市西区高島2		35.465274	139.623351	-						Caligula -カリギュラ-	カリギュラ	第1話の通学シーンで描かれていたエレベーター。				ヨコハマシ	カ	14	1	2	
1026	0008	完了	神奈川県	横浜市	横浜ポルタ　PORTA横濱三塔物語	220-0011	神奈川県横浜市西区高島2		35.465298	139.623311	-						Caligula -カリギュラ-	カリギュラ	オープニングに描かれていたゲート。				ヨコハマシ	カ	14	1	2	
1026	0009	完了	神奈川県	横浜市	横浜ランドマークタワー	220-0012	神奈川県横浜市西区みなとみらい2-2-1		35.454615	139.631486	"https://www.google.co.jp/maps/@35.4530968,139.6313317,3a,61.6y,4.72h,127.24t/data=!3m6!1e1!3m4!1s4NB9QZw5hIboOZfUsNHjqA!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第9話で、式島律たち帰宅部が、現実世界に戻るべく、アリアに教えられてやって来たメビウスで唯一外との空間を行き来できる「審判の扉」が頂上にある塔。				ヨコハマシ	カ	14	1	2	
1026	0010	完了	神奈川県	横浜市	平沼橋	220-0023	神奈川県横浜市西区平沼1-39		35.462012	139.618367	"https://www.google.co.jp/maps/@35.4615895,139.6188701,3a,37.7y,314.01h,91.58t/data=!3m6!1e1!3m4!1siierfg7yEYS7hhnAa2e7QA!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第2話で、佐竹笙悟とアリアと揉めている隙に逃げてきた式島律が水口茉莉絵に電話をかけ、他の人間にはデジヘッドが見えていないことをようやく認識できていた橋。				ヨコハマシ	カ	14	1	2	
1026	0011	完了	神奈川県	横浜市	横浜駅西口第八自転車駐車場	220-0073	神奈川県横浜市西区岡野1-1		35.462454	139.617309	"https://www.google.co.jp/maps/@35.4623959,139.6172694,3a,48.7y,26.86h,81.71t/data=!3m6!1e1!3m4!1sRpMS5rg5QqVQiGvVpXLn6Q!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第2話で、デジヘッドから逃げてきた式島律と佐竹笙悟が休憩していた場所。笙悟が律に事態を説明しようとするも上手く説明できず、アリアと揉めている間に律に逃げられていました。				ヨコハマシ	カ	14	1	2	
1026	0012	完了	神奈川県	横浜市	横浜平沼高等学校	220-0073	神奈川県横浜市西区岡野1-5-8		35.461492	139.614896	"https://www.google.co.jp/maps/@35.4610776,139.6153013,3a,61.5y,309.29h,108.77t/data=!3m6!1e1!3m4!1sLVIARUCQVNZmPIPNb0sVaA!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第1話で、式島律が通っていた「宮比市立吉志舞高等学校」のモデル。				ヨコハマシ	カ	14	1	2	
1026	0013	完了	神奈川県	横浜市	平岡橋	220-0073	神奈川県横浜市西区岡野2-1		35.460243	139.615096	"https://www.google.co.jp/maps/@35.4602898,139.6148142,3a,31.7y,103.99h,87.67t/data=!3m6!1e1!3m4!1s-9k2OXVNmJ2A10IickYGBQ!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第1話の通学シーンで、式島律が渡っていた橋。				ヨコハマシ	カ	14	1	2	
1026	0014	完了	神奈川県	横浜市	横浜開港150周年記念壁画 前	220-0073	神奈川県横浜市西区岡野1-8		35.462461	139.617155	"https://www.google.co.jp/maps/@35.4626204,139.6168687,3a,24y,122.58h,86.23t/data=!3m6!1e1!3m4!1sZ3uLyzZjk9V-8cBo1TjFng!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第1話で、学校帰りの式島律が、友人たちと視野狭窄について話していた場所。<br />第2話で、佐竹笙悟とアリアが、自分と律がデジヘッドから逃げる動画がネットにUPされているのを見ていたのもこの場所でした。<br />作中では壁画の絵柄が実際のものとは異なるものに描き変えられています。				ヨコハマシ	カ	14	1	2	
1026	0015	完了	神奈川県	横浜市	ブロンズ像「あら今日は」	220-8601	神奈川県横浜市西区南幸1-6		35.466156	139.621088	"https://www.google.co.jp/maps/@35.4663009,139.6211739,3a,15y,204.58h,91.58t/data=!3m6!1e1!3m4!1sGs0gQrOnDa_5VHl6LJRfmQ!2e0!7i13312!8i6656"						Caligula -カリギュラ-	カリギュラ	第12話ラストの現実世界のカットで描かれていたブロンズ像。				ヨコハマシ	カ	14	1	2	
