作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0391	0001	完了	茨城県	取手市	海老原ビル	302-0004	茨城県取手市取手2-2-8		35.894818	140.063120	"https://www.google.co.jp/maps/@35.8947903,140.0634249,3a,20.1y,286.92h,88.11t/data=!3m6!1e1!3m4!1s-boTsSTNTYMRs4JxONnbGA!2e0!7i13312!8i6656"	17.0		120	1.5		Charlotte	シャーロット	第7話で、妹を喪って以来引き籠っていた乙坂有宇が、マンションを抜け出し、誰にも見つからないように籠っていたマンガ喫茶の入っている設定のビルで、乙坂が気晴らしに出て来たシーンで、ビル前の様子が描かれていました。				トリデシ	シ	8	21	2	
0391	0002	完了	茨城県	取手市	長禅寺裏周辺	302-0004	茨城県取手市取手2-9		35.893103	140.063910	"https://www.google.co.jp/maps/@35.8930684,140.0639136,3a,36.5y,335.28h,85.21t/data=!3m6!1e1!3m4!1sVaBS6-VLkMs3_500sgt5gQ!2e0!7i13312!8i6656"	17.0		120	3		Charlotte	シャーロット	第7話Bパート冒頭の、マンガ喫茶に籠っていた乙坂有宇が、気晴らしに外出した街のカットで描かれていた場所。座標地点から北西方向を望む構図で描かれていました。				トリデシ	シ	8	21	2	
0391	0003	完了	茨城県	取手市	和食 割烹 天寿	302-0004	茨城県取手市取手2-9-17		35.894241	140.063754	"https://www.google.co.jp/maps/@35.8943171,140.063762,3a,72.4y,198.05h,88.93t/data=!3m6!1e1!3m4!1styWVtDqijAj8lQnPKVVm2g!2e0!7i13312!8i6656"	17.0		120	1.6	0297-73-2251	Charlotte	シャーロット	第7話で、マンガ喫茶に籠っていた乙坂有宇が、気晴らしに外出した際にみたらし団子を買った店のモデル。実際には団子屋ではなく料理屋です。作中では店名が「吉田屋」になっていました。				トリデシ	シ	8	21	2	
0391	0004	完了	茨城県	取手市	JR 取手駅	302-0014	茨城県取手市中央町1-1		35.896342	140.063269	"https://www.google.co.jp/maps/@35.8952819,140.0634749,3a,15y,289.91h,93.24t/data=!3m6!1e1!3m4!1sH8bsm51rFPHQ18KWou5Mzg!2e0!7i13312!8i6656!6m1!1e1"	13.0		120	3		Charlotte	シャーロット	第7話で、妹を喪って以来引き籠っていたマンションを抜け出した乙坂有宇が、びしょ濡れの男（能力者の居場所を突き止める能力者）に見つからないよう遠くへ逃げようと、あてもなくやって来た駅。				トリデシ	シ	8	21	2	
0391	0005	完了	茨城県	取手市	KINBASHA 取手店	302-0024	茨城県取手市新町2-1-31		35.896985	140.062437	"https://www.google.co.jp/maps/@35.8969427,140.0628413,3a,15y,269.28h,91.5t/data=!3m6!1e1!3m4!1svUNf7eDIJyLmxkwngvXWNw!2e0!7i13312!8i6656"	17.0		120	3	0297-71-3009	Charlotte	シャーロット	第7話で、マンガ喫茶に籠っていた乙坂有宇が、気晴らしの外出で見かけて「SILENT OF THE DEAD」というガンシューティングゲームにハマり、毎日やり続けていた駅前のゲームセンター。作中では店名が「KINGSHA」になっていました。	http://p-ken.jp/p-kinbashatoride/			トリデシ	シ	8	21	2	
0391	0006	完了	茨城県	取手市	parlor TOYO	302-0024	茨城県取手市新町2-5-7		35.897498	140.062427	"https://www.google.com/maps/@35.8973588,140.0624336,3a,46y,4.39h,99.37t/data=!3m6!1e1!3m4!1sVrYQIAPf5WZ5IBgSv_J--Q!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.9		Charlotte	シャーロット	第7話で、乙坂有宇が細山田率いる不良集団に取り囲まれ、能力を使ってあっという間に返り討ちにしていたのがこの店の前でした。作中では店名が「Parlor Tokyo」になっていました。				トリデシ	シ	8	21	2	
0391	0007	完了	千葉県	我孫子市	中峠亀田谷公園	270-1121	千葉県我孫子市中峠		35.872282	140.077667	"https://www.google.co.jp/maps/@35.8722863,140.0762961,3a,15y,38.94h,88.34t/data=!3m6!1e1!3m4!1sT8p0-OB13CQgBMxVzLdAfw!2e0!7i13312!8i6656"	17.0		120	3		Charlotte	シャーロット	第7話で、妹を喪って自暴自棄になった乙坂有宇が、挑んでくる不良たちを返り討ちにして、倒れ伏した不良たちの真ん中で高笑いをしていた公園。				アビコシ	シ	12	15	2	
0391	0008	完了	東京都	江東区	JR 新木場駅	136-0082	東京都江東区新木場1-5		35.645733	139.826344	"https://www.google.co.jp/maps/@35.6455578,139.8257169,3a,15y,63.79h,91.28t/data=!3m6!1e1!3m4!1smoZdLDh88epNecmxhHVxtw!2e0!7i13312!8i6656?hl=ja"	14		120	5		Charlotte	シャーロット	第9話で、「ZHIEND」の1DAY LIVEに行く乙坂有宇と友利奈緒が駅前で待ち合わせをしていた駅で、出入口階段を下りてくる乙坂の姿が描かれていました。				コウトウク	シ	13	8	2	
0391	0009	完了	東京都	江東区	千石橋	136-0082	東京都江東区新木場1-18		35.643078	139.824906	"https://www.google.co.jp/maps/@35.6436463,139.8250634,3a,22.2y,185.44h,91.04t/data=!3m6!1e1!3m4!1skeSGLt7mM3w6bAFJyVQIlA!2e0!7i13312!8i6656?hl=ja"	14		120	5		Charlotte	シャーロット	第9話で、「ZHIEND」の1DAY LIVEに行く乙坂有宇と友利奈緒が渡っていた橋で、リニアPCMレコーダー付きのモバイルバッテリーケースが買いたいからと急ぐ友利から、お揃いになってしまうから一緒のものを買わないようにと言われて、乙坂がヘコんでいました。				コウトウク	シ	13	8	2	
0391	0010	完了	東京都	江東区	STUDIO COAST	136-0082	東京都江東区新木場2-2-10		35.642350	139.824821	"https://www.google.co.jp/maps/@35.6421838,139.8247098,3a,64y,48.62h,92.7t/data=!3m7!1e1!3m5!1sK9_kOuXAqLoAAAAGOws53A!2e0!3e2!7i13312!8i6656?hl=ja"	17		120	1.3		Charlotte	シャーロット	第9話で、乙坂有宇と友利奈緒が行った「ZHIEND」の!DAY LIVEの会場。				コウトウク	シ	13	8	2	
