作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0495	0001	完了	北海道	札幌市	狸小路5 西側ゲートの下	060-0062	北海道札幌市中央区南二条西5		43.05686	141.349877	"https://www.google.co.jp/maps/@43.056942,141.349745,3a,75y,135.3h,97.91t/data=!3m4!1e1!3m2!1s86Ujlmwgdca-TyVB0Ara8g!2e0?hl=ja"	16.0		120	3		DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、黒の訓練を受けていた蘇芳が、黒の命令で能力を使わずに、絡んできたノリオの仲間たちと戦っていた場所。				サッポロシ	タ	1	1	1	
0495	0002	完了	北海道	札幌市	サンワード南2西5ビル 前	060-0062	北海道札幌市中央区南二条西5		43.057056	141.34977	"https://www.google.co.jp/maps/@43.056756,141.349792,3a,75y,343.82h,96.64t/data=!3m4!1e1!3m2!1sO5V_hiDLGH785GT7uAZyCg!2e0?hl=ja"	16.0		120	3		DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、蘇芳がノリオの仲間たちと戦っているのが誰かに通報されたらしく、パトカーが現場にやって来たシーンで描かれていた通り。				サッポロシ	タ	1	1	1	
0495	0003	完了	北海道	札幌市	ファミリーマート 札幌狸小路6丁目店 横（旧・匠ファームショップ）	060-0062	北海道札幌市中央区南二条西6	サンルートホテル1F	43.05691	141.349571	"https://www.google.co.jp/maps/@43.0567055,141.3498181,3a,15y,305.26h,89.28t/data=!3m6!1e1!3m4!1suQXDZiq92XC_6mZciCrcxA!2e0!7i13312!8i6656?hl=ja"	17.0		120		011-700-5099	DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、黒から戦闘訓練を受けてもなかなか上達しない蘇芳が、まずはインナーマッスルを鍛えた方が良いと、腰振りダンスをさせられていた場所。				サッポロシ	タ	1	1	1	
0495	0004	完了	北海道	札幌市	狸小路6 東側ゲートの下	060-0063	北海道札幌市中央区南三条西6		43.056832	141.349673	"https://www.google.co.jp/maps/@43.0568539,141.3497791,3a,48.8y,73.0h,119.0t/data=!3m7!1e1!3m5!1sCAoSLEFGMVFpcE94bGFxbml2VkJiVWJlaTIwenFmbTBHNENtZ25JUW55c1JhSlJK!2e10!3e11!7i7776!8i3888 "	16.0		120	1		DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、蘇芳がノリオの仲間たちと戦っていた場所。				サッポロシ	タ	1	1	1	
0495	0005	完了	北海道	札幌市	札幌45Lビル横の道	064-0804	北海道札幌市中央区南三条西4-11-3		43.055756	141.351692	"https://www.google.co.jp/maps/@43.0557093,141.3517001,3a,44.7y,79.05h,95.21t/data=!3m6!1e1!3m4!1sgRr0DpC1Oki4avOz7jdBNg!2e0!7i13312!8i6656"	17.0		120			DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話。蘇芳とジュライが隠れてパトカーをやり過ごしていたシーンで、向かい側の石川書店とそば処まる山の建物が描かれていました。				サッポロシ	タ	1	1	1	
0495	0006	完了	北海道	札幌市	札幌45Lビル 脇	064-0804	北海道札幌市中央区南四条西5		43.055733	141.351599	"https://www.google.co.jp/maps/@43.0558482,141.35164,3a,29.9y,181.42h,90.93t/data=!3m6!1e1!3m4!1s534ajl7h6Y5qi8nhsGY7fQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話。蘇芳が走っていた場所。現在は撤去されてしまいましたが、かつては作画にあるようなエアコンの室外機2台と自動販売機が建物側面にありました。				サッポロシ	タ	1	1	1	
0495	0007	完了	北海道	札幌市	NORBESA 前	064-0804	北海道札幌市中央区南四条西5-32		43.055874	141.351559	"https://www.google.co.jp/maps/@43.0556603,141.3517648,3a,50.9y,311.43h,103.57t/data=!3m6!1e1!3m4!1sH6fN53pRxUmKrCcDzDHHAQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.6		DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、黒の指示で、ノリオの仲間たちと戦ったせいで警察に追われることになった蘇芳が走っていた曲がりj角。				サッポロシ	タ	1	1	1	
0495	0008	完了	北海道	札幌市	だるま 本店 	064-0805	北海道札幌市中央区南五条西4	クリスタルビル1F	43.053855	141.352437	"https://www.google.co.jp/maps/@43.053853,141.3523965,2a,90y,63.62h,89.74t/data=!3m7!1e1!3m5!1sMaEjVaoUvpjlE5g3FRSJJA!2e0!3e11!7i13312!8i6656?hl=ja"	17.0		120		011-552-6013	DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、札幌にやって来た黒と蘇芳とジュライの3人がレバノンと出会うシーンの冒頭で描かれていた店で、店脇からうんこをした猫を怒鳴りながら追いかけてレバノンが出てきました。作中では店名が「かるまや」になっていました。	http://best.miru-kuru.com/daruma/			サッポロシ	タ	1	1	1	
0495	0009	完了	北海道	札幌市	クリスタルビル 前 	064-0805	北海道札幌市中央区南五条西4		43.053743	141.352425	"https://www.google.co.jp/maps/@43.053853,141.3523965,2a,90y,183.04h,88.6t/data=!3m7!1e1!3m5!1sMaEjVaoUvpjlE5g3FRSJJA!2e0!3e11!7i13312!8i6656?hl=ja"						DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、札幌にやって来た黒と蘇芳とジュライの3人がレバノンと遭遇していた場所。				サッポロシ	タ	1	1	0	
0495	0010	完了	北海道	札幌市	クリスタルビル横の細道	064-0805	北海道札幌市中央区南五条西4		43.053886	141.352389	"https://www.google.co.jp/maps/@43.053853,141.3523965,2a,35y,14.18h,98.68t/data=!3m7!1e1!3m5!1sMaEjVaoUvpjlE5g3FRSJJA!2e0!3e11!7i13312!8i6656?hl=ja"						DARKER THAN BLACK -流星の双子-	ダーカーザンブラックリュウセイノジェミニ	第4話で、ノリオの仲間たちと戦ったせいで警察に追われることになり、ジュライの案内で逃げていた蘇芳が、腹痛でへたり込んでしまったところへ、レバノンが通りかかった場所。				サッポロシ	タ	1	1	1	
