作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0560	0001	完了	東京都	千代田区	日比谷公園 かもめの広場	100-0012	東京都千代田区日比谷公園1		35.672217	139.753413	"https://www.google.co.jp/maps/@35.672329,139.753541,3a,75y,255.97h,86.99t/data=!3m5!1e1!3m3!1sSg2YBmg_W4OPidVNuN28YA!2e0!3e5?hl=ja"	17		120	1	03-3501-6428	DEATH NOTE	デスノート	第7話で夜神月が、南空ナオミと訪れた公園。霞が関一丁目交差点から歩き始め、霞が関二丁目交差点を左折して公園まで歩くシーンで周囲の風景が忠実に描かれていました。				チヨダク	テ	13	17	2	
0560	0002	完了	東京都	千代田区	霞ヶ関一丁目交差点	100-8974	東京都千代田区霞が関2-1		35.67486	139.751297	"https://www.google.co.jp/maps/@35.674732,139.751442,3a,75y,307.09h,91.44t/data=!3m4!1e1!3m2!1swkv5ILBcbbpp3Ttkh7bWOw!2e0?hl=ja"	17		120	3		DEATH NOTE	デスノート	第6話で、夜神月が南空ナオミから名前を聞き出そうとして、「間木照子」という偽名で名乗られていた場所。				チヨダク	テ	13	17	2	
0560	0003	完了	東京都	千代田区	中央合同庁舎2号館	100-8974	東京都千代田区霞が関2-1-2		35.675553	139.751275	"https://www.google.co.jp/maps/@35.674627,139.751837,3a,75y,335.96h,127.53t/data=!3m4!1e1!3m2!1sPTM3gMrG4r18gsLBAIl1Fg!2e0?hl=ja"	17		120	1.5		DEATH NOTE	デスノート	第6話で南空ナオミが訪れ夜神月と出会う、「キラ」事件の捜査本部が設置された警察庁のある中央省庁の合同庁舎。				チヨダク	テ	13	17	2	
0560	0004	完了	東京都	千代田区	東京メトロ 霞ヶ関駅 A2出入口前	100-8974	東京都千代田区霞が関2-1-2		35.67503	139.751533	"https://www.google.co.jp/maps/@35.6750499,139.751648,3a,75y,296.23h,89.04t/data=!3m4!1e1!3m2!1sofTbwklt4ds0g53voPfQaw!2e0?hl=ja"	17		120	1		DEATH NOTE	デスノート	第7話で夜神月が、南空ナオミの本名を探り「デスノート」に彼女の名前を書き込んだ場所。				チヨダク	テ	13	17	2	
0560	0005	完了	東京都	千代田区	霞ヶ関二丁目交差点	100-8974	東京都千代田区霞が関2-2		35.673315	139.750369	"https://www.google.co.jp/maps/@35.673273,139.750488,3a,75y,301.99h,89.25t/data=!3m4!1e1!3m2!1szvHjsLYVpaz42INY09YNJQ!2e0?hl=ja"	17		120	2.3		DEATH NOTE	デスノート	第6話で南空ナオミが夜神月に、自分が推理した「キラ」の秘密（「キラ」が心臓麻痺以外でも殺せること）とその推理過程を話していた場所。				チヨダク	テ	13	17	2	
0560	0006		東京都	千代田区	帝国ホテル	100-8558	東京都千代田区内幸町1-1-1		35.672341	139.758334	"https://www.google.co.jp/maps/@35.673266,139.757402,3a,75y,152.64h,109.96t/data=!3m5!1e1!3m3!1s9dS9hqUnLOWeBA4mauNScw!2e0!3e5?hl=ja"	16		120	1.2	03-3504-1111	DEATH NOTE	デスノート	Ｌが捜査本部の人間と会った時に泊まっていたホテル。				チヨダク	テ	13	17	2	
0560	0007	完了	東京都	港区	青山2丁目交差点	107-0062	東京都港区南青山2		35.67191	139.720964	"https://www.google.co.jp/maps/@35.671715,139.721083,3a,75y,346.23h,89.81t/data=!3m4!1e1!3m2!1sJ0_fzU501wWtGfAChA456Q!2e0?hl=ja"	17		120	3		DEATH NOTE	デスノート	第13話で第2の「キラ」弥海砂と接触すべく夜神月らが青山に来るシーンの冒頭挿入カットで描かれていた交差点。奥に神宮外苑の銀杏並木が描かれていました。				ミナトク	テ	13	22	2	
0560	0008		東京都	港区	青山2丁目交差点の道路名標識	107-0062	東京都港区南青山2		35.671884	139.720872	"https://www.google.co.jp/maps/@35.671827,139.721014,3a,15y,272.11h,95.5t/data=!3m4!1e1!3m2!1soB3d2nbKwfzvjyNWvkmvvQ!2e0"	18		120	5		DEATH NOTE	デスノート	第8話。都道414号と青山通り（国道246号）の道路名が書かれた標識。				ミナトク	テ	13	22	2	
0560	0009	完了	東京都	港区	BLUE NOTE TOKYO	107-0062	東京都港区南青山6-3-16	ライカビル	35.661156	139.716152	"https://www.google.co.jp/maps/@35.661314,139.716092,3a,75y,170.46h,97.47t/data=!3m4!1e1!3m2!1sfDhDbVu485ZD3eOuS42o6g!2e0?hl=ja"	18		120	3		DEATH NOTE	デスノート	第13話で第2の「キラ」弥海砂が、「キラ」を見つけるために誘き寄せた店。海砂は店近くの喫茶店から監視して夜神月を発見したため、実際に月が店に行くシーンは描かれず、月がネットで店の情報を調べていた際に入口外観が出てきましたのみになります。作中では店名が「NOTE BLUE」に変えられていました。	http://www.bluenote.co.jp/	http://www.bluenote.co.jp/		ミナトク	テ	13	22	2	
0560	0010	完了	東京都	文京区	東京大学 正門	113-0033	東京都文京区本郷7-3-1		35.712942	139.759647	"https://www.google.co.jp/maps/@35.7128891,139.7593971,3a,75y,68.46h,96.09t/data=!3m4!1e1!3m2!1sR6e4LB9XFo3-oDAk37rlww!2e0?hl=ja"	17		120	3		DEATH NOTE	デスノート	第9話の夜神月の入試のシーンで描かれていた門。				ブンキョウク	テ	13	21	2	
