作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0566	0001	完了	北海道	札幌市	野幌森林公園（開拓記念公園） 北海道百年記念塔	004-0006	北海道札幌市厚別区厚別町小野幌‎		43.056487	141.496342	"https://www.google.co.jp/maps/@43.0543219,141.4919079,3a,15y,56.52h,96.84t/data=!3m6!1e1!3m4!1sMZL9vRaFxu4Vm7EYkRiN2w!2e0!7i13312!8i6656"	13.0		120	3		DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第9話で、第5のセプテントリオン迎撃のため、伴亜衣梨によるカーマ召喚システムの施設が設営されていた場所。				サッポロシ	テ	1	1	1	
0566	0002	完了	北海道	札幌市	札幌テレビ塔	060-0042	北海道札幌市中央区大通西1-3		43.061093	141.356411	"https://www.google.co.jp/maps/@43.0609313,141.3552527,3a,54.7y,78.96h,118.59t/data=!3m7!1e1!3m5!1sFQPf8ox_O2m5gdR0iI4esw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DFQPf8ox_O2m5gdR0iI4esw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D101.04845%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?hl=ja"	16.0		120			DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第9話で、第5のセプテントリオンが上空に出現した札幌のカットで登場。<br />九条緋那子によるシヴァ召喚システムの設備が設営されていたのもこの塔の前でした。				サッポロシ	テ	1	1	1	
0566	0003	完了	北海道	札幌市	大通公園	060-0042	北海道札幌市中央区大通西2		43.06085	141.354411	-			0			DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第9話で、第5のセプテントリオン迎撃のため、九条緋那子によるシヴァ召喚システムの設備が設営されていた場所。<br />周囲のビル、ガラス張りの地下街出入口、札幌丸井今井札幌本店一条館、住友成泉札幌大通ビル、NTT4丁目ビルなどの公園周辺のビル郡などが描かれていました。				サッポロシ	テ	1	1	1	
0566	0004	完了	北海道	札幌市	創成トンネル	064-0804	北海道札幌市中央区南四条西1		43.056099	141.358206	"https://www.google.co.jp/maps/@43.0557862,141.3583138,3a,19.9y,344.49h,93.85t/data=!3m7!1e1!3m5!1s2VXW7exhfXBPSu_dIEm5Zw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3D2VXW7exhfXBPSu_dIEm5Zw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D357.70062%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?hl=ja"	17.0		120	2		DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第9話で、第5のセプテントリオンのコア破壊任務を終えた伴亜衣梨を乗せたジプスの車が、避難するシーンで登場したトンネル。				サッポロシ	テ	1	1	1	
0566	0005	完了	北海道	札幌市	南七条大橋	064-0807	北海道札幌市中央区南七条西1		43.052481	141.361964	-	15.0		0			DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第9話の第5のセプテントリオン襲来シーンで、橋の東側上空からすすきのの街方向を見下ろす構図で描かれていました。				サッポロシ	テ	1	1	1	
0566	0006	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675897	139.744805	"https://www.google.co.jp/maps/@35.6765235,139.747767,3a,18.6y,255.14h,98.1t/data=!3m7!1e1!3m5!1sbSEnLemzxxFa76iTpqHLjQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DbSEnLemzxxFa76iTpqHLjQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D118.197754%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"	15		0			DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第2話でジプスに拘束された久世響希たちが連れて来られた場所で、地下にジプス東京支局がある設定になっていました。第5話では迫真琴の回想シーンで登場。第7話でも菅野史の転送実験のシーンで登場。第9話でもワンカット登場。第11話では新田維緒を乗っ取ったルーグがジプスを襲撃したシーンで登場しました。				チヨダク	テ	13	17	2	
0566	0007	完了	東京都	港区	SL広場	105-0004	東京都港区新橋2		35.66709	139.757399	"https://www.google.co.jp/maps/@35.6668929,139.7573987,3a,20.3y,358.34h,91.61t/data=!3m6!1e1!3m4!1sNKhaxg-BQf5YkJx7Od9Axg!2e0!7i13312!8i6656"	18		0			DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第1話で渋谷から非難してきた久世響希、志島大地、新田維緒の3人が休憩していたところへ、上空より飛来した悪魔が無差別攻撃をはじめ、久世響希がビャッコを初めて召喚した場所。セプテントリオンが降りたのは交番横辺りになります。				ミナトク	テ	13	22	2	
0566	0008	完了	東京都	港区	ドラッグインキムラヤ新橋日比谷口店	105-0004	東京都港区新橋2-17-32		35.666879	139.757835	"https://www.google.co.jp/maps/@35.6668591,139.7576419,3a,49.2y,93.04h,87.96t/data=!3m6!1e1!3m4!1sz0-e6DMgrbFcWJdbKSsvsw!2e0!7i13312!8i6656"	17		120	2		DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第1話で久世響希、志島大地、新田維緒の3人がいた新橋のシーンで、人々が行列を作っていた店。災害後の夜のシーンとあって看板しか確認できず、周囲の様子も異なるようですが、看板に使われている「ム」「ラ」のロゴが一致します。作中では店名が「ドラッグ・ストア キタムラ」になっていました。				ミナトク	テ	13	22	2	
0566	0009	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658599	139.745417	"https://www.google.co.jp/maps/@35.6559889,139.7459773,3a,44.1y,351.05h,116.8t/data=!3m6!1e1!3m4!1sRiDQbOErMzR9Oh12rr8NhQ!2e0!7i16384!8i8192"	17		0			DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第8話で峰津院大和が、三位一体のセプテントリオンの内の1体を、このタワーの前で待ち構えていました。	http://www.tokyotower.co.jp/	http://www.tokyotower.co.jp/		ミナトク	テ	13	22	2	
0566	0010	完了	東京都	港区	六本木通り（フジフィルム西麻布ビル2号館前）	106-0031	東京都港区西麻布2-26		35.659497	139.719317	"https://www.google.co.jp/maps/@35.6595317,139.7191601,3a,32.2y,84.42h,97.45t/data=!3m6!1e1!3m4!1svCvtiHja4Z-DAm2u_fWJKg!2e0!7i16384!8i8192"	17		120	1.5		DEVIL SURVIVOR 2 THE ANIMATION	デビルサバイバーツージアニメーション	第1話で第1のセプテントリオン襲来により破壊された街のカットで描かれていた場所。				ミナトク	テ	13	22	2	
