作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0741	0007	完了	東京都	世田谷区	世田谷美術館	157-0075	東京都世田谷区砧公園1-2		35.631696	139.621915	"https://www.google.co.jp/maps/@35.6312472,139.6217114,3a,49.4y,54.97h,97.02t/data=!3m6!1e1!3m4!1sSk5gUZp15zpTk1v0iEGYww!2e0!7i13312!8i6656"	15.0				03-3415-6011	Fate/Zero（1stシーズン）	フェイトゼロ	第2話で、ライダーが世界地図とイリアス（ホメロスの長編叙事詩）を略奪した図書館のモデル。	http://www.setagayaartmuseum.or.jp/	http://www.setagayaartmuseum.or.jp/		セタガヤク	フ	13	14	2	
0741	0008	完了	東京都	世田谷区	砧公園　東屋	157-0075	東京都世田谷区砧公園1-1		35.629876	139.623261	"https://www.google.co.jp/maps/@35.6299414,139.6232654,3a,59.6y,201.17h,74.48t/data=!3m6!1e1!3m4!1sVABelMxsqoou8CncLgntow!2e0!7i13312!8i6656"	13.0					Fate/Zero（1stシーズン）	フェイトゼロ	第1話の回想シーンで、遠坂凛を連れて訪れていた遠坂葵が出張から帰郷した間桐雁夜と会っていた公園。<br />第10話では、雁夜がキャスターの使い魔から助けた凛を東屋のベンチに寝かせ、葵に保護させていました。	http://www.tokyo-park.or.jp/park/format/index004.html	http://www.tokyo-park.or.jp/park/format/index004.html		セタガヤク	フ	13	14	2	
0741	0020	完了	東京都	世田谷区	砧公園　入口	157-0075	東京都世田谷区砧公園1-1		35.629234	139.625562	"https://www.google.com/maps/@35.6291907,139.6253608,3a,17y,88.94h,88.22t/data=!3m6!1e1!3m4!1s3EcEFlM0dVstI3LNgFg63Q!2e0!7i13312!8i6656"				5		Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、遠坂葵が行方不明のクラスメイトを探すために夜の冬木の街に行った遠坂凛を探していた場所。				セタガヤク	フ	13	14	2	
0741	0009	完了	東京都	中野区	中野サンプラザ 前	164-0001	東京都中野区中野4-1-1		35.707346	139.66511	"https://www.google.co.jp/maps/@35.7074478,139.6652353,3a,36y,237.75h,91.05t/data=!3m6!1e1!3m4!1sLFpCCov35J4a6Gdid6JXtQ!2e0!7i13312!8i6656"						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、遠坂凛の活躍で雨生龍之介のアジトから解放された子供たちが警察に保護されていた場所。				ナカノク	フ	13	19	2	
0741	0024	完了	東京都	中野区	北口駅前広場　ゴミ箱	164-0001	東京都中野区中野5-31		35.706301	139.665896	"https://www.google.com/maps/@35.7062275,139.6657903,3a,15y,33.48h,85.87t/data=!3m6!1e1!3m4!1sUJWGOuFJY5CT-yPpsC3kmw!2e0!7i13312!8i6656"				5		Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、遠坂凛が行方不明になったクラスメイトのコトネを探しに来た冬木の街のカットの一つで、駅前の広場にあるゴミ箱が描かれていました。<br />※2012年の再整備により撤去済。				ナカノク	フ	13	19	2	撤去
0741	0012	完了	東京都	中野区	路地裏（ガス給湯器）	164-0001	東京都中野区中野5-55		35.708836	139.666249	-						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、魔力を探知する魔道具を使って行方不明になったクラスメイトのコトネを探す遠坂凛が、子供を連れた雨生龍之介を発見し、隠れて様子を伺っていた場所。<br />建物裏の給湯器やメーター類のある場所から北京亭の方を覗き込んでいました。				ナカノク	フ	13	19	2	
0741	0013	完了	東京都	中野区	スパイダー	164-0001	東京都中野区中野5-56-15		35.708322	139.666295	"https://www.google.com/maps/@35.7082959,139.6662524,3a,27.9y,58.99h,91.28t/data=!3m6!1e1!3m4!1s5EOtEOgWU4nFJDWv-j8x3Q!2e0!7i13312!8i6656"				4	03-3389-7778	Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、行方不明になったクラスメイトのコトネを探しに来た冬木の街で、子供を連れた雨生龍之介を尾行する遠坂凛が店前を横切る姿が描かれていました。<br />作中では店名が「bullet」に変えられていましたが、蜘蛛の巣状のガラスドアが再現されています。				ナカノク	フ	13	19	2	
0741	0011	完了	東京都	中野区	グランパ中野横の電信柱	164-0001	東京都中野区中野5-60		35.707506	139.665926	"https://www.google.com/maps/@35.7075115,139.6659279,3a,38.5y,200.92h,158.75t/data=!3m7!1e1!3m5!1s_hv9Yf58uhGZuNU_5cqRBw!2e0!5s20180701T000000!7i13312!8i6656"						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、魔力を探知する魔道具を使って行方不明になったクラスメイトのコトネを探す遠坂凛が見ていた、大通りから魔道具が指し示す路地のカットで描かれていた電柱。<br />作中では左右反転して、季味也（作中では「上志津」）の看板越しに電柱が描かれていました。<br />※季味也は閉店済。				ナカノク	フ	13	19	2	
0741	0034	完了	東京都	中野区	ユニットビル裏の路地	164-0001	東京都中野区中野5-61		35.706949	139.665957	"https://www.google.com/maps/@35.706995,139.6659437,3a,43.6y,166.62h,85.96t/data=!3m6!1e1!3m4!1sPu7t97r8dk8baApthFpKHg!2e0!7i13312!8i6656"						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、魔力を探知する魔道具を使って行方不明になったクラスメイトのコトネを探す遠坂凛が見ていた、大通りから魔道具が指し示す路地のカットで描かれていた場所。<br />作中では、コンビニと吉野家の間の路地という設定のため、画面左手前にコンビニが描き足されています。				ナカノク	フ	13	19	2	
0741	0014	完了	東京都	中野区	中野サンモール商店街 ゲート	164-0001	東京都中野区中野5-63		35.706482	139.665767	"https://www.google.co.jp/maps/@35.7063394,139.6657073,2a,33y,23.37h,106.21t/data=!3m6!1e1!3m4!1ss8s2EtCZehfsrBMOpojoog!2e0!7i13312!8i6656"						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、遠坂凛が行方不明になったクラスメイトのコトネを探しに来た冬木の街のカットの一つで、商店街前が描かれていました。				ナカノク	フ	13	19	2	
0741	0010	完了	東京都	中野区	路地（Sarto 中野店前）	164-0001	東京都中野区中野5-63		35.706565	139.665899	-						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、魔力を探知する魔道具を使って行方不明になったクラスメイトのコトネを探す遠坂凛が、子供の手を引いて歩く雨生龍之介を発見していた路地。				ナカノク	フ	13	19	2	
0741	0015	完了	東京都	中野区	中野通り	164-0001	東京都中野区中野5-64		35.706935	139.665362	"https://www.google.co.jp/maps/@35.7070643,139.6652056,3a,38y,101.51h,91.09t/data=!3m6!1e1!3m4!1sFBq7VpMchvFRC4c3ndUifg!2e0!7i16384!8i8192"						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、行方不明になったクラスメイトのコトネを探しに来た遠坂凛が走っていた場所。<br />駅前からこの道を北上しており、この後、野村證券（作中では「佐倉証券」）や吉野家の前を通過していました。				ナカノク	フ	13	19	2	
0741	0016	完了	東京都	中野区	てんや中野店横の路地	164-0001	東京都中野区中野5-65		35.707501	139.665324	-						Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、誘拐されていた子供たちが警察に保護されるのを確認した遠坂凛が、自分に近づく脅威に気づき恐怖していた路地。<br />キャスターの使い魔に襲われそうになったところを、間桐雁夜に助けられていました。				ナカノク	フ	13	19	2	
0741	0018	完了	東京都	中野区	吉野家 中野北口店 横	164-0001	東京都中野区中野5-66		35.707679	139.665296	"https://www.google.com/maps/@35.7077645,139.6651983,3a,15y,137.5h,84.99t/data=!3m6!1e1!3m4!1suqDWv6LZ6X7HQ2KYNXjMKA!2e0!7i16384!8i8192"				5		Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、魔力を探知する魔道具を使って行方不明になったクラスメイトのコトネを探す遠坂凛が、大通りから魔道具が指し示す路地へ入って行った場所。				ナカノク	フ	13	19	2	
0741	0017	完了	東京都	杉並区	高円寺駅前交番	166-0002	東京都杉並区高円寺北2-5-1		35.705540	139.650390	"https://www.google.com/maps/@35.7057304,139.6502111,3a,15y,141.19h,89.64t/data=!3m6!1e1!3m4!1sBvY30c9Ob2DfuAQ9RJ_p1A!2e0!7i13312!8i6656"				5		Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、遠坂凛が行方不明になったクラスメイトのコトネを探しに来た冬木の街のカットの一つで描かれていた交番。				スギナミク	フ	13	12	2	
0741	0019	完了	東京都	豊島区	ジュンク堂書店池袋本店	171-0022	東京都豊島区南池袋2-15-5		35.726863	139.712244	-	16.0				03-5956-6111	Fate/Zero（1stシーズン）	フェイトゼロ	第13話で、ライダーと街に来たウェイバー・ベルベットが、イスカンダルの伝記（『ALEXANDER THE GREAT』）を立ち読みしていた書店のモデル。	http://www.junkudo.co.jp/tenpo/shop-ikebukuro.html	http://www.junkudo.co.jp/tenpo/shop-ikebukuro.html		トシマク	フ	13	18	2	
0741	0022	完了	東京都	武蔵野市	BAR ZEBEC	180-0003	東京都武蔵野市吉祥寺南町１-1-9	FSビルB1	35.702877	139.577804	"https://www.google.com/maps/@35.7028523,139.5778117,2a,53.5y,10.58h,80.5t/data=!3m6!1e1!3m4!1ssHmEcGpUVpNwfMAyFo6-Aw!2e0!7i13312!8i6656"					0422-41-0714	Fate/Zero（1stシーズン）	フェイトゼロ	第10話で、行方不明になったクラスメイトのコトネを探しに冬木の街に来た遠坂凛が、子供を連れた雨生龍之介を尾行して侵入した店のモデル。<br />地下の店へと続く階段や店内まで忠実に再現されていました。				ムサシノシ	フ	13	48	2	
