作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1277	0001	完了	東京都	台東区	上野恩賜公園　大噴水（貯水池）	110-0007	東京都台東区上野公園1		35.716569	139.774807	"https://www.google.co.jp/maps/@35.716316,139.774668,3a,45y,291.58h,89.59t/data=!3m6!1e1!3m4!1sPZo_emeuqi4AAAQfCVqtNg!2e0!3e11!5s20150201T000000"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第21話で、ギルガメッシュがセイバーたちに、自らの目的がこの時代の人間の一掃であることを語っていたシーンの挿入カットで描かれていた長閑な公園のモデル。<br />貯水池越しに東京国立博物館が描かれていました。				タイトウク	フ	13	15	2	
1277	0002	完了	東京都	新宿区	NTT東日本 新宿本社ビル 屋上	160-0023	東京都新宿区西新宿3-19-2		35.683552	139.688040	"https://www.google.com/maps/@35.6837745,139.6885805,148a,35y,239.01h,68.64t/data=!3m1!1e3"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	オープニングで遠坂凛が屋上にいたビルのモデルで、左右反転して描かれています。				シンジュクク	フ	13	11	2	
1277	0003	完了	東京都	多摩市	住宅地（いろは坂通り）	206-0013	東京都多摩市桜ケ丘3-41		35.637662	139.439303	"https://www.google.com/maps/@35.6374873,139.4394398,3a,43y,315.83h,82.94t/data=!3m6!1e1!3m4!1s4Ps9hRik6VPyE4Lo0lo10w!2e0!7i16384!8i8192"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第18話の遠坂凛がアーチャーの生前を語るシーンで描かれていた住宅地。第1シリーズでキャスターによる殺人事件が起こっていた場所です。<br />過去のおぼろげな記憶の断片という演出で不鮮明なエフェクト処理されています。				タマシ	フ	13	35	2	
1277	0004	完了	神奈川県	横浜市	横浜外国人墓地	231-0862	神奈川県横浜市中区山手町96		35.439448	139.652453	"https://www.google.com/maps/@35.4393414,139.6525158,3a,44y,297.18h,94.69t/data=!3m6!1e1!3m4!1sv-5wVbrLAcuH79FI6LX9_g!2e0!7i16384!8i8192"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第22話で、対ギルガメシュ戦のため、遠坂凛が衛宮士郎に魔力供給できるよう魔術回路を移植した際に士郎に流れ込んできた凛の記憶の一部のイメージカットで、凛のち父・遠坂時臣が葬られた墓地として描かれていました。				ヨコハマシ	フ	14	1	2	
1277	0005	完了	神奈川県	藤沢市	遊行寺（清浄光寺）	251-0001	神奈川県藤沢市西富1-8-1		35.348448	139.488690	"https://www.google.co.jp/maps/@35.3479579,139.4881749,3a,30.6y,40.91h,99.02t/data=!3m6!1e1!3m4!1seVQjkeZnmq6dHBzIvTcL_w!2e0!7i13312!8i6656"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第23話で、衛宮士郎たちが聖杯破壊のために潜入し、ギルガメッシュと対決していた「柳洞寺」のモデル。<br />セイバーが参道の石段でアサシンと対決していましたが、実際の参道は石段ではなく石畳のスロープ状の坂道になっています。				フジサワシ	フ	14	15	2	
1277	0006	完了	千葉県	千葉市	スカイウェイから望むビル群	261-0023	千葉県千葉市美浜区中瀬1		35.649465	140.041069	"https://www.google.com/maps/@35.6494458,140.0410518,2a,54y,332.14h,101.17t/data=!3m6!1e1!3m4!1sKWuP4x4s-fKG_E2r2AHw3A!2e0!7i13312!8i6656"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第13話で、衛宮士郎が遠坂凛を探していたシーンの冒頭カットで、座標地点から北側を望む構図で、イオンタワー アネックス、エム・ベイポイント幕張、幕張テクノガーデン（西高層館B棟）などのビル群が描かれていました。				チバシ	フ	12	1	2	
1277	0007	完了	千葉県	千葉市	幕張テクノガーデン ガーデンプラザ	261-0023	千葉県千葉市美浜区中瀬1-3		35.650011	140.041554	"https://www.google.co.jp/maps/@35.6498731,140.0415439,3a,34y,1.28h,90.69t/data=!3m6!1e1!3m4!1sv4BcXEkVE1r8F-gKYaDEQA!2e0!7i16384!8i8192"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第21話のアーチャーと衛宮士郎との戦いにおいて、アーチャーの正論に士郎が「偽善だとわかっていても、そんな生き方に憧れた」と揺るがない決意を口にするシーンの挿入カットで、子供時代の士郎が立つ姿が描かれていた場所。<br />作中では、モニュメント（LENS）が削除されています。<br />士郎が空を見上げるカットでは、イオンタワーAnnex、イオン本社ビル、NTT幕張ビル、幕張テクノガーデンなどのビルが描かれていました。				チバシ	フ	12	1	2	
1277	0008	完了	千葉県	千葉市	スカイウェイ	261-0021	千葉県千葉市美浜区ひび野1		35.649312	140.041355	"https://www.google.com/maps/@35.6493639,140.0411423,2a,36.9y,96.46h,87.47t/data=!3m6!1e1!3m4!1sgVX14d9RxZh4Vcw0US5U3g!2e0!7i13312!8i6656"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第13話で、遠坂凛を探す衛宮士郎が、凛が行きそうな場所が思いつかず、気は進まないが教会にいる言峰綺礼を頼ろうと考えていた場所。<br />第23話で、冬木市上空に出現した大穴に、人間の悪性たる願いが光の筋となって集まってくる様子が描かれていたシーンでも、同じ構図のカットが描かれていました。				チバシ	フ	12	1	2	
1277	0009	完了	千葉県	千葉市	海浜幕張駅南口広場	261-0021	千葉県千葉市美浜区ひび野2-110		35.648021	140.041141	"https://www.google.co.jp/maps/@35.6480903,140.0412008,2a,40y,209.9h,84.84t/data=!3m6!1e1!3m4!1s7tcSJmm-bjgsCRv-Z2_iuQ!2e0!7i13312!8i6656"						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第18話の遠坂凛がアーチャーの生前を語るシーンで描かれていた駅前風景の場所。<br />過去のおぼろげな記憶の断片という演出で大分エフェクト処理されているため不鮮明ですが、連絡通路に階段などが確認できます。生前のアーチャー（衛宮士郎）が座っている花壇には、実際には無いオブジェが描き足されていました。				チバシ	フ	12	1	2	
1277	0010	完了	千葉県	千葉市	日本基督教短期大学	263-0003	千葉県千葉市稲毛区小深町90-3		35.656961	140.150522	-						Fate/stay night [Unlimited Blade Works]（2ndシーズン）	フェイトステイナイトアンリミテッドブレイドワークス	第18話の遠坂凛がアーチャーの生前を語るシーンで描かれていた、衛宮士郎や遠坂凛たちが通う「穂群原学園」のモデル。<br />過去のおぼろげな記憶の断片という演出で不鮮明なエフェクト処理されています。<br />※2008年に廃校となり、キャンパスは解体済。現在は住宅地になっています。				チバシ	フ	12	1	2	
