作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0739	0002	完了	東京都	大田区	ぷらもーる梅屋敷商店街（みつぐカメラ店前）	143-0015	東京都大田区大森西6		35.567404	139.727801	"https://www.google.com/maps/@35.5674018,139.7278022,3a,90y,2.43h,89.81t/data=!3m6!1e1!3m4!1sTzwPnoJWWD1Au90OaZsglA!2e0!7i16384!8i8192"	17			1		Fate/stay night	フェイトステイナイト	第10話で、衛宮士郎が食料の買い出しに来て遭遇したとイリヤ（イリヤスフィール・フォン・アインツベルン）と歩いていた商店街のモデル。<br />みつぐカメラ店やフラワーショップ 夢やの前を、自転車を押す士郎とその後ろをついて歩くイリヤの姿が描かれていました。				オオタク	フ	13	5	2	
0739	0003	完了	東京都	多摩市	いろは坂	206-0013	東京都多摩市桜ヶ丘1		35.646089	139.445986	"https://www.google.com/maps/@35.6461733,139.4463556,3a,15.9y,253.28h,97.45t/data=!3m6!1e1!3m4!1s7PdRf_gpgrgeKs_zhCrrxA!2e0!7i16384!8i8192"	13.0			5		Fate/stay night	フェイトステイナイト	第24話の通学シーンで、途中で一緒になった遠坂凛と一緒に学校に向かう衛宮士郎が、世間話をしながら歩いていた場所。<br />振り返ってもっと落ち込んでいるかと思ったと言う凛に、士郎が未練なんかないと言い切っていました。				タマシ	フ	13	35	2	
0739	0014	完了	神奈川県	藤沢市	遊行寺（清浄光寺）	251-0001	神奈川県藤沢市西富1-8-1		35.348448	139.488690	"https://www.google.co.jp/maps/@35.3479579,139.4881749,3a,30.6y,40.91h,99.02t/data=!3m6!1e1!3m4!1seVQjkeZnmq6dHBzIvTcL_w!2e0!7i13312!8i6656"						Fate/stay night	フェイトステイナイト	第9話で、キャンサーが神殿（陣地）としていた「柳桐寺」のモデル。キャンサーが使役して門番としていたアサシンとセイバーが戦っている間に、ライダーがキャンサーを襲撃するも退けられていました。<br />第23～24話では、「柳桐寺」でイリヤ（イリヤスフィール・フォン・アインツベルン）を使って「聖杯」召喚の儀式を行おうとする言峰綺礼とギルガメッシュと、それを阻止しようとする衛宮士郎とセイバーの決戦の場となっていました。				フジサワシ	フ	14	15	2	
0739	0012	完了	千葉県	千葉市	松籟亭	261-0021	千葉県千葉市美浜区ひび野2-116	見浜園	35.643208	140.039522	-						Fate/stay night	フェイトステイナイト	衛宮士郎が亡き義父・衛宮切嗣から譲り受けて暮らしている屋敷の母屋モデル。 				チバシ	フ	12	1	2	
0739	0013	完了	千葉県	千葉市	NTT幕張ビル（現・エム・ベイポイント幕張）	261-0023	千葉県千葉市美浜区中瀬1-6		35.652126	140.039748	"https://www.google.com/maps/@35.6517647,140.039444,2a,24.9y,16h,98.54t/data=!3m6!1e1!3m4!1sfz-MztCJvfx86EaKdJkKAw!2e0!7i13312!8i6656"				4		Fate/stay night	フェイトステイナイト	第12話で、間桐慎二とライダーを探して街を回っていた衛宮士郎とセイバーが、ライダーの襲撃を受けた場所で、ビルの屋上がセイバーとライダーの決戦の場となっていました。				チバシ	フ	12	1	2	
0739	0001	完了	千葉県	千葉市	日本基督教短期大学	263-0003	千葉県千葉市稲毛区小深町90-3		35.656961	140.150522	-	15.0					Fate/stay night	フェイトステイナイト	衛宮士郎が通う「穂群原学園」のモデル。<br />※2008年に廃校となり、キャンパスは解体済。現在は住宅地になっています。				チバシ	フ	12	1	2	解体
0739	0004	完了	兵庫県	神戸市	うろこの家	650-0002	兵庫県神戸市中央区北野町2-20-4		34.702949	135.190675	-	16.0				078-242-6530	Fate/stay night	フェイトステイナイト	第2話冒頭で、遠坂凛が召喚したばかりのアーチャーと、アーチャーの入れた紅茶を飲んでいた遠坂邸の室内モデル。	http://kobe-ijinkan.net/	http://kobe-ijinkan.net/		コウベシ	フ	28	1	5	
0739	0005	完了	兵庫県	神戸市	風見鶏の館	650-0002	兵庫県神戸市中央区北野町3-13-3		34.701383	135.189506	-	16.0				078-242-3223	Fate/stay night	フェイトステイナイト	遠坂凛が暮らす遠坂家の屋敷のモデル。	http://www.kobe-kazamidori.com/index_02.html	http://www.kobe-kazamidori.com/index_02.html		コウベシ	フ	28	1	5	
0739	0006	完了	兵庫県	神戸市	ホテルモントレ神戸	650-0011	兵庫県神戸市中央区下山手通2-11-13		34.693628	135.189948	-	15.0					Fate/stay night	フェイトステイナイト	言峰綺礼が神父を務める「冬木教会」の地下祭壇、中庭のモデルとなったホテル。ホテルのロビーは言峰綺礼の部屋のモデルとなっています。<br />※モデルとなったホテルは、2017年12月31日に閉館して解体され、2020年4月7日建て替えられた新しいホテルで再オープンされています。	http://www.hotelmonterey.co.jp/portal/profile.html	http://www.hotelmonterey.co.jp/portal/profile.html		コウベシ	フ	28	1	5	解体
0739	0007	完了	兵庫県	神戸市	神戸大橋	650-0041	兵庫県神戸市中央区新港町		34.678416	135.203643	"https://www.google.co.jp/maps/@34.6789742,135.2108817,3a,15y,262.48h,91.24t/data=!3m6!1e1!3m4!1sozdQNCytQullLeDAOfPBFA!2e0!7i16384!8i8192"	12.0			5		Fate/stay night	フェイトステイナイト	第3話で、遠坂凛が、7人目のマスターになった衛宮士郎を「聖杯戦争」の監督役である言峰綺礼に会わせるため「言峰教会」に連れていくシーンでセイバーを含めた3人で渡っていた橋のモデル。<br />第13話では、行方不明になった士郎を探すセイバーと凛が橋を渡る姿が描かれていました。<br />第19話、第21話では、綺礼からセイバーを救う方法やギルガメシュのことを聞くために「言峰教会」へ向かう士郎が橋を渡っていました。<br />第20話冒頭では、「言峰教会」帰りの士郎が橋の上でセイバーへの想いに向き合う決心を固めていました。<br />同話の士郎とセイバーのデートシーンでも、2人の乗ったバスが橋を渡る様子が描かれており、デート帰りの夕刻には、橋の上で士郎がセイバーに「聖杯」によって過去を変えるのではなく、現世での幸せになることを選ばせようと説得するも拒絶され、セイバーを置いて帰ってしまいますが、夜になっても帰ってこないセイバーを探しに再び橋に来ていました。<br />第21話では、士郎を助けに「言峰教会」へ急行するセイバーが橋の柱の上を足場に飛び超えていました。<br />第24話のラストシーンで、衛宮士郎がセイバーの想いを懐きながら空を眺めていたのもこの橋でした。				コウベシ	フ	28	1	5	
0739	0008	完了	兵庫県	神戸市	ポートアイランド北公園	650-0045	兵庫県神戸市中央区港島2		34.676911	135.204595	-	14.0				078-304-2500	Fate/stay night	フェイトステイナイト	第20話のラストで、橋にいたセイバーを手を繋いで連れ帰る衛宮士郎が、ギルガメッシュに「勝手に人のモノを持っていくな」と呼び止められ、戦いの場となっていました。				コウベシ	フ	28	1	5	
0739	0009	完了	兵庫県	明石市	県立弓道場	673-0847	兵庫県明石市明石公園1-27		34.658646	134.996985	"https://www.google.co.jp/maps/@34.6587517,134.9974602,3a,22.4y,268.3h,89.83t/data=!3m6!1e1!3m4!1sg6jsBkMvQeNrkdVrCh8GAg!2e0!7i16384!8i8192"	16.0			4.5	078-913-0501	Fate/stay night	フェイトステイナイト	第2話で、衛宮士郎が間桐慎二に片付けを押し付けられていた「穂群原学園」の弓道場のモデル。	http://www.hyogo-sports.jp/modules/pico/index.php?content_id=27	http://www.hyogo-sports.jp/modules/pico/index.php?content_id=27		アカシシ	フ	28	10	5	
0739	0010	完了	兵庫県	明石市	織田家長屋門	673-0891	兵庫県明石市大明石町2		34.650173	134.988594	"https://www.google.com/maps/@34.6502119,134.9890025,3a,15.9y,257.16h,89.19t/data=!3m6!1e1!3m4!1stAFOmInPjg3e3LPk8xHMuQ!2e0!7i16384!8i8192"	16.0			5		Fate/stay night	フェイトステイナイト	衛宮士郎が亡き義父・衛宮切嗣から譲り受けて暮らしている屋敷の門や塀のモデル。 				アカシシ	フ	28	10	5	
0739	0011	完了	長崎県	長崎市	大浦天主堂	850-0931	長崎県長崎市南山手町5-3		32.734158	129.870149	"https://www.google.co.jp/maps/@32.7347243,129.8701531,3a,28y,178h,108.7t/data=!3m6!1e1!3m4!1s0ac-ViKWJqg3-4VGDLVSeg!2e0!7i13312!8i6656"				4		Fate/stay night	フェイトステイナイト	第3話で、遠坂凛が、7人目のマスターになった衛宮士郎を「聖杯戦争」の監督役である言峰綺礼に会わせるために連れて来た「言峰教会」のモデル。<br />第13話では、綺礼からセイバーを救う方法やギルガメシュのことを聞くために、士郎が一人で訪れていました。				ナガサキシ	フ	42	1	8	
