作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0982	0001		神奈川県	藤沢市	遊行寺（清浄光寺）		神奈川県藤沢市西富1-8-1										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					フジサワシ	フ	14	15	2	
0982	0002		東京都	大田区	琵琶湖	144-0052	東京都大田区蒲田2-4-7										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					オオタク	フ	13	5	2	
0982	0003		東京都	中央区	パウパウアクアガーデン 銀座店	104-0061	東京都中央区銀座7-17-14										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					チュウオウク	フ	13	16	2	
0982	0004		神奈川県	横浜市	下倉田第二公園付近	244-0815	神奈川県横浜市戸塚区下倉田町										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					ヨコハマシ	フ	14	1	2	
0982	0005		東京都	杉並区	下井草3丁目		東京都杉並区下井草3										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					スギナミク	フ	13	12	2	
0982	0006		東京都	杉並区	下井草4丁目		東京都杉並区下井草4										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					スギナミク	フ	13	12	2	
0982	0007		東京都	杉並区	中瀬児童遊園		東京都杉並区下井草4-7-15										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					スギナミク	フ	13	12	2	
0982	0008		神奈川県	横浜市	仁天堂薬局本店 前		神奈川県横浜市戸塚区戸塚町55										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					ヨコハマシ	フ	14	1	2	
0982	0009		神奈川県	横浜市	下倉田角前公園		神奈川県横浜市戸塚区下倉田町1603-8										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					ヨコハマシ	フ	14	1	2	
0982	0010		神奈川県	横浜市	鋼管団地したバス停		神奈川県横浜市戸塚区下倉田町										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					ヨコハマシ	フ	14	1	2	
0982	0011		兵庫県	神戸市	神戸大橋		兵庫県神戸市中央区新港町										Fate/stay night [Heaven's Feel] I.presage flower	フェイトステイナイトヘブンズフィールワンプレサージュフラワー					コウベシ	フ	28	1	5	
