作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0291	0001	完了	東京都	千代田区	皇居 正門石橋	100-8111	東京都千代田区千代田1-1		35.680210	139.753596	"https://www.google.co.jp/maps/@35.679753,139.755825,3a,24.2y,92.43h,94.15t/data=!3m8!1e1!3m6!1sJVtSoLgIydsAAAAGOoy0jQ!2e0!3e11!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DJVtSoLgIydsAAAAGOoy0jQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D347.58133%26pitch%3D0!7i4491!8i2244?hl=ja"	17		120	3		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話でゲートから出現した兵士やモンスターたちから逃げ惑う人々が、助けを求めて押し寄せてい場所で、皇居前広場から望む橋が描かれていました。				チヨダク	ケ	13	17	2	
0291	0002	完了	東京都	千代田区	皇居 正門	100-8111	東京都千代田区千代田1-1		35.679657	139.754532	"https://www.google.co.jp/maps/@35.6799146,139.7547519,3a,75y,90t/data=!3m8!1e2!3m6!1s-8vKYCl-Ak9o%2FSMSuC7bADFI%2FAAAAAAAAHxI%2F_jaY0UVCgas!2e4!3e12!6s%2F%2Flh6.googleusercontent.com%2F-8vKYCl-Ak9o%2FSMSuC7bADFI%2FAAAAAAAAHxI%2F_jaY0UVCgas%2Fs203-k-no%2F!7i1600!8i1071"	17		0			GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話で、皇居に押し寄せた避難民を収容するために解放された門。				チヨダク	ケ	13	17	2	
0291	0003	完了	東京都	千代田区	皇居正門前広場	100-8111	東京都千代田区千代田1-1		35.680086	139.755969	"https://www.google.co.jp/maps/@35.6801666,139.756036,3a,20.3y,105.85h,91.68t/data=!3m6!1e1!3m4!1svZBwJotGly7x8oklLCB-fw!2e0!7i13312!8i6656"	16		120	3		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話で、ゲートから出現した兵やモンスターを、自衛隊が迎撃していた場所。自衛隊は正門前に布陣し、異界の軍勢は内堀通り側から攻め寄せてきており、背後に明治安田生命ビルなどが描かれていました。				チヨダク	ケ	13	17	2	
0291	0004	完了	東京都	千代田区	皇居 丸の内警察署祝田町見張所	100-8111	東京都千代田区千代田1-1	皇居内	35.679864	139.755572	"https://www.google.co.jp/maps/@35.679966,139.755874,3a,15y,319.77h,95.22t/data=!3m8!1e1!3m6!1sSwG0Iz2Nok0AAAQpkuC8OA!2e0!3e11!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DSwG0Iz2Nok0AAAQpkuC8OA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D9.5777636%26pitch%3D0!7i8704!8i4352?hl=ja"	17		120	5		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話で伊丹耀司が、駐在の警察官に、皇居に民間人を収容して立て籠もるよう進言していた見張所。				チヨダク	ケ	13	17	2	
0291	0005	完了	東京都	千代田区	皇居 半蔵門	100-8111	東京都千代田区千代田1-1		35.683750	139.745606	"https://www.google.co.jp/maps/@35.683922,139.744212,3a,15y,96.55h,90.16t/data=!3m6!1e1!3m4!1shIjKGuiWx0HppnAfzqApsQ!2e0!7i13312!8i6656"	17		120	3		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話で、ゲートから出現した兵やモンスターを自衛隊が鎮圧した後、皇居に収容されていた人々が開放されていた門。収容した正門の前（東側）で戦闘があったので、大事をとって反対側（西側）の門から解放されたものと思われます。				チヨダク	ケ	13	17	2	
0291	0006	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.681378	139.766077	"https://www.google.co.jp/maps/@35.682002,139.764152,3a,16y,113.57h,92.7t/data=!3m6!1e1!3m4!1sEjV2dixdyYC5vF1S3N-6-A!2e0!7i13312!8i6656?hl=ja"	14		120	3		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話で騎兵隊が道路を進撃してくるシーンで、東京駅丸の内口前が描かれていました。				チヨダク	ケ	13	17	2	
0291	0007	完了	東京都	千代田区	警視庁 庁舎	100-8929	東京都千代田区霞が関2-1-1		35.676773	139.752214	"https://www.google.co.jp/maps/@35.677906,139.753324,3a,26.5y,223.2h,112.56t/data=!3m8!1e1!3m6!1sgV3ikBkCvQPuE4ERNfsD5A!2e0!3e5!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DgV3ikBkCvQPuE4ERNfsD5A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D184.20941%26pitch%3D0!7i13312!8i6656?hl=ja"	16		0			GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話で、皇居の門を破りに向かうモンスターたちの背景に庁舎が描かれていました。				チヨダク	ケ	13	17	2	
0291	0008	完了	東京都	千代田区	国会議事堂	100-0014	東京都千代田区永田町1-7-1		35.675897	139.744805	"https://www.google.co.jp/maps/@35.67621,139.746648,3a,37y,357.75h,100.75t/data=!3m8!1e1!3m6!1sZWqtS6BlHU0AAAQINSt5Fw!2e0!3e11!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DZWqtS6BlHU0AAAQINSt5Fw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D189.02354%26pitch%3D0!7i10240!8i5120?hl=ja"	15		120	1		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第1話で、北条重則首相が、国会でゲートについての声明を発表していたシーンで議事堂が描かれていました。				チヨダク	ケ	13	17	2	
0291	0009	完了	東京都	千代田区	ホテルニューオータニ　ガーデンタワー	102-8578	東京都千代田区紀尾井町4-1		35.679739	139.735016	"https://www.google.co.jp/maps/@35.6786547,139.7338978,3a,15y,39.39h,127.45t/data=!3m6!1e1!3m4!1sGdXLgv-qiaekReF8xhTTZw!2e0!7i13312!8i6656?hl=ja"	16		120	1.5		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第8話で、ピニャ・コ・ラーダとボーゼス・コ・パレスティーが、首相補佐官及び外務省官僚と講和交渉前の取り決めを話し合う会談を行っていたビル。	http://www.newotani.co.jp/tokyo/			チヨダク	ケ	13	17	2	
0291	0010	完了	東京都	中央区	吉野家 銀座3丁目店	104-0061	東京都中央区銀座3-5-5		35.672683	139.766354	"https://www.google.co.jp/maps/@35.6725676,139.76646,3a,15.8y,320.52h,96.5t/data=!3m6!1e1!3m4!1s7RePmARhza46vY7lPy2YGQ!2e0!7i13312!8i6656"	18		120	3		GATE 自衛隊 彼の地にて、斯く戦えり	ゲートジエイタイカノチニテカクタタカエリ	第8話で、国会の参考人招致に向かう伊丹耀司たち一行が牛丼を食べていた店。作中では店名が「牛野家」になっていました。				チュウオウク	ケ	13	16	2	
