作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1312	0001	完了	東京都	千代田区	東京高等裁判所	100-0013	東京都千代田区霞が関1-1-4		35.675114	139.752772	"https://www.google.co.jp/maps/@35.6752811,139.7520396,3a,15y,66.16h,92.86t/data=!3m6!1e1!3m4!1suIlx2q7EoiQkr8TTNl4trQ!2e0!7i16384!8i8192"						GREAT PRETENDER	グレートプリテンダー	第4話、第17話の回想シーンで、枝村真人の父親で弁護士の尾崎誠司が弁護を担当していた裁判が行われていた裁判所。				チヨダク	ク	13	17	2	
1312	0010	完了	東京都	港区	六本木ヒルズ　メトロハット前の階段	106-6108	東京都港区六本木6-4-1		35.661581	139.729272	"https://www.google.co.jp/maps/@35.6617415,139.7293324,3a,49.4y,185.95h,104.65t/data=!3m6!1e1!3m4!1sfwtPeNITnjVCMbpUBH64jg!2e0!7i16384!8i8192"						GREAT PRETENDER	グレートプリテンダー	第15話で、「スカーレット商会」に就職した枝村真人が朱雀アケミ会長に紹介するという石神社長に連れられて来たビルのカットで描かれていた場所。<br />作中では階段の上に見える森タワーが六本木ヒルズレジデンスに描き変えられていました。				ミナトク	ク	13	22	2	
1312	0011	完了	東京都	港区	六本木ヒルズレジデンス	106-6108	東京都港区六本木6-12-1		35.658873	139.730130	"https://www.google.co.jp/maps/@35.660815,139.7299686,2a,25.7y,178.49h,113.6t/data=!3m6!1e1!3m4!1svo2eIuA7r5Q4S0YcTTV8yg!2e0!7i13312!8i6656"						GREAT PRETENDER	グレートプリテンダー	第15話で、「スカーレット商会」に就職した枝村真人が朱雀アケミ会長に紹介するという石神社長に連れられて来たビルのモデル。<br />第16話では、誘拐して来たアビゲイル（アビー）を朱雀会長に引き合わせていました。<br />※メトロハット前の階段越しに望む構図で、本来は森タワーが見える位置に六本木ヒルズレジデンスが建っているように描き変えられていました。				ミナトク	ク	13	22	2	
1312	0002	完了	東京都	台東区	浅草寺　雷門	111-0032	東京都台東区浅草2-3-1		35.711139	139.796369	"https://www.google.co.jp/maps/@35.710499,139.7967761,58a,35y,337.23h,68.26t/data=!3m1!1e3"						GREAT PRETENDER	グレートプリテンダー	第1話の枝村真人がローラン・ティエリーと初めて出会った浅草シーンの冒頭で、上空から見下ろす構図で雷門や仲見世などが描かれていました。				タイトウク	ク	13	15	2	
1312	0003	完了	東京都	台東区	安兵衛	111-0032	東京都台東区浅草2-11-7		35.714254	139.792882	"https://www.google.co.jp/maps/@35.7143012,139.7929462,3a,49.3y,203.39h,82.09t/data=!3m6!1e1!3m4!1sW1I1s5spzPvjKnZ-SC_TQQ!2e0!7i13312!8i6656"						GREAT PRETENDER	グレートプリテンダー	第1話で、枝村真人が工藤と組んでローラン・ティエリーを騙して金を騙し取ろうとしていた立ち飲み屋。<br />第16話、第21話で、枝村が石神社長と酒を飲んでいたのもこの店でした。				タイトウク	ク	13	15	2	
1312	0004	完了	東京都	葛飾区	亀有駅北口交番	125-0061	東京都葛飾区亀有5-34-1		35.767083	139.848043	"https://www.google.co.jp/maps/@35.7670709,139.8479653,3a,43y,81.76h,94.2t/data=!3m6!1e1!3m4!1s_mvE84vMi3I9Jnz6AbU9cg!2e0!7i16384!8i8192"						GREAT PRETENDER	グレートプリテンダー	第5話のラストで、枝村真人が今まで自分が詐欺で騙し取った金を持って自首していた交番。				カツシカク	ク	13	6	2	
1312	0005	完了	東京都	府中市	大國魂神社	183-0023	東京都府中市宮町3-1		35.667607	139.478997	-						GREAT PRETENDER	グレートプリテンダー	第6話で、刑務所を出所した枝村真人が参拝していた神社。				フチュウシ	ク	13	44	2	
1312	0006	完了	東京都	府中市	府中市民陸上競技場	183-0056	東京都府中市寿町2-20		35.677195	139.475988	"https://www.google.co.jp/maps/@35.6771558,139.4760568,3a,44.6y,274.22h,91.89t/data=!3m6!1e1!3m4!1sM9Y5FHofG_A6HdgTP1DrkQ!2e0!7i13312!8i6656"						GREAT PRETENDER	グレートプリテンダー	第6話で、刑務所を出所した枝村真人がスポーツをする人々を見ていた競技場。				フチュウシ	ク	13	44	2	
1312	0007	完了	東京都	府中市	府中刑務所	183-0057	東京都府中市晴見町4-10		35.683339	139.474007	-						GREAT PRETENDER	グレートプリテンダー	第6話で、服役中の枝村真人が収監されていた刑務所。作中では全体感はそのままに細部が描き変えられています。<br />第17話で、石神社長が枝村にオズ（尾崎誠司）の経歴を教えていたシーンでは、同じく刑務所外観が描かれていましたが、こちらは実物通りに描かれていました。				フチュウシ	ク	13	44	2	
1312	0008	完了	東京都	小金井市	桜町病院	184-8511	東京都小金井市桜町1-2-20		35.710165	139.511138	"https://www.google.co.jp/maps/@35.7103841,139.5109894,3a,54y,130.69h,107.48t/data=!3m6!1e1!3m4!1syQl557oY9Lf-Fe67hV98oA!2e0!7i16384!8i8192"						GREAT PRETENDER	グレートプリテンダー	第2話、第17話で、枝村真人の母親が入院していた「小桜病院」のモデル。<br />作中では左右反転して描かれていました。				コガネイシ	ク	13	30	2	
