作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0084	0012	完了	東京都	立川市	立川北駅	190-0012	東京都立川市曙町2-4		35.698954	139.412486	"https://www.google.co.jp/maps/@35.6986478,139.4123855,3a,75y,50.61h,116.18t/data=!3m6!1e1!3m4!1sg_bh7i3jBclM6t7GgYWEJg!2e0!7i16384!8i8192"						IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第1話で、服を買いに行くシャル（シャルロット・デュノア）とラウラ・ボーデヴィッヒが待ち合わせをしていた駅。				タチカワシ	イ	13	34	2	
0084	0001	完了	京都府	京都市	京都タワー	600-8216	京都府京都市下京区東塩小路町721-1		34.987548	135.759352	"https://www.google.co.jp/maps/@34.9870037,135.7601815,3a,15y,309.06h,135.76t/data=!3m6!1e1!3m4!1sfMtFH4P4pzx3TMxXrY-Wqg!2e0!7i16384!8i8192?hl=ja"	14.0					IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11～12話で、展望室の上で高みの見物を決め込んでいたスコール・ミューゼルの前に更識楯無が現れ、戦闘となっていたタワー。				キョウトシ	イ	26	10	5	
0084	0002	完了	京都府	京都市	南禅寺 水路閣	606-8435	京都府京都市左京区南禅寺福地町		35.010605	135.79403	-						IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話の修学旅行で、織斑一夏がシャル（シャルロット・デュノア）と遭遇していた場所。				キョウトシ	イ	26	10	5	
0084	0003	完了	京都府	京都市	東寺　五重塔	601-8473	京都府京都市南区九条町1		34.979881	135.748706	"https://www.google.co.jp/maps/@34.9800324,135.7487085,3a,90y,179.98h,124.38t/data=!3m6!1e1!3m4!1sCVqoie0ijmc20Dv4ue2qJQ!2e0!7i13312!8i6656"					075-691-3325	IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話の修学旅行で、写真係の織斑一夏が谷本癒子たちを撮影していた場所。<br />第12話のセシリア・オルコットがオータムの攻撃を受けていたシーンでも、この塔が描かれていました。	http://www.toji.or.jp/	http://www.toji.or.jp/		キョウトシ	イ	26	10	5	
0084	0004	完了	京都府	京都市	上賀茂神社 細殿	603-8047	京都府京都市北区上賀茂本山339		35.059839	135.752612	"https://www.google.co.jp/maps/@35.0597405,135.752523,3a,42.1y,34.74h,89.36t/data=!3m6!1e1!3m4!1scgVwBswcmu-lTu1RdxsWmA!2e0!7i13312!8i6656?hl=ja"					075-781-0011	IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話の修学旅行で、写真係の織斑一夏が女生徒を撮影していた神社。	http://www.kamigamojinja.jp/			キョウトシ	イ	26	10	5	
0084	0005	完了	京都府	京都市	金閣寺	603-8361	京都府京都市北区金閣寺町1		35.039497	135.728445	-	13.0					IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話の修学旅行で、写真係の織斑一夏が、布仏本音、岸原理子、鏡ナギ、かなりんの4人を撮影していた寺。<br />第12話では、篠ノ之束とクロエ・クロニクルが屋根上で、スコール・ミューゼルたちと一夏たちの戦いをモニタリングしていました。				キョウトシ	イ	26	10	5	
0084	0006	完了	京都府	京都市	いづみ屋 清水寺二年坂出張販売所	605-0826	京都府京都市東山区桝屋町349-18		34.998066	135.780762	"https://www.google.co.jp/maps/@34.9980038,135.7808201,3a,21.1y,326.14h,81.74t/data=!3m6!1e1!3m4!1spcVULQLnJTDQqzXErtYlFw!2e0!7i13312!8i6656?hl=ja"					075-561-3857	IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話の修学旅行で、更識簪をお姫様だっこして逃げる織斑一夏が、人力車に乗る篠ノ之箒と衝突したシーンで、簪に密着する一夏を見て顔をひきつらせていた箒の背後に描かれていた店。	http://www.ojako.com/ninenzaka.html			キョウトシ	イ	26	10	5	
0084	0022	完了	京都府	京都市	二寧坂（二年坂）	605-0826	京都府京都市東山区桝屋町		34.998075	135.780822	"https://www.google.co.jp/maps/@34.998191,135.7808551,3a,29y,178.99h,96.1t/data=!3m6!1e1!3m4!1ss09QKrZsxDFmBYw55h_Oig!2e0!7i13312!8i6656?hl=ja"						IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話の修学旅行で、更識簪をお姫様だっこして逃げる織斑一夏が、人力車に乗る篠ノ之箒と衝突したシーンで、壊れた人力車の車輪が転げ落ちていた坂道。				キョウトシ	イ	26	10	5	
0084	0007	完了	京都府	京都市	清水坂すぎやま	605-0862	京都府京都市東山区清水1-275		34.99554	135.78251	"https://www.google.co.jp/maps/@34.995491,135.7825023,3a,34.9y,5.86h,81.82t/data=!3m6!1e1!3m4!1sCAoSLEFGMVFpcE9LOF9WdEtIYXBMZVA5d2QteXNab1QxX0sycVh1N2V4ajdNTmsy!2e10!7i5692!8i2846"					075-561-5867	IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話で、清水寺に集合した生徒たちに山田真耶先生が清水の舞台の説明をするシーンの挿入カットで描かれていた土産物屋。細部まで忠実に再現されていました。				キョウトシ	イ	26	10	5	
0084	0009	完了	京都府	京都市	京つけもの西利 清水産寧坂店	605-0862	京都府京都市東山区清水3-334		34.997097	135.781123	"https://www.google.co.jp/maps/@34.9971125,135.7810425,3a,43.2y,85.12h,77.86t/data=!3m6!1e1!3m4!1sJQro7P4Uq6ISUi7ooHWBDA!2e0!7i13312!8i6656"					075-533-8181	IS<インフィニット・ストラトス>2	インフィニットストラトスツー	第11話の修学旅行で、織斑一夏が着物を着た布仏本音や更識簪と遭遇したシーンの背景に描かれていた漬物店。<br />ラウラ・ボーデヴィッヒが立っていたのもこの店の屋根と思われます。				キョウトシ	イ	26	10	5	
