作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0636	0002	完了	北海道	虻田郡	大衆居酒屋マルキュー商店	044-0031	北海道虻田郡倶知安町南一条西1-4		42.901425	140.751079	"https://www.google.co.jp/maps/@42.901532,140.7510752,3a,20y,182.36h,88.99t/data=!3m6!1e1!3m4!1sRY2Z2xgNFc6w5S0Ta6DTPA!2e0!7i13312!8i6656"				4.5		NEW GAME!	ニューゲーム	OVAの社員旅行で、夜中に八神コウ、遠山りん、阿波根うみこの3人が酒を飲みに行った居酒屋。<br />様々な料理や、北緯44度（作中では「北方44度」）の酒瓶が描かれていました。<br />作中では店名が「まるのみ」になっていました。<br />※移転済。作中に描かれていた店舗は解体済。				アブタグン	ニ	1	40	1	移転
0636	0003	完了	北海道	虻田郡	ニセコグランドホテル	048-1511	北海道虻田郡ニセコ町ニセコ412		42.841235	140.622993	"https://www.google.com/maps/@42.8415022,140.6232691,3a,28y,226.93h,96.58t/data=!3m6!1e1!3m4!1s5J6f1nLNF96P0h5jCiFfsA!2e0!7i16384!8i8192"				4		NEW GAME!	ニューゲーム	OVAの社員旅行で、涼風青葉たち「イーグルジャンプ」の社員一行が宿泊していたホテル。<br />作中ではホテル名が「ニセコロイヤルホテル」になっていました。				アブタグン	ニ	1	40	1	
0636	0004	完了	北海道	虻田郡	ニセコHANAZONOリゾート　花園第2クワッド	044-0082	北海道虻田郡倶知安町岩尾別328-36		42.882476	140.683639	"https://www.google.com/maps/@42.8827641,140.6840852,2a,15y,229.33h,89.88t/data=!3m6!1e1!3m4!1sqVe543a7QAu9HdDMbXq3pA!2e0!7i13312!8i6656"				5		NEW GAME!	ニューゲーム	OVAの社員旅行で、涼風青葉が滝本ひふみと乗っていたリフト。<br />作中では名前が「川園第2スクワッド」になっていました。				アブタグン	ニ	1	40	1	
0636	0001	完了	北海道	紋別郡	JR 生野駅	099-0701	北海道紋別郡遠軽町生田原豊原		43.960233	143.532991	"https://www.google.co.jp/maps/@43.9604142,143.5330105,3a,22y,177.28h,90.76t/data=!3m6!1e1!3m4!1sfZvs-8np10NMFMjb0Ze1qw!2e0!7i13312!8i6656"				4.5		NEW GAME!	ニューゲーム	第11話のエンディング後のシーンで、会社での泊まり込み後の始発電車帰りの涼風青葉と桜ねねが、電車で寝過ごしてやって来てしまった「辺境駅」のモデル。				モンベツグン	ニ	1	94	1	
0636	0005	完了	東京都	千代田区	ヨドバシカメラ マルチメディアAkiba	101-0028	東京都千代田区神田花岡町1-1		35.698914	139.774707	"https://www.google.com/maps/@35.6986838,139.7737974,3a,40y,77.14h,116.1t/data=!3m6!1e1!3m4!1s4dCRQQvfnwNGzc5k_SUKHQ!2e0!7i16384!8i8192"						NEW GAME!	ニューゲーム	第5話で、涼風青葉が篠田はじめと一緒に会社のお使いでタブレットペンを買いに来た家電量販店。				チヨダク	ニ	13	17	2	
0636	0006	完了	東京都	杉並区	パークホームズ築地グリーンサイド	104-0045	東京都中央区築地7-3-1		35.666698	139.774208	"https://www.google.co.jp/maps/@35.6667472,139.7741229,3a,41y,132.54h,92.68t/data=!3m6!1e1!3m4!1sHy9IK-dTPdX4gQnA7P2a4w!2e0!7i13312!8i6656"						NEW GAME!	ニューゲーム	第7話で、「イーグルジャンプ」の社員が健康診断を受けた健保会館の「NGビル」の外観モデル。<br />ビルの入口前で、八神コウが健康診断を終えた一行に、何か食べて帰ろうと誘っていました。				スギナミク	ニ	13	12	2	
0636	0007	完了	東京都	杉並区	HKビル（報道事業健保会館）	104-0045	東京都中央区築地7-6-1		35.665808	139.773937	-						NEW GAME!	ニューゲーム	第7話で、「イーグルジャンプ」の社員が健康診断を受けた健保会館の「NGビル」のフロア案内板のモデル。				スギナミク	ニ	13	12	2	
0636	0008	完了	東京都	江東区	サンストリート亀戸	136-0071	東京都江東区亀戸6-31-1		35.695894	139.828805	-						NEW GAME!	ニューゲーム	第6話で、休日の篠田はじめが、「信号戦隊シグナルスリー」のヒーローショーを見ていた商業施設。<br />作中ではペット専門店コジマのロゴの文字が「KAJIMA」に変えられていました。<br />※2016年3月31日に閉館済。				コウトウク	ニ	13	8	2	閉館
0636	0009	完了	東京都	新宿区	新宿バルト9	160-0022	東京都新宿区新宿3-1-26	新宿三丁目ビル 9F	35.690083	139.705895	"https://www.google.com/maps/@35.6897204,139.7042217,3a,36y,77.19h,104.55t/data=!3m6!1e1!3m4!1su9pI5_ohWcg7HT8KTSW49Q!2e0!7i16384!8i8192"						NEW GAME!	ニューゲーム	第6話で、涼風青葉が久しぶりに会う桜ねねと一緒に「劇場版 魔法少女ムーンレンジャー」を観ていた映画館。				シンジュクク	ニ	13	11	2	
0636	0010	完了	東京都	新宿区	JR 新宿駅　東口	160-0022	東京都新宿区新宿3-38-1		35.691770	139.701102	"https://www.google.com/maps/@35.6919807,139.7009272,3a,15y,143.22h,90.33t/data=!3m6!1e1!3m4!1sAswrwS70x35ssKtsBhTlgA!2e0!7i16384!8i8192"						NEW GAME!	ニューゲーム	第12話冒頭で、『フェアリーズストーリー3』の発売日の店舗視察のために会社のみんなと待ち合わせをしていた涼風青葉が駅から出てきていた場所。				シンジュクク	ニ	13	11	2	
0636	0011	完了	東京都	新宿区	新宿東口前広場	160-0022	東京都新宿区新宿3-38		35.692109	139.701205	"https://www.google.co.jp/maps/@35.6920194,139.7009044,3a,16.2y,72.53h,84.57t/data=!3m6!1e1!3m4!1soVg5x8aBUSWdC_c_KJlSkQ!2e0!7i16384!8i8192"						NEW GAME!	ニューゲーム	第12話冒頭で、『フェアリーズストーリー3』の発売日の店舗視察のために会社のみんなと待ち合わせをしていた涼風青葉が、八神コウと合流していた広場。				シンジュクク	ニ	13	11	2	
0636	0012	完了	東京都	新宿区	ヨドバシカメラ新宿西口本店 ゲーム・ホビー館	160-0023	東京都新宿区西新宿1-11-1		35.689713	139.697444	"https://www.google.co.jp/maps/@35.689676,139.6975168,3a,48.5y,322.35h,86.37t/data=!3m6!1e1!3m4!1sFRfUeIr1__CZaOz1v5DiLQ!2e0!7i13312!8i6656"						NEW GAME!	ニューゲーム	第12話で、涼風青葉たちが見に来ていた、『フェアリーズストーリー3』の発売日に店前に行列が出来ていた店。特典目当てで青葉たちも行列に加わっていました。<br />作中では店名が「ヨダバシカメラ」になっていました。<br />※2018年に「ゲーム館」が分離し、「ホビー・おもちゃ館」と名称が変更になりました。				シンジュクク	ニ	13	11	2	
0636	0013	完了	東京都	新宿区	国際通り（日本政策金融公庫新宿ビル横）	160-0023	東京都新宿区西新宿1-14		35.688415	139.696729	"https://www.google.co.jp/maps/@35.6884198,139.6968351,3a,40y,275.65h,92.86t/data=!3m6!1e1!3m4!1sNOU1L_5OFY1Uf1-6Rt-Www!2e0!7i16384!8i8192"						NEW GAME!	ニューゲーム	第12話で、涼風青葉たち一行が初回特典目当てで発売日に『フェアリーズストーリー3』を買っていた店前で、篠田はじめと桜ねねがネタバレ話を初めて周囲の人たちが騒ぎ出したために、青葉たち一行が逃げて来た場所。				シンジュクク	ニ	13	11	2	
0636	0014	完了	東京都	中野区	JR 中野駅	164-0001	東京都中野区中野5-31-1		35.705842	139.665624	-						NEW GAME!	ニューゲーム	第3話の会社帰りシーンで、涼風青葉と一緒に電車に乗っていた遠山りんが乗り換えだからと下車していた駅。				ナカノク	ニ	13	19	2	
0636	0015	完了	東京都	中野区	どらっぐぱぱす 新江古田駅前店	165-0023	東京都中野区江原町2-31-10		35.732530	139.670055	"https://www.google.com/maps/@35.7327653,139.6701602,3a,17.1y,191.28h,93.75t/data=!3m6!1e1!3m4!1sYNeKxx-injQTbxi3NH8Yfw!2e0!7i16384!8i8192"				5		NEW GAME!	ニューゲーム	第11話で、プログラムチームが泊まり込み作業になるため、阿波根うみこの指示で、桜ねねが涼風青葉と一緒に栄養ドリンクや差し入れの買い出しに来ていたドラッグストア。				ナカノク	ニ	13	19	2	
0636	0016	完了	東京都	杉並区	BAR私	166-0002	東京都杉並区高円寺北3-2-1		35.705479	139.648304	-						NEW GAME!	ニューゲーム	第2話で、涼風青葉の新人歓迎会の二次会で、青葉が八神コウ、遠山りんと一緒に訪れたバー。<br />未成年の青葉が、ジュースだと勘違いしてオレンジブロッサムを頼んでいました。				スギナミク	ニ	13	12	2	
0636	0017	完了	東京都	杉並区	ニューアド社ビル	166-0004	東京都杉並区阿佐谷南1-11-1		35.698730	139.637952	"https://www.google.co.jp/maps/@35.6985731,139.6380046,3a,75y,346.71h,115.53t/data=!3m6!1e1!3m4!1sBogVtF-jGqcS41RzksiEOw!2e0!7i13312!8i6656"				2		NEW GAME!	ニューゲーム	涼風青葉が入社したゲーム会社「イーグルジャンプ」が入っているビル。				スギナミク	ニ	13	12	2	
0636	0018	完了	東京都	杉並区	南阿佐谷すずらん通り商店街（クリオレミントンハウス前）	166-0004	東京都杉並区阿佐谷南1-12		35.699483	139.637781	"https://www.google.co.jp/maps/@35.6994726,139.6378069,3a,26.2y,144.92h,100.63t/data=!3m6!1e1!3m4!1stDnHQNIu1_dDeklSVZmjgg!2e0!7i13312!8i6656"				4		NEW GAME!	ニューゲーム	第1話で、初出勤日の昼休みに篠田はじめ、飯島ゆんと一緒にランチに出かけた涼風青葉が、2人と一緒に歩いていた商店街。				スギナミク	ニ	13	12	2	
0636	0019	完了	東京都	杉並区	中杉通り（阿佐ケ谷中学校・杉並区役所前）	166-0004	東京都杉並区阿佐谷南1-17		35.700020	139.635770	"https://www.google.co.jp/maps/@35.7000352,139.6357544,3a,36y,187.09h,97.87t/data=!3m7!1e1!3m5!1sPkPt7PBpU1bJRhncUuohKw!2e0!5s20140701T000000!7i13312!8i6656"						NEW GAME!	ニューゲーム	第5話で、会社のお使いでタブレットペンを買いに行った家電量販店帰りの涼風青葉が篠田はじめが歩いていた場所。<br />青葉からカワイイと言われたはじめが、キャラ変していました。				スギナミク	ニ	13	12	2	
0636	0020	完了	東京都	杉並区	CAFE MISTY	166-0004	東京都杉並区阿佐谷南1-35-21		35.702454	139.636428	-						NEW GAME!	ニューゲーム	第1話で、涼風青葉が初出勤日の昼休みに、篠田はじめ、飯島ゆんと一緒にランチを食べていた喫茶店。<br />※移転済。				スギナミク	ニ	13	12	2	移転
0636	0021	完了	東京都	杉並区	築地日本海 阿佐ヶ谷店	166-0004	東京都杉並区阿佐谷南1-48-13	横川ビル B1F～1F	35.703837	139.636898	"https://www.google.com/maps/@35.7037941,139.6369653,3a,75y,316.7h,92.16t/data=!3m6!1e1!3m4!1sYBRSorvB_IL_M3rADU9pbA!2e0!7i13312!8i6656"				2		NEW GAME!	ニューゲーム	第2話で、涼風青葉の新人歓迎会が開かれていた居酒屋。<br />作中では店名が「築地太平洋」になっていました。<br />※閉店済。				スギナミク	ニ	13	12	2	閉店
0636	0022	完了	東京都	杉並区	中杉通り（タナカ産業前）	166-0004	東京都杉並区阿佐谷南3-1		35.700827	139.635753	"https://www.google.co.jp/maps/@35.7008803,139.6358499,3a,25y,225.42h,92.46t/data=!3m6!1e1!3m4!1sRdTqBirlvDvFyvihGeU0BQ!2e0!7i13312!8i6656"				4		NEW GAME!	ニューゲーム	第3話の、寝坊して会社に遅刻しそうな涼風青葉が、電車で一緒になった飯島ゆんと走って会社に向かうシーンで、つまづいて転んだ青葉がバッグの中身を道にぶちまけていた場所。				スギナミク	ニ	13	12	2	
0636	0023	完了	東京都	杉並区	中杉通り（豚骨番長 阿佐ヶ谷店前）	166-0004	東京都杉並区阿佐谷南3-31		35.701946	139.636028	"https://www.google.co.jp/maps/@35.7020273,139.6361598,3a,34.8y,261.05h,92.5t/data=!3m6!1e1!3m4!1sp7iDnYXTamRxjX6WHltwrg!2e0!7i13312!8i6656"						NEW GAME!	ニューゲーム	第4話で、涼風青葉が会社帰りに一緒になった葉月しずくと歩いていた場所。<br />作中では、豚骨番長の店名が「阿佐ヶ谷らーめん」になっていました。<br />第7話では、デバッグのアルバイトに腐り始めた桜ねねが肩を落として歩く姿が描かれていました。				スギナミク	ニ	13	12	2	
0636	0024	完了	東京都	杉並区	中杉通り（Morita Building 2前）	166-0004	東京都杉並区阿佐谷南3-31		35.702103	139.636063	"https://www.google.co.jp/maps/@35.7021073,139.6361384,3a,26.5y,268.03h,88.3t/data=!3m6!1e1!3m4!1sK8Jq3KHdnaJzJgZ2XbPDJA!2e0!7i16384!8i8192"				4		NEW GAME!	ニューゲーム	第4話で、涼風青葉が会社帰りに一緒になった葉月しずくと歩いていた場所。<br />ビル1階の孫 阿佐ヶ谷店（作中での店名は「村」）やビル入口が描かれていました。				スギナミク	ニ	13	12	2	
0636	0025	完了	東京都	杉並区	中杉通り（ファミリーマート 阿佐谷南三丁目店前）	166-0004	東京都杉並区阿佐谷南3-31		35.702484	139.636152	"https://www.google.co.jp/maps/@35.7025979,139.636194,3a,18.2y,195.18h,94.56t/data=!3m6!1e1!3m4!1suRmjjAl4MchBzFpteO_Cmw!2e0!7i16384!8i8192"				5		NEW GAME!	ニューゲーム	第4話で、涼風青葉が会社帰りに一緒になった葉月しずくと歩いていた場所。<br />青葉が葉月に、八神コウのことを、少しだらしないところがあるものの、憧れで目標なんだと語っていました。				スギナミク	ニ	13	12	2	
0636	0026	完了	東京都	杉並区	JR 阿佐ヶ谷駅	166-0004	東京都杉並区阿佐谷南3-36-2		35.704786	139.636269	"https://www.google.com/maps/@35.7045909,139.6363651,3a,26y,326.52h,98.45t/data=!3m6!1e1!3m4!1sk8XAFRsMGK6xnElq6FhLzQ!2e0!7i16384!8i8192"				4		NEW GAME!	ニューゲーム	ゲーム会社「イーグルジャンプ」の最寄駅。<br />第1話冒頭では、「イーグルジャンプ」に初出勤する涼風青葉が下車する様子が描かれていました。<br />第3話では、寝坊して会社に遅刻しそうな青葉と飯島ゆんが、下車するなり走って改札に向かい、駅から出てくる姿が描かれていました。<br />第10話冒頭では、寝過ごしそうになった青葉が電車を飛び降りる姿が描かれていました。				スギナミク	ニ	13	12	2	
0636	0027	完了	東京都	杉並区	荻窪なごみの湯	167-0043	東京都杉並区上荻1-10-10		35.704849	139.618215	"https://www.google.co.jp/maps/@35.7049339,139.6182177,3a,46y,168.05h,100.39t/data=!3m6!1e1!3m4!1sdpJ1D7dNG_I9TEOiNpkawA!2e0!7i13312!8i6656"						NEW GAME!	ニューゲーム	第9話で、会社に泊まり込みで作業をしていた涼風青葉たちが、滝本ひふみの提案で入りに来た銭湯。				スギナミク	ニ	13	12	2	
0636	0028	完了	東京都	豊島区	サンシャインシティ　噴水吹抜前広場	170-0013	東京都豊島区東池袋3-1-1	サンシャインシティ アルパ 2F	35.729213	139.719064	-						NEW GAME!	ニューゲーム	第12話で、『フェアリーズストーリー3』の打ち上げ（大ヒット御礼祝賀会）会場から抜け出した八神コウを探しに来た涼風青葉が、ベンチで一人座っていたコウを見つけた場所で、青葉がコウにサインをお願いしていました。				トシマク	ニ	13	18	2	
0636	0029	完了	東京都	三鷹市	榛沢橋	181-0015	東京都三鷹市大沢5-11		35.672613	139.534237	-						NEW GAME!	ニューゲーム	第1話冒頭カットで、西側から橋を望む構図で周囲の桜や橋が描かれていました。<br />第3話の会社帰りシーンでも、同じ構図の夜のカット描かれていました。<br />第11話では、紅葉の中の橋が同じ構図で描かれていました。				ミタカシ	ニ	13	47	2	
