作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0637	0003	完了	東京都	千代田区	秋葉原UDX	101-0021	東京都千代田区外神田4-14-1		35.700273	139.772402	"https://www.google.co.jp/maps/@35.6999933,139.7723806,2a,30y,7.3h,97.23t/data=!3m6!1e1!3m4!1sco-BeEPOi4bEGTNhhW9LlQ!2e0!7i16384!8i8192"						NEW GAME!!	ニューゲーム	第12話で、「PECO」の完成披露イベントに向かう涼風青葉たち「イーグルジャンプ」一行が、2階AKIBA SQUARE前の「PECO」の巨大垂れ幕を見上げていました。				チヨダク	ニ	13	17	2	
0637	0004	完了	東京都	千代田区	UDXシアター	101-0021	東京都千代田区外神田4-14-1	秋葉原UDX 4F	35.700886	139.772592	-						NEW GAME!!	ニューゲーム	第12話で、『PECO』の完成披露イベントが行われていた施設。				チヨダク	ニ	13	17	2	
0637	0005	完了	東京都	文京区	TOKYO DOME CITY HALL	112-0004	東京都文京区後楽1-3-61	東京ドームミーツポート1F	35.703033	139.754785	"https://www.google.co.jp/maps/@35.7022904,139.755448,3a,15y,325.65h,103.58t/data=!3m6!1e1!3m4!1sHP523E7zbsZHUe4htT_Efg!2e0!7i16384!8i8192"				5		NEW GAME!!	ニューゲーム	第4話で、篠田はじめたちが観に行った「魔法少女ムーンレンジャー」のファイナルライブの会場。<br />作中では施設名が「TOKYO DOOr CITY HALL」になっていました。				ブンキョウク	ニ	13	21	2	
0637	0001	完了	東京都	墨田区	十一屋	131-0031	東京都墨田区墨田3-23-17		35.730223	139.819997	"https://www.google.co.jp/maps/@35.7301519,139.8198939,3a,46y,42.11h,87.72t/data=!3m6!1e1!3m4!1svoilA_MRuapiu-XYc97Plw!2e0!7i13312!8i6656"						NEW GAME!!	ニューゲーム	第7話で、葉月しずくと大和・クリスティーナ・和子が酒を飲んでいた居酒屋。<br />大和が会社の方針に逆らえず、キービジュアルを涼風青葉ではなく八神コウに担当させざるを得なかったこと自身の不甲斐なさを嘆いて、泣きわめいていました。				スミダク	ニ	13	13	2	
0637	0006	完了	東京都	江東区	サンストリート亀戸	136-0071	東京都江東区亀戸6-31-1		35.695894	139.828805	-						NEW GAME!!	ニューゲーム	第9話Aパートで、篠田はじめが、飯島ゆん、ゆんの妹弟と「インセクトファイブ」のヒーローショーを見ていた施設。				コウトウク	ニ	13	8	2	
0637	0007	完了	東京都	大田区	羽田空港国際線旅客ターミナル	144-0041	東京都大田区羽田空港		35.544987	139.768797	-						NEW GAME!!	ニューゲーム	第12話で、フランスのゲーム会社に就職することになった八神コウを、涼風青葉たち「イーグルジャンプ」一行が見送りに来た空港。<br />出発ロビーや展望デッキが描かれていました。				オオタク	ニ	13	5	2	
0637	0002	完了	東京都	渋谷区	ボンダイカフェ	151-0063	東京都渋谷区富ヶ谷1-15-2		35.666814	139.692393	"https://www.google.co.jp/maps/@35.6669585,139.6924515,3a,26y,184.95h,89.93t/data=!3m6!1e1!3m4!1sfb7nzoIEf7Af2DbB2xmI-Q!2e0!7i16384!8i8192"				4		NEW GAME!!	ニューゲーム	第6話で、桜ねねが完成した自作ゲームを、オープンテラス席で涼風青葉と星川ほたるに披露していた喫茶店。<br />作中では店名が「BANDI CAFE」になっていました。				シブヤク	ニ	13	10	2	
0637	0008	完了	東京都	渋谷区	ハチ公像	150-0043	東京都渋谷区道玄坂2-1		35.659056	139.700620	-						NEW GAME!!	ニューゲーム	第1話で、桜ねねから相談があると呼び出された阿波根うみこが、ねねを待っていた場所。<br />作中では犬像がペンギンの像に、刻まれた文字も「忠鳥ペン公」に変えられていました。				シブヤク	ニ	13	10	2	
0637	0009	完了	東京都	渋谷区	スクランブル交差点	150-0043	東京都渋谷区道玄坂2-1		35.659500	139.700486	"https://www.google.co.jp/maps/@35.6595793,139.7004996,3a,60y,160.04h,95.38t/data=!3m6!1e1!3m4!1s3ZRETEqjzql460Oe3wq6MA!2e0!7i13312!8i6656"				2.5		NEW GAME!!	ニューゲーム	第1話の渋谷シーンの冒頭カットで、スターバックスコーヒー SHIBUYA TSUTAYA店から渋谷駅側を望む構図で交差点が描かれていました。				シブヤク	ニ	13	10	2	
0637	0010	完了	東京都	渋谷区	ガスト 渋谷駅前店	150-0043	東京都渋谷区道玄坂2-3-1	渋谷駅前ビル 7F	35.659359	139.699887	-						NEW GAME!!	ニューゲーム	第1話で、桜ねねが、相談があると呼び出した阿波根うみこにゲームのプログラムバグについてアドバイスを貰っていたファミレスのモデル。<br />内装などは一致しませんが、窓の外に道向いの渋谷西村總本店の看板が描かれており、位置的には合致します。				シブヤク	ニ	13	10	2	
