作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0116	0021	完了	東京都	千代田区	コミックとらのあな 秋葉原店A	101-0021	東京都千代田区外神田4-3-1		35.700427	139.771718	"https://www.google.co.jp/maps/@35.700446,139.7714037,3a,39.3y,93.98h,118.35t/data=!3m6!1e1!3m4!1seFrTYp45UA0VXvKyk1rohg!2e0!7i16384!8i8192"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第4話で、佐藤達広が山崎薫にエロゲの聖地だと言って連れてこられた秋葉原で、巨大なビル看板を見上げて放心していました。				チヨダク	エ	13	17	2	
0116	0020	完了	東京都	江東区	東京ビッグサイト	135-0063	東京都江東区有明3-11-1		35.629779	139.794085	"https://www.google.co.jp/maps/@35.6301078,139.7923001,3a,37.6y,95.49h,101.58t/data=!3m6!1e1!3m4!1s5fLIquCQUYDmSzKdLMz7Bw!2e0!7i16384!8i8192"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第3話で、山崎薫の妄想サクセスストーリーの中で、山崎と佐藤達広がエロゲを売っていたイベント会場。<br />第14話では、夏コミにて山崎が一人で佐藤と一緒に作ったエロゲ「True World ～真実のセカイ～」の体験版を販売していました。<br />第21話では、ついに完成したエロゲを冬コミにて2人で販売していました。				コウトウク	エ	13	8	2	
0116	0025	完了	東京都	大田区	羽田空港第2ターミナル	144-0041	東京都大田区羽田空港3-4		35.551003	139.788608	-						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第8話で、佐藤達広の母が達広の様子を見に上京するシーンで描かれていた空港。				オオタク	エ	13	5	2	
0116	0042	完了	東京都	渋谷区	東急百貨店 渋谷駅･東横店	150-0002	東京都渋谷区渋谷2-24-1		35.658827	139.700806	"https://www.google.co.jp/maps/@35.6594453,139.7009808,3a,45.7y,192.66h,106.53t/data=!3m6!1e1!3m4!1svuRbbI-dMhFx9-dGKWl1DA!2e0!7i13312!8i6656"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第21話で、佐藤達広と中原岬が、卒業試験と称して初詣にやって来た渋谷シーンの冒頭カットで描かれていたビル。第21話で、				シブヤク	エ	13	10	2	
0116	0039	完了	東京都	渋谷区	渋谷東日本ビルとサンクスビルの間	150-0041	東京都渋谷区神南1-22		35.661271	139.700961	"https://www.google.co.jp/maps/@35.6612886,139.7008616,3a,42y,98.4h,103.94t/data=!3m6!1e1!3m4!1s6AhBkykvZ6EDlgsF2DJ2JQ!2e0!7i13312!8i6656"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第21話で、大晦日に渋谷に来て中原岬とはぐれてしまった佐藤達広が、群衆に怖気づいて隠れていたビル間の隙間。<br />実際にはパイプなどがあって作中のような入り込めるスペースはありません。<br />作中では、カラオケパセラノやロスカボス 渋谷店の看板が確認できます。				シブヤク	エ	13	10	2	
0116	0037	完了	東京都	渋谷区	渋谷公会堂　時計台	150-0042	東京都渋谷区宇田川町1		35.664481	139.698679	"https://www.google.co.jp/maps/@35.6643137,139.6990001,3a,34y,305.12h,102.95t/data=!3m6!1e1!3m4!1s5x3_nUKtphtXI48qLypkRw!2e0!7i13312!8i6656"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第22話で、初詣に来た渋谷ではぐれてしまった佐藤達広を探す中原岬が、台座に腰掛けて休んでいた場所。				シブヤク	エ	13	10	2	
0116	0036	完了	東京都	渋谷区	渋谷ロフト	150-0042	東京都渋谷区宇田川町21-1		35.660826	139.699682	"https://www.google.co.jp/maps/@35.6609029,139.6997632,3a,75y,253.1h,91.18t/data=!3m6!1e1!3m4!1sXQIK-lRuTXWOrrcYXCLo3g!2e0!7i13312!8i6656"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第22話で、渋谷で柏瞳と遭遇した偶然に妄想を膨らませて鼻血を出した佐藤達広が、瞳に付き添われてロフトの入口前の階段に腰掛けて休んでいました。				シブヤク	エ	13	10	2	
0116	0040	完了	東京都	渋谷区	渋谷駅東口歩道橋	150-0043	東京都渋谷区道玄坂1-1		35.657553	139.700878	"https://www.google.co.jp/maps/@35.6574806,139.7011329,3a,15.8y,331.9h,92.84t/data=!3m6!1e1!3m4!1s1mqIPDOYerQxKv2HWjohLw!2e0!7i16384!8i8192"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第22話で、佐藤達広が、はぐれてしまった中原岬のことをすっかり忘れて一緒に酒を飲んでいた柏瞳と別れていた歩道橋。<br />別れ際に瞳から母親になることを聞かされ、それまで何年も未練を引きずっていた初恋が完全に終わったことを悟った佐藤が、お祝いの言葉と共に瞳を見送っていました。<br />歩道橋を歩く2人の背景に大外ビルのビル看板や渋谷マークシティー連絡通路などが描かれています。				シブヤク	エ	13	10	2	
0116	0038	完了	東京都	渋谷区	京王電鉄 渋谷駅	150-0043	東京都渋谷区道玄坂1-4-1		35.658318	139.698574	-						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第22話で、はぐれてしまった中原岬のことをすっかり忘れて一緒に酒を飲んでいた柏瞳と別れた佐藤達広が、家に帰ろうと切符を買っていた駅で、切符売り場付近が描かれていました。<br />作中では駅名が「井の蛙線 渋爺駅」になっていました。				シブヤク	エ	13	10	2	
0116	0041	完了	東京都	渋谷区	ホテル街への階段坂	150-0043	東京都渋谷区道玄坂2-28		35.659267	139.697306	"https://www.google.co.jp/maps/@35.6592613,139.6971629,3a,20.6y,87.61h,82.51t/data=!3m6!1e1!3m4!1sPozK1RqdVhkxIiCCD8eF9Q!2e0!7i16384!8i8192"						N・H・Kにようこそ！	エヌエイチケーニヨウコソ	第22話で、はぐれてしまった中原岬のことをすっかり忘れて柏瞳と一緒に酒を飲んでいた佐藤達広が、瞳と共に上っていた階段坂。				シブヤク	エ	13	10	2	
