作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1272	0001	完了	東京都	練馬区	上石神井6号踏切	177-0052	東京都練馬区関町東1-13		35.727173	139.581951	"https://www.google.com/maps/@35.7273796,139.5819569,3a,15y,178.07h,89.62t/data=!3m6!1e1!3m4!1s8LUXdwU1FpjxIiLDwdZnVQ!2e0!7i16384!8i8192"				5		Occultic;Nine	オカルティックナイン	第4話で、幽体離脱中の日下部吉柳が、自殺を図ろうとしていた紅ノ亞里亞と出会った踏切。				ネリマク	オ	13	20	2	
1272	0002	完了	東京都	武蔵野市	成蹊大学	180-0001	東京都武蔵野市吉祥寺北町3-3-1		35.711430	139.573245	-						Occultic;Nine	オカルティックナイン	橋上サライ、西園梨々花が通う「成明大学」のモデル。<br />サライが梨々花と出会った掲示板の他、校門などが描かれていました。				ムサシノシ	オ	13	48	2	
1272	0003	完了	東京都	武蔵野市	成蹊大学　10号館	180-0001	東京都武蔵野市吉祥寺北町3-3-1		35.712476	139.573845	-						Occultic;Nine	オカルティックナイン	第1～2話で、橋上諌征教授の殺人事件現場となった橋上研究室のある「成明大学」理工学部のビル。				ムサシノシ	オ	13	48	2	
1272	0004	完了	東京都	武蔵野市	成蹊学園前交差点	180-0001	東京都武蔵野市吉祥寺北町3-4		35.709812	139.572366	"https://www.google.com/maps/@35.7097792,139.5723443,3a,52.3y,19.48h,86.44t/data=!3m6!1e1!3m4!1sRTzJg8uCVy5l5d27PWEmRw!2e0!7i16384!8i8192"						Occultic;Nine	オカルティックナイン	第4話で、幽体離脱中の日下部吉柳が各所を巡りながら自己紹介をするモノローグシーンで描かれていた交差点。				ムサシノシ	オ	13	48	2	
1272	0005	完了	東京都	武蔵野市	成蹊中学・高等学校	180-0001	東京都武蔵野市吉祥寺北町3-10-13		35.716124	139.572745	"https://www.google.com/maps/@35.7146629,139.5723495,157a,35y,357.98h,39.99t/data=!3m1!1e3"						Occultic;Nine	オカルティックナイン	ガモタン（我聞悠太）や、りょーたす（成沢稜歌）、みゅうポム（相川実優羽）、鬼崎あすなが通う「成明高校」のモデル。				ムサシノシ	オ	13	48	2	
1272	0006	完了	東京都	武蔵野市	武蔵野八幡宮	180-0002	東京都武蔵野市吉祥寺東町1-1-23		35.707769	139.580254	"https://www.google.com/maps/@35.7071373,139.5796757,3a,15y,38.76h,90.63t/data=!3m6!1e1!3m4!1scuub_G_8RS5Qbm2Yp0hm8w!2e0!7i13312!8i6656"				5		Occultic;Nine	オカルティックナイン	第4話で、幽体離脱中の日下部吉柳が各所を巡りながら自己紹介をするモノローグシーンで描かれていた神社。<br />同話のラストから第5話では、ガモタン（我聞悠太）が、橋上サライに追われて境内に逃げ込み、追い詰められて橋上諌征教授の殺害現場に居合わせたことや現場の様子を白状していました。<br />作中では名前が「武蔵野七幡宮」になっていました。				ムサシノシ	オ	13	48	2	
1272	0007	完了	東京都	武蔵野市	井之頭架道橋	180-0003	東京都武蔵野市吉祥寺南町1-1		35.703068	139.577315	"https://www.google.com/maps/@35.7029224,139.5773872,3a,32y,321.25h,103.52t/data=!3m6!1e1!3m4!1sDHKekK9GeyaFtGvJYvYa3w!2e0!7i13312!8i6656"						Occultic;Nine	オカルティックナイン	第2話で、学校帰りのみゅうポム（相川実優羽）と川畑千津が別れる交差点シーンの冒頭カットで描かれていた高架線路。				ムサシノシ	オ	13	48	2	
1272	0008	完了	東京都	武蔵野市	ウッドベリーズ 本店	180-0003	東京都武蔵野市吉祥寺南町1-4-1	井の頭ビル1F	35.702387	139.579320	"https://www.google.com/maps/@35.7023327,139.5792129,3a,15y,55.5h,86.83t/data=!3m6!1e1!3m4!1sHdcPx_qQDZ9yJ9hgXYebrQ!2e0!7i16384!8i8192"				5		Occultic;Nine	オカルティックナイン	第5話で、森塚駿がブルームーンに向かうガモタン（我聞悠太）とりょーたす（成沢稜歌）を尾行するシーンの冒頭カットで描かれていた店。				ムサシノシ	オ	13	48	2	
1272	0009	完了	東京都	武蔵野市	大原商店 前	180-0003	東京都武蔵野市吉祥寺南町1-15-5	伊藤ビル 1F	35.701263	139.578550	"https://www.google.com/maps/@35.7010893,139.5784863,3a,39y,27.19h,94.97t/data=!3m6!1e1!3m4!1s4P7EiRrt9vdNODe9O7Ik_g!2e0!7i13312!8i6656"						Occultic;Nine	オカルティックナイン	第7話で、自分が死んでいることを信じないガモタン（我聞悠太）が、ゾン子に真偽を確かめられると言われ、突レポでまとめブログ「キリキリバサラ」のアフィリエイト収入を稼げると自分に言い聞かせつつ、「ニゴロ事件」の遺体が安置されている「台盛寺」に向かって歩いていた場所。				ムサシノシ	オ	13	48	2	
1272	0010	完了	東京都	武蔵野市	マザーズ 吉祥寺店 前	180-0003	東京都武蔵野市吉祥寺南町1-15-14	グランメゾン吉祥寺 2F	35.701100	139.578392	"https://www.google.com/maps/@35.7010742,139.5786344,3a,29y,290.39h,93.98t/data=!3m6!1e1!3m4!1sXuzD8gGEPXhesVjEVYIiGA!2e0!7i13312!8i6656"				4		Occultic;Nine	オカルティックナイン	第7話で、ゾン子に自分が死んでいるかどうかを確かめられると言われ、突レポでまとめブログ「キリキリバサラ」のアフィリエイト収入を稼げると自分に言い聞かせつつ、「ニゴロ事件」の遺体が安置されている「台盛寺」に向かうガモタン（我聞悠太）が、突レポするなら実況した方がいいかもとスマホで撮影の練習をしていたところを通行人にぶつかられていた場所。<br />ガモタンにぶつかった通行人が自分の存在に気づかないような態度をするも、そこには触れずに足早に「台盛寺」に向かっていました。				ムサシノシ	オ	13	48	2	
