作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0731	0001	完了	群馬県	吾妻郡	草津温泉バスターミナル 正面	377-1701	群馬県吾妻郡草津町草津		36.620885	138.596455	"https://www.google.co.jp/maps/@36.6210408,138.5966313,3a,20.5y,208.18h,93.92t/data=!3m6!1e1!3m4!1ssDofLT19-jDQmLUvze2nhg!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.3		PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、生徒会が合宿で訪れた草津のシーン冒頭で描かれてい建物。				アガツマグン	フ	10	12	2	
0731	0002	完了	群馬県	吾妻郡	草津温泉バスターミナル	377-1701	群馬県吾妻郡草津町草津		36.620937	138.596234	"https://www.google.co.jp/maps/@36.6211161,138.5961853,3a,26.7y,167.36h,100.96t/data=!3m6!1e1!3m4!1sVNRo810CShkqwMc8qlvFCA!2e0!7i13312!8i6656?hl=ja"	17.0		120	2.2		PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、生徒会が合宿で訪れた草津のシーン冒頭で、生徒会がバスから降りていた場所。				アガツマグン	フ	10	12	2	
0731	0003	完了	群馬県	吾妻郡	湯畑	377-1711	群馬県吾妻郡草津町草津		36.623013	138.596868	"https://www.google.co.jp/maps/@36.6229167,138.5968063,3a,29.2y,198.19h,86.46t/data=!3m8!1e1!3m6!1s-bqp7Br9gvB0%2FViCAuEia6sI%2FAAAAAAAAADk%2FmyPdcQZzSrY!2e4!3e11!6s%2F%2Flh5.googleusercontent.com%2F-bqp7Br9gvB0%2FViCAuEia6sI%2FAAAAAAAAADk%2FmyPdcQZzSrY%2Fw203-h101-n-k-no%2F!7i11176!8i5588?hl=ja"	18.0					PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、生徒会が合宿で訪れた草津の温泉街風景のカットで描かれていた場所の一つ。				アガツマグン	フ	10	12	2	
0731	0004	完了	群馬県	吾妻郡	西の河原公園	377-1711	群馬県吾妻郡草津町草津		36.624024	138.591149	-	17.0		0			PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、生徒会が合宿で訪れた草津の温泉街風景のカットで描かれていた場所の一つ。				アガツマグン	フ	10	12	2	
0731	0005	完了	群馬県	吾妻郡	ちちや本店	377-1711	群馬県吾妻郡草津町草津89		36.621880	138.597298	"https://www.google.co.jp/maps/@36.6218442,138.5971961,3a,61y,60.04h,90.32t/data=!3m6!1e1!3m4!1sP3P8xIZB2XOuCTrl9XPugA!2e0!7i13312!8i6656?hl=ja"	18.0		120	1		PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、生徒会が合宿で訪れた草津のシーンで描かれていた饅頭屋。	http://www.honke-chichiya.com/			アガツマグン	フ	10	12	2	
0731	0006	完了	群馬県	吾妻郡	勢洲館 前	377-1711	群馬県吾妻郡草津町草津333-1		36.623891	138.598517	"https://www.google.co.jp/maps/@36.6239369,138.5985054,3a,46.9y,171.6h,80.83t/data=!3m6!1e1!3m4!1sUtidBQst7E7HCjRn5vYc_Q!2e0!7i13312!8i6656?hl=ja"	18.0		120	3		PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、草津の温泉街風景のカットで描かれていた坂道。				アガツマグン	フ	10	12	2	
0731	0007	完了	群馬県	吾妻郡	あおやま湯畑店 前	377-1711	群馬県吾妻郡草津町草津497-1		36.623580	138.594255	"https://www.google.co.jp/maps/@36.623505,138.5944411,3a,25.1y,301.06h,97.62t/data=!3m7!1e1!3m5!1saqU1rNtiVd2GeLgLl2qdgQ!2e0!5s20110501T000000!7i13312!8i6656?hl=ja"	18.0		120	3		PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、生徒会が合宿で訪れた草津の温泉街風景のカットで描かれていた場所の一つ。				アガツマグン	フ	10	12	2	
0731	0008	完了	群馬県	吾妻郡	草津ビジターセンター	377-1711	群馬県吾妻郡草津町草津521		36.624194	138.588626		18.0		0		0279-88-5705	PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、生徒会が合宿で訪れた草津の温泉街風景のカットで描かれていた場所の一つ。				アガツマグン	フ	10	12	2	
0731	0009	完了	群馬県	吾妻郡	桐島屋旅館	377-1711	群馬県吾妻郡草津町541		36.624441	138.598149		18.0		0		0279-88-2871	PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、イツキたち生徒会が合宿で泊まっていた旅館。	http://www.kusatsuonsen.co.jp/			アガツマグン	フ	10	12	2	
0731	0010	完了	東京都	新宿区	新宿駅JR高速バスターミナル	151-0051	東京都渋谷区千駄ヶ谷5-24-1		35.684349	139.702567	"https://www.google.co.jp/maps/@35.6847076,139.7026334,3a,15y,192.68h,91.09t/data=!3m6!1e1!3m4!1srQtTSUlzYXsY14YqYzw4rA!2e0!7i13312!8i6656?hl=ja"						PHANTASY STAR ONLINE 2 THE ANIMATION	ファンタジースターオンラインツージアニメーション	第6話で、草津への合宿へ向かう生徒会が高速バスに乗り込んでいた場所。				シンジュクク	フ	13	11	2	
