作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0951	0001	完了	埼玉県	さいたま市	JR 大宮駅	330-0853	埼玉県さいたま市大宮区錦町630		35.906278	139.623833	-	13.0		0			RDG レッドデータガール	レッドデータガール	第6話で宗田真響の実家のある長野へ向かうために新幹線に乗った駅。作中では駅名は「JB大宮駅」。ちなみに、作中の電光掲示板に表示されていた新幹線の名前は「MAX IWATOBI」「ROCK HOPPER」「HANEJIRO」と、なぜかペンギンの名前になっていました。				サイタマシ	レ	11	1	2	
0951	0002	完了	東京都	新宿区	東京モード学園コクーンタワー横 球体ビル脇の通路	160-0023	東京都新宿区西新宿1-7-2		35.691672	139.697519	"https://www.google.co.jp/maps/@35.691933,139.697492,3a,75y,171.9h,94.26t/data=!3m4!1e1!3m2!1szR1t-a-_LR93lAc6mYNxxA!2e0"				2		RDG レッドデータガール	レッドデータガール	第2話で鈴原紫子の家のある中野へ向かうため、都庁から駅へ向かうシーンで鈴原泉水子と相楽深行が通った場所。				シンジュクク	レ	13	11	2	
0951	0003	完了	東京都	新宿区	新宿野村ビル前	160-0023	東京都新宿区西新宿1-26-2		35.692725	139.69466	"https://www.google.co.jp/maps/@35.692561,139.694606,3a,75y,26.67h,88.43t/data=!3m4!1e1!3m2!1sDgAbSZ5EWNwFSeRluqSs4w!2e0"				2		RDG レッドデータガール	レッドデータガール	第2話で鈴原紫子の家のある中野へ向かうため、都庁から走ってきた鈴原泉水子が息を切らせて立ち止まってしまい、相楽深行に急かされていた場所。				シンジュクク	レ	13	11	2	
0951	0004	完了	東京都	新宿区	東京都庁	160-0023	東京都新宿区西新宿2-8-1		35.689509	139.691709	"https://www.google.co.jp/maps/@35.689605,139.692322,3a,75y,261.58h,150.94t/data=!3m4!1e1!3m2!1shMdKufuJ__xsOOtOr59RCg!2e0"				2		RDG レッドデータガール	レッドデータガール	第2話の修学旅行で粟谷中学校の生徒たちが集合し、教師から自由行動の説明を受けていた場所。				シンジュクク	レ	13	11	2	
0951	0005	完了	東京都	新宿区	東京都庁 都民広場	160-0023	東京都新宿区西新宿2-8-1		35.68974	139.692929	"https://www.google.co.jp/maps/@35.689772,139.69228,3a,75y,107.5h,94.65t/data=!3m4!1e1!3m2!1s_Dn5FZO2DWL5mGOum2SXqQ!2e0"				2		RDG レッドデータガール	レッドデータガール	第2話の修学旅行で粟谷中学校の生徒たちが集合し、教師から自由行動の説明を受けていた場所。				シンジュクク	レ	13	11	2	
0951	0006	完了	東京都	新宿区	東京都庁第一本庁舎 北展望室	160-0023	東京都新宿区西新宿2-8-1		35.689875	139.691628	-						RDG レッドデータガール	レッドデータガール	第2話の修学旅行で鈴原泉水子と相楽深行が訪れた、鈴原紫子との待ち合わせ場所。結局ここでは紫子と会うことはできませんでしたが、展望室内の様子が細部まで忠実に描かれていました。				シンジュクク	レ	13	11	2	
0951	0007	完了	東京都	新宿区	東京都庁第一本庁舎 南エレベーター	160-0023	東京都新宿区西新宿2-8-1		35.689328	139.691773	-						RDG レッドデータガール	レッドデータガール	第2話の修学旅行で鈴原紫子と北展望室で待ち合わせをしていた鈴原泉水子が、間違って南展望室行きのエレベーター待ちをしていて、相楽深行に呼び止められていました。				シンジュクク	レ	13	11	2	
0951	0008	完了	東京都	新宿区	新宿警察署裏交差点	160-0023	東京都新宿区西新宿6		35.692722	139.694482	"https://www.google.co.jp/maps/@35.692561,139.694606,3a,75y,344.15h,95.71t/data=!3m4!1e1!3m2!1sDgAbSZ5EWNwFSeRluqSs4w!2e0"				2		RDG レッドデータガール	レッドデータガール	第2話で鈴原紫子の家のある中野へ向かう鈴原泉水子と相楽深行が走って渡っていた交差点。				シンジュクク	レ	13	11	2	
0951	0009	完了	東京都	中野区	都道4号線	164-0012	東京都中野区本町1-32		35.696685	139.684359	"https://www.google.co.jp/maps/@35.6966661,139.6844314,3a,75y,288.34h,117.19t/data=!3m4!1e1!3m2!1sO3achGfD7Mitcs73D2GxGQ!2e0"				2		RDG レッドデータガール	レッドデータガール	第2話の鈴原泉水子と相楽深行が鈴原紫子の家のある中野へ向かうシーンの挿入カットで、座標地点から西側を望む構図で描かれていました。				ナカノク	レ	13	19	2	
0951	0010	完了	東京都	中野区	サイゼリヤ中野坂上店	164-0012	東京都中野区本町1-32-27		35.696544	139.684351	"https://www.google.co.jp/maps/@35.6966661,139.6844314,3a,75y,178.56h,91.62t/data=!3m4!1e1!3m2!1sO3achGfD7Mitcs73D2GxGQ!2e0"				2	03-3376-0153	RDG レッドデータガール	レッドデータガール	第2話で鈴原紫子の家のある中野へ向かう鈴原泉水子と相楽深行がタクシーを降りた場所。				ナカノク	レ	13	19	2	
0951	0011	完了	東京都	八王子市	川原宿大橋	192-0154	東京都八王子市下恩方町		35.671816	139.260332	"https://www.google.co.jp/maps/@35.6717681,139.26029,3a,75y,19.69h,85.62t/data=!3m4!1e1!3m2!1sKZ_WKsWbz020SUYSn42JLQ!2e0"				2		RDG レッドデータガール	レッドデータガール	第9話で鈴原泉水子に乗り移った姫神が、相楽深行と連れ立って渡っていた橋。南側を望む構図で描かれていました。				ハチオウジシ	レ	13	38	2	
0951	0012	完了	東京都	八王子市	ファミリーマート 八王子西インター店	192-0154	東京都八王子市下恩方町1758		35.672264	139.26004	-					042-650-1963	RDG レッドデータガール	レッドデータガール	第9話で鈴原泉水子に乗り移った姫神が、相楽深行と立ち寄り、ビールを購入しようとする姫神に深行が慌てていたコンビニ。作中では店名が「Friend Mart」になっていました。	http://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&bid=21269&c2=1&kkw001=%e5%85%ab%e7%8e%8b%e5%ad%90%e8%a5%bf%e3%82%a4%e3%83%b3%e3%82%bf%e3%83%bc%e5%ba%97&pgret=2			ハチオウジシ	レ	13	38	2	
0951	0013	完了	東京都	八王子市	聖パウロ学園高等学校	192-0154	東京都八王子市下恩方町2727		35.662535	139.23983	-					042-651-3893	RDG レッドデータガール	レッドデータガール	鈴原泉水子が入学した「鳳城学園」のモデル。	http://www.st-paul.ed.jp/	http://www.st-paul.ed.jp/		ハチオウジシ	レ	13	38	2	
0951	0014	完了	東京都	八王子市	高尾山薬王院　山門	193-0844	東京都八王子市高尾町2177		35.625977	139.250855	"https://www.google.com/maps/@35.6261432,139.2509212,2a,34.8y,211.51h,109.58t/data=!3m6!1e1!3m4!1sxtkYh2S-yhIbi9U8QJK8TA!2e0!7i13312!8i6656"						RDG レッドデータガール	レッドデータガール	第5話で相楽雪政と鈴原泉水子が参拝した神社の山門。	http://www.takaosan.or.jp/			ハチオウジシ	レ	13	38	2	
0951	0015	完了	東京都	八王子市	高尾山薬王院　天狗像・賽銭蛸	193-0844	東京都八王子市高尾町2177		35.625903	139.250721	"https://www.google.com/maps/@35.6258984,139.250797,2a,52.1y,287.29h,84.42t/data=!3m6!1e1!3m4!1s0dWg9svnj_yAjSzL3Ilt5w!2e0!7i13312!8i6656"						RDG レッドデータガール	レッドデータガール	第5話で鈴原泉水子が相楽雪政に自分を「鳳城学園」に入れた理由を問い質していたシーンで、背景に描かれていた像。				ハチオウジシ	レ	13	38	2	
0951	0016	完了	東京都	八王子市	高尾山薬王院　御本堂	193-0844	東京都八王子市高尾町2177		35.625873	139.250279	"https://www.google.com/maps/@35.6257027,139.2502891,2a,64.4y,350.84h,94.98t/data=!3m6!1e1!3m4!1shJpKiMDKnmNkwhb3PYVbSw!2e0!7i13312!8i6656"						RDG レッドデータガール	レッドデータガール	第5話で相楽雪政の鈴原泉水子が参拝した神社の本堂。				ハチオウジシ	レ	13	38	2	
0951	0017	完了	東京都	八王子市	高尾山薬王院　御本社	193-0844	東京都八王子市高尾町2177		35.626187	139.249793	-						RDG レッドデータガール	レッドデータガール	第5話で相楽雪政の鈴原泉水子が参拝した神社の本社。				ハチオウジシ	レ	13	38	2	
0951	0018	完了	東京都	八王子市	高尾山 大見晴園地	193-0844	東京都八王子市高尾町2177		35.624636	139.243112	"https://www.google.com/maps/@35.6246457,139.2431296,2a,59.3y,187.76h,83.93t/data=!3m6!1e1!3m4!1sVUQM79U327E2hSx8gm8IyA!2e0!7i13312!8i6656"						RDG レッドデータガール	レッドデータガール	第5話で相楽雪政の鈴原泉水子が景色を見ていた展望台で、美形の雪政にツーショット写真を求める女性たちが群がり、雪政の撮影会と化していました。				ハチオウジシ	レ	13	38	2	
0951	0019	完了	東京都	八王子市	八王子自然公園入口	193-0826	東京都八王子市元八王子町3		35.654962	139.258978	-						RDG レッドデータガール	レッドデータガール	第9話で鈴原泉水子に乗り移った姫神が、相楽深行に連れて行かせた八王子城本丸跡への途中に通った場所。鳥居や石段が描かれていました。				ハチオウジシ	レ	13	38	2	
0951	0020	完了	東京都	八王子市	八王子神社	193-0826	東京都八王子市元八王子町3		35.653055	139.252691	-						RDG レッドデータガール	レッドデータガール	第9話で鈴原泉水子に乗り移った姫神が、相楽深行に連れて行かせた八王子城本丸跡への途中に通った場所。2人は神社脇の階段を登っていきました。				ハチオウジシ	レ	13	38	2	
0951	0021	完了	東京都	八王子市	八王子城本丸跡	193-0826	東京都八王子市元八王子町3		35.653138	139.253085	-						RDG レッドデータガール	レッドデータガール	第9話で鈴原泉水子に乗り移った姫神が、相楽深行に連れて行かせた場所。石碑と祠が描かれていました。				ハチオウジシ	レ	13	38	2	
0951	0022	完了	長野県	長野市	飯綱高原乗馬倶楽部	380-0888	長野県長野市上ヶ屋2471-613		36.701236	138.149541	-					026-239-3135	RDG レッドデータガール	レッドデータガール	第7話で鈴原泉水子たちが訪れた「入綱高原乗馬倶楽部」のモデル。馬舎などが描かれていました。	http://iizunajoba.com/			ナガノシ	レ	20	5	2	
0951	0023	完了	長野県	長野市	JR 長野駅	380-0921	長野県長野市栗田1038		36.642994	138.188682	-	12.0					RDG レッドデータガール	レッドデータガール	第6話で宗田真響の実家に泊まりに来た鈴原泉水子たちが下車した駅。<br />宗田家での一泊後、生徒会執行部メンバーと待ち合わせをしていたのも同じで駅です。<br />第8話での帰りのシーンにも出ていました。作中では駅名が「JB長野駅」になっていました。				ナガノシ	レ	20	5	2	
0951	0024	完了	長野県	長野市	長野駅前交番 前	380-0921	長野県長野市栗田		36.643547	138.188079	-						RDG レッドデータガール	レッドデータガール	第6話で鈴原泉水子と宗田真響がナンパされていた場所。背景に交番が描かれていました。				ナガノシ	レ	20	5	2	
0951	0025	完了	長野県	長野市	中社宮前バス停	381-4101	長野県長野市戸隠		36.741421	138.084812	"https://www.google.co.jp/maps/@36.7413598,138.0848675,3a,15y,280.43h,88.72t/data=!3m6!1e1!3m4!1swd_qKrIMDlLk23OJc5PcUw!2e0!7i13312!8i6656"				5		RDG レッドデータガール	レッドデータガール	第7話で、合宿を抜け出した宗田真夏を連れ戻しに行く鈴原泉水子と相楽深行の乗るバスを、宗田真響が見送っていた場所。				ナガノシ	レ	20	5	2	
0951	0026	完了	長野県	長野市	奥社の茶屋	381-4101	長野県長野市戸隠		36.755980	138.079136	"https://www.google.co.jp/maps/@36.7557136,138.0792247,3a,18y,348.4h,88.75t/data=!3m6!1e1!3m4!1suisxaDM31e5THJqRuiukQA!2e0!7i13312!8i6656"				5		RDG レッドデータガール	レッドデータガール	第7話で、日本史研究会（宗田真響ファンクラブ）の人たちと別れていたシーンで描かれていた店。				ナガノシ	レ	20	5	2	
0951	0027	完了	長野県	長野市	宿坊極意	381-4101	長野県長野市戸隠3354		36.741584	138.086243	-					026-254-2044	RDG レッドデータガール	レッドデータガール	第6話の生徒会執行部の合宿で宿泊した旅館「神髄」のモデル。	http://www.egokui.com/		座標位置はGoogleマップの住所指定準拠	ナガノシ	レ	20	5	2	
0951	0028	完了	長野県	長野市	戸隠神社	381-4101	長野県長野市戸隠3690		36.742527	138.085117	-						RDG レッドデータガール	レッドデータガール	第6話の生徒会執行部の合宿先にある神社で、到着シーンや、鈴原泉水子と宗田真響の散歩シーンで、大鳥居や社殿、青龍殿、手水舎などの境内各所が描かれていました。	http://www.togakushi-jinja.jp/	http://www.togakushi-jinja.jp/		ナガノシ	レ	20	5	2	
0951	0029	完了	長野県	長野市	戸隠神社中社	381-4101	長野県長野市戸隠3690		36.742487	138.085107	-						RDG レッドデータガール	レッドデータガール	第6話で、生徒会執行部の合宿先で、鈴原泉水子と宗田真響が散歩中に参拝していた神社。				ナガノシ	レ	20	5	2	
