作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1373	0001	完了	岡山県	倉敷市	ミスターバーク 岡山下中野店	700-0973	岡山県岡山市南区下中野1410-7		34.638469	133.910245	"https://www.google.co.jp/maps/@34.638248,133.9101467,3a,42y,17.39h,91.95t/data=!3m7!1e1!3m5!1sDWciMxCvxbJ6-Fly8ZTRAQ!2e0!5s20180801T000000!7i13312!8i6656"						RE-MAIN	リメイン	第7話で、部活帰りの百埼陸、垣花慶太、渡久地光輝の3人がステーキを食べていた店。清水みなとや陸の弟・網浜秀吾の話をしていました。<br />ちなみに、3人が食べていたのはやわごろステーキでした。				クラシキシ	リ	33	2	6		3
1373	0002	完了	岡山県	倉敷市	倉敷青陵高等学校前の道	710-0043	岡山県倉敷市羽島		34.599964	133.779127	"https://www.google.com/maps/@34.5999248,133.7787687,3a,45y,95.96h,89.77t/data=!3m6!1e1!3m4!1sqzANOgPAtx1iEVQm_HO0qw!2e0!7i16384!8i8192"						RE-MAIN	リメイン	第1話で、川窪ちぬから約束のことを聞かされた清水みなとが、それまで逃げていた城島譲と岡栄太郎のもとへ、水球部に入ると叫びながら走っていた場所。<br />第9話で、記憶の戻ったみなとが、学校帰りに校門前でみなとを待ち構えていたちぬと歩いていたのもこの場所でした。<br />オープニングで、自転車で走るみなとが、ちぬとすれ違うシーンもこの場所です。				クラシキシ	リ	33	2	6		3
1373	0003	完了	岡山県	倉敷市	県道22号（駐車場前）	710-0052	岡山県倉敷市美和1-14		34.601881	133.777195	"https://www.google.co.jp/maps/@34.6017109,133.7771855,3a,17.8y,7.65h,88.13t/data=!3m6!1e1!3m4!1sn__fhMqARtLSb8z-V1AneQ!2e0!7i16384!8i8192"						RE-MAIN	リメイン	第7話で、チームジャージを作るにあたって当て込んでいた30％OFFキャンペーンの締切日時（5月29日20時まで）を勘違いしていた城島譲が、慌てて部室を飛び出し、自転車を漕いで猛スピードで店に向かっていた場所。				クラシキシ	リ	33	2	6		2
1373	0004	完了	岡山県	倉敷市	稲垣皮フ科第2専用駐車場 前	710-0052	岡山県倉敷市美和2-13		34.599382	133.777369	"https://www.google.co.jp/maps/@34.5993888,133.7774901,3a,60y,253.43h,87.95t/data=!3m6!1e1!3m4!1sRE85jX_7ICCo2aNilMYbcg!2e0!7i16384!8i8192"						RE-MAIN	リメイン	第7話で、部活帰りの清水みなとが、城島譲からチームのお揃いジャージを作ろうと提案した理由を聞いていた交差点。				クラシキシ	リ	33	2	6		3
1373	0005	完了	岡山県	倉敷市	倉敷美観地区	710-0054	岡山県倉敷市本町		34.596358	133.772862	"https://www.google.co.jp/maps/@34.5963509,133.7727572,3a,29.7y,80.65h,85.58t/data=!3m6!1e1!3m4!1sjEeIjif32PjMQym3PefPtw!2e0!7i16384!8i8192"						RE-MAIN	リメイン	清水みなとの両親が営むジーンズを中心とした雑貨屋「MEMORYSHOP きよみず」がある地区のモデル。店と一致する建物はありません。<br />第8話では、公園で川窪ちぬと会った雨の中の帰り道でスリップ事故を起こしたのも、同話で、記憶の戻ったみなとに会いに来た城島譲たち水球部メンバーが、厳しい口調で拒絶され、別人のようなみなとに一同が呆然となっていたのもこの地区でした。				クラシキシ	リ	33	2	6		5
1373	0006	完了	岡山県	倉敷市	阿智神社	710-0054	岡山県倉敷市本町12-1		34.597269	133.773506	-						RE-MAIN	リメイン	第5話で、家を訪ねて来た岡栄太郎に連れ出された清水みなとが、栄太郎と一緒に訪れた神社。<br />第9話で、みなとが栄太郎に呼び出されていたのもこの神社でした。				クラシキシ	リ	33	2	6		3
1373	0007	完了	岡山県	倉敷市	阿智神社　絵馬殿 	710-0054	岡山県倉敷市本町12-1		34.597330	133.773337	-						RE-MAIN	リメイン	第5話で、家を訪ねて来た岡栄太郎に連れ出された清水みなとが、栄太郎と一緒に夜景を眺めていた場所。栄太郎が、嘘をついて近づいたことをみなとに打ち明けていました。<br />第9話で、みなとが栄太郎に呼び出されていたのもこの場所でした。				クラシキシ	リ	33	2	6		5
1373	0008	完了	岡山県	倉敷市	倉敷市民会館	710-0054	岡山県倉敷市本町17-1		34.595708	133.776212	-						RE-MAIN	リメイン	第11話で、清水みなとの妹・清水明日海が所属する吹奏楽部が出場した「第42回 夏季吹奏楽コンクール中国大会」の会場となっていた施設。				クラシキシ	リ	33	2	6		2
1373	0009	完了	岡山県	倉敷市	JR 倉敷駅	710-0055	岡山県倉敷市阿知1-1-1		34.602321	133.765274	"https://www.google.co.jp/maps/@34.6027738,133.7647215,2a,15.8y,133.2h,89.17t/data=!3m6!1e1!3m4!1s-O-kfrYqM32qNAXeY_naNA!2e0!7i13312!8i6656"						RE-MAIN	リメイン	第10話で、県大会前の緊張をほぐそうと、川窪ちぬが一ノ瀬浩と会っていた駅。待ち合わせをしていた彼女と去っていく一ノ瀬の後ろ姿を、ちぬが寂しげに見ていました。				クラシキシ	リ	33	2	6		3
1373	0010	完了	岡山県	倉敷市	用水路沿いの道	710-0055	岡山県倉敷市阿知1-16		34.599433	133.763916	"https://www.google.co.jp/maps/@34.5993959,133.7639986,3a,26.8y,297.74h,89.57t/data=!3m6!1e1!3m4!1selR7qDZQD5hajQ8n1a2gcw!2e0!7i16384!8i8192"						RE-MAIN	リメイン	第6話のラストで、途中で川窪ちぬに声をかけて一緒に学校に向かう清水みなとが、水球が好きで、今は凄く楽しいことをちぬに伝え、水球をはじめるきっかけを作ってくれたことに対して礼を言っていた場所。				クラシキシ	リ	33	2	6		3
