作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0001	0018	完了	東京都	千代田区	集英社	100-0003	東京都千代田区一ツ橋2-5-10		35.694707	139.758008	"https://www.google.co.jp/maps/@35.6953182,139.7584043,3a,15y,220.77h,122.29t/data=!3m6!1e1!3m4!1sB2BnIWX9jJ4Y3EJQjJQhig!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、菫川ねねねがリー・リンホーと打ち合わせをしていた出版社で、心身小説家・西園はるひと遭遇していました。白山通りから見上げる構図で、ビル上部が描かれていました。<br />第6話で、ねねねが新作のプロットをリーに渡していたシーンでも同じカットが使われていました。				チヨダク	ア	13	17	2		
0001	0023	完了	東京都	千代田区	国立国会図書館	100-0014	東京都千代田区永田町1-10-1		35.678426	139.744187	"https://www.google.com/maps/@35.6771533,139.7432023,3a,33.2y,35.94h,95.88t/data=!3m6!1e1!3m4!1sMyHGC3ZapYpSUhvHF8ob0Q!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第15話で、トト・ブックスの伝手で読子・リードマンとナンシー・幕張が隠れ住んでいた図書館。				チヨダク	ア	13	17	2		
0001	0006	完了	東京都	千代田区	神保町交差点	101-0051	東京都千代田区神田神保町1		35.695952	139.758073	"https://www.google.co.jp/maps/@35.6960135,139.7580347,3a,24y,81.92h,93.96t/data=!3m6!1e1!3m4!1sv8_MUa5ZPXoFAcwiLOEEbA!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第16話で、ウェンディ・イアハートが指揮する「華氏451作戦」の行われた交差点。レイ・ブラッドベリのSF小説「華氏451度」の内容通り、神保町中の古書店から回収した大量の本を積み上げてガソリンを掛け、燃やしていました。<br />作中では名前が「神ノ坂」交差点になっていました。				チヨダク	ア	13	17	2		
0001	0015	完了	東京都	千代田区	神保町の古書店ビル看群 2	101-0051	東京都千代田区神田神保町1-1		35.695863	139.760474	"https://www.google.co.jp/maps/@35.6959358,139.7605985,3a,15y,247.26h,100.47t/data=!3m6!1e1!3m4!1s_UyZWi9epz-iKe4IGg8SmQ!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、三姉妹が神保町を訪れたシーンの冒頭カットで、大屋書房、東陽堂書店、玉英堂書店などのビル看板が描かれていました。<br />第15話で、菫川ねねねと三姉妹が、偶然見つけた読仙社の指令文書に書かれていた「全てを見通す眼の書」があるというトト・ブックスに向かうシーンでも、同じカットが描かれていました。				チヨダク	ア	13	17	2		
0001	0016	完了	東京都	千代田区	神保町の古書店ビル看群 1	101-0051	東京都千代田区神田神保町1-3-2		35.695850	139.759982	"https://www.google.co.jp/maps/@35.6958696,139.7595982,3a,15y,89.12h,97.89t/data=!3m6!1e1!3m4!1sCUnjues2fnYaBixtxdOP1A!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、三姉妹が神保町を訪れたシーンの冒頭カットで、ギャラリー悠、村山書店、東陽堂書店、八木書店、大屋書房などのビル看板が描かれていました。				チヨダク	ア	13	17	2		
0001	0004	完了	東京都	千代田区	文省堂 前	101-0051	東京都千代田区神田神保町1-5		35.695589	139.759580	"https://www.google.co.jp/maps/@35.6956003,139.7594655,3a,38.9y,115.2h,91.43t/data=!3m6!1e1!3m4!1shnAy1Kd7UNaaZhLAWt6wQA!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、菫川ねねねを探すという建前で古書店巡りをしていたミシェール ・チャンが、店全部の本を買い占めた話を聞いて読子・リードマンが戻ってきたと勘違いした古書店の人々が、とっておきの本を倉庫から出してくるとか、他の古書店にも知らせようとか話していた場所。<br />第16話で、大英図書館が神保町の古書店の本を回収するシーンでも、同じ構図のカットが使われていました。<br />※閉店解体済。				チヨダク	ア	13	17	2		
0001	0005	完了	東京都	千代田区	神保町の古書店ビル看群 3	101-0051	東京都千代田区神田神保町1-7		35.695861	139.759602	"https://www.google.co.jp/maps/@35.6958696,139.7595982,3a,40.5y,261.21h,117.16t/data=!3m6!1e1!3m4!1sCUnjues2fnYaBixtxdOP1A!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、三姉妹が神保町で菫川ねねねを探すシーンで、本だらけの神保町で、本を読みたい誘惑に耐えながらねねねを探すマギー・ムイがフラフラになりながら歩いていた背景に、小宮山書店、田村書店、日本文芸社などのビル看板が描かれていました。同話で、ねねねの捜索なんかそっちのけで、古本屋巡りに興じるミシェール ・チャンが両手に大量の本の入った紙袋を抱えながら歩くシーンでも、同じ構図でビル看板が描かれていました。				チヨダク	ア	13	17	2		
0001	0017	完了	東京都	千代田区	奥野書店	101-0051	東京都千代田区神田神保町1-7-15		35.695801	139.759296	-	R.O.D -THE TV-	アールオーディーザティービー	第3話で、三姉妹が菫川ねねねを探しに神保町を訪れたシーンで、浮かれて舞い上がったミシェール ・チャンがそれぞれ自由行動でねねねを探そうと言って踊りながら入っていった古書店。<br />※2003年に閉店。建物も解体済で、現在は跡地に源興號ビルが建っています。				チヨダク	ア	13	17	2	閉店	
0001	0003	完了	東京都	千代田区	神保町交差点（廣文館書店前）	101-0051	東京都千代田区神田神保町1-9		35.695854	139.758332	"https://www.google.co.jp/maps/@35.6959033,139.7581306,3a,27.6y,104.28h,84.64t/data=!3m6!1e1!3m4!1sUiAi9Uqlsa91Rlu6QLLARA!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第17話で、「全てを見通す眼の書」を持つナンシー・幕張を庇う三姉妹たちと菫川ねねねが、大英図書館の職員たちと対峙していた場所。				チヨダク	ア	13	17	2		
0001	0020	完了	東京都	千代田区	書肆アクセス（現・風月洞書店）	101-0051	東京都千代田区神田神保町1-15		35.695268	139.759122	"https://www.google.co.jp/maps/@35.6953496,139.7592063,3a,30.5y,226.15h,88.74t/data=!3m7!1e1!3m5!1sSNrjiLc6HuYAVCLoVRnkXQ!2e0!5s20171001T000000!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、菫川ねねねを探すという建前で古書店巡りをしていたミシェール ・チャンが、両手に本の詰まった紙袋を抱え、息を切らせながら、店の本を全部下さいと言って店員を困惑させていた店。<br />※2007年閉店。				チヨダク	ア	13	17	2		
0001	0019	完了	東京都	千代田区	すずらん通り商店街	101-0051	東京都千代田区神田神保町1-21		35.695430	139.761052	"https://www.google.co.jp/maps/@35.6955375,139.7613831,3a,22y,241.34h,90.63t/data=!3m6!1e1!3m4!1szcmeyjakdldg3OUM4c0NMA!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、アニタ・キングが神保町で菫川ねねねを探すシーンの冒頭カットで商店街ゲート周辺が描かれていました。<br />第16話で、大英図書館が古書店の本を回収するシーンでも同じ場所が描かれていました。<br />作中に描かれている書泉ブックマート2015年9月30日に閉店し、現在はABC-MART 神田神保町店になっています。				チヨダク	ア	13	17	2		
0001	0001	完了	東京都	千代田区	神保町交差点（キムラヤ神保町店前）	101-0051	東京都千代田区神田神保町2-2		35.696058	139.757844	"https://www.google.co.jp/maps/@35.6959342,139.7579183,3a,24y,335.4h,86.12t/data=!3m6!1e1!3m4!1sKChW-BA5kNBTYNwNw3iHeA!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、アニタ・キングが神保町で菫川ねねねを探すシーンで、信号待ちをしていたアニタが神田古書センターに入っていくねねねの姿を見つけた交差点。<br />作中では店名が「ミムラヤ」になっていました。<br />※キムラヤ神保町店は、2014年3月31日に閉店。				チヨダク	ア	13	17	2		
0001	0027	完了	東京都	千代田区	スーパーマーケット 富士屋	101-0051	東京都千代田区神田神保町2-2-15		35.695406	139.758005	"https://www.google.co.jp/maps/@35.6953181,139.7582177,3a,54y,305.42h,94.25t/data=!3m6!1e1!3m4!1sfVZE5q_4_Qky6juPsbZwDA!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第16話で、大英図書館の職員が「華氏451作戦」の準備を進める現場へウェンディ・イアハートがやって来るシーンで、この店の前へウェンディの乗るヘリコプターが降りていました。<br />※2013年7月30日閉店済。				チヨダク	ア	13	17	2	閉店	
0001	0022	完了	東京都	千代田区	神田古書センター	101-0051	東京都千代田区神田神保町2-3		35.695750	139.757380	"https://www.google.co.jp/maps/@35.6958791,139.7574533,3a,28y,201.17h,91.14t/data=!3m6!1e1!3m4!1sbk8OkbWflv-rggHVRZPlHA!2e0!7i13312!8i6656"	R.O.D -THE TV-	アールオーディーザティービー	第3話で、アニタ・キングが神保町で菫川ねねねを探すシーンで、ねねねが入っていったビル。作中では、存在しないはずの地下に「トト・ブックス」という秘密の古本屋がある設定になっていました。	http://koshocenter.com/			チヨダク	ア	13	17	2		
