作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0419	0095	完了	北海道	旭川市	旭川市科学館	078-8329	北海道旭川市宮前通東		43.756248	142.370289	"https://www.google.co.jp/maps/@43.7558484,142.3706559,3a,40.6y,328.14h,96.76t/data=!3m6!1e1!3m4!1sPQefSuu8lVDBFdqxDupGKg!2e0!7i16384!8i8192"						SHIROBAKO	シロバコ	第24話で、水山康宏が『第三飛行少女隊』最終話のオンエアテープ（アニメの放送素材）を納品しに訪れた「北海道旭山ペンギン放送」のモデル。				アサヒカワシ	シ	1	2	1	
0419	0075	完了	東京都	千代田区	新丸の内ビルディング	100-0005	東京都千代田区丸の内1-5-1		35.682530	139.764244	"https://www.google.co.jp/maps/@35.6828989,139.7653004,3a,37y,244.6h,146.14t/data=!3m6!1e1!3m4!1sptS-K7EJJU6OrYB4_4z-EA!2e0!7i16384!8i8192"						SHIROBAKO	シロバコ	第13話で、木下誠一監督と葛城剛大朗プロデューサーが、『第三飛行少女隊』の原作者・野亀武蔵との初顔合わせに訪れていた「夜鷹書房本社ビル」のモデル。木下たちは企画書を元にアニメ化の方針についての確認を予定していたものの、野亀は欠席の上、担当編集者の茶沢信輔も企画書を確認しないまま退席するなど、肩透かしを食らっていました。<br />第23話では、原作者からの最終回絵コンテ全没指示の連絡を受けた葛城と渡辺隼が事情を聞きに訪れるも交渉の余地なしとのことで、原作者である野亀武蔵に直接メールを出してアポを取った木下監督が、野亀と対面すべく訪れていました。				チヨダク	シ	13	17	2	
0419	0002	完了	東京都	千代田区	ラ ブティック ドゥ ジョエル・ロブション 丸の内店	100-0005	東京都千代田区丸の内2-6-1	丸の内ブリックスクエア1F	35.678424	139.762594	"https://www.google.co.jp/maps/@35.6784582,139.7625527,2a,63.5y,120.27h,89t/data=!3m7!1e1!3m5!1sT6tXYCXTFH1X9dVto7Sjxw!2e0!3e5!7i13312!8i6656"	18				03-3217-2877	SHIROBAKO	シロバコ	第8話の宮森あおいの姉・宮森かおりが今井みどりを連れて東京観光をしていたシーンで、2人がお茶していた店。	http://www.robuchon.jp/laboutique			チヨダク	シ	13	17	2	
0419	0097	完了	東京都	千代田区	日比谷国際ビルヂング	100-0011	東京都千代田区内幸町2-2-3		35.670220	139.754276	"https://www.google.com/maps/@35.6700266,139.7542154,3a,59.3y,23.06h,95.79t/data=!3m6!1e1!3m4!1s2urlxpncfilz_MihZ49kcQ!2e0!7i13312!8i6656"						SHIROBAKO	シロバコ	第23話で、最終回絵コンテ全没指示を受けた木下誠一監督が、原作者である野亀武蔵と直接話しをしようと「夜鷹書房本社ビル」に乗り込むシーンで、ビル前に乗り付けた車から下りた木下監督と宮森あおいの背後に描かれていたビル。				チヨダク	シ	13	17	2	
0419	0003	完了	東京都	千代田区	JR 秋葉原駅 電気街口（北）	101-0021	東京都千代田区外神田1-17-6		35.698581	139.772610	"https://www.google.co.jp/maps/@35.6986668,139.7727037,3a,39.5y,11.51h,108.68t/data=!3m7!1e1!3m5!1sCAoSLEFGMVFpcE9DVFUyM0ZXazhrUmcyR3BSNTJBUXVKR09wVzA2Rk1uMzZTMERp!2e0!3e11!7i5000!8i2500"	17					SHIROBAKO	シロバコ	第6話の秋葉原シーンの冒頭カットで描かれていました。				チヨダク	シ	13	17	2	
0419	0004	完了	東京都	千代田区	アキバ☆ソフマップ1号店	101-0021	東京都千代田区外神田3-13-12	IMYビル	35.700307	139.771199	"https://www.google.co.jp/maps/@35.7002639,139.771381,3a,38y,298.85h,122.23t/data=!3m6!1e1!3m4!1s0pANknV6pY5VV2goTCG8KA!2e0!7i16384!8i8192"	17				03-3253-9190	SHIROBAKO	シロバコ	第6話で、「IDEPON展」帰りの宮森あおいたちが、せっかく秋葉原に来たんだからと、足を延ばして見に来た『えくそだすっ！』の屋外広告の貼られたビル。	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1		チヨダク	シ	13	17	2	
0419	0005	完了	東京都	千代田区	AKIBA SQUARE	101-0021	東京都千代田区外神田4-14-1	秋葉原UDX 2F	35.699891	139.772302	"https://www.google.co.jp/maps/@35.7002863,139.7724196,2a,75y,93.84h,98.41t/data=!3m6!1e1!3m4!1sJWMlZWDEx-TmcdXrTO0u1A!2e0!7i13312!8i6656"	16			2		SHIROBAKO	シロバコ	第6話で、宮森あおいと遠藤亮介が見ていた「IDEPON展」の会場。<br />2F出入口や受付、場内の様子などが描かれていました。	http://www.akiba-cross.jp/	http://www.akiba-cross.jp/		チヨダク	シ	13	17	2	
0419	0101	完了	東京都	千代田区	TOKYO MX	102-0083	東京都千代田区麹町1-12	半蔵門メディアセンター	35.684765	139.743967	"https://www.google.com/maps/@35.6839183,139.7442001,3a,39.2y,334.4h,100.38t/data=!3m6!1e1!3m4!1s3PNVVJMgbXvvS95ag05mTA!2e0!7i16384!8i8192"						SHIROBAKO	シロバコ	第24話で、渡辺隼が『第三飛行少女隊』最終話のオンエアテープ（アニメの放送素材）を納品しに行った「TOKYO NX」のモデル。<br />半蔵門ファーストビル越しに見える半蔵門メディアセンターへ、バイクに乗った渡辺が半蔵門交差点を通過して向かう姿が描かれていました。				チヨダク	シ	13	17	2	
0419	0084	完了	東京都	港区	日比谷セントラルビル	105-0003	東京都港区西新橋1-2-9		35.669658	139.754769	"https://www.google.com/maps/@35.6698244,139.7548085,3a,35.6y,188.47h,95.5t/data=!3m6!1e1!3m4!1sgrYwA5IqsS3vfOjECPjgZw!2e0!7i13312!8i6656"						SHIROBAKO	シロバコ	第23話で、最終回絵コンテ全没指示を受けた木下誠一監督が、原作者である野亀武蔵と直接話しをしようと乗り込んだ「夜鷹書房本社ビル」の1階部分のモデル。作中では、2階より上の階部分を新丸の内ビルディングと合成して描かれていました。				ミナトク	シ	13	22	2	
0419	0006	完了	東京都	港区	ビル街	107-0051	東京都港区元赤坂1-3		35.677014	139.733108	"https://www.google.co.jp/maps/@35.6769896,139.7330622,3a,46.9y,53.48h,102.28t/data=!3m6!1e1!3m4!1sPkceeoQ4xMpfB2-iXJndRw!2e0!7i13312!8i6656"	17					SHIROBAKO	シロバコ	第4話で、オーディションを終えた坂木しずかが、落ち込みながら歩いていた場所。				ミナトク	シ	13	22	2	
0419	0007	完了	東京都	港区	知性ビル（プロセンスタジオ）	107-0051	東京都港区元赤坂1-4-2		35.676995	139.732685	"https://www.google.co.jp/maps/@35.6770656,139.7328213,3a,62.9y,238.62h,141.33t/data=!3m6!1e1!3m4!1sZ8hn2wRRRAt5Y0Snx_ytbQ!2e0!7i13312!8i6656"	17				03-3404-4880	SHIROBAKO	シロバコ	第4話で、坂木しずかがテレビアニメ『俺様のハーレムが少しずつ崩壊しているかもしれないけどたぶん気のせいかもしれない（仮）』のオーディションを受けていた「プロイセンスタジオ」のモデル。<br />第9話では、初めてのアニメの仕事となる『野球のプリンス様』のガヤの仕事をもらったしずかが収録に訪れていました。<br />実際には、2階にプロセンスタジオが入っているビルになります。<br />第24話では、しずかが『野球のプリンス様』の女子C役で収録に参加していました。				ミナトク	シ	13	22	2	
0419	0008	完了	東京都	墨田区	東京スカイツリー	131−0045	東京都墨田区押上1-1-13		35.710023	139.810702	"https://www.google.co.jp/maps/@35.7094638,139.8084361,3a,65y,71.52h,130.51t/data=!3m6!1e1!3m4!1s9j8g6JuGy0QjOfWBrfwzqg!2e0!7i16384!8i8192"	16					SHIROBAKO	シロバコ	第8話の宮森あおいの姉・宮森かおりが今井みどりを連れて東京観光をしていたシーンで、2人が訪れていた場所。				スミダク	シ	13	13	2	
0419	0077	完了	東京都	渋谷区	VICTOR STUDIO	150-0001	東京都渋谷区神宮前2-21-1		35.675368	139.712245	"https://www.google.co.jp/maps/@35.6754616,139.7127205,3a,20.5y,235.49h,120.62t/data=!3m6!1e1!3m4!1sDs-tn3s04-gfp-eG29KYwg!2e0!7i16384!8i8192"				5		SHIROBAKO	シロバコ	第17話で、木下誠一監督たちが『第三飛行少女隊』用に作曲された劇伴の演奏を聞いていた「VOYAGER STUDIO」のモデル。				シブヤク	シ	13	10	2	
0419	0068	完了	東京都	新宿区	新宿クルーズ・クルーズ	160-0022	東京都新宿区新宿3-5-4	レインボービレッジビル 8～9F	35.691377	139.705452	"https://www.google.com/maps/@35.6912877,139.7050628,3a,75y,82.35h,117.49t/data=!3m6!1e1!3m4!1scJ9wu0uiIdaCUppBbmlsew!2e0!7i16384!8i8192"				2		SHIROBAKO	シロバコ	第24話で、『第三飛行少女隊』の納品を完了した武蔵野アニメーションや、制作に関わった人々を招いての打ち上げパーティーが開かれていた会場。				シンジュクク	シ	13	11	2	
0419	0009	完了	東京都	新宿区	談話室滝沢 新宿別館	160-0022	東京都新宿区新宿3-36-12	杉忠ビル2F	35.690621	139.702146	"https://www.google.co.jp/maps/@35.6907318,139.702329,3a,53.8y,231.17h,98.7t/data=!3m6!1e1!3m4!1sW_nIuc0QAWAfUM6q2H7pfg!2e0!7i13312!8i6656"						SHIROBAKO	シロバコ	第9話で、メーカープロデューサーの葛城剛大朗とラインプロデューサーの渡辺隼が、夜鷹書房の編集長・半藤達也に『第三飛行少女隊』のアニメ化を武蔵野アニメーションで担当させてもらえないかと頼んでいた店。<br />第11話で、渡辺と葛城が雀荘に来る夜鷹書房の編成局長・尾之上将人を口説き落としたいと話していたのも、この喫茶店でした。<br />第13話、第14話では、木下誠一監督とデスクになった宮森あおいが、美術担当の渥美裕治と打ち合わせをしていました。<br />※2005年3月31日閉店済で、椿屋珈琲店に変わりましたが、建物外観や周囲の建物も作画通りの形で残っています。				シンジュクク	シ	13	11	2	
0419	0102	完了	東京都	新宿区	JR 新宿駅	160-0022	東京都新宿区新宿3-38-1		35.690712	139.700103	"https://www.google.com/maps/@35.6906399,139.7001845,2a,28y,353.52h,84.02t/data=!3m6!1e1!3m4!1si5nU2wjVDw0N6xLCG-g_Mw!2e0!7i13312!8i6656"				4		SHIROBAKO	シロバコ	第24話の『第三飛行少女隊』最終話のオンエアテープ（アニメの放送素材）を手分けして各地のローカルテレビ局に直接納品しに行く宮森あおいたちが各地へ向かうシーンで、宮森たち電車移動組が13・14番ホームに停車した総武線からホームに走り出て、各々の乗り換え電車に向かって散開する姿が描かれていました。				シンジュクク	シ	13	11	2	
0419	0010	完了	東京都	新宿区	淀橋交差点	160-0023	東京都新宿区西新宿5-1		35.696205	139.687239	"https://www.google.co.jp/maps/@35.6961653,139.6872344,3a,60.5y,127.37h,96.38t/data=!3m6!1e1!3m4!1sfpfoVTVMYnPQLys5bRztiQ!2e0!7i16384!8i8192"						SHIROBAKO	シロバコ	第10話の、『えくそだすっ！』最終話アフレコ終わりの打ち上げに参加した木下誠一監督が、宮森あおいに連れ出されて武蔵野アニメーションに戻るシーンで、一行が乗るタクシーが通過していた交差点。				シンジュクク	シ	13	11	2	
0419	0081	完了	東京都	新宿区	STUDIO T＆T 前の道	160-0023	東京都新宿区西新宿7-7		35.696872	139.697210	"https://www.google.co.jp/maps/@35.6968117,139.6973042,3a,20y,304.49h,87.8t/data=!3m6!1e1!3m4!1sdJDC6c0sKTHrBTYipFBAig!2e0!7i16384!8i8192"				4.5		SHIROBAKO	シロバコ	第22話で、葛城剛大朗が、『第三飛行少女隊』最終話の収録が終わった直後に受けた電話で、原作者からの最終回絵コンテ全没の指示を担当編集者の茶沢信輔から伝えられていた場所。				シンジュクク	シ	13	11	2	
