作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1037	0001	完了	東京都	品川区	RecycleShop Zack戸越店	142-0041	東京都品川区戸越2-1-3		35.614927	139.718251	"https://www.google.co.jp/maps/@35.615022,139.718238,3a,31.5y,148.85h,97.36t/data=!3m6!1e1!3m4!1s9_mE_-V6wxac62XIF8-QiA!2e0!7i16384!8i8192"					03-5749-5381	SSSS.GRIDMAN	グリッドマン	宝多六花の母が営む「JUNK SHOP 絢」のモデル。この店にある古いパソコンに響裕太が吸い込まれてグリッドマンに変身していました。	http://www.kobutu.com/shop/zack-togoshi			シナガワク	ク	13	9	2	
1037	0002	完了	東京都	足立区	高架下	120-0022	東京都足立区柳原1-32		35.744837 	139.813218	"https://www.google.co.jp/maps/@35.7450138,139.8132466,3a,23y,175.2h,89.17t/data=!3m6!1e1!3m4!1s9wpY_fq-xvxc6FGNc7xz_w!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	第1話の響裕太と内海将の学校帰りのシーンで、裕太が新条アカネが自分に優しいと言うのを聞いた内海が、怒気を込めて否定する様子に、裕太がアカネのことが好きなのかと指摘し、焦った内海が、自分もグリッドマンが見たいと話題を変えていた場所。<br />第8話では、登校中の裕太、内海、宝多六花の3人が、学校内に来ていたキャリバーたちが通報された話をしていたのも、この高架下でした。				アダチク	ク	13	1	2	
1037	0016	完了	東京都	足立区	池田屋酒店	120-0022	東京都足立区柳原2-7-6		35.748704	139.811530	"https://www.google.co.jp/maps/@35.7486963,139.8116811,3a,16y,258.93h,89.28t/data=!3m6!1e1!3m4!1s1I06nLKMVATVrNrQWP86zQ!2e0!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第2話で、消えてしまったクラスメイトの家を巡る響裕太たちがラムネを飲んで休憩していた場所。				アダチク	ク	13	1	2	
1037	0017	完了	東京都	足立区	民家	120-0023	東京都足立区千住曙町30-14		35.743669	139.815006	"https://www.google.co.jp/maps/@35.7436389,139.8150312,3a,42.6y,348.06h,89.02t/data=!3m6!1e1!3m4!1sqCc_uodSLyMrOdmaEwbb1Q!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	新条アカネの家のモデルで、4本の柱のある門が作中で度々描かれていました。				アダチク	ク	13	1	2	
1037	0009	完了	東京都	足立区	堀切駅南側の歩道橋	120-0023	東京都足立区千住曙町34		35.742760	139.817886	"https://www.google.co.jp/maps/@35.7428423,139.8177986,3a,75y,111.56h,107.32t/data=!3m6!1e1!3m4!1s8Qhe8yrZ5Z1xhp1_z6B0Hw!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	第2話で、響裕太たちが、消えてしまったクラスメイトの家を巡るシーンで、サムライ・キャリバーが飛び降りていた歩道橋。				アダチク	ク	13	1	2	
1037	0019	完了	東京都	中野区	まんだらけ 中野店	164-0001	東京都中野区中野5-52-15		35.709220	139.665809	-						SSSS.GRIDMAN	グリッドマン	第9話で、内海将が新条アカネに誘われて「出撃!!ウルトラメカセレクションII」を買いに行った店。				ナカノク	ク	13	19	2	
1037	0018	完了	東京都	中野区	八幡橋	165-0035	東京都中野区白鷺2-48		35.722530	139.638010	"https://www.google.co.jp/maps/@35.7224728,139.6379895,3a,60.7y,16.88h,89.63t/data=!3m7!1e1!3m5!1s37GIAA1vhxQFjvbUaTnJlg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3D37GIAA1vhxQFjvbUaTnJlg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D287.21707%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第9話冒頭カットで、男が電話で誰かと話しながら渡ってくる姿が描かれていた橋。西武新宿線の踏切越しに怪獣バジャックがその巨大な姿を現しているものの、人々は気づいてない様子が描かれていました。				ナカノク	ク	13	19	2	
1037	0007	完了	東京都	杉並区	井荻陸橋高架下（井荻駅前）	167-0022	東京都杉並区下井草5-23		35.724490	139.614330	"https://www.google.co.jp/maps/@35.7244319,139.6143003,3a,45y,3.36h,90.64t/data=!3m6!1e1!3m4!1sBD4ddGWCxZjVu8WvqUpe3Q!2e0!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第4話で、宝多六花と新条アカネが合コンをした男子大学生たちが次々に存在を消されていることに気づいた六花が、危険を知らせようとArcadiaのやまとを呼び出していた場所。				スギナミク	ク	13	12	2	
1037	0003	完了	東京都	杉並区	荻窪病院	167-0035	東京都杉並区今川3-1-24		35.715287	139.607496	"https://www.google.co.jp/maps/@35.7154772,139.6077862,3a,45y,216.24h,107.86t/data=!3m7!1e1!3m5!1sI7a0fQoO-7Di-Y7MfSkdfw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DI7a0fQoO-7Di-Y7MfSkdfw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D164.66841%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第1話で、記憶喪失となった響裕太が、宝多六花に案内されて診察を受けに行った病院。<br />第9話で、夢の中で再び記憶喪失にさせられた裕太が、配役を六花から新条アカネに代えて再び連れてこられたのもやはり同じこの病院でした。<br />第11話で、アカネに刺された裕太が入院していたのも、この病院でした。<br />第12話では、最後の戦いに際し、裕太と六花が内海将を迎えに訪れていたのも、この病院でした。<br />作中では病院名が「井ノ上病院」になっていました。				スギナミク	ク	13	12	2	
1037	0004	完了	東京都	杉並区	西武鉄道 上井草駅	167-0023	東京都杉並区上井草3-32-1		35.725270	139.603158	"https://www.google.co.jp/maps/@35.7249856,139.60358,3a,46.5y,16.98h,92.94t/data=!3m6!1e1!3m4!1sGMDpk8pjURIWEXmpng4Pew!2e0!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第1話で、怪獣グールギラスが蹴り上げたバスや車がホーム内に降ってきた駅。<br />第5話冒頭では、校外学習に向かう響裕太と内海将が待ち合わせをしていたシーンで、南口が描かれており、同話後半で、マックスたちが裕太たちにパソコンを届けに向かうシーンでも同じカットが使われていました。<br />第6話では、裕太が怪獣少女アノシラス（2代目）と一緒に電車に乗っていた駅で、				スギナミク	ク	13	12	2	
1037	0008	完了	東京都	杉並区	桃井原っぱ公園前の交差点	167-0034	東京都杉並区桃井3-8-1		35.712335	139.608044	"https://www.google.co.jp/maps/@35.7123115,139.6081126,3a,49.2y,308.71h,109.18t/data=!3m6!1e1!3m4!1snr-Mt4A5EgbSyF2Y3e58MQ!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	第4話で、新世紀中学生の4人が同時に出撃しようとして容量オーバーのために上空でフリーズしてしまったグリッドマン目掛けて、アンチが朝雲暮雨怪獣ゴングリーを投げ飛ばしてぶち当てていたシーンで、上空から落下するグリッドマンとゴングリーが描かれていた場所。<br />交差点から桃井原っぱ 公園側の上空を望む構図で、電信柱や電線、ロイヤルパークス荻窪などが描かれていました。				スギナミク	ク	13	12	2	
1037	0010	完了	東京都	杉並区	カラオケ館 西荻窪駅前店	167-0042	東京都杉並区西荻北3-20-3		35.704168	139.600141	"https://www.google.co.jp/maps/@35.7041211,139.6002227,3a,52.8y,269.71h,104.91t/data=!3m7!1e1!3m5!1seXxNETqeUqhB1IZZebKPhA!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DeXxNETqeUqhB1IZZebKPhA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D102.295334%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第4話で、宝多六花と新条アカネが、クラスの女子に誘われて大学生のYouTuberグループ「Arcadia」の4人と行ったカラオケ店。<br />店内の他、店前の西荻窪駅前の通りが描かれていました。				スギナミク	ク	13	12	2	
1037	0014	完了	東京都	杉並区	青梅街道 杉並区天沼三丁目歩道橋	167-0043	東京都杉並区上荻1-23		35.707103	139.616676	"https://www.google.co.jp/maps/@35.7071813,139.6166542,3a,36.5y,157.53h,131.46t/data=!3m6!1e1!3m4!1sKSMKhpsBdctnQWn16g_xeA!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	第6話で、新条アカネに命令されて響裕太を探していたアンチが、ようやく裕太を見つけて叫んでいた歩道橋。				スギナミク	ク	13	12	2	
1037	0013	完了	東京都	杉並区	杉並公会堂 前	167-0043	東京都杉並区上荻1-23-15		35.707020	139.616502	"https://www.google.co.jp/maps/@35.7070129,139.6164428,3a,40.1y,132h,98.81t/data=!3m6!1e1!3m4!1sANvRBNGof9scIebjOGptLg!2e0!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第6話で、新条アカネに命令されたアンチが、響裕太を襲撃していた場所で、マックスとサムライ・キャリバーが助けに入ってアンチと戦っていました。				スギナミク	ク	13	12	2	
1037	0012	完了	東京都	杉並区	陸橋越しのビル群	167-0043	東京都杉並区上荻2-1		35.704305	139.616035	"https://www.google.co.jp/maps/@35.7054416,139.6156747,3a,15y,162.07h,94.45t/data=!3m6!1e1!3m4!1sdCBjRBy-_NSdES0RMy5vOA!2e0!7i16384!8i8192"						SSSS.GRIDMAN	グリッドマン	第6話で、アンチが新条アカネに命令されて響裕太を探しに出たシーンの冒頭カットで描かれていた場所。<br />荻窪白山神社北交差点から望む陸橋越しのビル郡が描かれていました。				スギナミク	ク	13	12	2	
1037	0011	完了	東京都	杉並区	読書の森公園	167-0051	東京都杉並区荻窪3-39-16		35.702295	139.626587	"https://www.google.co.jp/maps/@35.7020874,139.6265564,3a,20y,1.27h,86.1t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5RSjZzcGdPdHE4NnQ1TjJ0YVhWa1dJT0dCbEt5LThFbkc5aXZa!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNQJ6spgOtq86t5N2taXVkWIOGBlKy-8EnG9ivZ%3Dw203-h100-k-no-pi-0-ya97.08973-ro-0-fo100!7i12000!8i6000"						SSSS.GRIDMAN	グリッドマン	第3話で、宝多六花がアンチと遭遇していた公園。<br />第12話で、最後の戦いの後、行方のわからなかったアンチが、怪獣少女アノシラス（2代目）の見守る中で目覚めていたのもこの公園でした。<br />作中では園名が「亀傘公園」になっていました。				スギナミク	ク	13	12	2	
1037	0015	完了	東京都	練馬区	石神井公園	177-0041	東京都練馬区石神井町5-21		35.740289	139.604705	"https://www.google.co.jp/maps/@35.7402796,139.6050119,3a,49.8y,249.67h,85.52t/data=!3m6!1e1!3m4!1sKEBwfLXGy_N8oQnZkUw9JQ!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	第6話で、宝多六花がゴミ箱を漁るアンチと遭遇していた場所。実際にゴミ箱が設置してあり、近くに六花がアンチにパンを食べさせていたり、同話で、響裕太が怪獣の少女からパンや飲み物を与えられていたベンチも近くにあります。				ネリマク	ク	13	20	2	
1037	0005	完了	東京都	練馬区	井草高等学校	177-0044	東京都練馬区上石神井2-2-43		35.727587	139.598722	"https://www.google.co.jp/maps/@35.7276157,139.599444,3a,42y,264.54h,99.56t/data=!3m6!1e1!3m4!1sEHHHC4H8cG9P__Xa5buyoQ!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	響裕太たちが通う高校のモデル。				ネリマク	ク	13	20	2	
1037	0006	完了	東京都	青梅市	JR 御嶽駅	198-0173	東京都青梅市御岳本町310		35.801443	139.182888	"https://www.google.co.jp/maps/@35.8012949,139.1829624,3a,55y,4.13h,91.96t/data=!3m6!1e1!3m4!1sZQwPQWC4Ggb8XtjOGkZo_Q!2e0!7i13312!8i6656"						SSSS.GRIDMAN	グリッドマン	第5話で、校外学習に向かう響裕太たちのクラスが集合していた駅。<br />ラフティングをしていた川で巨大怪獣の出現に遭遇した裕太たちが、マックスたちに「JUNK SHOP 絢」の古いパソコンを持ってくるように頼み、この駅から電力を取って駅前でパソコンを設営していました。				オウメシ	ク	13	27	2	
