作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0404	0001	完了	千葉県	成田市	成田国際空港	282-0004	千葉県成田市古込1-1		35.773745	140.388511		14.0		0			STEINS;GATE	シュタインズゲート	第20話。				ナリタシ	シ	12	18	2	
0404	0002		東京都	千代田区	万世橋	101-0021	東京都千代田区外神田1		35.697222	139.771111		16		0			STEINS;GATE	シュタインズゲート	第4話でIBM5100を運んでいた橋。第11話、第15話				チヨダク	シ	13	17	2	
0404	0003	完了	東京都	千代田区	石丸電気1号店（現・エディオンＡＫＩＢＡ）	101-0021	東京都千代田区外神田1‐2‐9		35.697948	139.77095	"https://www.google.co.jp/maps/@35.697625,139.771158,3a,75y,355.19h,122.64t/data=!3m4!1e1!3m2!1sCfK619Ij_ah6wp0otEdPzg!2e0?hl=ja"	18		120	1.5	03-3257-1100	STEINS;GATE	シュタインズゲート	22話。	http://standard.navitime.biz/edion/Spot.act?dnvSpt=S0043.0000004762&flow=mc&bcCode=13	http://standard.navitime.biz/edion/Spot.act?dnvSpt=S0043.0000004762&flow=mc&bcCode=13		チヨダク	シ	13	17	2	
0404	0004	完了	東京都	千代田区	あきばお～弐號店	101-0021	東京都千代田区外神田1-8-10	バウハウス1F	35.699083	139.770475		18		0		03-3251-6747	STEINS;GATE	シュタインズゲート	第8話でメイドたちがビラ配りをしているカットで	http://www.akibaoo.co.jp/new/	http://www.akibaoo.co.jp/new/		チヨダク	シ	13	17	2	
0404	0005		東京都	千代田区	コインロッカー	101-0021	東京都千代田区外神田1-12-1		35.699292	139.771728	"https://www.google.co.jp/maps/@35.699379,139.77178,3a,75y,216.31h,77.9t/data=!3m4!1e1!3m2!1sB8AWgc3T5B6xLEf_Cy2jNA!2e0?hl=ja"	18		120	2		STEINS;GATE	シュタインズゲート	第20話				チヨダク	シ	13	17	2	
0404	0006		東京都	千代田区	ラジオセンター前	101-0021	東京都千代田区外神田1-14		35.698495	139.771441		18		0			STEINS;GATE	シュタインズゲート	第23話				チヨダク	シ	13	17	2	
0404	0007	完了	東京都	千代田区	AKIHABARAゲーマーズ本店	101-0021	東京都千代田区外神田1-14-7		35.698321	139.771642		18		0		03-5298-8720	STEINS;GATE	シュタインズゲート	第8話で椎名まゆりが店頭ウインドウの展示フィギュアを見ていた店。	http://www.anibro.jp/gamers/akihabara/main.html	http://www.anibro.jp/gamers/akihabara/main.html		チヨダク	シ	13	17	2	
0404	0008		東京都	千代田区	MY WAY 2	101-0021	東京都千代田区外神田1-15		35.698414	139.771864		18		0			STEINS;GATE	シュタインズゲート	第15話で岡部倫太郎、牧瀬紅莉栖、阿万音鈴羽の3人が				チヨダク	シ	13	17	2	
0404	0009	完了	東京都	千代田区	秋葉原ラジオ会館（旧館）	101-0021	東京都千代田区外神田1-15-16		35.698044	139.771939		18		0			STEINS;GATE	シュタインズゲート	第1話でドクター中鉢の「タイムマシン発明性交記念会見」が開催された場所であり、人工衛星（タイムマシン）が墜落し、岡部倫太郎が牧瀬紅莉栖の死体を目撃したビル。残念ながら、2011年7月末に閉館してしまいました。ビル内部の解体作業が進む中、2011年10月28～30日には、作中でビルに衝突した人工衛星（タイムマシン）を再現したオブジェが、ビル壁面に設置されました。				チヨダク	シ	13	17	2	解体
0404	0010		東京都	千代田区	JR 秋葉原駅	101-0021	東京都千代田区外神田1-17-6		35.698333	139.773056		15		0			STEINS;GATE	シュタインズゲート					チヨダク	シ	13	17	2	
