作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0518	0001	完了	埼玉県	所沢市	所沢市民体育館	359-0042	埼玉県所沢市並木5-3		35.809857	139.462327	-	16.0		0		04-2991-1181	TARI TARI	タリタリ	第5話で、田中大智がバドミントンの試合をしていた体育館。	http://www.city.tokorozawa.saitama.jp/shisetu/sportskoen/sports/simintaiikukan/			トコロザワシ	タ	11	15	2	
0518	0002	完了	千葉県	成田市	成田国際空港	282-0004	千葉県成田市古込1-1		35.773745	140.388511	-	14.0		0		0476-32-2253	TARI TARI	タリタリ	第13話で、海外で騎手の養成学校に入学する道を目指すことにした沖田紗羽を見送りに行った空港。第一旅客ターミナルの南ウイング出発ロビーで別れ、展望デッキで紗羽の乗る飛行機の見送りをしていました。				ナリタシ	タ	12	18	2	
0518	0003	完了	神奈川県	横浜市	神奈川県立音楽堂	220-0044	神奈川県横浜市西区紅葉ヶ丘9-2		35.452615	139.626169	"https://www.google.co.jp/maps/@35.4517041,139.6268236,3a,24.5y,324.71h,94.13t/data=!3m6!1e1!3m4!1sQuZoIfjBeA8WEIr_ua66AA!2e0!7i16384!8i8192?hl=ja"					045-263-2567	TARI TARI	タリタリ	第2話で、合唱部初参加のはずが、校長先生の入院のせいで部員到着が遅れ、坂井和奏の伴奏で宮本来夏と沖田紗羽の2人きりでの合唱になってしまった「第35回合同音楽発表会」が開催された会場。	http://www.kanagawa-ongakudo.com/	http://www.kanagawa-ongakudo.com/		ヨコハマシ	タ	14	1	2	
0518	0004	完了	神奈川県	鎌倉市	浄智寺	247-0062	神奈川県鎌倉市山ノ内1402		35.333381	139.546389	"https://www.google.co.jp/maps/@35.3334524,139.5466116,3a,56.3y,187.31h,93.86t/data=!3m7!1e1!3m5!1sVuSI6rWQA4eRK_9szShBUg!2e0!3e5!7i13312!8i6656?hl=ja"						TARI TARI	タリタリ	沖田家のモデル。オープニングをはじめ、作中に度々登場します。				カマクラシ	タ	14	11	2	
0518	0005	完了	神奈川県	鎌倉市	浄智寺 階段	247-0062	神奈川県鎌倉市山ノ内1402		35.333956	139.547329	-						TARI TARI	タリタリ	第2話で、沖田紗羽が坂井和奏を家につれていくシーンで描かれていた石段。				カマクラシ	タ	14	11	2	
0518	0006	完了	神奈川県	鎌倉市	浄智寺 門（内）	247-0062	神奈川県鎌倉市山ノ内1402		35.333398	139.546733	"https://www.google.co.jp/maps/@35.3334524,139.5466116,3a,35.7y,116.82h,91.2t/data=!3m7!1e1!3m5!1sVuSI6rWQA4eRK_9szShBUg!2e0!3e5!7i13312!8i6656?hl=ja"						TARI TARI	タリタリ	沖田家のモデル。オープニングをはじめ、作中に度々登場します。				カマクラシ	タ	14	11	2	
0518	0007	完了	神奈川県	鎌倉市	浄智寺 門（外）	247-0062	神奈川県鎌倉市山ノ内1402		35.333372	139.546808	"https://www.google.co.jp/maps/@35.3333392,139.5469251,3a,68y,304.6h,82.24t/data=!3m7!1e1!3m5!1sGPbX0T8mMqUoTI9dK3Vb9Q!2e0!3e5!7i13312!8i6656?hl=ja"						TARI TARI	タリタリ	沖田家のモデル。オープニングをはじめ、作中に度々登場します。				カマクラシ	タ	14	11	2	
0518	0008	完了	神奈川県	鎌倉市	鶴岡八幡宮　若宮大路	248-0005	神奈川県鎌倉市雪ノ下1		35.322641	139.554316	-						TARI TARI	タリタリ	オープニングで田中大智と姉の田中晴香がランニングをしていた場所。				カマクラシ	タ	14	11	2	
0518	0009	完了	神奈川県	鎌倉市	鶴岡八幡宮　流鏑馬馬場	248-0005	神奈川県鎌倉市雪ノ下2-1-31		35.325111	139.555163	"https://www.google.co.jp/maps/@35.3248921,139.5556094,3a,75y,329.06h,85.71t/data=!3m5!1e1!3m3!1s7M2zmThCuZDzM-UErOYz4Q!2e0!3e5?hl=ja"					0467-22-0315	TARI TARI	タリタリ	第7話で、沖田紗羽が流鏑馬の練習をしていた場所のモデル。鶴岡八幡宮境内の東の鳥居から西の鳥居までを結ぶ道が馬場です。				カマクラシ	タ	14	11	2	
0518	0010	完了	神奈川県	鎌倉市	横浜銀行 鎌倉支店鎌倉駅出張所 前	248-0006	神奈川県鎌倉市小町1-1-1		35.31913	139.550046	"https://www.google.co.jp/maps/@35.3190845,139.5498641,3a,15y,71h,89.56t/data=!3m6!1e1!3m4!1sDWB9TT_Ricvl6HVsbd4LPg!2e0!7i16384!8i8192?hl=ja"						TARI TARI	タリタリ	第1話で、坂井和奏が駅構内の店で購入したコロッケを食べ歩いていた場所。郵便ポストとATM銀行の入口が描かれていました。				カマクラシ	タ	14	11	2	
