作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0008	0001	完了	東京都	千代田区	日比谷野外音楽堂	100-0012	東京都千代田区日比谷公園1-5		35.672361	139.754043	"https://www.google.co.jp/maps/@35.672668,139.754477,3a,75y,233.13h,89.78t/data=!3m5!1e1!3m3!1sD5RHZwRJWAiokqk8X5HAxQ!2e0!3e5"	17		120	1		THE iDOLM@STER	アイドルマスター	第6話で、プロデューサーのダブルブッキングミスで菊池真、我那覇響がやるはずダンスの仕事を響が出られず、星井美希が代役でこなした野外ステージ。	http://www.imperialhotel.co.jp/j/	http://www.imperialhotel.co.jp/j/		チヨダク	ア	13	17	2		5
0008	0002	完了	東京都	千代田区	ホテルニューオータニ	102-8578	東京都千代田区紀尾井町4-1		35.680908	139.734065	"https://www.google.co.jp/maps/@35.681773,139.732708,3a,75y,115.19h,109.62t/data=!3m4!1e1!3m2!1sVLoQevxXmO8_GR2nwBT_Pw!2e0"	16		120	3	03-3265-1111	THE iDOLM@STER	アイドルマスター	第23話の天海春香が赤坂のTBS放送センター（作中では「BBS」）から新宿のスタジオにタクシーで向かうシーンで描かれていた建物。	http://www.newotani.co.jp/tokyo/			チヨダク	ア	13	17	2		0
0008	0003	完了	東京都	港区	赤坂Bizタワーとコンプリートワークストウキョウの間	107-8006	東京都港区赤坂5-3-1		35.672857	139.736901	"https://www.google.co.jp/maps/@35.672925,139.737178,3a,75y,255.64h,99.26t/data=!3m4!1e1!3m2!1svEGr9X9npN9pV4kluRc9eQ!2e0"	18		120	3		THE iDOLM@STER	アイドルマスター	第14話の天海春香と高槻やよいのいた収録スタジオのカットで、TBS放送センターを望む景色が描かれています。<br />作中ではTBSの文字は「BBS」になっていました。				ミナトク	ア	13	22	2		0
0008	0004	完了	東京都	港区	赤坂BLITZ	107-8006	東京都港区赤坂5-3-2	赤坂サカス内	35.67255	139.73531		17		0			THE iDOLM@STER	アイドルマスター	第15話の「生っすか!?サンデー」の放送中のカットで屋外モニターが描かれていました。「BLITZ」の文字は「SPITIT」に変えられていました。				ミナトク	ア	13	22	2		0
0008	0005	完了	東京都	港区	TBS放送センター入口	107-8006	東京都港区赤坂5-3-6		35.672138	139.735002		18		0			THE iDOLM@STER	アイドルマスター	第14話で、収録を終えた天海春香が、新宿のスタジオに向かうべく入口前に停まっていたタクシーに乗り込んでいた場所。<br />第24話では、プロデューサーの入院で不安定になった春香を心配した如月千早が、入口前で春香に声をかけていました。<br />第14話では名前が描かれておらず、第24話では「HTM放送センター」になっていました。				ミナトク	ア	13	22	2		2
0008	0006	完了	東京都	港区	TBS放送センター	107-8006	東京都港区赤坂5-3-6		35.671709	139.734559	"https://www.google.co.jp/maps/@35.672701,139.737078,3a,75y,245.71h,111.36t/data=!3m4!1e1!3m2!1s_3yNQYBnyfIdsRbWzaYkDw!2e0"	17		120	3.7		THE iDOLM@STER	アイドルマスター	放送枠がTBSというだけあって、第15話、第23話など収録スタジオとして度々登場します。作中でのスタジオ名は「BBS」と「765プロ」のメンバー総出演のバラエティー番組「生っすか!?サンデー」も				ミナトク	ア	13	22	2		3
0008	0007	完了	東京都	港区	薬研坂	107-8006	東京都港区赤坂7-5		35.673226	139.730899	"https://www.google.co.jp/maps/@35.673091,139.730968,3a,75y,316.66h,102.82t/data=!3m4!1e1!3m2!1sxqfIZaJc5-2QT2Tpi7BkwQ!2e0"	17		120	1.8		THE iDOLM@STER	アイドルマスター	第23話で、天海春香が赤坂のTBS放送センター（作中では「BBS」）から新宿のスタジオに向かうタクシーが通過していた道。				ミナトク	ア	13	22	2		1
0008	0008	完了	東京都	港区	お台場海浜公園	135-0091	東京都港区台場1		35.629183	139.773749		18		0			THE iDOLM@STER	アイドルマスター	第24話で、撮影の休憩中に、天海春香を心配して表情を曇らせている双海亜美と双海真美が立っていた場所。				ミナトク	ア	13	22	2		3
0008	0009	完了	東京都	江東区	STUDIO COAST	136-0082	東京都江東区新木場2-2-10		35.642212	139.825332	"https://www.google.co.jp/maps/@35.642189,139.824429,3a,75y,76.16h,92.7t/data=!3m4!1e1!3m2!1sjc8vXP9L93Ne-L2pKrrIWQ!2e0"	17		120	1		THE iDOLM@STER	アイドルマスター	第20話で「765プロ」の定期ライブが行われていた会場。作中ではスタジオ名が「STUDIO BOOST」になっていました。	http://www.studio-coast.com/	http://www.studio-coast.com/		コウトウク	ア	13	8	2		4
0008	0010	完了	東京都	文京区	MEETS PORT	112-0004	東京都文京区後楽1-3-61		35.703012	139.754789		18		0			THE iDOLM@STER	アイドルマスター	第12話でプロデューサーと秋月律子が下見をしていた「765プロ」のファン感謝祭のライブ会場。作中では名前が「METS POT」に変えられていました。	http://www.meetsport.jp/	http://www.meetsport.jp/		ブンキョウク	ア	13	21	2		4
0008	0011	完了	東京都	文京区	東京ドームシティホール	112-0004	東京都文京区後楽1-3-61	東京ドームシティ内	35.703015	139.754789	"https://www.google.co.jp/maps/@35.7024001,139.7552972,3a,75y,324.75h,102.24t/data=!3m4!1e1!3m2!1s6-xJ_se2bIGG8IMoqfZHYQ!2e0"	17		120	3.5		THE iDOLM@STER	アイドルマスター	第12話。第13話。第24話で登場した「765プロ」のファン感謝祭のライブ会場。第12話の外観では「mEETS PORT」が「METS POT」に、作中では「TOKYO DOME CITY HALL」が「TOKYO EXCITE CITY HALL」に変えられていました。				ブンキョウク	ア	13	21	2		5
0008	0012	完了	東京都	文京区	東京ドーム	112-0004	東京都文京区後楽1-3-61		35.70565	139.751919	-	16		0			THE iDOLM@STER	アイドルマスター	第10話の「芸能事務所対抗大運動会」の会場。				ブンキョウク	ア	13	21	2		5
0008	0013	完了	東京都	文京区	鳩山会館	112-0013	東京都文京区音羽1-7-1		35.713819	139.731226	-	17		0		03-5976-2800	THE iDOLM@STER	アイドルマスター	第9話で「竜宮小町」が主演のドラマの舞台となった洋館の外観モデル。				ブンキョウク	ア	13	21	2		4
0008	0014	完了	東京都	墨田区	東京スカイツリー 展望台	131−0045	東京都墨田区押上1-1-13		35.710023	139.810702		16		0			THE iDOLM@STER	アイドルマスター	第22話で、四条貴音が子供たちと祝福の歌を歌う収録をしていた展望台。				スミダク	ア	13	13	2		4
0008	0015	完了	東京都	渋谷区	ライフ渋谷東店	150–0011	東京都渋谷区東1-26-22		35.654827	139.707571	"https://www.google.co.jp/maps/@35.654786,139.707009,3a,75y,105.79h,101.88t/data=!3m4!1e1!3m2!1shTmxwlEzwKGXdANGxsZtBg!2e0"	17		120	1.8	03-3409-0351	THE iDOLM@STER	アイドルマスター	第11話で、終電を逃して如月千早の家に泊まることになった天海春香が2人で買い物をしていたスーパーマーケット。作中では看板の文字が「LEAF」で、四つ葉マークが三つ葉マークに変えられていました。				シブヤク	ア	13	10	2		4
0008	0016	完了	東京都	渋谷区	JR 恵比寿駅 西口	150-0022	東京都渋谷区恵比寿南1-5-5		35.647088	139.709487	"https://www.google.co.jp/maps/@35.6469482,139.7090501,3a,75y,76.86h,110.59t/data=!3m4!1e1!3m2!1sMTnH0wGclNNPRvmun1dVGg!2e0"	18		120	1.5		THE iDOLM@STER	アイドルマスター	第11話で、終電を逃して帰れなくなった天海春香と、春香を泊めることになった如月千早の2人が利用した駅。<br />早朝始発に乗る春香を千早が駅入口で見送っていました。				シブヤク	ア	13	10	2		2
0008	0017	完了	東京都	渋谷区	NHK放送センター	150-8001	東京都渋谷区神南2-2-1		35.665176	139.695892	"https://www.google.co.jp/maps/@35.6644416,139.6988982,3a,75y,281.36h,113.47t/data=!3m4!1e1!3m2!1sN1pXPlLIZAdf6ZfNCewa0g!2e0"	15		120	3		THE iDOLM@STER	アイドルマスター	第23話で、天海春香と星井美希が参加したミュージカルの稽古場。				シブヤク	ア	13	10	2		3
0008	0018	完了	東京都	渋谷区	渋谷公会堂	150-0042	東京都渋谷区宇田川町1-1		35.66427	139.697728		17		0		03-3463-3022	THE iDOLM@STER	アイドルマスター	第23話で天海春香と星井美希が参加していたミュージカルの立稽古の舞台。	http://shibuko.com/	http://shibuko.com/		シブヤク	ア	13	10	2	解体	4
0008	0019	完了	東京都	渋谷区	Q'sEYE	150-0042	東京都渋谷区宇田川町21-6		35.659787	139.700391	"https://www.google.co.jp/maps/@35.6594523,139.7006817,3a,75y,317.03h,118.51t/data=!3m4!1e1!3m2!1s650hSfw0WcJQo1LFmcOumQ!2e0"	17		120	1.5		THE iDOLM@STER	アイドルマスター	第14話で「765プロ」ALL STARS 1st ALBUMのCMが映し出されていたQFRONT壁面の巨大モニター。				シブヤク	ア	13	10	2		1
