作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1098	0001	完了	東京都	港区	JR 品川駅	108-0074	東京都港区高輪3-26-27		35.628360	139.739758	"https://www.google.com/maps/@35.6283586,139.7397416,2a,37.5y,44.78h,94.15t,0.02r/data=!3m6!1e1!3m4!1sKoJMU6Srb20TyQRtPGf25A!2e0!7i13312!8i6656"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第5話の陽岡マサキの上京シーンで、15番線（横須賀線）への階段前が描かれていました。				ミナトク	ウ	13	22	2		1
1098	0002	完了	神奈川県	鎌倉市	JR 鎌倉駅	248-0006	神奈川県鎌倉市小町1-1-1		35.319040	139.550143	"https://www.google.co.jp/maps/@35.3190807,139.5498493,3a,26y,110.1h,93.67t/data=!3m6!1e1!3m4!1s07j6yLZa5dXpUaif0SGuqg!2e0!7i16384!8i8192"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第5話で、高校進学を機に上京する陽岡マサキが、大洗から電車を乗り継いでやって来た駅で、江ノ電に乗り換えるために下車して駅舎から出て来ていました。				カマクラシ	ウ	14	11	2		2
1098	0003	完了	神奈川県	鎌倉市	江ノ島電鉄 鎌倉駅	248-0012	神奈川県鎌倉市御成町1-15		35.318884	139.550157	"https://www.google.co.jp/maps/@35.3189045,139.5498625,3a,36y,95.66h,93.7t/data=!3m6!1e1!3m4!1shGBXOkG0NTXVXu_Qj-Ynig!2e0!7i16384!8i8192"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第5話で、上京する陽岡マサキが藤沢行きの電車に乗車していた駅。<br />第7話では、一人悩みを抱え、気持ちをリセットしようと学校も休んでいた松風ユータが、構内にいたサーファーたちに思わず目を留めてしまい、海から一度距離を置かないといけないと自覚していたのも、この駅でした。<br />第8話では、「マジカルメイドみるる」が終わってしまうという情報を聞いて落ち込む木戸ナオヤを元気づけようと陽岡マサキが企画した「おのぼりさんツアー」で一行が、「みるる」を避けてやってきたのもこの駅でした。<br />「おのぼりさんツアー」④				カマクラシ	ウ	14	11	2		2
1098	0004	完了	神奈川県	鎌倉市	極楽寺1号踏切	248-0021	神奈川県鎌倉市坂ノ下3		35.310804	139.533096	"https://www.google.co.jp/maps/@35.310786,139.5331355,2a,37.5y,311.76h,96.33t,357.13r/data=!3m6!1e1!3m4!1shEKF2-AdF0dh24D5deaLFg!2e0!7i13312!8i6656"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第5話で、陽岡マサキが高校進学を機に上京するシーンでマサキが乗る江ノ電が通過していた踏切。				カマクラシ	ウ	14	11	2		1
1098	0005	完了	神奈川県	鎌倉市	七里ガ浜高等学校	248-0025	神奈川県鎌倉市七里ガ浜東2-3-1		35.305265	139.513839	"https://www.google.co.jp/maps/@35.3045887,139.5138314,3a,32y,354.46h,99.02t/data=!3m6!1e1!3m4!1sv4XYjHg4FQwiUySYhYjWKg!2e0!7i16384!8i8192"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第6話で、陽岡マサキが進学した「県立八里ヶ浜高等学校」のモデル。				カマクラシ	ウ	14	11	2		5
1098	0006	完了	神奈川県	鎌倉市	江ノ島電鉄 七里ヶ浜駅	248-0026	神奈川県鎌倉市七里ガ浜1-9-5		35.306300	139.510361	"https://www.google.co.jp/maps/@35.3062462,139.5104471,3a,32y,297.07h,89.16t/data=!3m6!1e1!3m4!1sUre6FKwEae6XA8u8RiMtMQ!2e0!7i13312!8i6656"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第5話で、高校進学を機に上京する陽岡マサキが、大洗から電車を乗り継いでやって来た駅。<br />駅前で、松風ユータと厳名コウスケに出迎えられていました。				カマクラシ	ウ	14	11	2		3
1098	0007	完了	神奈川県	鎌倉市	民家	248-0026	神奈川県鎌倉市七里ガ浜2-18		35.306855	139.504116	-						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第6話で、高校に進学した陽岡マサキが下宿しているタダオの店「BE WAVE OF DOG」の立地モデル。				カマクラシ	ウ	14	11	2		3
1098	0008	完了	神奈川県	鎌倉市	腰越漁協 朝どれフライ販売所	248-0033	神奈川県鎌倉市腰越2-9-1		35.307364	139.492871	"https://www.google.co.jp/maps/@35.3074467,139.4930154,3a,22y,229.67h,91.57t/data=!3m6!1e1!3m4!1sqbBJVBh-n2T-naUny0t0yA!2e0!7i16384!8i8192"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第7話で、学校帰りに陽岡マサキが松風ユータを誘って一緒にアジフライを買っていた店。<br />店から出てきたところで、マサキがトンビにアジフライを奪われていました。				カマクラシ	ウ	14	11	2		3
1098	0009	完了	神奈川県	鎌倉市	国道134号（飯岡丸前）	248-0033	神奈川県鎌倉市腰越2-12		35.307592	139.492800	"https://www.google.co.jp/maps/@35.3076257,139.4927402,3a,65y,150.11h,89.55t/data=!3m6!1e1!3m4!1s2bD_vShrCDVfqQsIKgv6Pg!2e0!7i16384!8i8192"						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第7話で、学校帰りに陽岡マサキが松風ユータを誘って一緒にアジフライを買い食いしていた腰越漁協シーンの冒頭カットで、横断歩道越しに腰越漁協の建物が描かれていました。				カマクラシ	ウ	14	11	2		0
1098	0010	完了	茨城県	水戸市	JR 水戸駅	310-0015	茨城県水戸市宮町1-1-1		36.370890	140.476267	-						WAVE!!〜サーフィンやっぺ!!〜	ウェイブサーフィンヤッペ	第5話で、高校進学を機に上京する陽岡マサキが、大洗から乗って来た鹿島臨海鉄道大洗鹿島線（6000形）から、JRの常磐線（E657系）に乗り換えていた駅。<br />マサキが下車していたホームや乗り換え改札が描かれていました。				ミトシ	ウ	8	10	2		1
