作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0967	0001	完了	北海道	札幌市	JOMO Value5 厚別南店	004-0022	北海道札幌市厚別区厚別南5-1-1		43.02249	141.47211	"https://www.google.co.jp/maps/@43.0227672,141.4718619,3a,33.4y,151.97h,91.24t/data=!3m6!1e1!3m4!1s4_7syfXoCbd2capBd1EG9A!2e0!7i13312!8i6656"	17.0				011-891-3434	WORKING!!	ワーキング	第6話で、夕食の買い出しに出掛けた小鳥遊宗太がこのガソリンスタンド脇を歩く姿が描かれていました。<br />※ブランド変更でENEOS Dr.Drive 厚別南セルフSSになっています。	http://eneos-ss.com/search/ss/pc/detail.php?SCODE=372254			サッポロシ	ワ	1	1	1	
0967	0002	完了	北海道	札幌市	上野幌1-3上野幌2-2交差点	004-0031	北海道札幌市厚別区上野幌一条3-6		43.019184	141.470979	"https://www.google.co.jp/maps/@43.0192314,141.471066,3a,34.8y,206.58h,88.2t/data=!3m6!1e1!3m4!1spGyKjELtrcNvILChc0uK5w!2e0!7i13312!8i6656"	17.0					WORKING!!	ワーキング	第6話で、街中で偶然遭遇してマジックハンド越しに手を繋いで帰る小鳥遊宗太と伊波まひるが、家に帰る途中の小鳥遊一枝と遭遇していた交差点。				サッポロシ	ワ	1	1	1	
0967	0003	完了	北海道	札幌市	厚別中央通り（道道1138線）	004-0031	北海道札幌市厚別区上野幌一条2-6		43.019816	141.471168	"https://www.google.co.jp/maps/@43.0195808,141.4711278,3a,42y,15.75h,83.32t/data=!3m6!1e1!3m4!1s17O4rOKrsSRujVwxux5Abg!2e0!7i13312!8i6656"	17.0					WORKING!!	ワーキング	第6話の、小鳥遊宗太が夕食の買い出しに出掛けたシーンの冒頭カットで描かれていた道路。				サッポロシ	ワ	1	1	1	
0967	0004	完了	北海道	札幌市	札幌日興ビル 前	060-0004	北海道札幌市中央区北四条西4-1-7		43.065913	141.350549	"https://www.google.co.jp/maps/@43.0659318,141.3506419,3a,20y,251.31h,89.91t/data=!3m6!1e1!3m4!1sQlRv3oKzyWLm_JzdWVtzCg!2e0!7i16384!8i8192"	16.0			4.5		WORKING!!	ワーキング	第1話で、雪が積もる道で種島ぽぷらがバイト募集をしていた場所。				サッポロシ	ワ	1	1	1	
0967	0006	完了	北海道	札幌市	JRタワー	060-0005	北海道札幌市中央区北五条西2		43.068237	141.352354	"https://www.google.co.jp/maps/@43.0669354,141.3514729,3a,41y,4.12h,125.93t/data=!3m6!1e1!3m4!1sC9cNzJImKpqQw3K1gyRPhw!2e0!7i16384!8i8192"	15.0					WORKING!!	ワーキング	第8話の温泉旅行の冒頭カットで、北５条・手稲通から見上げる構図で駅舎や高層ビルが描かれていました。				サッポロシ	ワ	1	1	1	
0967	0007	完了	北海道	札幌市	JR 札幌駅 南口 バスターミナル	060-0005	北海道札幌市中央区北五条西2		43.067672	141.352679	-	15.0					WORKING!!	ワーキング	第8話の温泉旅行で、小鳥遊宗太と相馬博臣が合流して一緒に温泉へ向かうバスを待っていたターミナル。				サッポロシ	ワ	1	1	1	
0967	0014	完了	北海道	札幌市	月見橋前の案内板	061-2303	北海道札幌市南区定山渓温泉西3		42.964991	141.162909	"https://www.google.co.jp/maps/@42.9652362,141.162194,3a,42.8y,114.28h,101.05t/data=!3m6!1e1!3m4!1stZKhRYj0YD7G9jaxngd-Rw!2e0!7i13312!8i6656"	17.0					WORKING!!	ワーキング	第8話のワグナリアの面々が訪れた温泉街シーンの冒頭カットで、案内板やホテル山渓苑の建物が描かれていました。				サッポロシ	ワ	1	1	1	
0967	0012	完了	北海道	札幌市	カッパの絵が描かれた多目的柱	061-2302	北海道札幌市南区定山渓温泉東3		42.964991	141.162909	"https://www.google.co.jp/maps/@42.964983,141.1627606,3a,40y,71.44h,93.57t/data=!3m6!1e1!3m4!1sMlizRBd-nJzeLWkc3lWIQQ!2e0!7i13312!8i6656"						WORKING!!	ワーキング	第8話で、種島ぽぽらと山田葵が見ていた配電ボックスにカッパの絵が描かれていたスピーカーなどが設置されている多目的柱。<br />橋の中央から北西側を望む構図で、時計、定山渓物産館、定山渓ホテルが描かれていました。				サッポロシ	ワ	1	1	1	
0967	0011	完了	北海道	札幌市	見返り坂	061-2302	北海道札幌市南区定山渓温泉東3		42.964801	141.163317	"https://www.google.co.jp/maps/@42.9648298,141.1630776,3a,38y,113.44h,100.72t/data=!3m6!1e1!3m4!1sm2fndPweFA-JO90K3pW6ZA!2e0!7i13312!8i6656"						WORKING!!	ワーキング	第8話で、種島ぽぽらと山田葵が駆け上って転がり下りてきた坂道。				サッポロシ	ワ	1	1	1	
0967	0010	完了	北海道	札幌市	かっぱ家族の願かけ手湯	061-2302	北海道札幌市南区定山渓温泉東3		42.965259	141.165245	"https://www.google.co.jp/maps/@42.9653714,141.1652088,3a,45y,180.8h,91.43t/data=!3m6!1e1!3m4!1spX-7idCBpogZkYxg5s_k2g!2e0!7i13312!8i6656"	17.0				011-598-2012	WORKING!!	ワーキング	第8話で、かっぱの皿にお湯を入れて口から出てきたら願いが叶うという、願掛けの河童のオブジェ。伊波まひるだけがお湯が出てこないというオチに使われていました。<br />※作中で描かれていたパーゴラは撤去済です。	http://www.jouzankei.com/	http://www.jouzankei.com/		サッポロシ	ワ	1	1	1	
0967	0013	完了	北海道	札幌市	足つぼの湯	061-2303	北海道札幌市南区定山渓温泉西3		42.966565	141.160942	"https://www.google.co.jp/maps/@42.9665595,141.1611186,3a,15y,265.52h,87.27t/data=!3m6!1e1!3m4!1sHf_TFlXvwwsMmZmCMHi5KA!2e0!7i13312!8i6656"	17.0			5		WORKING!!	ワーキング	第8話で、種島ぽぽら、伊波まひる、山田葵の入っていた足湯。		http://jozankei.jp/archives/513		サッポロシ	ワ	1	1	1	
0967	0018	完了	北海道	札幌市	阿部典英「ミスジョウザンケイカッパ」	061-2303	北海道札幌市南区定山渓温泉西4	月見橋	42.965026	141.162466	"https://www.google.co.jp/maps/@42.965033,141.1625763,3a,15y,265.57h,85.46t/data=!3m6!1e1!3m4!1soakAY1y7Pmf3C36JR1Zkvw!2e0!7i13312!8i6656"	17.0			5		WORKING!!	ワーキング	第8話で、種島ぽぽらと山田葵が見ていた月見橋の上に設置されている彫刻。<br />背景に定山渓物産館とホテル鹿の湯の建物が描かれていました。				サッポロシ	ワ	1	1	1	
0967	0009	完了	北海道	札幌市	定山渓二見公園	061-2302	北海道札幌市南区定山渓温泉西4		42.964555	141.159939	"https://www.google.co.jp/maps/@42.9646376,141.1601103,2a,34y,235.68h,85.99t/data=!3m6!1e1!3m4!1sLDUApLMXXco9FzJJQnEvyA!2e0!7i13312!8i6656"	17.0				011-598-2012	WORKING!!	ワーキング	第8話で小鳥遊宗太と伊波まひるの散歩シーンの挿入カットで描かれていた公園。	http://www.jouzankei.com/	http://www.jouzankei.com/		サッポロシ	ワ	1	1	1	
0967	0015	完了	北海道	札幌市	定山渓二見公園　パーゴラ	061-2303	北海道札幌市南区定山渓温泉西4		42.964597	141.159694	"https://www.google.co.jp/maps/@42.9646473,141.1597082,2a,55y,156.95h,81.12t/data=!3m6!1e1!3m4!1sq7I_y_lNgLXWtI8MZeEe2Q!2e0!7i13312!8i6656"	16.0				011-598-2012	WORKING!!	ワーキング	第8話の小鳥遊宗太と伊波まひるの散歩シーンで、パーゴラ（藤棚）の下をマジックハンドを通して手を繋いだ2人が歩いていました。	http://www.jouzankei.com/	http://www.jouzankei.com/		サッポロシ	ワ	1	1	1	
0967	0016	完了	北海道	札幌市	二見吊橋	061-2303	北海道札幌市南区定山渓温泉西4		42.963868	141.158142	"https://www.google.co.jp/maps/@42.9639987,141.1581322,2a,90y,187.89h,87.97t/data=!3m6!1e1!3m4!1sXoXi2DsmcDn1eDz42Cu2rQ!2e0!7i13312!8i6656"	16.0			1	011-598-2012	WORKING!!	ワーキング	第8話で、小鳥遊宗太と伊波まひるがかっぱ淵の風景を眺めていた吊橋。	http://www.jouzankei.com/	http://www.jouzankei.com/		サッポロシ	ワ	1	1	1	
0967	0017	完了	北海道	札幌市	月見橋	061-2303	北海道札幌市南区定山渓温泉西4		42.9651	141.162412	"https://www.google.co.jp/maps/@42.9650692,141.162548,3a,32y,310.39h,93.46t/data=!3m6!1e1!3m4!1sIq9X0dPm-iiQFts5gpBM3A!2e0!7i13312!8i6656"	17.0					WORKING!!	ワーキング	第8話で、種島ぽぽらたち一行が渡っていた橋。<br />橋の中央から北西側を望む構図で、時計、定山渓物産館、定山渓ホテルが描かれていました。				サッポロシ	ワ	1	1	1	
