作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0969	0001	完了	北海道	札幌市	虹の橋	003-0022	北海道札幌市白石区南郷通（南）21丁目南5		43.025682	141.444032	-	17.0					WORKING!!!	ワーキング	エンディングで、小鳥遊宗太たち「ワグナリア」メンバーがポーズを取っている姿が描かれていた橋。	http://www.hokusei.ac.jp/			サッポロシ	ワ	1	1	1	
0969	0011	完了	北海道	札幌市	野幌森林公園（開拓記念公園）　噴水	004-0006	北海道札幌市厚別区厚別町小野幌		43.054924	141.493531	-						WORKING!!!	ワーキング	第14話の、結婚前の小鳥遊静が小鳥遊宗太の父親に告白していた回想シーンの冒頭カットで描かれていた噴水。				サッポロシ	ワ	1	1	1	
0969	0012	完了	北海道	札幌市	野幌森林公園（開拓記念公園）　北海道百年記念塔	004-0006	北海道札幌市厚別区厚別町小野幌		43.056494	141.496345	"https://www.google.co.jp/maps/@43.0539687,141.4919422,3a,15y,51.83h,97.62t/data=!3m6!1e1!3m4!1s2EApHaHhJZxkPSE5904LXA!2e0!7i13312!8i6656"				5		WORKING!!!	ワーキング	第14話の、結婚前の小鳥遊静が小鳥遊宗太の父親に告白していた回想シーンで、宗太の父親の背景に描かれていた塔。				サッポロシ	ワ	1	1	1	
0969	0002	完了	北海道	札幌市	熊の沢公園	004-0013	北海道札幌市厚別区もみじ台西6		43.030281	141.490552	-	16.0				011-897-3800	WORKING!!!	ワーキング	第5話で、伊波まひるが小鳥遊泉から、弟と会って欲しいと強引に約束させられ、相手が小鳥遊宗太とは知らずに紙袋を頭に被ってグローブ着用の完全防備で会いに来た場所。<br />形状こそ異なりますが、作中と同じ場所にベンチが実在します。				サッポロシ	ワ	1	1	1	
0969	0017	完了	北海道	札幌市	もみじ台団地西側緑地 自転車広場	004-0013	北海道札幌市厚別区もみじ台西7		43.026215	141.486965	"https://www.google.co.jp/maps/@43.0263148,141.487273,3a,29y,225.71h,86.14t/data=!3m6!1e1!3m4!1sDfs14kaKgJXBuD0gyk7CtA!2e0!7i13312!8i6656"				4		WORKING!!!	ワーキング	第14話で、小鳥遊宗太の母・小鳥遊静に直接会いに向かう伊波まひるが、静が派遣した第3の刺客である小鳥遊四姉妹の三女・小鳥遊梢との対決をしていた場所。				サッポロシ	ワ	1	1	1	
0969	0018	完了	北海道	札幌市	もみじ台北公園脇の道	004-0014	北海道札幌市厚別区もみじ台北5-13		43.035422	141.491865	"https://www.google.co.jp/maps/@43.0354834,141.4918567,3a,53y,346.07h,98.32t/data=!3m6!1e1!3m4!1s_TwWc_gVkzzUT7Uk3u3-AQ!2e0!7i13312!8i6656"						WORKING!!!	ワーキング	第14話で、小鳥遊宗太の母・小鳥遊静に直接会いに向かう伊波まひるが、小鳥遊梢との対決を終えた後に歩いていた場所。				サッポロシ	ワ	1	1	1	
0969	0019	完了	北海道	札幌市	星槎もみじ中学校	004-0014	北海道札幌市厚別区もみじ台北5-12-1		43.035796	141.491812	"https://www.google.co.jp/maps/@43.0357748,141.4917599,3a,55y,49.48h,87.2t/data=!3m6!1e1!3m4!1sQ2CxuJu8T06go_fEezOnTw!2e0!7i13312!8i6656"						WORKING!!!	ワーキング	第14話で、小鳥遊宗太の母・小鳥遊静に直接会いに向かう伊波まひるが、静が派遣した第4の刺客である小鳥遊四姉妹の次女・小鳥遊なずなとの対決をしていた場所。<br />				サッポロシ	ワ	1	1	1	
0969	0016	完了	北海道	札幌市	厚別青葉通り　JR 千歳線ガード下	004-0021	北海道札幌市厚別区青葉町9-14		43.024428	141.483376	"https://www.google.co.jp/maps/@43.0244822,141.4828434,3a,34y,107.49h,90.41t/data=!3m6!1e1!3m4!1sPYgXHK80hKH5zbqUb9BBaw!2e0!7i16384!8i8192"						WORKING!!!	ワーキング	第14話で、小鳥遊宗太の母・小鳥遊静に直接会いに向かう伊波まひるが、静が派遣した第2の刺客である小鳥遊四姉妹の次女・小鳥遊泉との対決をしていた場所。				サッポロシ	ワ	1	1	1	
0969	0014	完了	北海道	札幌市	厚別南公園　グラウンド 脇	004-0022	北海道札幌市厚別区厚別南5		43.025795	141.474791	"https://www.google.co.jp/maps/@43.0258043,141.4746882,3a,38y,136.36h,90.49t/data=!3m6!1e1!3m4!1sVd3omwvVfInW1jJSepYO0Q!2e0!7i16384!8i8192"						WORKING!!!	ワーキング	第14話で、小鳥遊宗太を監禁し、一方的に宗太がバイトを辞めることを伝えて来た小鳥遊静に直接会いに行くことにした伊波まひるが、小鳥遊家へ向けて歩いていた場所。				サッポロシ	ワ	1	1	1	
0969	0015	完了	北海道	札幌市	厚別南公園　車止め	004-0022	北海道札幌市厚別区厚別南5		43.025272	141.475766	"https://www.google.co.jp/maps/@43.0252129,141.4757898,3a,15y,345.34h,76.17t/data=!3m6!1e1!3m4!1s4apMtyw1RuAukwjkOfaiSQ!2e0!7i13312!8i6656"				5		WORKING!!!	ワーキング	第14話で、小鳥遊宗太の母・小鳥遊静に直接会いに向かう伊波まひるが、待ち伏せしていた小鳥遊一枝に遭遇する直前カットで描かれていた公園の車止め。<br />この車止めを挟んで対峙する形で、静が派遣した第1の刺客である小鳥遊四姉妹の長女・一枝との対決をしていました。				サッポロシ	ワ	1	1	1	
