作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0088	0001	完了	宮城県	仙台市	勾当台公園野外ステージ	980-0014	宮城県仙台市青葉区本町3		38.267508	140.87198	-	17.0		0			"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	"ラストで、「SENDAI学生メタルバンド祭」に飛び入りという形で、Wake Up, Girls!がデビューライブを行った場所。"	http://www.bunka.city.sendai.jp/seinenbunka/			センダイシ	ウ	4	1	1	
0088	0002	完了	宮城県	仙台市	JR 仙台駅	980-0021	宮城県仙台市青葉区中央1-1-1		38.260278	140.882222	"https://www.google.co.jp/maps/@38.260988,140.881698,3a,75y,90t/data=!3m5!1e2!3m3!1s62310684!2e1!3e10?hl=ja"	13.0		0			"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	"冒頭カットで仙台駅前の遠景で、駅舎やベネストリアンデッキが描かれていました。また、Wake Up, Girls!メンバーが、ベネストリアンデッキでライブのチラシを配っているシーンでも、駅舎が描かれていました。"				センダイシ	ウ	4	1	1	
0088	0003	完了	宮城県	仙台市	仙台駅西口 ベンチ	980-0021	宮城県仙台市青葉区中央1-1-1		38.260986	140.881713	-	16.0		0			"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	丹下順子社長にアイドル候補生を探してこいと無茶振りをされた松田耕平が、ボヤきながら寝っ転がっていたベンチで、起き上って目の前にいた女子高生に声をかけるも、怪しまれて逃げられていました。				センダイシ	ウ	4	1	1	
0088	0004	完了	宮城県	仙台市	仙台駅東口	980-0021	宮城県仙台市青葉区中央1-1-1		38.260369	140.883763	-	17.0		0			"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	"結成間もないWake Up, Girls!が、誰も振り返りもしない通行人の前で、路上ライブをしていた場所で、工事の壁越しの駅舎、向かいのイーストンビル、桜井ビル、ヨドバシカメラ仙台第2ビルなどが描かれていました。ちなみに持ち歌のまだない彼女たちが歌っていた歌は、「這いよれ！ニャル子さんW」のオープニング曲の「恋は渾沌の隷也」でした。"				センダイシ	ウ	4	1	1	
0088	0005	完了	宮城県	仙台市	仙台ロフト	980-0021	宮城県仙台市青葉区中央1-10-10		38.260361	140.880368	"https://www.google.co.jp/maps/@38.259922,140.88066,3a,33.4y,239.59h,98.59t/data=!3m7!1e1!3m5!1sojsb2R1X8ggAAAAGOupGrA!2e0!3e11!7i3840!8i1920?hl=ja"	17.0		120	3	022-224-6210	"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	"Wake Up, Girls!メンバーがライブのチラシを配っているシーンで、岡本未夕が太田邦良にチラシを渡している背景に描かれていたビル。"	http://www.loft.co.jp/shoplist/sendai			センダイシ	ウ	4	1	1	
0088	0006	完了	宮城県	仙台市	ハピナ名掛丁商店街	980-0021	宮城県仙台市青葉区中央2-1		38.261619	140.877966	"https://www.google.co.jp/maps/@38.261612,140.877968,3a,18.5y,76.06h,94.06t/data=!3m7!1e1!3m5!1sRoQ9ozq1ZLa7kFLFGDW2gA!2e0!3e5!7i13312!8i6656?hl=ja"	17.0		120	3		"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	グリーンリーヴズ・エンターテイメントによるアイドルオーディション第二次（最終）選考の冒頭シーンで、座標地点から東側を望む構図でアーケード商店街が描かれていました。				センダイシ	ウ	4	1	1	
0088	0007	完了	宮城県	仙台市	交差点（青葉通り）	980-0021	宮城県仙台市青葉区中央3-2		38.260651	140.877922	"https://www.google.co.jp/maps/@38.26054,140.877985,3a,50.1y,277.47h,100.44t/data=!3m6!1e1!3m4!1sw73sscLVg-tyXHE1cDfw0g!2e0!7i13312!8i6656!6m1!1e1?hl=ja"	16.0		120	3		"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	丹下順子社長にアイドル候補生を探してこいと無茶振りをされた松田耕平が、とりあえず目の前の女子高生に声をかけるも、怪しまれて逃げられていたシーンの挿入カットで描かれていた交差点。				センダイシ	ウ	4	1	1	
0088	0008	完了	宮城県	仙台市	J&B北目街店	980-0023	宮城県仙台市青葉区北目町3-3	第2萬栄ビル1F	38.255417	140.875095	"https://www.google.co.jp/maps/@38.255449,140.875504,3a,15y,265.83h,90.31t/data=!3m6!1e1!3m4!1spoYTn87MBCgb0LSzxfeIDA!2e0!7i13312!8i6656?hl=ja"	18.0		120	3	022-268-6654	"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	スカウトしようとしていた少女が、国民的アイドルグループ「I-1club」初期メンバーで先代センターの島田真夢だと知った松田耕平が、真夢のことをもっとよく知ろうと「I-1club」のDVDを買っていた中古レコード屋。	http://used-record-jb.com/shop.html			センダイシ	ウ	4	1	1	
0088	0009	完了	宮城県	仙台市	餃子の天ぱり	980-0801	宮城県仙台市青葉区木町通1-2-12		38.26774	140.863985	"https://www.google.co.jp/maps/@38.267807,140.863831,3a,15y,148.62h,86.62t/data=!3m6!1e1!3m4!1srzFOJmMDmkg8prmh3XYyNg!2e0!7i13312!8i6656?hl=ja"	17.0		120	3	022-224-2382	"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	丹下順子社長にアイドル候補生を探してこいと無茶振りをされた松田耕平が、ラーメンを食べていた店で、バイトをしていた菊間夏夜を見てスカウトしようとして止めていました。その後、店長から客にケツ触られたくらいでビンタをするなと説教され、怒って辞めていました。				センダイシ	ウ	4	1	1	
0088	0010	完了	宮城県	仙台市	木町通市民センター	980-0801	宮城県仙台市青葉区木町通1-7-36		38.271147	140.864572	"https://www.google.co.jp/maps/@38.271204,140.864924,3a,26.6y,244.49h,97t/data=!3m6!1e1!3m4!1sRyTeTFWO7G5vdGjBBonzHQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.2	022-711-2561	"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	グリーンリーヴズ・エンターテイメントによるアイドルオーディション第二次（最終）選考の会場となっていた建物。	http://www.stks.city.sendai.jp/citizen/WebPages/kimachi/			センダイシ	ウ	4	1	1	
0088	0011	完了	宮城県	仙台市	未来塾進学会木町通教室	980-0801	宮城県仙台市青葉区木町通2-2-51		38.272583	140.866466	"https://www.google.co.jp/maps/@38.272665,140.866556,3a,75y,216.57h,99.26t/data=!3m4!1e1!3m2!1syt5DukQxE-rIVPvaa-5sKQ!2e0?hl=ja"	18.0		120	2	022-272-7828	"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	グリーンリーヴズ・エンターテイメント事務所のモデル。				センダイシ	ウ	4	1	1	
0088	0012	完了	宮城県	仙台市	国分町通り	980-0803	宮城県仙台市青葉区国分町2-1		38.263077	140.869808	"https://www.google.co.jp/maps/@38.263021,140.869783,3a,34.6y,355.57h,106.45t/data=!3m6!1e1!3m4!1sZzYNhwJ-P0ZHoHvfbOqm2g!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.3		"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	松田耕平が、丹下順子社長にアイドル候補生をスカウトするために、キャバ嬢に声をかけさせられていたシーンで、座標地点から北側を望む構図で通りが通りのビル郡が描かれていました。				センダイシ	ウ	4	1	1	
0088	0013	完了	宮城県	仙台市	国分町通り（ニューちどりやビル横）	980-0803	宮城県仙台市青葉区国分町2-12-30		38.264987	140.869086	"https://www.google.co.jp/maps/@38.264752,140.869203,3a,15y,325.4h,91.49t/data=!3m6!1e1!3m4!1s4HLsJMnClt1-YB6JMU4wHw!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		"Wake Up, Girls! 七人のアイドル"	ウェイクアップガールズシチニンノアイドル	松田耕平が、丹下順子社長に命じられて、アイドル候補生をスカウトするために、店頭に立つキャバ嬢に声をかけていた場所で、黒服（ボーイ）に他店の引き抜きと勘違いされて追いかけられていました。				センダイシ	ウ	4	1	1	
