作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0087	0066	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.680997	139.766930	"https://www.google.co.jp/maps/@35.680894,139.7668933,2a,34.4y,22.06h,88.85t/data=!3m6!1e1!3m4!1sWz-ZMEUU-LimRxkntDTeGw!2e0!7i13312!8i6656?hl=en"						"Wake Up, Girls!"	ウェイクアップガールズ	"第11話で、「アイドルの祭典2014」出場のために東京へやって来たWake Up, Girls!一行が、東北・山形・秋田・上越・北陸新幹線南乗換え口付近の通路に立ち並ぶ姿が描かれていました。"				チヨダク	ウ	13	17	2	
0087	0043	完了	東京都	台東区	浅草寺　雷門	111-0032	東京都台東区浅草2-3-1		35.711138	139.796374	"https://www.google.co.jp/maps/@35.7107526,139.7963266,3a,22y,357.9h,96.69t/data=!3m6!1e1!3m4!1sib9G7C9WiuKbC4XO_JokJA!2e0!7i13312!8i6656"				4		"Wake Up, Girls!"	ウェイクアップガールズ	第9話で、4年前に12歳の島田真夢がアイドルを目指して芸能事務所にやって来た回想シーンの冒頭カットで描かれていた門。				タイトウク	ウ	13	15	2	
0087	0059	完了	東京都	台東区	吾妻橋	111-0033	東京都台東区花川戸1-1		35.710116	139.798910	"https://www.google.co.jp/maps/@35.7104327,139.7991079,2a,38y,200.3h,102.72t/data=!3m6!1e1!3m4!1sQyA6Vje6noZyBoroike2Ng!2e0!7i13312!8i6656"						"Wake Up, Girls!"	ウェイクアップガールズ	第9話の回想シーンで、下積み時代のI-1clubにいた島田真夢が、メンバーたちとPRのビラ配りをしていた橋。				タイトウク	ウ	13	15	2	
0087	0035	完了	東京都	墨田区	東京スカイツリー	131-0045	東京都墨田区押上1-1-2		35.710048	139.810706	"https://www.google.co.jp/maps/@35.7093726,139.810781,3a,50y,356.96h,149.86t/data=!3m6!1e1!3m4!1sk6iofX2fV_2nyY-Pe2YesA!2e0!7i16384!8i8192"						"Wake Up, Girls!"	ウェイクアップガールズ	第2話、第4話、第5話、第6話、第8話、第11話と、東京でのI-1clubのシーンの冒頭カットで、様々なアングルでの東京スカイツリーが描かれていました。<br />第2話では東側から首都高越しに、第4話では、西十間橋から北十間川を見下ろした構図で、川面に映ったスカイツリーが描かれていました。				スミダク	ウ	13	13	2	
0087	0062	完了	埼玉県	さいたま市	さいたまスーパーアリーナ	330-9111	埼玉県さいたま市中央区新都心8		35.895038	139.630732	"https://www.google.co.jp/maps/@35.8941493,139.6325537,3a,49.4y,292.84h,108.77t/data=!3m6!1e1!3m4!1sgJdt6dyBuvRsGo_4KcxNCA!2e0!7i16384!8i8192"						"Wake Up, Girls!"	ウェイクアップガールズ	"第11～12話で、Wake Up, Girls!が東北ブロック代表で出場した「アイドルの祭典2014」の会場。"				サイタマシ	ウ	11	1	2	
0087	0001	完了	宮城県	仙台市	仙台放送本社	980-0011	宮城県仙台市青葉区上5-8-33		38.274487	140.874131	"https://www.google.co.jp/maps/@38.2747028,140.8735688,3a,40.5y,121.45h,102.83t/data=!3m6!1e1!3m4!1sJpRusn4ldlpELW9b6vwo3g!2e0!7i13312!8i6656?hl=ja"	17.0				022-267-1213	"Wake Up, Girls!"	ウェイクアップガールズ	第3話で、ミニコーナーのレギュラー仕事をもらった仙台のローカルテレビ局で、打ち合わやリハーサルをしていました。				センダイシ	ウ	4	1	1	
0087	0002	完了	宮城県	仙台市	勾当台公園　野外音楽堂	980-0014	宮城県仙台市青葉区本町3		38.267471	140.872015	"https://www.google.co.jp/maps/@38.267271,140.8720393,2a,28.9y,0.91h,89.21t/data=!3m6!1e1!3m4!1s-0Ue0GN31tDn3M8FgQAn9A!2e0!7i13312!8i6656?hl=ja"	17.0			4		"Wake Up, Girls!"	ウェイクアップガールズ	第1話冒頭で描かれていた「SENDAI学生メタルバンド祭」のステージ。				センダイシ	ウ	4	1	1	
0087	0034	完了	宮城県	仙台市	勾当台公園　平和祈念像	980-0014	宮城県仙台市青葉区本町3		38.267140	140.872211	"https://www.google.co.jp/maps/@38.2670051,140.872263,2a,31.6y,341.18h,95.73t/data=!3m6!1e1!3m4!1sJlrm5TPuLs9ENMreYfcFYQ!2e0!7i13312!8i6656"						"Wake Up, Girls!"	ウェイクアップガールズ	第1話冒頭カットで描かれていた勾当台公園内の野外音楽堂脇にある銅像。				センダイシ	ウ	4	1	1	
0087	0003	完了	宮城県	仙台市	勾当台公園　市民広場	980-0014	宮城県仙台市青葉区本町3		38.266973	140.869907	"https://www.google.co.jp/maps/@38.2669899,140.869988,2a,87.2y,258.87h,89.52t/data=!3m6!1e1!3m4!1symWn8yfq4XTaEGuk-p4uZQ!2e0!7i13312!8i6656"	17.0			1		"Wake Up, Girls!"	ウェイクアップガールズ	"第3話で、2014年3月23日の「仙台テレビ感謝祭2014」で、Wake Up, Girls!がミニライブをしていた特設ステージ設営場所。※実際に各種イベントで、この場所に作中と同じステージげが設営されています。"				センダイシ	ウ	4	1	1	
0087	0036	完了	宮城県	仙台市	勾当台公園　季の杜に	980-0014	宮城県仙台市青葉区本町3		38.266692	140.871606	"https://www.google.co.jp/maps/@38.2667595,140.8716443,2a,26.5y,196.85h,88.3t/data=!3m6!1e1!3m4!1sZqBiyUeKsak6mh_xHWzceg!2e0!7i13312!8i6656"				4		"Wake Up, Girls!"	ウェイクアップガールズ	"第5話で、この銅像越しに、公園入口辺りでWake Up, Girls!メンバーが1st ワンマンライブの街頭アピールをしている姿が描かれていました。"				センダイシ	ウ	4	1	1	
