作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1002	0001	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.680521	139.765696	"https://www.google.co.jp/maps/@35.680356,139.7645979,3a,23y,73.74h,103.08t/data=!3m6!1e1!3m4!1skPdBtiXxUA4viGjdaXck7w!2e0!7i13312!8i6656"						citrus	シトラス	第10話の修学旅行で、寝坊した藍原柚子が新幹線に乗り遅れたおかげでタチバナ・サラと出会っていた駅。				チヨダク	シ	13	17	2		
1002	0002	完了	東京都	千代田区	銘品館東京南口店	100-0005	東京都千代田区丸の内1-9-1		35.680674	139.766624	-					03-5222-4374	citrus	シトラス	第10話で、修学旅行で京都に向かう新幹線に乗り遅れた藍原柚子が、東京限定のゆずぼっちのストラップを買うために同じく修学旅行の新幹線に乗り遅れたタチバナ・サラと出会っていた東急駅構内の土産物屋。				チヨダク	シ	13	17	2		
1002	0003	完了	東京都	千代田区	ルミネ有楽町	100-0006	東京都千代田区有楽町2-5-1		35.673625	139.762777	"https://www.google.co.jp/maps/@35.673573,139.7627327,2a,62y,73.7h,94.87t/data=!3m6!1e1!3m4!1sz8_MvhZne7iX9gtx6qKE4g!2e0!7i13312!8i6656"					03-6268-0730	citrus	シトラス	第8話で、藍原柚子が谷口はるみと一緒にクリスマスパーティー用の買い物をしていた場所。作中では店名が「LUMINUS」になっていました。				チヨダク	シ	13	17	2		
1002	0004	完了	東京都	千代田区	有楽町センタービル	100-0006	東京都千代田区有楽町2-5-1		35.673545	139.762984	"https://www.google.co.jp/maps/@35.672367,139.7631334,3a,42y,352.57h,114.74t/data=!3m6!1e1!3m4!1sVvLHDudRjb0rgrGR_OLvsA!2e0!7i13312!8i6656"						citrus	シトラス	第8話で、藍原柚子が谷口はるみと一緒にクリスマスパーティー用の買い物をしていたシーンの最後のカットで描かれていたビル。				チヨダク	シ	13	17	2		
1002	0005	完了	東京都	千代田区	TOMIZ ルミネ有楽町店	100-0006	東京都千代田区有楽町2-5-1	ルミネ有楽町店 B1F	35.673393	139.762909	-					03-5222-1715	citrus	シトラス	第8話で、藍原柚子が谷口はるみと一緒にクリスマスパーティー用の買い物をしていた店。作中では店名が「TOMYS」になっていました。	http://tomiz.com/shopguide/shop25.html			チヨダク	シ	13	17	2		
1002	0006	完了	東京都	千代田区	薬のヒグチ 水道橋駅前店	101-0061	東京都千代田区三崎町2-9-1	三崎町TSビル1F	35.700922	139.755303	"https://www.google.co.jp/maps/@35.7008206,139.7554552,3a,58y,311.13h,89.7t/data=!3m6!1e1!3m4!1sridrcxcKQTmjYj0o4133FA!2e0!7i13312!8i6656"					03-3222-0346	citrus	シトラス	第6話で、急に海外へ戻ることになり上野から空港に向かう電車に乗って行ってしまう父親に藍原芽衣を会わせるため、藍原柚子が自転車に芽衣を乗せて上野駅へ向かうシーンで、この店の横を抜けて左折し、白山通りを北上していく姿が描かれていました。<br />暁星中学校・高等学校→京成上野駅の道程⑤	https://www.pharmarise.com/company/store/store.php?store_id=9363			チヨダク	シ	13	17	2		
1002	0007	完了	東京都	千代田区	カラオケ ビッグエコー 水道橋店	101-0061	東京都千代田区三崎町2-10-3		35.701262	139.754030	"https://www.google.co.jp/maps/@35.7012153,139.7540011,3a,52y,43.08h,87t/data=!3m6!1e1!3m4!1s4XdfK1ZsZsYFatF4gA4CpA!2e0!7i13312!8i6656"					03-5275-3232	citrus	シトラス	第7話で、藍原柚子と谷口はるみが、ゲームセンターで遭遇した水沢まつりに誘われて行ったカラオケ店。作中では店名が「GIGA ECHO」になっていました。	http://big-echo.jp/shop_info/%E3%83%93%E3%83%83%E3%82%B0%E3%82%A8%E3%82%B3%E3%83%BC%E6%B0%B4%E9%81%93%E6%A9%8B%E5%BA%97/			チヨダク	シ	13	17	2		
1002	0008	完了	東京都	千代田区	交差点（六叉路）	101-0061	東京都千代田区三崎町2-13		35.700064	139.753088	"https://www.google.co.jp/maps/@35.7000512,139.7531117,3a,53y,73.91h,85.63t/data=!3m6!1e1!3m4!1sSU4vXDcCZ4L6qhQuxqZWAg!2e0!7i13312!8i6656"						citrus	シトラス	第6話で、急に海外へ戻ることになり上野から空港に向かう電車に乗って行ってしまう父親に藍原芽衣を会わせるため、藍原柚子が自転車に芽衣を乗せて上野駅へ向かうシーンで、2人が通っていた交差点。<br />暁星中学校・高等学校→京成上野駅の道程④				チヨダク	シ	13	17	2		
1002	0009	完了	東京都	千代田区	水道橋駅前	101-0061	東京都千代田区三崎町2-22		35.701837	139.755266	"https://www.google.co.jp/maps/@35.7015957,139.7553522,3a,17y,318.9h,92.07t/data=!3m6!1e1!3m4!1s2_1X2j-ggADybPfFw8_EPA!2e0!7i13312!8i6656"						citrus	シトラス	第6話で、急に海外へ戻ることになり上野から空港に向かう電車に乗って行ってしまう父親に藍原芽衣を会わせるため、藍原柚子が自転車に芽衣を乗せて上野駅へ向かうシーンで、2人が走っていた場所。<br />暁星中学校・高等学校→京成上野駅の道程⑥				チヨダク	シ	13	17	2		
1002	0010	完了	東京都	千代田区	モスバーガー 水道橋西通り店	101-0065	東京都千代田区西神田2-5-8		35.698969	139.753860	"https://www.google.co.jp/maps/@35.6988762,139.7538065,3a,20.4y,32.65h,93.25t/data=!3m6!1e1!3m4!1sPSxAC6srmJmJY71XNfySPw!2e0!7i13312!8i6656?hl=ja&hl=ja"					03-3263-7328	citrus	シトラス	第6話で、学校帰りの藍原柚子が谷口はるみに慰めてもらっていた店で、母の藍原梅からの電話で、藍原芽衣の父親が急に海外へ戻ることになったことを知らされていました。				チヨダク	シ	13	17	2		
