作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0151	0035	完了	東京都	中野区	ロイヤルホスト中野店	164-0011	東京都中野区中央4-59-4		35.702364	139.666274	"https://www.google.com/maps/@35.7023602,139.6659456,3a,35.5y,89.57h,102.57t/data=!3m6!1e1!3m4!1sQUzwNMijzTWYCk12mc0ZcA!2e0!7i13312!8i6656"						orange	オレンジ	第12話で、成瀬翔が東京の高校の同級生たちと会っていたファミリーレストラン。<br />※店前のポール看板は、小ぶりな看板に差し替えられています。				ナカノク	オ	13	19	2	
0151	0039	完了	長野県	松本市	マクドナルド 松本店	390-0811	長野県松本市中央1-3-2		36.231477	137.965686	-						orange	オレンジ	第9話で、学校帰りに高宮菜穂と成瀬翔を相合い傘で帰らせる作戦に成功した須和弘人一行が訪れていたハンバーガー屋。<br />窓から見える駅舎や駅前ロータリーなどの風景は一致しますが、店内の内装は再現度低めです。				マツモトシ	オ	20	18	2	
0151	0001	完了	長野県	松本市	松本PARCO	390-0811	長野県松本市中央1-10-30		36.232647	137.968096	"https://www.google.co.jp/maps/@36.2330457,137.9685628,3a,18y,219.68h,92.25t/data=!3m6!1e1!3m4!1sGlQ2bHZALiyNPJ_WApCAlA!2e0!7i16384!8i8192"				5	0263-39-8331	orange	オレンジ	第4話で、高宮菜穂が村坂あずさたちとお揃いでショートパンツを買っていた商業施設。<br />入口前にある鯉のいる池も描かれていました。<br />第11話の、2人で遊ぼうと約束したクリスマスイブに祖母が体調を崩したために成瀬翔が来れなかったと菜穂が語るモノローグシーンで描かれていたのは、PARCOの入口前に飾られているクリスマスツリーでした。	http://big-echo.jp/shop_info/%E3%83%93%E3%83%83%E3%82%B0%E3%82%A8%E3%82%B3%E3%83%BC%E3%83%95%E3%82%A9%E3%83%AB%E3%83%86%E6%9D%BE%E6%9C%AC%E5%BA%97/			マツモトシ	オ	20	18	2	
0151	0036	完了	長野県	松本市	松本市時計博物館	390-0811	長野県松本市中央1-21-15		36.233873	137.968675	"https://www.google.com/maps/@36.2339925,137.9687686,3a,26.1y,212.59h,138.57t/data=!3m6!1e1!3m4!1szWKI65rSqkdWwlcvdZtB6A!2e0!7i13312!8i6656"				4		orange	オレンジ	第11話、第12話で、「これ以上近寄らないで」と高宮菜穂を拒絶して立ち去った成瀬翔が、雪の降り出した中、このビル前を歩く姿が描かれていました。				マツモトシ	オ	20	18	2	
0151	0041	完了	長野県	松本市	花時計公園前の道	390-0811	長野県松本市中央2-1		36.231582	137.968615	"https://www.google.com/maps/@36.2315326,137.9686102,3a,34.8y,348.74h,90.81t/data=!3m6!1e1!3m4!1sSS-9FiV1rk72SyVLMPP1Ww!2e0!7i13312!8i6656"						orange	オレンジ	第11話で、深志神社に二年参りに向かう成瀬翔が歩いていた場所。				マツモトシ	オ	20	18	2	
0151	0002	完了	長野県	松本市	花時計公園	390-0811	長野県松本市中央2-1-12		36.231786	137.968442	"https://www.google.co.jp/maps/@36.232388,137.9685184,3a,15y,186.14h,89.67t/data=!3m6!1e1!3m4!1sSE1cuEIeK5rNu4bdGbPcvg!2e0!7i13312!8i6656"				5		orange	オレンジ	第1話の高宮菜穂の通学シーンで描かれていた場所その4。<br />エンディングでも同じ構図のカットが使われていました。<br />第4話の連休に高宮菜穂たちが遊びに出かけた街のカットの一つで、噴水で遊ぶ子供たちや、立ち並ぶポールの中を走って遊ぶ村坂あずさたちの姿が描かれていました。				マツモトシ	オ	20	18	2	
0151	0003	完了	長野県	松本市	開運堂	390-0811	長野県松本市中央2-2-15		36.232506	137.968792	"https://www.google.co.jp/maps/@36.2324036,137.9686923,3a,15y,54.49h,95.25t/data=!3m6!1e1!3m4!1skFM8VMCfZ0OwsHUNDQ0HWg!2e0!7i13312!8i6656"				5		orange	オレンジ	第4話で、高宮菜穂たちが苺アイスを食べていたロボットアイスの店。				マツモトシ	オ	20	18	2	
0151	0004	完了	長野県	松本市	クリヴィーレ増田 前	390-0811	長野県松本市中央2-5-15		36.233724	137.970232	"https://www.google.co.jp/maps/@36.2337713,137.9703353,3a,75y,176.99h,88.92t/data=!3m6!1e1!3m4!1sOFg4wFpS7NIL4cjAo0iKQw!2e0!7i13312!8i6656"				2		orange	オレンジ	第1話の高宮菜穂の通学シーンで描かれていた場所その6。<br />引越し業者のトラックが停まっているカットです。				マツモトシ	オ	20	18	2	
0151	0034	完了	長野県	松本市	中町蔵の会館（中町・蔵シック館）	390-0811	長野県松本市中央2-9-15		36.233726	137.971382	"https://www.google.com/maps/@36.233811,137.9714353,3a,47.4y,204.02h,85.62t/data=!3m6!1e1!3m4!1smK_YgJmIqyGFEs4T-S_qFg!2e0!7i13312!8i6656"						orange	オレンジ	第11話の高宮菜穂たち一行が、館前の休憩スペースでクリスマスイブや二年参りの予定について話していた場所。<br />みんなで一緒に行こうと言う二年参りを予定があるからと断った須和弘人が、菜穂と成瀬翔が帰った後、館内で茅野貴子たちに嘘だと追求されていました。<br />※弘人と萩田朔が座っていたベンチの後ろの樹木は撤去済。				マツモトシ	オ	20	18	2	
0151	0005	完了	長野県	松本市	中西屋本店 脇の道	390-0811	長野県松本市中央2-10-13		36.233894	137.971530	"https://www.google.co.jp/maps/@36.2338695,137.9715424,3a,75y,221.88h,69.79t/data=!3m6!1e1!3m4!1sHvWZL8m_As69dRkMdynBYw!2e0!7i13312!8i6656"				2	0263-32-0413	orange	オレンジ	第1話の高宮菜穂の通学シーンで描かれていた場所その5。<br />手前に描かれている老舗酒店は、リニューアルされてきれいな白壁の建物に変わってしまいました。				マツモトシ	オ	20	18	2	
0151	0024	完了	長野県	松本市	カエル大明神	390-0811	長野県松本市大手4-1-25		36.234454	137.970995	"https://www.google.co.jp/maps/@36.2344898,137.9710243,3a,36y,199.94h,76.1t/data=!3m6!1e1!3m4!1se3Dk5X_NUv5bSfP8yHSf_w!2e0!7i13312!8i6656"						orange	オレンジ	第4話の連休に高宮菜穂たちが遊びに出かけた街のカットの一つで、二宮金次郎をカエル化した石像越しに社が描かれていました。				マツモトシ	オ	20	18	2	
0151	0006	完了	長野県	松本市	あがたの森公園交差点	390-0812	長野県松本市県3-1		36.231223	137.981639	"https://www.google.co.jp/maps/@36.2312199,137.9813208,3a,24y,85.06h,92.91t/data=!3m6!1e1!3m4!1sJYO5tHxb2pgsXIjvO_7Ekg!2e0!7i13312!8i6656"				4		orange	オレンジ	第1話の高宮菜穂の通学シーンで描かれていた場所その8。<br />同話の学校帰りシーンで、菜穂たち一行が別れていたのもこの交差点でした。<br />第4話の菜穂の通学シーンでも同じ構図で交差点が描かれていました。				マツモトシ	オ	20	18	2	
0151	0007	完了	長野県	松本市	あがたの森公園交差点 脇	390-0812	長野県松本市県3-1		36.231158	137.981692	"https://www.google.co.jp/maps/@36.231249,137.9816972,2a,40.8y,183.66h,93.81t/data=!3m7!1e1!3m5!1sQYlOz80wbVkaQjzEWElB9Q!2e0!3e2!7i13312!8i6656"						orange	オレンジ	第1話の高宮菜穂の通学シーンで描かれていた場所その9。<br />あがたの森公園交差点から南側に伸びる道を望む構図で描かれていました。				マツモトシ	オ	20	18	2	
0151	0020	完了	長野県	松本市	あがたの森公園	390-0812	長野県松本市県3-1-1		36.230619	137.983313	"https://www.google.co.jp/maps/@36.2308175,137.9831576,3a,24.4y,137.77h,82.95t/data=!3m6!1e1!3m4!1spiPHmchWnFlGndXNFNjzog!2e0!7i13312!8i6656"				4		orange	オレンジ	第1話で、初めて高宮菜穂たちと一緒に帰る転校初日の成瀬翔が、みんなと遊ぶ姿が描かれていた公園。<br />第2話では、学校帰りの菜穂が、昼に渡せなかった手作り弁当を部活帰りの翔に渡していたのもこの公園でした。<br />第7話では、学校帰りに須和弘人が翔から誕生日に欲しい物を聞いていました。<br />第9話では、学校帰りの菜穂と翔が東屋で雨宿りをしていました。				マツモトシ	オ	20	18	2	
0151	0022	完了	長野県	松本市	旧制高等学校記念館 前	390-0812	長野県松本市県3-1-1	あがたの森公園	36.231342	137.982354	"https://www.google.co.jp/maps/@36.2313698,137.9827353,3a,33.2y,265.49h,97.93t/data=!3m6!1e1!3m4!1sofh1VD_HFsbquS6OpcQFOg!2e0!7i13312!8i6656"						orange	オレンジ	第1話で、転校してきた成瀬翔が、学校帰りに高宮菜穂たちと一緒に遊んだ帰り道のカットで描かれていた場所。<br />エンディングでも同じ構図のカットが使われていました。<br />第9話では、旧松本高等学校講堂前で、自分たちに未来から手紙が届いたことを打ち明けあった菜穂たちが、翔を救う方法を話し合う様子が描かれていました。				マツモトシ	オ	20	18	2	
0151	0028	完了	長野県	松本市	旧制高等学校記念館横のベンチ	390-0812	長野県松本市県3-1-1	あがたの森公園	36.231317	137.982703	"https://www.google.com/maps/@36.2313646,137.9826554,3a,59.9y,157.01h,83.27t/data=!3m6!1e1!3m4!1siQtq-3m7Ze2lg2y0HVIBkQ!2e0!7i13312!8i6656"						orange	オレンジ	第4話で、須和弘人に背中を押された成瀬翔に声をかけた高宮菜穂が、翔から上田莉緒先輩と別れようと思っていることを打ち明けられていたベンチ。<br />第6話の松本ぼんぼんで、村坂あずさたちの作戦によって2人きりで祭りを楽しんでいた高宮菜穂と成瀬翔が話をしていたのもこの場所のベンチで、第4話のベンチの隣のベンチでした。				マツモトシ	オ	20	18	2	
0151	0008	完了	長野県	松本市	見晴橋	390-0812	長野県松本市県3-6		36.227796	137.986347	"https://www.google.co.jp/maps/@36.2274459,137.9865012,3a,30.1y,341.68h,84.09t/data=!3m6!1e1!3m4!1saB4V4Umf3-bVXB8k718cEQ!2e0!7i13312!8i6656"						orange	オレンジ	第1話冒頭の未来の高宮菜穂と現在の菜穂がすれ違うイメージシーンや、同話の学校帰りの菜穂たちがパンを食べていた橋。<br />エンディングでも河川敷から見上げる橋のカットが使われていました。<br />各話の挿入カットでも描かれており、作中度々登場しています。				マツモトシ	オ	20	18	2	
0151	0037	完了	長野県	松本市	見晴橋北詰	390-0812	長野県松本市県3-6		36.228161	137.986258	"https://www.google.co.jp/maps/@36.2282892,137.9866088,3a,15y,241.89h,86.69t/data=!3m6!1e1!3m4!1sQhHLpY8_KbLdf4mu8Q_52w!2e0!7i13312!8i6656"				5		orange	オレンジ	第8話で、仲良し6人組でリレーに出ることになるも、クラスで一番足の遅い萩田朔が、村坂あずさにタイムを測ってもらいながら、橋の脇で走る練習をしていた場所。				マツモトシ	オ	20	18	2	
