作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1012	0001	完了	東京都	渋谷区	渋谷区役所仮庁舎	150-0002	東京都渋谷区渋谷1-18-21		35.661980	139.703765	"https://www.google.co.jp/maps/@35.6616077,139.703207,3a,44.7y,76.29h,96.82t/data=!3m6!1e1!3m4!1s_Ye0nmlTt4BYNNa4l28sww!2e0!7i16384!8i8192"						revisions リヴィジョンズ	リヴィジョンズ	2338年に転送されて孤立した渋谷区の災害対策本部の拠点となっていた施設。<br />第6話で、堂嶋大介と手真輪愛鈴が話していたベンチもこの仮庁舎の第一庁舎入口前にあるもので、大介が愛鈴から、現代に帰りたいと願うみんなの気持ちに反して一人この状況を喜んでいることを指摘されて拒絶されていました。<br />※2019年1月15日から新庁舎が渋谷区役所 第二美竹分庁舎が開庁したため、同日より、仮庁舎は「第二美竹分庁舎」となっています。				シブヤク	リ	13	10	2	
1012	0002	完了	東京都	渋谷区	美竹公園	150-0002	東京都渋谷区渋谷1-18-24		35.661826	139.702979	"https://www.google.co.jp/maps/@35.6619099,139.7033026,2a,44y,206.17h,83.42t/data=!3m6!1e1!3m4!1sOHa3KZBDjpOO6oxJVk5cqQ!2e0!7i13312!8i6656"						revisions リヴィジョンズ	リヴィジョンズ	第4話で、リヴィジョンズとの交渉を受け入れようとする人々に、堂嶋大介が、遊具の上に立って交渉条件の武装解除の徹底反対を訴えていた公園。<br />訴えを聞き入れられるどころか、非難されまくった大介が、大声で愚痴りながら怒りを発散させているところへ、ニコラス・サトウが接触してきた公園出入口側の自動販売機や電話ボックスのあるエリアも含め、公園内が忠実に描かれていました。<br />第12話で、渋谷が現代に戻るシーンの挿入カットでもこの公園の自動販売機あたりが描かれていました。				シブヤク	リ	13	10	2	
1012	0003	完了	東京都	渋谷区	渋谷駅	150-0002	東京都渋谷区渋谷2-24		35.659200	139.701153	-						revisions リヴィジョンズ	リヴィジョンズ	第1話の時空転送発生前のシーンで、堂嶋大介の叔父・堂嶋幹夫が改札から出てくる姿が描かれていた駅で、時空転送発生時には、停電した銀座線ホームにいる姿が描かれていました。<br />その他、各話で被災した多くの人々がその場に留まっている姿が描かれたりと、各話で度々描かれていました。				シブヤク	リ	13	10	2	
1012	0004	完了	東京都	渋谷区	JR線高架線路上	150-0002	東京都渋谷区渋谷2-24		35.659483	139.701149	"https://www.google.co.jp/maps/@35.6594323,139.7005496,3a,36y,102.38h,92.99t/data=!3m6!1e1!3m4!1s9s6niep7-71TNXaPP7fsag!2e0!7i16384!8i8192"						revisions リヴィジョンズ	リヴィジョンズ	第10話で、予告通り無差別捕獲を実行すべく、ムキュー・イスルギが指揮するリヴィジョンズの大軍との戦闘で、張・露・シュタイナーが乗るストリング・パペットが陣取って大型スナイパーライフルで狙撃をしていた場所。				シブヤク	リ	13	10	2	
1012	0005	完了	東京都	渋谷区	警視庁渋谷警察署	150-0002	東京都渋谷区渋谷3-8-15		35.657787	139.703907	"https://www.google.co.jp/maps/@35.6578881,139.7031926,3a,51.7y,99.15h,119.55t/data=!3m7!1e1!3m5!1sxYx6ep7NT6cTwB3OPsotOg!2e0!5s20150501T000000!7i13312!8i6656"						revisions リヴィジョンズ	リヴィジョンズ	黒岩亮平署長率いる警察の拠点で、第2話では、リヴィジョンズとの初戦闘を終えた後の堂嶋大介たちが、器物破損や銃刀法違反などの名目で逮捕されて連れて来られ、激しく抵抗した大介は檻に入れられていました。<br />第5話で、私益のために独断でリヴィジョンズと交渉しようとして外患援助罪で逮捕された牟田誠一郎区長が投獄されたのも、第6～7話で、浅野慶作の母親を探すために独断で出撃した大介と慶作が投獄されていたのもこの署内でした。				シブヤク	リ	13	10	2	
1012	0006	完了	東京都	渋谷区	ローソン 渋谷鶯谷町店 前	150-0032	東京都渋谷区鶯谷町15-9		35.654218	139.700554	"https://www.google.co.jp/maps/@35.6542697,139.7006075,3a,44.8y,159.45h,83.79t/data=!3m6!1e1!3m4!1sQ3sQS0ypUFPPb0rSjZ7U9Q!2e0!7i16384!8i8192"						revisions リヴィジョンズ	リヴィジョンズ	第2話で、張・剴・シュタイナーと張・露・シュタイナーが、コンビニから勝手に商品を持ち出そうとしていた男をボコっていた場所。<br />第9話で、クーデターを起こした牟田誠一郎区長一派が立て籠もる学校（私立聖昭学園）から人質になっている張・露・シュタイナーと泉海香苗巡査長を救い出す作戦の際に、手真輪愛鈴や黒岩亮平署長たちが待機していたのもこの店の前でした。				シブヤク	リ	13	10	2	
1012	0007	完了	東京都	渋谷区	ブラッセリー アデニア 前	150-0035	東京都渋谷区鉢山町1		35.653490	139.698772	"https://www.google.co.jp/maps/@35.6533844,139.6986405,3a,41y,52.07h,89.08t/data=!3m6!1e1!3m4!1sZ2YB85y9hIBe1e7owlWvWA!2e0!7i13312!8i6656"						revisions リヴィジョンズ	リヴィジョンズ	第1話で、張・露・シュタイナーと接触事故を起こした自転車の男が、露と堂嶋大介が揉めている間に逃げ去る姿が描かれていた場所。				シブヤク	リ	13	10	2	
1012	0008	完了	東京都	渋谷区	鉢山町交番前交差点	150-0035	東京都渋谷区鉢山町2		35.652927	139.698080	"https://www.google.co.jp/maps/@35.6529881,139.6981631,3a,38y,227.81h,89.18t/data=!3m6!1e1!3m4!1s-6w1gbEVwdL9ZnPX7SSvZw!2e0!7i13312!8i6656"						revisions リヴィジョンズ	リヴィジョンズ	第1話で、通学途中の張・露・シュタイナーが自転車の男に引っ掛けられていた交差点。<br />第11話で、アーヴの回し者と罵られながら男たちに暴力を振るわれていたところを、張・剴・シュタイナーに助けられていたのもこの交差点でした。				シブヤク	リ	13	10	2	
1012	0009	完了	東京都	渋谷区	ＮＴＴコム鉢山ビル前の道	150-0035	東京都渋谷区鉢山町3		35.652051	139.698577	"https://www.google.co.jp/maps/@35.6520805,139.6985357,3a,28y,125.3h,83.38t/data=!3m6!1e1!3m4!1s66l1F5dEtlLOdhzD7rgXcA!2e0!7i13312!8i6656"				3.5		revisions リヴィジョンズ	リヴィジョンズ	第1話で、いつものメサイアコンプレックスで張・剴・シュタイナーと揉めた堂嶋大介が、学校帰りに浅野慶作から忠告を受け諭されていた場所。				シブヤク	リ	13	10	2	
1012	0010	完了	東京都	渋谷区	鉢山町交番前交差点の広場	150-0035	東京都渋谷区鉢山町11		35.652754	139.697833	"https://www.google.co.jp/maps/@35.6527113,139.6979047,3a,27.9y,305.86h,79.47t/data=!3m6!1e1!3m4!1sVMRLqBsVr4d9N20fFu2MKA!2e0!7i13312!8i6656"						revisions リヴィジョンズ	リヴィジョンズ	第11話で、エネルギー不足でストリング・パペットが起動できなくなった危機的状況下で、堂嶋大介と張・剴・シュタイナーが話していた場所。<br />生身でリヴィジョンズの本拠地に乗り込むため、大介に車両を調達できないかと相談する剴に、2人の話を聞いていた堂嶋幹夫が声をかけていました。				シブヤク	リ	13	10	2	
