作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0469	0001		東京都	渋谷区	マルイシティ渋谷	150-0041	東京都渋谷区神南1-21-3		35.661323	139.700617	"https://www.google.co.jp/maps/@35.661006,139.700818,3a,41.5y,331.04h,110.44t/data=!3m4!1e1!3m2!1sfDEsMlmT7VulkQ-5LD_5FA!2e0?hl=ja"	17		120	1	03-3464-0101	selector infected WIXOSS	セレクターインフェクテッドウィクロス	第6話。作中では店名が「CICITY」になっていました。	http://www.0101.co.jp/stores/guide/store140.html			シブヤク	セ	13	10	2	
0469	0002		東京都	渋谷区	神南郵便局前交差点	150-0041	東京都渋谷区神南1-22		35.662100	139.700950	"https://www.google.co.jp/maps/@35.662163,139.70103,3a,75y,242.83h,91.12t/data=!3m4!1e1!3m2!1s08MnmiQl6x9qMgSc_08f5A!2e0"	17		120	1		selector infected WIXOSS	セレクターインフェクテッドウィクロス	第6話				シブヤク	セ	13	10	2	
0469	0003		東京都	渋谷区	上渋谷ガード	150-0041	東京都渋谷区神南1-22		35.662038	139.701289	"https://www.google.co.jp/maps/@35.662163,139.70103,3a,30y,117.43h,86.71t/data=!3m4!1e1!3m2!1s08MnmiQl6x9qMgSc_08f5A!2e0"	17		120	3		selector infected WIXOSS	セレクターインフェクテッドウィクロス	第6話				シブヤク	セ	13	10	2	
0469	0004		東京都	渋谷区	ハチ公像	150-0043	東京都渋谷区道玄坂1		35.659059	139.700592	"https://www.google.co.jp/maps/@35.658979,139.700829,3a,75y,90t/data=!3m5!1e2!3m3!1s4469309!2e1!3e10?hl=ja"	18		0			selector infected WIXOSS	セレクターインフェクテッドウィクロス	第5話				シブヤク	セ	13	10	2	
0469	0005		東京都	渋谷区	ハチ公ファミリー（銅版レリーフ）	150-0043	東京都渋谷区道玄坂1		35.659031	139.701026		19		0			selector infected WIXOSS	セレクターインフェクテッドウィクロス	第6話。渋谷駅駅舎の壁面にある銅版レリーフ				シブヤク	セ	13	10	2	
0469	0006		東京都	新宿区	IDC大塚家具 新宿ショールーム	160-0022	東京都新宿区新宿3-33-1	三越新宿店南館共同ビル	35.690511	139.703350	"https://www.google.co.jp/maps/@35.6904911,139.703242,3a,90y,68.91h,117.42t/data=!3m4!1e1!3m2!1s2yAHoIY2ICoMx9mCWnWW5Q!2e0?hl=ja"						selector infected WIXOSS	セレクターインフェクテッドウィクロス	第5話				シンジュクク	セ	13	11	2	
0469	0007		東京都	新宿区	AMO'S STYLE by Triumph 新宿東口店	160-0022	東京都新宿区新宿3-34-16		35.690351	139.703150	"https://www.google.co.jp/maps/@35.690376,139.703218,3a,36.3y,239.32h,84.26t/data=!3m4!1e1!3m2!1sm6dfk-DkBhl3JnSqIppebw!2e0?hl=ja"					03-5312-6031	selector infected WIXOSS	セレクターインフェクテッドウィクロス	第5話。ショウウインドウが描かれていました。	http://www.amos-style.com/shoplist/tokyo/index.html#23ku			シンジュクク	セ	13	11	2	
0469	0008		東京都	新宿区	カラオケの鉄人 西新宿店 前	160-0023	東京都新宿区西新宿1-13		35.689366	139.696854	"https://www.google.co.jp/maps/@35.689379,139.696781,3a,37.8y,60.13h,94.82t/data=!3m4!1e1!3m2!1s1M88ACyKmrpkYQZ9UU0QEg!2e0"						selector infected WIXOSS	セレクターインフェクテッドウィクロス	第2話				シンジュクク	セ	13	11	2	
0469	0009	完了	東京都	新宿区	東京医大病院前交差点	160-0023	東京都新宿区西新宿6-7		35.694244	139.692902	"https://www.google.co.jp/maps/@35.694308,139.693045,3a,75y,18.97h,90.66t/data=!3m4!1e1!3m2!1shBTiig66CMCDuy9VNxtntg!2e0?hl=ja"						selector infected WIXOSS	セレクターインフェクテッドウィクロス	第1話で小湊るう子が帰る兄の歩を見送っていた場所。第2話冒頭では、登校時にるう子、紅林遊月、紅林香月の3人が信号待ちをしているシーンで、同じく野村不動産西新宿ビルと野村不動産西新宿共同ビルが描かれていました。				シンジュクク	セ	13	11	2	
0469	0010	完了	東京都	新宿区	西新宿駅 2番出口	160-0023	東京都新宿区西新宿6-7-51		35.694119	139.692829	"https://www.google.co.jp/maps/@35.694051,139.693009,3a,75y,305.48h,83.6t/data=!3m4!1e1!3m2!1swtplidA_UIHV4uheEBS28g!2e0?hl=ja"						selector infected WIXOSS	セレクターインフェクテッドウィクロス	第1話本編冒頭で、学校帰りの小湊るう子が階段を駆け上がり出て来た駅の出入口。後半では、紅林遊月が双子の香月への想いを他言しないようにするため、るう子を待ち伏せしていたのもこの場所でした。				シンジュクク	セ	13	11	2	
