作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0487	0001	完了	東京都	豊島区	雑司が谷旧宣教師館	171-0032	東京都豊島区雑司が谷1-25-5		35.720738	139.720572		16.0				03-3985-4081	sola	ソラ	森宮依人の住む家のモデル。				トシマク	ソ	13	18	2	
0487	0002	完了	長崎県	長崎市	長崎駅前交差点	850-0057	長崎県長崎市大黒町		32.752163	129.872056	"https://www.google.co.jp/maps/@32.7522425,129.8719979,3a,75y,120.77h,97.19t/data=!3m4!1e1!3m2!1sSM3AslkGOK5eXLdgYCfaeg!2e0?hl=ja"	16.0					sola	ソラ	オープニングに登場する交差点。ちなみに物語の舞台である「加名見町」は長崎県長崎市がモデルです。				ナガサキシ	ソ	42	1	8	
0487	0003	完了	長崎県	長崎市	長崎水辺の森公園	850-0843	長崎県長崎市常盤町1		32.740288	129.870089	"https://www.google.co.jp/maps/@32.739946,129.871552,3a,75y,90t/data=!3m5!1e2!3m3!1s79433931!2e1!3e10?hl=ja"	13.0				095-818-8550	sola	ソラ	森宮依人と四方茉莉が出会った公園のモデル。	http://www.mizubenomori.jp/	http://www.mizubenomori.jp/		ナガサキシ	ソ	42	1	8	
0487	0004	完了	長崎県	長崎市	長崎水辺の森公園レストラン	850-0843	長崎県長崎市常盤町1-15		32.740426	129.871806		16.0				095-811-6222	sola	ソラ	石月真名がアルバイトしていたファミレスのモデル。				ナガサキシ	ソ	42	1	8	
0487	0005	完了	長崎県	長崎市	眼鏡橋	850-0874	長崎県長崎市魚の町		32.747171	129.880089	"https://www.google.co.jp/maps/@32.747155,129.880091,3a,75y,90t/data=!3m5!1e2!3m3!1s94451505!2e1!3e10?hl=ja"	16.0				095-829-1314	sola	ソラ	オープニングで登場する石橋。第1話ではこの橋の下で、辻堂剛史がダンボール箱の中に入った神河繭子を見つけていました。				ナガサキシ	ソ	42	1	8	
0487	0006	完了	長崎県	長崎市	活水女子大学 東山手キャンパス	850-0911	長崎県長崎市東山手町1-50		32.738850	129.873385	"https://www.google.co.jp/maps/@32.7382661,129.8728727,3a,17.2y,330.54h,105.08t/data=!3m4!1e1!3m2!1sfxJ93mfPRwMpNNjx9BS-Rw!2e0?hl=ja"					095-822-4107	sola	ソラ	石月真名たちが通っていた「御池学園」のモデル。	http://www.kwassui.ac.jp/university/			ナガサキシ	ソ	42	1	8	
0487	0007	完了	長崎県	長崎市	海星学園 海星修道院	850-0911	長崎県長崎市東山手町5-3		32.736487	129.874926	-	16.0				095-826-2633	sola	ソラ	第1話で登場した森宮蒼乃が入院していた病院の外観のモデル。				ナガサキシ	ソ	42	1	8	
0487	0008	完了	長崎県	長崎市	長崎電気軌道 大浦天主堂下駅	850-0918	長崎県長崎市大浦町		32.736258	129.870858	"https://www.google.co.jp/maps/@32.7363697,129.8706283,3a,36.1y,132.12h,86.91t/data=!3m4!1e1!3m2!1sIoKVs1i1TKqhPHFHjpTygQ!2e0?hl=ja"	13.0					sola	ソラ	第1話で森宮依人と石月真名が、森宮蒼乃のお見舞いに病院へ向かうシーンで登場した路面電車の駅。				ナガサキシ	ソ	42	1	8	
0487	0009	完了	長崎県	長崎市	大浦天主堂	850-0931	長崎県長崎市南山手町5-3		32.734158	129.870149	"https://www.google.co.jp/maps/@32.7348016,129.8701698,3a,75y,180.85h,110.75t/data=!3m4!1e1!3m2!1s-6GshB9UpXi64t85hoZFBw!2e0?hl=ja"	16.0				095-823-2628	sola	ソラ	第1話で登場した四方茉莉が住み着いていた工事中の教会の外観のモデル。辻堂剛史に嗅ぎつけられ、死闘が繰り広げられていました。				ナガサキシ	ソ	42	1	8	
0487	0010	完了	長崎県	長崎市	軍艦島（端島）	851-1315	長崎県長崎市高島町		32.627778	129.738333	"https://www.google.co.jp/maps/@32.6275651,129.7389218,3a,64.7y,260.32h,96.21t/data=!3m5!1e1!3m3!1sLfb19evAmCBjDU59CtJaKw!2e0!3e5?hl=ja"	10.0					sola	ソラ	第12話で決戦の場所となった場所。				ナガサキシ	ソ	42	1	8	
0487	0011	完了	長崎県	長崎市	黒崎教会	851-2324	長崎県長崎市上黒崎町26		32.839377	129.71567	"https://www.google.co.jp/maps/@32.839382,129.715669,2a,90y,90t/data=!3m5!1e2!3m3!1s-rO41R-T0Mho%2FVAZwszMsJyI%2FAAAAAAAAEXk%2Fq7Y8i5x2WQ8!2e4!3e12!4m2!3m1!1s0x0:0x0?hl=ja"	16.0				0959-25-0007	sola	ソラ	第1話で四方茉莉が住み着いていた工事中の教会の内部のモデル。ここで茉莉と辻堂剛史の死闘が繰り広げられていました。				ナガサキシ	ソ	42	1	8	
0487	0012	完了	長崎県	長崎市	稲佐山展望台	852-8011	長崎県長崎市稲佐町364		32.75261	129.849493		15.0				095-829-1171	sola	ソラ	オープニングの冒頭に出てくる街のシーンは、ここからの眺望かと思われます。※展望台が作中に出てくるわけではありません。				ナガサキシ	ソ	42	1	8	
