作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0857	0001	完了	北海道	札幌市	札幌市営地下鉄南北線高架シェルター	005-0012	北海道札幌市南区真駒内上町		42.997319	141.359654	"https://www.google.co.jp/maps/@42.997408,141.359484,3a,75y,67.37h,112.96t/data=!3m4!1e1!3m2!1sArDNzpW798g3TSW-iA8p5w!2e0"	17.0		120	1.3		無敵超人ザンボット3	ムテキチョウジンザンボットスリー	第14話で札幌に襲来したメカ・ブースト カメヅオンが口から吐いた溶解液で破壊していた高架線路。				サッポロシ	ム	1	1	1		
0857	0002	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635	"https://www.google.co.jp/maps/@43.0624616,141.3532158,3a,36.6y,65.74h,109.35t/data=!3m6!1e1!3m4!1sFztRumz1qm-8gjACmwEuQw!2e0!7i16384!8i8192"	17.0		0		011-231-0838	無敵超人ザンボット3	ムテキチョウジンザンボットスリー	第14話で、アキの避難している難民キャンプを探しに神勝平が札幌にやって来たシーンで描かれていた建物。<br />その後、同話Bパート冒頭でメカ・ブースト・カメヅオンに踏み潰されていました。	http://www15.ocn.ne.jp/~tokeidai/			サッポロシ	ム	1	1	1		
0656	0001	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635		17.0		0		011-231-0838	ハイスクールD×D	ハイスクールディーディー	オカルト研究部の部室のある「駒王学園」の旧校舎のモデル。第1話の兵藤一誠とリアス・グレモリーが初めて出会うシーンで、リアスが窓から下を見下ろす姿が描かれており、シリーズ作中に、度々このシーンが回想で出てきました。	http://www15.ocn.ne.jp/~tokeidai/			サッポロシ	ハ	1	1	1		
0657	0001	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635	"https://www.google.co.jp/maps/@43.062401,141.353214,3a,32.9y,49.82h,111.55t/data=!3m6!1e1!3m4!1s_hszx36HYacfPuM3nGXzaw!2e0!7i13312!8i6656"	17.0		120	1.9	011-231-0838	ハイスクールD×D BorN	ハイスクールディーディーボーン	オカルト研究部の部室のある「駒王学園」の旧校舎のモデル。オープニング冒頭で、シリーズ第1期第1話の兵藤一誠とリアス・グレモリーが初めて出会うシーンであるリアスが窓から下を見下ろす姿が再現されていた他、第12話（最終回）の全てが解決した後のリアスがロスヴァイセを眷属になるよう勧誘するシーンで、建物外観が描かれていました。	http://www15.ocn.ne.jp/~tokeidai/			サッポロシ	ハ	1	1	1		
0229	0001	完了	北海道	札幌市	札幌競馬場	060-0016	北海道札幌市中央区北十六条西16-1-1		43.077285	141.323955		15.0		0		011-726-0461	逆境無頼カイジ 破戒録篇	ギャッキョウブライカイジハカイロクヘン	"第13話で、「沼」に惨敗して軍資金5,000万のうち4,362万を失った坂崎が、再び「沼」に挑む軍資金を作るため、無謀なレースに600万円をつぎ込もうとしているのを、寸でのところでカイジが引き留めていた競馬場で、カイジが思いついた画期的な「沼」攻略法を坂崎に語っていました。"	http://www.jra.go.jp/facilities/race/sapporo/			サッポロシ	キ	1	1	1		
0429	0001	完了	北海道	札幌市	札幌コンサートホール Kitara 大ホール	064-8649	北海道札幌市中央区中島公園1-15		43.044272	141.352479		16.0		0		011-520-2000	スイートプリキュア♪	スイートプリキュア	オープニングのタイトルバックに描かれたコンサートホールのモデル。				サッポロシ	ス	1	1	1		
0665	0001	完了	北海道	函館市	五稜郭	040-0001	北海道函館市五稜郭町44		41.79696	140.756814	"https://www.google.co.jp/maps/@41.796752,140.756793,1382m/data=!3m1!1e3"	15.0		0		0138-31-5505	幕末機関説いろはにほへと	バクマツキカンセツイロハニホヘト	物語最後の決戦の舞台となった場所で、作中では、「覇者の首」の力で魔城となってしまっていました。				ハコダテシ	ハ	1	4	1		
0762	0001	完了	北海道	苫前郡	国道232号線（苫前グリーンヒルウィンドパーク前）	078-3712	北海道苫前郡苫前町上平15-1		44.254412	141.656432	"https://www.google.co.jp/maps/@44.254593,141.656409,3a,20.2y,175.49h,93.62t/data=!3m6!1e1!3m4!1s4ecJJbRngiaoSPwMRUWCfg!2e0!7i13312!8i6656"	13.0		120	3		プラネテス	プラネテス	第25話で、木星往還船フォン・ブラウン号の乗員選抜試験に見事合格し、久しぶりにテクノーラ社にやってきたハチマキ（星野八郎太）は、タナベ（田名部愛）が、宇宙防衛戦線のテロに巻き込まれ、酸素欠乏により障害を抱えたために退職して地球にいることを知り、木星へ出発する前に実家へ帰った際に、バイクでタナベの実家へ向かったものの、考え事をしていたために運転をミスして海に落ちてしまった場所。命からがら桟橋に辿り着いたハチマキは、ありえないくらいの超偶然で、車椅子で通りかかったタナベと遭遇。長い時間をかけて、ようやくお互いの気持ちが繋がったこの作品屈指の名場面となっていました。ちなみにタナベの実家の住所は、作中では「北海道石狩市仁須町2-3711」となっており、石狩市にも厚田風力発電所がありますが、こちらは風車が2機しかありませんし、ハチマキは、実家のある千葉県九十九里から石狩市に向けてバイクで走っていたので、石狩市よりも北の苫前郡では、位置的には作中と合致しませんが、作中のような大量の風車が密集しているのはこの場所くらいです。				トママエグン	フ	1	79	1		
0945	0001	完了	北海道	厚岸郡	浜中湾	088-1527	北海道厚岸郡浜中町新川東		43.076640	145.114834	"https://www.google.co.jp/maps/@43.0904862,145.1149019,1576a,20y,180h,41.3t/data=!3m1!1e3"	13.0		0			ルパン三世 霧のエリューシヴ	ルパンサンセイキリノエリューシヴ	冒頭で、海底を探索していたルパン三世と次元大介が、銭形警部と警察のフェリーに追いかけられるシーンで描かれていた港。				アッケシグン	ル	1	38	1		
0945	0002	完了	北海道	厚岸郡	湯沸岬灯台	088-1561	北海道厚岸郡浜中町霧多布湿原		43.077133	145.167655	-	15.0		0			ルパン三世 霧のエリューシヴ	ルパンサンセイキリノエリューシヴ	ルパン三世、次元大介、石川五エ門、銭形警部の4人が、魔毛狂介の出現に遭遇し、タイムスリップさせられた灯台。				アッケシグン	ル	1	38	1		
