作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0044	0001	完了	東京都	渋谷区	スペイン坂	150-0042	東京都渋谷区宇田川町		35.661153	139.698826	"https://www.google.com/maps/@35.6610833,139.6988036,3a,75y,344.24h,94.25t/data=!3m4!1e1!3m2!1sM-26weqUycCcuBJE0wdmUQ!2e0?hl=ja"	18		120	1.4		あの夏で待ってる	アノナツデマッテル	第12話のエンディングで樹下佳織と有沢千春が買い物をしていた場所。				シブヤク	ア	13	10	2	
0044	0002	完了	東京都	新宿区	H&M SHINJUKU	160-0022	東京都新宿区新宿3-5-4	RAINBOW VILLAGE	35.691324	139.705431	"https://www.google.com/maps/@35.6915247,139.7053246,3a,42.3y,153.49h,95.38t/data=!3m6!1e1!3m4!1sKsKs7XgtcugHK9ysYqa4qw!2e0!7i13312!8i6656?hl=ja"	17.0					あの夏で待ってる	アノナツデマッテル	第2話で霧島海人と貴月イチカが服を買いに行った店「H&P」のモデル。				シンジュクク	ア	13	11	2	
0044	0003	完了	東京都	杉並区	みずほ銀行西荻窪支店前	167-0053	東京都杉並区西荻南3		35.70328	139.600358	"https://www.google.com/maps/@35.7032785,139.6003365,3a,32y,11.33h,86.73t/data=!3m6!1e1!3m4!1sLeQ1nin_SUkmOz-rLtm6og!2e0!7i13312!8i6656?hl=ja"	17.0					あの夏で待ってる	アノナツデマッテル	"第6話で小学校時代の霧島海人と樹下佳織の通学シーンに描かれた場所。作中で描かれていた「衝撃」と書かれたパチン&コスロットGOLD ONの看板広告は、かつて掲げられていた毎月5,15日のゴールドングループ総力祭の告知で、現在は存在していません。"				スギナミク	ア	13	12	2	
0044	0004	完了	東京都	武蔵野市	吉祥寺プラザ	180-0004	東京都武蔵野市吉祥寺本町1-11-19		35.706602	139.580558	"https://www.google.com/maps/@35.7067329,139.5805164,3a,15y,150.37h,101.45t/data=!3m6!1e1!3m4!1st6BxOw2od4J1C5x4MT_Nmg!2e0!7i13312!8i6656?hl=ja"	16.0			5	0422-22-5336	あの夏で待ってる	アノナツデマッテル	第4話で海人と真奈美とが「学園黙示録 HIGH SCHOOL OF THE DEAD」を見ていた映画館のモデル。				ムサシノシ	ア	13	48	2	
0044	0005	完了	長野県	長野市	県立長野図書館	380-0928	長野県長野市若里1-1-4		36.636089	138.188138	"https://www.google.co.jp/maps/@36.6358222,138.188095,3a,39.8y,357.31h,103.68t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE11S1RzZVlYRW9XR3dtZnRQdXBEVy1qazRESmhNaElYTUxNZjdu!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMuKTseYXEoWGwmftPupDW-jk4DJhMhIXMLMf7n%3Dw203-h100-k-no-pi-0-ya51.593353-ro-0-fo100!7i4000!8i2000?hl=ja"	15.0				026-228-4500	あの夏で待ってる	アノナツデマッテル	第11話で貴月イチカの記憶にある風景の場所を探し出すために訪れた図書館。				ナガノシ	ア	20	5	2	
0044	0006	完了	長野県	長野市	大原橋	381-2422	長野県長野市信州新町日原東		36.560187	137.990813	-	13.0					あの夏で待ってる	アノナツデマッテル	第12話の陽動作戦の逃走シーンで登場した橋の一つ。				ナガノシ	ア	20	5	2	
0044	0007	完了	長野県	長野市	置原橋	381-2423	長野県長野市信州新町日原西		36.54195	137.968884	"https://www.google.co.jp/maps/@36.5448526,137.9679866,3a,38.8y,150.57h,84.63t/data=!3m6!1e1!3m4!1sKZ4r_zlV169gTZEz3gMl_w!2e0!7i13312!8i6656?hl=ja"	13.0					あの夏で待ってる	アノナツデマッテル	第12話の陽動作戦の逃走シーンで登場した橋の一つ。				ナガノシ	ア	20	5	2	
0044	0008	完了	長野県	長野市	日名橋	381-2423	長野県長野市信州新町日原西		36.545277	137.969849	"https://www.google.co.jp/maps/@36.5448526,137.9679866,3a,38.8y,150.57h,84.63t/data=!3m6!1e1!3m4!1sKZ4r_zlV169gTZEz3gMl_w!2e0!7i13312!8i6656?hl=ja"	13.0					あの夏で待ってる	アノナツデマッテル	第12話の陽動作戦の逃走シーンで登場した橋の一つ。				ナガノシ	ア	20	5	2	
0044	0009	完了	長野県	小諸市	光岳寺	384-0014	長野県小諸市荒町1-3-4		36.329148	138.426573	"https://www.google.com/maps/@36.3291409,138.4264944,3a,45y,85.83h,85.23t/data=!3m6!1e1!3m4!1sIFs2Xg8ZlQJ4NOwuBkjM-g!2e0!7i13312!8i6656?hl=ja"	17.0				0267-22-0981	あの夏で待ってる	アノナツデマッテル	オープニングに小諸城足柄門（小諸城から移築された城門）が出てきます。				コモロシ	ア	20	12	2	
0044	0012	完了	長野県	小諸市	相生町交差点（ヘアサロン Gather 前）	384-0025	長野県小諸市相生町1-2-14		36.327474	138.423134	"https://www.google.co.jp/maps/@36.3274778,138.4233306,3a,21y,288.67h,89.09t/data=!3m6!1e1!3m4!1so1ViR5ZWpkphuLx9zr-yuQ!2e0!7i13312!8i6656?hl=ja"	17.0					あの夏で待ってる	アノナツデマッテル	第10話で谷川柑菜のお見舞いに向かう北原美桜が、柑菜の家から帰ってきた石垣哲朗とばったり会った場所。ヘアサロン Gatherの前です。	http://love-me.cc/beauty_view.php?no=1053	http://love-me.cc/beauty_view.php?no=1053		コモロシ	ア	20	12	2	
0044	0011	完了	長野県	小諸市	相生町交差点のビル群	384-0025	長野県小諸市相生町2-1		36.327454	138.423287	"https://www.google.com/maps/@36.3273352,138.4229723,3a,27.4y,53.74h,105.86t/data=!3m6!1e1!3m4!1sefzrl7kbeUxnRRSo0VMHdw!2e0!7i13312!8i6656?hl=ja"	16.0					あの夏で待ってる	アノナツデマッテル	第1話の商店街シーンの冒頭カットで、交差点周囲の夕景のビル群が描かれていました。				コモロシ	ア	20	12	2	
0044	0013	完了	長野県	小諸市	佐藤青果店	384-0025	長野県小諸市相生町3-1-6		36.32836	138.425285	"https://www.google.com/maps/@36.328278,138.4253927,3a,40y,306.68h,88.28t/data=!3m6!1e1!3m4!1ssUE6R718FjDq0_tUX8EfKw!2e0!7i13312!8i6656?hl=ja"	16.0				0267-22-0287	あの夏で待ってる	アノナツデマッテル	第1話で霧島七海がバイクがエンストして立ち往生していたところ。作中では「佐竹青果店」となっていました。				コモロシ	ア	20	12	2	
0044	0014	完了	長野県	小諸市	判光堂印舗	384-0025	長野県小諸市相生町3-1-6		36.328325	138.425218	"https://www.google.com/maps/@36.328235,138.425271,3a,75y,342.6h,90.41t/data=!3m4!1e1!3m2!1sNf8vU9Xcia54c9Eeb7rh1Q!2e0?hl=ja"	16.0					あの夏で待ってる	アノナツデマッテル	第1話で霧島七海がバイクがエンストして立ち往生していたシーンで背景に描かれていたハンコ屋。				コモロシ	ア	20	12	2	
