作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0045	0001	完了	埼玉県	飯能市	ホテルウィンク	357-0034	埼玉県飯能市東町8-4		35.85379	139.321591	"https://www.google.co.jp/maps/@35.8537148,139.3211914,3a,15y,74.27h,121.03t/data=!3m6!1e1!3m4!1sFNA9C9VyKzeIvs8KgoGy5g!2e0!7i13312!8i6656?hl=ja"	18.0		120	5	042-972-8662	あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第5話で、あなる（安城鳴子）が男に連れ込まれそうになったホテル。				ハンノウシ	ア	11	16	2	
0045	0002	完了	埼玉県	飯能市	ホテルウィンク 入口前	357-0034	埼玉県飯能市東町8-4		35.853733	139.321534	"https://www.google.co.jp/maps/@35.8536641,139.3214892,3a,60y,50.06h,89.85t/data=!3m6!1e1!3m4!1sFJaqUZICX4S5ilpjBh2emg!2e0!7i13312!8i6656?hl=ja"	18.0		120	1	042-972-8662	あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第5話で、あなる（安城鳴子）が男にホテルへ連れ込まれそうになったのを、後をつけてきていたゆきあつ（松雪集）に助けらてていた場所。				ハンノウシ	ア	11	16	2	
0045	0003	完了	埼玉県	飯能市	西武鉄道 飯能駅	357-0038	埼玉県飯能市仲町11-21		35.8511	139.319064	-	15.0		0			あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第5話で、ゆきあつ（松雪集）とつるこ（鶴見知利子）が学校帰りの電車に乗るシーンで登場した駅。既の差で電車に乗り遅れ、ベンチで次の電車待ちをする2人のが、向かいのホームに友人たちと電車から下りてきたあなる（安城鳴子）を目撃していました。<br />描かれていたのは3-4番線のホームのみです。つるこが座っていたベンチは実在していますが、作中ではベンチの広告の「四里餅」の文字が「花ノ餅」に変えられていました。<br />第6話でも同じくゆきあつとつるこの学校帰りシーンでホームが描かれていました。				ハンノウシ	ア	11	16	2	
0045	0004	完了	埼玉県	所沢市	INDEX所沢西武店	359-1123	埼玉県所沢市日吉町12-1	所沢西武1F	35.785848	139.472255	-	17.0		0		04-2922-0233	あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第5話で、ゆきあつ（松雪集）がつるこ（鶴見知利子）を連れて行き、ワンピースを買った店。<br />店名が「INDAX」に変えられている他は、忠実に再現されていました。				トコロザワシ	ア	11	15	2	
0045	0005	完了	埼玉県	秩父市	秩父聖地公園	368-0004	埼玉県秩父市山田990		36.009707	139.100236	"https://www.google.co.jp/maps/@36.0073572,139.1004595,3a,16.5y,101.74h,91.6t/data=!3m6!1e1!3m4!1s236jDLatBOleh3P1YtxWmg!2e0!7i13312!8i6656?hl=ja"	14.0		120	5	0494-22-3469	あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第8話で、じんたん（宿海仁太）が父親と一緒に母親の墓参りに行った墓地。霊園管理場の入口、水汲み場などが忠実に描かれていました。				チチブシ	ア	11	24	2	
0045	0064	完了	埼玉県	秩父市	小橋	368-0011	埼玉県秩父市大畑町10		36.017442	139.090290	-	17.0		0			あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第11話の回想シーンで、幼い頃のつるこ（鶴見知利子）がめんま（本間芽衣子）に、ゆきあつ（松雪集）とあなる（安城鳴子）の企みを話していた小橋。				チチブシ	ア	11	24	2	
0045	0006	完了	埼玉県	秩父市	秩父第一中学校	368-0012	埼玉県秩父市滝の上町9-22		36.013778	139.089939	"https://www.google.co.jp/maps/@36.0133621,139.0888812,3a,29.8y,55.59h,98.29t/data=!3m6!1e1!3m4!1s0Xw4JbUUJzR_8xwgjkntPQ!2e0!7i13312!8i6656?hl=ja"	15.0		120	3	0494-22-1142	あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	じんたん（宿海仁太）とあなる（安城鳴子）が通っている「緑ヶ丘高等学校」のモデル。<br />第3話、第6話で外観が描かれていました。	http://www.chichibu-stm.ed.jp/~dai1chu/	http://www.chichibu-stm.ed.jp/~dai1chu/		チチブシ	ア	11	24	2	
0045	0007	完了	埼玉県	秩父市	秩父第一中学校 脇	368-0012	埼玉県秩父市滝の上町9-22		36.013224	139.088861	"https://www.google.co.jp/maps/@36.013236,139.08879,3a,75y,111.42h,84.23t/data=!3m4!1e1!3m2!1sbHYaSOFNm234pRGjtHa6fQ!2e0?hl=ja"	17.0		120	1.6		あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第3話で、学校に行こうとやって来たじんたん（宿海仁太）が、あなる（安城鳴子）とその友人たちに遭遇し、逃げ出した場所。<br />第11話のラストでじんたんがあなるにハンカチを返していたのも、この場所でした。				チチブシ	ア	11	24	2	
0045	0008	完了	埼玉県	秩父市	秩父橋	368-0016	埼玉県秩父市阿保町11		36.018147	139.085974	-	16.0		0			あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	第10話で、幼少期に悲劇を招く直接の要因になったやり取りを再現するという暴挙に出て、じんたんの気持ちを再確認しただけに終わった内容を号泣するあなる（安城鳴子）とつるこ（鶴見知利子）が渡っていた橋。<br />各話各シーンの背景や各挿入カットでも親柱が度々描かれていました。				チチブシ	ア	11	24	2	
0045	0009	完了	埼玉県	秩父市	旧秩父橋	368-0016	埼玉県秩父市阿保町3795		36.01872	139.086382	"https://www.google.co.jp/maps/@36.018676,139.086334,3a,54.9y,285.83h,100.5t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFB0SDhUU1lERWZXMHpyOV9ocldyRFlxWlg0VF9XbnRuZjlGUU5Y!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPtH8TSYDEfW0zr9_hrWrDYqZX4T_Wntnf9FQNX%3Dw203-h100-k-no-pi0-ya248.83293-ro-0-fo100!7i9728!8i4864"	17.0		0		0494-21-2277	あの日見た花の名前を僕達はまだ知らない。	アノヒミタハナノナマエヲボクタチハマダシラナイ	作品のキービジュアルで描かれている橋で、オープニング冒頭でも登場しています。背後に描かれている親柱は、隣の秩父橋の柱です。<br />作中では、じんたん（宿海仁太）たちが秘密基地へ向かう際に渡る橋で、各話で度々登場しています。<br />第1話のラストでは、ヒドいことを言って突き放しためんま（本間芽衣子）を探すために秘密基地へ向かうじんたんが、大声で叫びながら駆け渡っていました。<br />第9話では、秘密基地に残ってぽっぽ（久川鉄道）と絵しりとりをして遊んだ帰りにめんまが渡っていたのもこの橋で、めんまを探していたじんたんもこの橋にやって来て、橋の下にいるめんまを発見。<br />鯉を近くで見ようと川に入ろうとするめんまを、事故を思い出してじんたんが抱き留めていた橋の下でのシーンでは、下から見上げた橋も描かれていました。<br />第11話では、じんたんが家から動けなくなってしまっためんまを背負って秘密基地に連れていくシーンで、今までの気持ちを叫びながら駆け渡っていました。				チチブシ	ア	11	24	2	
