作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0099	0043	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658591	139.745424	"https://www.google.co.jp/maps/@35.6578642,139.7456328,3a,80y,347.26h,125.96t/data=!3m6!1e1!3m4!1sWPw8TQ6UvwVdUvqdVBKavA!2e0!7i13312!8i6656"				1.5		うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	第6話で、俵宗太とポコが、ダーハマさん（浜田吾郎）と永妻宏司と一緒にロケハンで訪れた場所。展望台やTOKYO WARM HEART（作中ではハート型ではなく球体になっていました）、売店などが描かれていました。				ミナトク	ウ	13	22	2	
0099	0044	完了	東京都	港区	富士見坂	105-0011	東京都港区芝公園4-4		35.657268	139.745778	"https://www.google.co.jp/maps/@35.6572417,139.7458169,3a,75y,347.95h,101.3t/data=!3m6!1e1!3m4!1sPQJdLImrv7Ef147Hf5Z9xg!2e0!7i13312!8i6656"				2		うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	第6話で、東京タワーでのロケハン帰りの俵宗太一行が歩いていた坂。永妻宏司がすれ違った散歩の犬を見て、ポコの耳と尻尾を思い出していました。				ミナトク	ウ	13	22	2	
0099	0001	完了	岡山県	倉敷市	瀬戸大橋	711-0925	岡山県倉敷市下津井田之浦1		34.431182	133.806023	"https://www.google.co.jp/maps/@34.4374516,133.806584,3a,34.3y,176.0h,97.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5URVpmbG44Q2dWeEljeTVSTC1DRzI1ZzZBSXNUa3ZTbVlSMU8z!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE5URVpmbG44Q2dWeEljeTVSTC1DRzI1ZzZBSXNUa3ZTbVlSMU8z%3Dw203-h100-k-no-pi0.44663137-ya215.06003-ro2.4410458-fo100!7i7200!8i3600 "						うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	オープニング冒頭で描かれていた橋。田土浦坐神社辺りから望む構図が近いと思われます。<br />第7話冒頭の東京から俵宗太とポコが帰郷するシーンでも、瀬戸大橋が描かれていました。				クラシキシ	ウ	33	2	6	
0099	0039	完了	香川県	高松市	中央公園	760-0017	香川県高松市番町1-11		34.341541	134.046740	"https://www.google.co.jp/maps/@34.3412837,134.046238,3a,36.8y,246.26h,81.11t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE84bk9tQmt0R0ltdW1rT2VIYTdDMGpiMVpUdmc1ZjFId1B0amlu!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO8nOmBktGImumkOeHa7C0jb1ZTvg5f1HwPtjin%3Dw203-h100-k-no-pi-1.4680902-ya221.39905-ro3.024079-fo100!7i5376!8i2688?hl=ja"						うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	第11～12話で、俵宗太とポコたちが遊びに行った「第51回さぬき高松まつり」の会場となっていた公園。				タカマツシ	ウ	37	1	7	
0099	0002	完了	香川県	高松市	サンポート高松	760-0019	香川県高松市サンポート8		34.355644	134.047239	-						うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	第3話。赤灯台に釣りに行く際に車を停めていた場所。<br />作中では駐車場ではない場所に停めてしまっています。	http://www.sunport.or.jp/			タカマツシ	ウ	37	1	7	
0099	0003	完了	香川県	高松市	高松港玉藻防波堤灯台（赤灯台）	760-0019	香川県高松市サンポート8		34.361472	134.051736	"https://www.google.co.jp/maps/@34.3610026,134.0513462,3a,48y,44.77h,90.55t/data=!3m7!1e1!3m5!1sCAoSLEFGMVFpcE1OSGRweGVaN0NjazFyLUI2cEpqNEFteGcyVmZjclFWMDY5Nm5H!2e10!3e12!7i3840!8i1920"						うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	オープニングカットで描かれていた灯台。<br />第3話では、深夜に中島忍に強引に連れ出された俵宗太とポコが、この灯台の麓で一緒に夜釣りをしていました。<br />第11話の回想カットでも、幼い頃の宗太と姉の凛子が立っていたのも、この灯台の前でした。				タカマツシ	ウ	37	1	7	
0099	0004	完了	香川県	高松市	南新町・丸亀町交差点	760-0029	香川県高松市丸亀町7		34.341691	134.049644	"https://www.google.co.jp/maps/@34.3416904,134.0496017,3a,42.3y,357.64h,92.77t/data=!3m6!1e1!3m4!1snRX_0S7hr-0zZfp0BHI15Q!2e0!7i13312!8i6656"						うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	オープニングカットで、雨の中を傘を差して歩む姿が描かれていた場所。背景に丸亀町グリーンが描かれていました。				タカマツシ	ウ	37	1	7	
0099	0005	完了	香川県	高松市	三びきの子ぶた	760-0054	香川県高松市常磐町1-4-9		34.338663	134.051612	"https://www.google.co.jp/maps/@34.3385432,134.0516993,3a,30y,343.66h,95.67t/data=!3m6!1e1!3m4!1sAGpzsiyBNRhIzfc3JxstHQ!2e0!7i13312!8i6656"					087-861-5353	うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	第2話で、ポコの服を買いに来た俵宗太とポコが、商店街で遭遇した田中舞・のぞみ母子と一緒にゼリーを食べていた店。				タカマツシ	ウ	37	1	7	
0099	0006	完了	香川県	高松市	常磐町商店街	760-0054	香川県高松市常磐町1-9		34.338579	134.051681	"https://www.google.co.jp/maps/@34.3385092,134.0519068,3a,38y,300.06h,102.83t/data=!3m6!1e1!3m4!1s-jXKcLyRozy04tzi-aTr1g!2e0!7i13312!8i6656"						うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	第2話で、俵宗太とポコが、ポコの服を買いに行った商店街で、ゲートが描かれていました。				タカマツシ	ウ	37	1	7	
0099	0045	完了	香川県	高松市	上原屋 本店	760-0073	香川県高松市栗林町1-18-8		34.327112	134.045361	-						うどんの国の金色毛鞠	ウドンノクニノコンジキケマリ	第7話で、のぞみちゃんを栗林公園のガオガオちゃんショーに連れていく約束をした俵宗太とポコが、真鍋舞（田中舞）母娘とうどんを食べていた店。<br />第12話でも、宗太が真鍋舞（田中舞）母娘とうどんを食べていました。				タカマツシ	ウ	37	1	7	
