作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
#N/A	0020	完了	静岡県	熱海市	新島トンネル	259-0202	神奈川県足柄下郡真鶴町		35.165016	139.141702	"https://www.google.co.jp/maps/@35.1646261,139.141804,3a,25y,347.87h,93.3t/data=!3m6!1e1!3m4!1sIqbv-IT6mn23nK7JCMYJDQ!2e0!7i13312!8i6656"				4.5		うぽって	#N/A	第9話で、退路を塞ぐために「紅鋼工業高校」の生徒たちによって爆破されていたトンネル。<br />作中では名前が「古島トンネル」になっていました。				アタミシ	#N/A	22	9	3		
0100	0001	完了	静岡県	熱海市	熱海城	413-0000	静岡県熱海市曾我山1993		35.086387	139.078658	"https://www.google.co.jp/maps/@35.0866782,139.0785195,3a,53.9y,153.79h,109.48t/data=!3m6!1e1!3m4!1sIFK4xBbdrMmI05y0IXG_zA!2e0!7i13312!8i6656?hl=ja"					0557-81-6206	うぽって!!	ウポッテ	第9話の演習旅行で、ふんこ（FNC）たちが訪れた城。<br />いちろく（M16A4）が怪獣に壊された城だと説明していましたが、おそらく1962年公開の「キングコング対ゴジラ」のことでしょう。<br />城（天守閣）の外観及び城から見た熱海の景色が描かれていました。	http://www.atamijyo.com/	http://www.atamijyo.com/		アタミシ	ウ	22	9	3		
0100	0002	完了	静岡県	熱海市	平和通り名店街　ゲート	413-0011	静岡県熱海市田原本町4		35.101734	139.077309	"https://www.google.co.jp/maps/@35.1016005,139.0761141,3a,19.3y,40.65h,95.81t/data=!3m6!1e1!3m4!1spXFX64i3CyCL8GMjToeNTw!2e0!7i13312!8i6656?hl=ja"				5		うぽって!!	ウポッテ	第10話で、ふんこ（FNC）が、「紅鋼工業高校」の生徒たちが待ち伏せしているのを確認していた商店街の南西側ゲート。<br />名前が「平和通り明店街」に変えられていました。				アタミシ	ウ	22	9	3		
0100	0007	完了	静岡県	熱海市	福福の湯 前	413-0011	静岡県熱海市田原本町4		35.102211	139.076908	-						うぽって!!	ウポッテ	第10話で、アーケードの天井からの狙撃で4人までは倒したものの反撃を受けて落下したふんこ（FNC）が、RPKの銃撃で防戦一方になっていた場所。				アタミシ	ウ	22	9	3		
0100	0003	完了	静岡県	熱海市	平和通り名店街（駅側入口付近）	413-0011	静岡県熱海市田原本町6		35.102778	139.077539	-						うぽって!!	ウポッテ	第10話で、ふんこ（FNC）とななよん（AK74）が対決していた場所。商店街ゲート裏にある時計などが描かれていました。				アタミシ	ウ	22	9	3		
0100	0005	完了	静岡県	熱海市	JR 熱海駅	413-0011	静岡県熱海市田原本町11-1		35.103608	139.077444	"https://www.google.co.jp/maps/@35.1032926,139.0784093,3a,62y,316.99h,93.25t/data=!3m6!1e1!3m4!1sWDAsKa_AyyhRGYYmrrA4dw!2e0!7i13312!8i6656?hl=ja"	12.0					うぽって!!	ウポッテ	第9話で、退路を塞ぐべく、「紅鋼工業高校」の生徒たちに爆破されてしまった駅。<br />作中では駅名が「OR暑海駅」になっていました。<br />※作中に描かれている旧駅舎は2010年に解体され、新駅舎に建替えられています（2015年11月使用開始）。				アタミシ	ウ	22	9	3	解体	
0100	0006	完了	静岡県	熱海市	JR 熱海駅 駅前足湯	413-0011	静岡県熱海市田原本町11-1		35.103437	139.078513	"https://www.google.co.jp/maps/@35.1032264,139.078485,3a,15y,353.97h,89.48t/data=!3m6!1e1!3m4!1s8OZ6_rRDT_r0TvP8Co2wwg!2e0!7i13312!8i6656?hl=ja"				5		うぽって!!	ウポッテ	第9話で、演習旅行到着シーンの挿入カットの一つで描かれていた足湯。<br />※作中に描かれていた足湯は解体され、2014年12月に「家康の家」としてリニューアルされています。				アタミシ	ウ	22	9	3	解体	
0100	0008	完了	静岡県	熱海市	ビューコート熱海脇の坂道	413-0012	静岡県熱海市東海岸町8		35.100844	139.077017	-						うぽって!!	ウポッテ	第10話で、階段での戦闘で、サイガ（サイガ12k）たちの待ち伏せを一人強行突破したしぐ(SG550)が駆け上っていた坂道。坂道を上りきったところを				アタミシ	ウ	22	9	3		
0100	0009	完了	静岡県	熱海市	階段	413-0012	静岡県熱海市東海岸町11		35.100146	139.077622	"https://www.google.co.jp/maps/@35.1000144,139.0776637,3a,36y,333.8h,95.74t/data=!3m6!1e1!3m4!1s3XSFKdfs78tofXSH8Papxg!2e0!7i13312!8i6656?hl=ja"						うぽって!!	ウポッテ	第10話で、いちろく（M16A4）としぐ（SG550）が、サイガ（サイガ12k）に待ち伏せされ攻撃を受けた階段。<br />サイガとの交戦が膠着状態となり、やがて階下より迫った敵との挟み撃ちにされてしまいます。				アタミシ	ウ	22	9	3		
0100	0010	完了	静岡県	熱海市	お宮の松	413-0012	静岡県熱海市東海岸町15		35.099044	139.07685	"https://www.google.co.jp/maps/@35.0991006,139.076793,3a,35y,133.72h,80.73t/data=!3m6!1e1!3m4!1sadFHRsaXLRkt7TtXfzRn_Q!2e0!7i13312!8i6656?hl=ja"						うぽって!!	ウポッテ	第9話で、演習旅行到着シーンの挿入カットの一つで描かれていた銅像。				アタミシ	ウ	22	9	3		
