作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1088	0001	完了	京都府	京都市	竹林の小径	616-8394	京都府京都市右京区嵯峨小倉山田淵山町		35.016814	135.671422	"https://www.google.co.jp/maps/@35.0168205,135.6714463,3a,76.6y,266.31h,104.53t/data=!3m6!1e1!3m4!1sDhm9FzSFW7j6G8ioSGLWeA!2e0!7i13312!8i6656"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第1話の冒頭カットで、ちとせちゃんが歩いていた竹林の道。				キョウトシ	オ	26	10	5	
1088	0002	完了	京都府	京都市	天龍寺　総門	616-8385	京都府京都市右京区嵯峨天龍寺芒ノ馬場町68		35.015951	135.676977	"https://www.google.co.jp/maps/@35.0159844,135.6771126,3a,31y,253.22h,94.81t/data=!3m7!1e1!3m5!1sy7nHL6nTAGI0oPrZJqjxrg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dy7nHL6nTAGI0oPrZJqjxrg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D39.149044%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第1話で、ちとせちゃんが京都を巡るシーンで描かれていた門。				キョウトシ	オ	26	10	5	
1088	0003	完了	京都府	京都市	渡月橋	616-8384	京都府京都市右京区嵯峨天龍寺造路町		35.013580	135.677914	"https://www.google.co.jp/maps/@35.0136201,135.6778704,3a,18y,135.83h,77.31t/data=!3m6!1e1!3m4!1sDOj1JuFs4qm4Iw5ETl0eEw!2e0!7i13312!8i6656"				4.5		おこしやす、ちとせちゃん	オコシヤスチトセチャン	第1話で、ちとせちゃんが、女子高生に抱き上げて乗せてもらった欄干の上から風に舞う桜の花びらを眺めていた橋。				キョウトシ	オ	26	10	5	
1088	0004	完了	京都府	京都市	京阪電鉄 伏見稲荷駅	612-0012	京都府京都市伏見区深草一坪町33		34.968751	135.769254	-						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第2話冒頭で、伏見稲荷大社に向かうちとせちゃんが利用していた駅で、ホームを歩いている姿が描かれていました。				キョウトシ	オ	26	10	5	
1088	0005	完了	京都府	京都市	伏見稲荷大社　内拝殿	612-0882	京都府京都市伏見区深草藪之内町68		34.967161	135.773157	"https://www.google.co.jp/maps/@34.967156,135.772963,3a,34y,101.85h,105.05t/data=!3m6!1e1!3m4!1scerEUoccU5UOCVZKGEsaMA!2e0!7i13312!8i6656"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第2話で、ちとせちゃんが訪れた伏見稲荷大社シーンで描かれていた社殿。				キョウトシ	オ	26	10	5	
1088	0006	完了	京都府	京都市	伏見稲荷大社　千本鳥居	612-0882	京都府京都市伏見区深草藪之内町68		34.966969	135.774825	"https://www.google.co.jp/maps/@34.9669928,135.7747918,3a,56.3y,125.5h,81.62t/data=!3m6!1e1!3m4!1soG7JesY9LfaAmS9nvjkuSA!2e0!7i13312!8i6656"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第2話で、ちとせちゃんが女性客の足にひっついて運んでもらった鳥居の並ぶ参道。				キョウトシ	オ	26	10	5	
1088	0007	完了	京都府	京都市	伏見稲荷大社　楼門前の狐像	612-0882	京都府京都市伏見区深草藪之内町68		34.967172	135.772585	"https://www.google.co.jp/maps/@34.967124,135.772538,3a,39.4y,30.8h,97.27t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE9zSl8wbl9Bb3JjNUVvMktwWE9NeGxLN2JWZ2xMUU1lSnNUMFlJ!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOsJ_0n_Aorc5Eo2KpXOMxlK7bVglLQMeJsT0YI%3Dw203-h100-k-no-pi-0-ya143.43848-ro0-fo100!7i6000!8i3000"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第2話で、ちとせちゃんがその凛々しい姿に惚れて真似をしていた狐の像。				キョウトシ	オ	26	10	5	
1088	0008	完了	京都府	京都市	伏見稲荷大社　楼門	612-0882	京都府京都市伏見区深草藪之内町68		34.967126	135.772649	"https://www.google.co.jp/maps/@34.9670836,135.7723857,3a,42y,80.52h,102.21t/data=!3m6!1e1!3m4!1sOZ7DMl-b2NypGQLfYhU8EQ!2e0!7i13312!8i6656"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第2話で、ちとせちゃんが狐煎餅をお面代わりに踊りを披露し、人々の喝采を浴びていた場所。				キョウトシ	オ	26	10	5	
1088	0009	完了	京都府	京都市	三条大橋	604-8004	京都府京都市中京区中島町		35.009072	135.771369	"https://www.google.co.jp/maps/@35.0090035,135.7714404,3a,50y,351.52h,92.34t/data=!3m6!1e1!3m4!1shfZ9dUjqNz5hqPccATQPhw!2e0!7i13312!8i6656"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第3話で、ちとせちゃんが寒い夜に体を震わせながら渡っていた橋。				キョウトシ	オ	26	10	5	
1088	0010	完了	京都府	京都市	先斗町	604-8011	京都府京都市中京区若松町		35.007138	135.771056	"https://www.google.co.jp/maps/@35.00715,135.7710347,2a,35.4y,356.45h,86.22t/data=!3m6!1e1!3m4!1sepIdLSPTRTZpf9VC7VniLQ!2e0!7i13312!8i6656"						おこしやす、ちとせちゃん	オコシヤスチトセチャン	第3話で、ちとせちゃんが寒い夜に暖を求めて歩いていた場所。				キョウトシ	オ	26	10	5	
