作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1244	0001	完了	東京都	文京区	後楽橋交差点	112-0004	東京都文京区後楽1-2		35.702849	139.751763	"https://www.google.co.jp/maps/@35.7028649,139.7518106,3a,60y,232.55h,89.23t/data=!3m6!1e1!3m4!1slh6ffm9zz7WnW_UTggrMaw!2e0!7i16384!8i8192"				2.5		おちこぼれフルーツタルト	オチコボレフルーツタルト	第11話で、深夜のテレビ番組「おちこぼれフルーツタルト」の視聴率が0％だった件でラットプロダクション本社ビルに呼び出された桜衣乃たちが、ビルに入る前にあれこれ憶測を巡らし不安になっていた場所。				ブンキョウク	オ	13	21	2	
1244	0002	完了	東京都	文京区	芳文社	112-0004	東京都文京区後楽1-2-12		35.702751	139.751573	"https://www.google.co.jp/maps/@35.7030989,139.7518413,3a,40y,217.09h,118.32t/data=!3m6!1e1!3m4!1sea7O5120jrgwhMSDSiIRDA!2e0!7i16384!8i8192"						おちこぼれフルーツタルト	オチコボレフルーツタルト	第11話で、桜衣乃たちが、深夜のテレビ番組「おちこぼれフルーツタルト」の視聴率が0％だった件で呼び出されていたラットプロダクションの本社ビルのモデル。<br />本作品の原作マンガの出版社です。				ブンキョウク	オ	13	21	2	
1244	0003	完了	東京都	文京区	後楽園ブリッジから望む風景	112-0004	東京都文京区後楽1-3		35.702988	139.752085	"https://www.google.co.jp/maps/@35.7028696,139.7521825,3a,15y,81.75h,93.76t/data=!3m6!1e1!3m4!1sMCQNKR-4lEErc-rba0z00w!2e0!7i16384!8i8192"				5		おちこぼれフルーツタルト	オチコボレフルーツタルト	第11話の、桜衣乃たちが呼び出しを受けたラットプロダクション本社ビルを訪れるシーンの冒頭カットで、歩道橋から東京ドームシティのミーツポートエリアを中心にしたビル群を望む風景が描かれていました。				ブンキョウク	オ	13	21	2	
1244	0004	完了	東京都	文京区	ラクーアガーデンステージ	112-0003	東京都文京区春日1-1-1		35.706680	139.753403	"https://www.google.co.jp/maps/@35.7065106,139.7532048,2a,30y,41.62h,94.65t/data=!3m6!1e1!3m4!1sdecg80B_HkB61U8z8aC1Dg!2e0!7i13312!8i6656"						おちこぼれフルーツタルト	オチコボレフルーツタルト	第6話で、「おちこぼれフルーツタルト」第7回番組企画のアイドルの先輩達に色々教えてもらうということで、桜衣乃たち「フルーツタルト」が見学したアイドルユニット「クリームあんみつ」の路上ライブ会場。<br />関野チコのアドリブで、急遽「フルーツタルト」もステージに上がることになっていました。<br />作中では名前が「キャットガーデンステージ」になっています。				ブンキョウク	オ	13	21	2	
1244	0005	完了	東京都	文京区	東京ドームシティ	112-0004	東京都文京区後楽1-3-61		35.704567	139.752755	-						おちこぼれフルーツタルト	オチコボレフルーツタルト	第6話で、アイドルユニット「クリームあんみつ」の路上ライブの見学に来た桜衣乃たち「フルーツタルト」が、関野チコたちと話をしていた場所。<br />作中では施設名が「東京キャットドーム」になっていました。				ブンキョウク	オ	13	21	2	
1244	0006	完了	東京都	世田谷区	WONDERHOLIC LAB.	154-0011	東京都世田谷区上馬4-17-4	アルファ駒沢 B1F	35.635744	139.659708	"https://www.google.com/maps/@35.63554,139.6596892,3a,52y,8.39h,97.28t/data=!3m6!1e1!3m4!1sHC6ANWfFv5dL3lTFobWdhQ!2e0!7i16384!8i8192"						おちこぼれフルーツタルト	オチコボレフルーツタルト	第7話で、桜衣乃たち「フルーツタルト」が初のレコーディングに臨んでいた収録スタジオ。				セタガヤク	オ	13	14	2	
1244	0007	完了	東京都	小金井市	関野橋交差点	184-0001	東京都小金井市関野町1-4		35.712703	139.521580	"https://www.google.com/maps/@35.7127377,139.5216214,3a,45y,224.71h,93.9t/data=!3m6!1e1!3m4!1snp6WWB-V3Chstoh-ilU3cw!2e0!7i16384!8i8192"						おちこぼれフルーツタルト	オチコボレフルーツタルト	第1話の、梶野穂歩の案内でラットプロダクションの第4寮「ネズミ荘」に向かう桜衣乃が、テレビで見て思い描いていたビルだらけの東京のイメージと印象が違うと話すシーンで描かれていた交差点。				コガネイシ	オ	13	30	2	
1244	0008	完了	東京都	小金井市	島田園（野菜の無人販売所）	184-0001	東京都小金井市関野町1-6		35.713514	139.520056	"https://www.google.com/maps/@35.7135387,139.5200178,3a,75y,166.89h,89.24t/data=!3m6!1e1!3m4!1sQoBf1UKrlmeG8cxCRhGHbg!2e0!7i16384!8i8192"				2		おちこぼれフルーツタルト	オチコボレフルーツタルト	第1話で、梶野穂歩の案内でラットプロダクションの第4寮「ネズミ荘」に向かう途中の桜衣乃が、野菜の無人販売を見て、「ここって本当に東京ですか？」と聞いていた場所。<br />第5話冒頭の衣乃によるモノローグシーン、Bパート冒頭カット、第12話ラストのモノローグシーンでも無料販売所が描かれていました。<br />オープニングでは、衣乃がマイクを持って無人販売所を紹介する姿が描かれていました。<br />エンディングのテロップにも「協力」として記載されています。				コガネイシ	オ	13	30	2	
1244	0009	完了	東京都	小金井市	平右衛門橋	184-0001	東京都小金井市関野町1-7		35.712695	139.518708	"https://www.google.co.jp/maps/@35.7127708,139.5187477,3a,37.5y,198.02h,84.45t/data=!3m6!1e1!3m4!1smPXxLeEg_96kJVp-MiRCXg!2e0!7i16384!8i8192"						おちこぼれフルーツタルト	オチコボレフルーツタルト	第2話で、入学式の朝、別の学校へ向かう桜衣乃と貫井はゆが、別の学校に向かう関野ロコと前原仁菜と別れていた場所。				コガネイシ	オ	13	30	2	
1244	0010	完了	東京都	小金井市	パークハイツＡ	184-0001	東京都小金井市関野町1-8-1		35.713690	139.519471	"https://www.google.co.jp/maps/@35.7135788,139.5194526,3a,75y,4.34h,91.19t/data=!3m6!1e1!3m4!1s8VyTqU0jFiHPzyg70RcrQQ!2e0!7i13312!8i6656"				2		おちこぼれフルーツタルト	オチコボレフルーツタルト	ラットプロダクションの第4寮「ネズミ荘」の立地モデル。<br />実際にはアパートが建っていますが、作中では周囲の風景はそのままに、寮の建物に描き変えられています。				コガネイシ	オ	13	30	2	
