作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0139	0018	完了	東京都	千代田区	中央通り（JR高架下）	101-0021	東京都千代田区外神田1-4		35.698520	139.771203	"https://www.google.co.jp/maps/@35.6984082,139.771282,3a,32y,304.68h,100.84t/data=!3m6!1e1!3m4!1skiJa0EQhOOxKhd_E7pgE_Q!2e0!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第1話冒頭の秋葉原の街のカットで描かれていた場所。				チヨダク	オ	13	17	2	
0139	0019	完了	東京都	千代田区	万世橋	101-0041	東京都千代田区神田須田町1-25		35.697130	139.770768	"https://www.google.co.jp/maps/@35.6972669,139.7709082,3a,23.7y,242.31h,90.99t/data=!3m6!1e1!3m4!1ssXWHL-WHYT1esh9TKO66hQ!2e0!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第1話冒頭のモノローグシーンで、パーツ屋帰りの神城麻郁が欄干に手をかけて佇んでいた橋。				チヨダク	オ	13	17	2	
0139	0001	完了	長野県	上田市	上田城跡公園陸上競技場	386-0026	長野県上田市二の丸4-58		36.405899	138.244392	"https://www.google.co.jp/maps/@36.4057884,138.2455082,3a,43.7y,303.98h,91.91t/data=!3m6!1e1!3m4!1sr3u93IAXy0BGjO2iBtuqSg!2e0!7i13312!8i6656"	15.0					おねがい☆ツインズ	オネガイツインズ	第10話で、宮藤深衣奈の中学時代の友人である社裕香がインターハイの練習をしていた陸上競技場で、深衣奈が神城麻郁と小野寺樺恋を連れてきて、過去のことを2人に告白していました。	http://www.city.ueda.nagano.jp/hp/sys/20091118143501029.html	http://www.city.ueda.nagano.jp/hp/sys/20091118143501029.html		ウエダシ	オ	20	15	2	
0139	0020	完了	長野県	北佐久郡	旧軽井沢銀座通り	389-0102	長野県北佐久郡軽井沢町大字軽井沢		36.358506	138.635443	"https://www.google.co.jp/maps/@36.3584493,138.6353643,3a,15y,43.76h,92.26t/data=!3m6!1e1!3m4!1sI07KmAL_2dwGFhGl5fPxNQ!2e0!7i13312!8i6656"				5		おねがい☆ツインズ	オネガイツインズ	第9話で、神城麻郁と宮藤深衣奈と小野寺樺恋の3人が遊びに出かけた軽井沢シーンの冒頭カットで描かれていた商店街。<br />軽井沢郵便局前辺りから、北東側を望遠レンズで望む構図で、白樺堂、旧軽銀座中央駐車場の看板、セルフィユ軽井沢、軽井沢ショッピングアレイ、つるや旅館などの通りの建物が描かれていました。<br />第11話の麻郁と樺恋のデートシーンの冒頭カットでも、同じカットが使われていました。				キタサクグン	オ	20	13	2	
0139	0023	完了	長野県	北佐久郡	ブランジェ浅野屋 軽井沢旧道本店	389-0102	長野県北佐久郡軽井沢町大字軽井沢738		36.359228	138.636323	"https://www.google.co.jp/maps/@36.3593007,138.6362337,3a,43.6y,144.17h,90.62t/data=!3m6!1e1!3m4!1sU4RNLqobiK3yqJniZXBSew!2e0!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第9話で、織部椿と島崎康生がデートをしていた店。作中で2人がお茶していたオープンカフェは実際にはありません。<br />作中では店名が「ASUNOYA」になっていました。				キタサクグン	オ	20	13	2	
0139	0021	完了	長野県	北佐久郡	JR 軽井沢駅	389-0102	長野県北佐久郡軽井沢町大字軽井沢761		36.343101	138.635328	"https://www.google.co.jp/maps/@36.3434206,138.6355603,3a,41y,218.85h,97.91t/data=!3m6!1e1!3m4!1sdGaqUjGcS7AZaViqh1Ej7A!2e0!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第9話で、神城麻郁と宮藤深衣奈と小野寺樺恋の3人が遊びに出かけた軽井沢シーンの冒頭カットで描かれていた駅。				キタサクグン	オ	20	13	2	
0139	0035	完了	長野県	北佐久郡	ミカド珈琲 軽井沢旧道店	389-0102	長野県北佐久郡軽井沢町大字軽井沢786-2		36.357998	138.635018	"https://www.google.co.jp/maps/@36.3580203,138.6349629,3a,59.5y,111.49h,94.72t/data=!3m7!1e1!3m5!1sOWxD6CzPb1LT3WaP3OyKeA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DOWxD6CzPb1LT3WaP3OyKeA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D219.77975%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第11話の神城麻郁と小野寺樺恋のデートシーンで、2人がこの店を訪れる姿が描かれていました。				キタサクグン	オ	20	13	2	
0139	0024	完了	長野県	北佐久郡	軽井沢ベルコモンズ	389-0102	長野県北佐久郡軽井沢町大字軽井沢774		36.358231	138.635339	"https://www.google.co.jp/maps/@36.358282,138.6352395,3a,42.2y,118.36h,94.6t/data=!3m6!1e1!3m4!1sa5pyCIcqEpXAzAcoq_5uzg!2e0!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第9話で、神城麻郁と宮藤深衣奈と小野寺樺恋の3人が遊びに出かけた軽井沢シーンの冒頭カットで描かれていた商業施設。作中では施設名が「Bell Cannons」となっていました。<br />第11話の麻郁と樺恋のデートシーンでも、2人が訪れていました。<br />※2004年4月に閉館し、2006年7月からはSASH軽井沢として再営業しています。				キタサクグン	オ	20	13	2	閉店
0139	0022	完了	長野県	北佐久郡	旧軽井沢ロータリーの電話ボックス	389-0103	長野県北佐久郡軽井沢町軽井沢		36.356766	138.633953	"https://www.google.co.jp/maps/@36.3570001,138.6340469,3a,18y,203.5h,89.06t/data=!3m6!1e1!3m4!1s5veuopx4P0vzqRusZN12_Q!2e0!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第9話で、神城麻郁が、商店街ではぐれてしまった宮藤深衣奈と小野寺樺恋が帰っていないかと、家に電話をかけていた電話ボックスで、2人を心配した麻郁が、商店街にまで聞こえる大声で2人に叫んで居場所を知らせていました。<br />第11話では、樺恋から手紙で呼び出された麻郁が待ち合わせていたのも、この電話ボックス前でした。				キタサクグン	オ	20	13	2	
0139	0034	完了	長野県	北佐久郡	軽井沢聖パウロカトリック教会	389-0103	長野県北佐久郡軽井沢町軽井沢179		36.359718	138.634114	"https://www.google.co.jp/maps/@36.3595484,138.6342648,2a,36.2y,323.25h,98.67t/data=!3m6!1e1!3m4!1sqESkswd2nhh136qV03RaPg!2e0!7i13312!8i6656"						おねがい☆ツインズ	オネガイツインズ	第8話の、つき合い出したばかりの織部椿と島崎康生の回想シーンの挿入カットで、教会と教会前の聖フランシスコ像が描かれていました。<br />第11話の神城麻郁と小野寺樺恋のデートシーンでも、2人が教会を訪れて神父と話す姿が描かれていました。				キタサクグン	オ	20	13	2	
