作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0140	0001	完了	長野県	北佐久郡	チャーチストリート軽井沢	389-0103	長野県北佐久郡軽井沢町軽井沢601-1		36.359008	138.63483		16.0				0267-41-2501	おねがい☆ティーチャー	オネガイティイチャー	第4話で、草薙桂と縁川小石がデートしていた場所。	http://www.churchst.jp/	http://www.churchst.jp/		キタサクグン	オ	20	13	2	
0140	0002	完了	長野県	松本市	旧松本高等学校本館	390-0812	長野県松本市県3-1-1		36.231488	137.982093	"https://www.google.co.jp/maps/@36.231315,137.9816256,3a,32.1y,126.05h,96.95t/data=!3m6!1e1!3m4!1sMVgHrYHAfmbxghIXT65NyQ!2e0!7i13312!8i6656"	16.0	◯			0263-32-1812	おねがい☆ティーチャー	オネガイティイチャー	草薙桂たちが通う「県立木崎高校」のモデル。<br />現在は本館の一部および講堂のみ残っており、「松本市あがたの森文化会館」として公民館や図書館として利用されています。				マツモトシ	オ	20	18	2	
0140	0004	完了	長野県	松本市	城山展望台	390-0861	長野県松本市蟻ケ崎1219		36.245689	137.954348	-						おねがい☆ティーチャー	オネガイティイチャー	第6話で、間雲漂介と水澄楓が互いの気持ちを告白し合っていた展望台。<br />オープニングでも登場します。作中では、八角形の展望台がシンプルな四角形に描き変えられていました。				マツモトシ	オ	20	18	2	
0140	0005	完了	長野県	大町市	木崎湖	398-0001	長野県大町市平		36.558561	137.837445		11.0					おねがい☆ティーチャー	オネガイティイチャー	風見みずほが乗ってきた宇宙船まりえしーるが隠してある湖で、作中度々登場しています。				オオマチシ	オ	20	23	2	
0140	0006	完了	長野県	大町市	木崎湖　桟橋	398-0001	長野県大町市平		36.548301	137.837379	"https://www.google.co.jp/maps/@36.5481966,137.837387,2a,42.1y,0.98h,87.46t/data=!3m6!1e1!3m4!1sNTkCvP8yjYzEZTsGKUGxjA!2e0!7i13312!8i6656"						おねがい☆ティーチャー	オネガイティイチャー	オープニングのバーチャルデート的なカットで、風見みずほがこちら（視聴者）を振り返りながら遠くを指差していた桟橋（おそらく「あそこ見てみて」などと言っているであろう）。<br />ファンの間では「みずほ桟橋」の愛称で呼ばれています。				オオマチシ	オ	20	23	2	
0140	0007	完了	長野県	大町市	木崎湖　桟橋（7字形）	398-0001	長野県大町市平		36.548301	137.837379	"https://www.google.co.jp/maps/@36.5482107,137.8379728,2a,50.3y,359.27h,78.44t/data=!3m7!1e1!3m5!1s9A7h7PiHrP4tMlHiTGPIJw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3D9A7h7PiHrP4tMlHiTGPIJw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D100.42213%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						おねがい☆ティーチャー	オネガイティイチャー	第9話で、森野苺も自分と同じ「停滞」を患っていることを知った草薙桂が、物思いに耽りながら夕暮れの湖で寝転んでいたの桟橋。<br />第12話では、桂と苺が桟橋の突端に座って、互いの「停滞」の状況を話していました。<br />作中では形状がL字型に描き変えられています。				オオマチシ	オ	20	23	2	
0140	0009	完了	長野県	大町市	木崎湖遊園地	398-0001	長野県大町市平		36.543947	137.841411	"https://www.google.co.jp/maps/@36.5439794,137.8414147,2a,75y,287.52h,90.08t/data=!3m6!1e1!3m4!1sQLHOCcCu9Q3QnIQ2jeb3gg!2e0!7i13312!8i6656"	15.0					おねがい☆ティーチャー	オネガイティイチャー	第8話で、学校帰りの縁川小石、水澄楓、森野苺の3人がベンチでアイスを食べながら恋話をしていた公園。<br />第13話で、風見みずほと草薙桂の結婚生活を監視していた録画データを渡す条件で、風見まほにデートを強要されていた桂が、その様子を見られてしまった四道跨に、まほは従妹なんだと嘘の言い訳をしていたのも、この公園でした。			丁目番地不完全	オオマチシ	オ	20	23	2	
0140	0011	完了	長野県	大町市	一津踏切	398-0001	長野県大町市平		36.564218	137.842933	"https://www.google.co.jp/maps/@36.5642876,137.8434211,3a,29y,262.66h,92.29t/data=!3m6!1e1!3m4!1s3-6e2fv8ph_58WnKUoL8Gw!2e0!7i13312!8i6656"						おねがい☆ティーチャー	オネガイティイチャー	第8話で、学校帰りの縁川小石、森野苺が水澄楓と別れていた踏切。<br />第10話で、デート帰りの草薙桂と小石が別れていたのも、この踏切でした。<br />第11話の通学シーンで、桂がみんなと待ち合わせしていたのもこの踏切で、記憶がないにもかかわらず、ポケットに入っていたポッキーを見て風見みずほが去ってしまったことを感じて涙を流していました。<br />第13話では、みずほが風見まほから、桂が風見はつほに連れ去られたことを聞かされていました。<br />エンディング。				オオマチシ	オ	20	23	2	
0140	0012	完了	長野県	大町市	糸魚川街道沿いの建物	398-0001	長野県大町市平		36.592584	137.843854	"https://www.google.co.jp/maps/@36.592443,137.8438731,3a,59.9y,312.47h,100.92t/data=!3m6!1e1!3m4!1sKxwOeFNuIVpkm1UI9aEp1w!2e0!7i13312!8i6656"						おねがい☆ティーチャー	オネガイティイチャー	草薙桂の叔父である江田島みのるが経営する「江田島診療所」の建物のモデル。				オオマチシ	オ	20	23	2	
0140	0010	完了	長野県	大町市	Yショップニシ	398-0001	長野県大町市平12076		36.563059	137.844152		16.0					おねがい☆ティーチャー	オネガイティイチャー	縁川小石の両親が経営している「縁川商店」のモデル。				オオマチシ	オ	20	23	2	
0140	0008	完了	長野県	大町市	JR 海ノ口駅	398-0001	長野県大町市平13007-2		36.565644	137.841928	"https://www.google.co.jp/maps/@36.5657545,137.8421196,3a,43.6y,219.37h,86.34t/data=!3m6!1e1!3m4!1sVDWdvG32FBRROoTfa0MO8A!2e0!7i13312!8i6656"	13.0					おねがい☆ティーチャー	オネガイティイチャー	第4話で、草薙桂と縁川小石が軽井沢へ遊びに行くために利用した駅。<br />第8話で、夜中に小石が桂を呼び出して告白していたのも、この駅でした。<br />第12話で、間雲漂介と水澄楓が雨宿りしていたのもこの駅でした。<br />ラブホテル事件後の風見はつほと風見まほが座っていたのも、この駅のベンチでした。<br />オープニングの小石のカットもこの駅のホームでした。				オオマチシ	オ	20	23	2	
