作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1328	0001	完了	東京都	千代田区	東京駅丸の内駅舎	100-0005	東京都千代田区丸の内1-9-1		35.682230	139.766340	"https://www.google.co.jp/maps/@35.6827429,139.7660102,3a,43.1y,155.26h,102.83t/data=!3m6!1e1!3m4!1sDpB54jNsjP1kCO-ChxdNfQ!2e0!7i16384!8i8192"						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第10話で、修学旅行に向かう春風どれみたち美空第一小学校一行が集合していた駅。<br />※作中に描かれていた丸の内駅舎は、2007年から2012年にかけて行われた保存・復原工事により外観が変わっています。				チヨダク	オ	13	17	2	
1328	0002	完了	東京都	練馬区	青樹舍硝子工房	178-0061	東京都練馬区大泉学園町6-13		35.769570	139.583010	-						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第40話で、藤原はづきと妹尾あいこが用事があると先に帰ってしまったために、一人で寄り道をしようと街をぶらつきながら帰る春風どれみが見つけたガラス工房のモデル。<br />どれみが、このガラス工房で出会った魔女の佐倉未来にガラス作りを教えてもらうという、この話のメイン舞台となっていました。				ネリマク	オ	13	20	2	
1328	0003	完了	大阪府	大阪市	阪堺電車 北天下茶屋停留場	557-0014	大阪府大阪市西成区天下茶屋3-1		34.636530	135.500170	-						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第38話で、再婚に同意はしてくれたものの、父親（あいこの祖父）のことが気がかりで大阪を離れられないと言う母・岡村あつ子が、父・妹尾幸治の提案で、妹尾あいこと幸治と共に父親の家に向かう3人が電車を下りていた停留場。				オオサカシ	オ	27	1	5	
1328	0004	完了	大阪府	大阪市	新世界	556-0002	大阪府大阪市浪速区恵美須東2-4		34.651270	135.505850	"https://www.google.co.jp/maps/@34.6512153,135.5058256,3a,30y,17.67h,110.34t/data=!3m6!1e1!3m4!1s8OkdiBOh4iUD_VT9Hj1hpw!2e0!7i16384!8i8192"						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第38話で、昔3人で住んでいたアパート（天下茶屋2-10）がマンションに建て替えられてしまっていたことを知って凹む両親を見て、妹尾あいこがハーモニカを買ってもらった思い出の楽器店に行きたいと2人を連れてきた商店街。<br />半田屋酒店（作中では「里見屋酒店」）前辺りから正面に通天閣を望む構図で商店街が描かれていました。				オオサカシ	オ	27	1	5	
1328	0005	完了	大阪府	大阪市	JR 新大阪駅	532-0011	大阪府大阪市淀川区西中島5-16-1		34.733470	135.500200	-						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第38話で、母・岡村あつ子に会いに大阪にやって来た妹尾あいこと父・妹尾幸治が新幹線を下車していた駅。ホームであつ子が2人を出迎えていました。<br />帰りのシーンでは、きっぷ売場に並ぶあいこと幸治の姿が描かれていました。				オオサカシ	オ	27	1	5	
1328	0006	完了	大阪府	大阪市	通天閣	556-0002	大阪府大阪市浪速区恵美須東1-18-6		34.652520	135.506320	"https://www.google.co.jp/maps/@34.6527967,135.5067108,3a,19y,229.22h,148.31t/data=!3m6!1e1!3m4!1sik2NCZ6aVFEeEFQqGPUWzg!2e0!7i16384!8i8192"				5		おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第38話で、母・岡村あつ子が再婚に同意はしてくれたものの、倒れて体が不自由になってしまった父親（あいこの祖父）の介護のために一緒に暮らせないと再婚が白紙に戻ってしまい、苦悩する妹尾あいこが屋上で春風どれみに助けを求めたいた塔。				オオサカシ	オ	27	1	5	
1328	0007	完了	大阪府	泉南市	りんくう南浜海水浴場	590-0535	大阪府泉南市りんくう南浜		34.380389	135.260985	-						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第38話で、妹尾あいこの父・妹尾幸治が母・岡村あつ子に再婚を申し込んでいた海水浴場。				センナンシ	オ	27	36	5	
1328	0008	完了	京都府	京都市	お宿いしちょう	604-0901	京都府京都市中京区末丸町284		35.015710	135.770270	"https://www.google.co.jp/maps/@35.015639,135.7722478,3a,15y,272.8h,91.15t/data=!3m6!1e1!3m4!1sLOZiGcwyNCenSSd-u2fczA!2e0!7i13312!8i6656"				5		おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第12話の修学旅行で、春風どれみたち美空第一小学校一行が宿泊していたホテル。<br />館内の通路や階段、浴場なども忠実に描かれていました。<br />※屋上の特徴的な櫓のような建物は解体済。				キョウトシ	オ	26	10	5	
1328	0009	完了	京都府	京都市	産寧坂（三年坂）	605-0862	京都府京都市東山区清水2		34.99640	135.780900	"https://www.google.co.jp/maps/@34.9964212,135.7809112,3a,31.9y,36.79h,67.25t/data=!3m6!1e1!3m4!1sTsLUqbE3l7THUA2QLaIyeA!2e0!7i13312!8i6656"						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第12話の修学旅行で、関先生が「ここで転んだら3年後によくないことが起こるっていう言い伝えがあるんだよ」と藤原はづきや妹尾あいこに話している横を、駆け下っていた春風どれみが、小竹哲也が投げ捨てたバナナの皮を踏んで転んでいた階段坂。				キョウトシ	オ	26	10	5	
1328	0010	完了	京都府	京都市	清水寺	605-0862	京都府京都市東山区清水294		34.994780	135.785010	"https://www.google.co.jp/maps/@34.9946248,135.7854111,2a,38y,291.85h,87.37t/data=!3m6!1e1!3m4!1sgBNSjM5PaVD4EFVzbROYug!2e0!7i13312!8i6656"						おジャ魔女どれみドッカ～ン！	オジャマジョドレミドッカーン	第12話の修学旅行で、春風どれみたち美空第一小学校一行が訪れていた観光名所。				キョウトシ	オ	26	10	5	
