作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1329	0001	完了	東京都	港区	浪花家総本店	106-0045	東京都港区麻布十番1-8-14		35.65618	139.73512	-						おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第7話。父親とのたい焼き勝負に勝つために「MAHO堂」に協力を求めに来たクラスメイトの吉田かずやの両親が営むたい焼き屋「吉田屋」のモデル。<br />※2007年5月にリニューアルされて外観が当時のものとは大きく変わってしまっています。				ミナトク	オ	13	22	2	
1329	0002	完了	東京都	足立区	タカラ湯	120-0041	東京都足立区千住元町27-1		35.75591	139.79427	"https://www.google.co.jp/maps/@35.755818,139.7942545,3a,70y,19.58h,103.13t/data=!3m6!1e1!3m4!1sx3B8qByThY5sePOr4T9cUQ!2e0!7i16384!8i8192"				2		おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第13話で、春風どれみが、学校帰りに遭遇して一緒に歩いていたふぁみに、何処から来たのか訪ねていたシーンで背景に描かれていた銭湯のモデル。				アダチク	オ	13	1	2	
1329	0003	完了	東京都	多摩市	いろは坂の階段	206-0013	東京都多摩市桜ケ丘4		35.64517	139.44498	"https://www.google.co.jp/maps/@35.6450375,139.4449603,3a,25y,0.26h,69.77t/data=!3m6!1e1!3m4!1s5ZW6NlQ_XRlCX1s-vyk2hQ!2e0!7i13312!8i6656"				4.5		おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第13話で、春風どれみが、学校帰りに遭遇したふぁみと話しながら上っていた階段のモデル。<br />作中では、階段の上が公園になっていました。				タマシ	オ	13	35	2	
1329	0004	完了	神奈川県	鎌倉市	国道134号（鎌倉高校前駅前）	248-0033	神奈川県鎌倉市腰越1-1		35.30657	139.50037	"https://www.google.co.jp/maps/@35.3066383,139.5004634,3a,22y,239.12h,87.75t/data=!3m6!1e1!3m4!1sZ8eZobp-T8e2nZ-CfyEkAQ!2e0!7i16384!8i8192"				4.5		おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第1話で、男子だけで大きなことをしようと、自転車で富士山を目指す小竹哲也たち一行が走る姿が、駅に停車する電車内から望む構図で描かれていました。<br />背景には江ノ島が描かれています。				カマクラシ	オ	14	11	2	
1329	0005	完了	神奈川県	足柄下郡	国道1号（箱根湯本駅前）	250-0311	神奈川県足柄下郡箱根町湯本白石下707-1		35.23388	139.10636	"https://www.google.co.jp/maps/@35.233905,139.1062887,3a,18.9y,257.4h,93.64t/data=!3m6!1e1!3m4!1sWbr-Utt5jaI6gE4No29npw!2e0!7i16384!8i8192"				5		おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第1話で、男子だけで大きなことをしようと、自転車で富士山を目指す小竹哲也たち一行が走っていた場所。				アシガラシモグン	オ	14	25	2	
1329	0006	完了	神奈川県	足柄下郡	国道138号（熊野神社前）	250-0315	神奈川県足柄下郡箱根町		35.23231	139.09205	"https://www.google.co.jp/maps/@35.2324246,139.0923323,3a,26y,238.32h,94.97t/data=!3m6!1e1!3m4!1shb5eji_x5JjXiMALMGVImg!2e0!7i13312!8i6656"				4.5		おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第1話で、男子だけで大きなことをしようと、自転車で富士山を目指す小竹哲也たち一行が自転車を押して上っていた坂道。				アシガラシモグン	オ	14	25	2	
1329	0007	完了	神奈川県	足柄下郡	乙女峠	250-0315	神奈川県足柄下郡箱根町		35.28298	138.98273	"https://www.google.co.jp/maps/@35.2830423,138.9828524,3a,37.9y,289.28h,84.94t/data=!3m6!1e1!3m4!1sNhuYBZQCupqQMPW11I-31w!2e0!7i16384!8i8192"						おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第1話で、自転車旅の冒険のラストカットで、小竹哲也たち一行が富士山を眺めていた場所。<br />直前カットのトンネルは、乙女トンネルだと思われます。				アシガラシモグン	オ	14	25	2	
1329	0008	完了	神奈川県	藤沢市	湘南海岸公園　「平和の像」付近	251-0037	神奈川県藤沢市鵠沼海岸1-17		35.31527	139.47080	"https://www.google.co.jp/maps/@35.3151871,139.4708744,2a,30y,352.55h,97.85t/data=!3m6!1e1!3m4!1s7kENHlIAJP9MPNF2aPCV1Q!2e0!7i13312!8i6656"						おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第1話で、男子だけで大きなことをしようと、自転車で富士山を目指す小竹哲也たち一行が走っていた場所。				フジサワシ	オ	14	15	2	
1329	0009	完了	神奈川県	平塚市	湘南大橋	254-0803	神奈川県平塚市千石河岸		35.31828	139.36890	-						おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第1話で、男子だけで大きなことをしようと、自転車で富士山を目指す小竹哲也たち一行が渡っていた橋。				ヒラツカシ	オ	14	16	2	
1329	0010	完了	神奈川県	小田原市	国府津海岸（西湘バイパス高架下）	256-0812	神奈川県小田原市国府津2-12		35.27897	139.21117	-						おジャ魔女どれみナ・イ・ショ	オジャマジョドレミナイショ	第1話で、男子だけで大きなことをしようと、自転車で富士山を目指す小竹哲也たち一行が昼食を食べていた場所。<br />予定よりも遅れているにも関わらず、海で遊んだりしていました。				オダワラシ	オ	14	24	2	
