作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1247	0001	完了	東京都	千代田区	日比谷ステップ広場	100-0006	東京都千代田区有楽町1-1		35.673811	139.759816	"https://www.google.com/maps/@35.6740871,139.7599016,3a,49.8y,217.34h,101.9t/data=!3m6!1e1!3m4!1smxjzh6FL2b44lHujts_4fQ!2e0!7i16384!8i8192"						かくしごと	カクシゴト	第9話の終盤で、パーティー（中学館コミック交流会）帰りの後藤可久士と後藤姫がイルミネーションツリーを眺めていた広場。				チヨダク	カ	13	17	2	
1247	0002	完了	東京都	千代田区	帝国ホテル	100-0011	東京都千代田区内幸町1-1-1		35.672549	139.757850	-						かくしごと	カクシゴト	第9話で、後藤可久士が後藤姫やアシスタントたちを連れて参加したパーティー「中学館コミック交流会」が開かれていたホテル。				チヨダク	カ	13	17	2	
1247	0003	完了	東京都	港区	マクセル アクアパーク品川	108-0074	東京都港区高輪4-10-30	品川プリンスホテル内	35.628341	139.735418	"https://www.google.com/maps/@35.6285204,139.7355774,2a,23.4y,216.69h,93.33t/data=!3m6!1e1!3m4!1sOqaMvxRJ-b0PecbYk4tyrg!2e0!7i13312!8i6656"				4.5		かくしごと	カクシゴト	第12話で、十丸院五月のせいで『風のタイツ』打ち切りの打診があったと勘違いし、今後のことを考えて憂鬱な気分の後藤可久士が訪れていた水族館。<br />作中では館名が「AQUA LAND」になっていました。				ミナトク	カ	13	22	2	
1247	0004	完了	東京都	文京区	講談社旧本館	112-0013	東京都文京区音羽2-12-21		35.717589	139.727737	"https://www.google.com/maps/@35.7173964,139.7283883,3a,40.6y,286.08h,103.89t/data=!3m6!1e1!3m4!1s0B29amBdwFKsRIoMAQnKaQ!2e0!7i16384!8i8192"						かくしごと	カクシゴト	第5話Aパート「それでも鉢は廻ってくる」で、十丸院五月が、新人賞の審査員を引き受けた後藤可久士のコメントが真面目過ぎると、すべてのコメントの最後に「（笑）」と付け加えていたシーンの冒頭カットで描かれていた編集社のビル。<br />第11話では、十丸院が自分では経費で落ちなさそうな店に編集長を使って行こうと、可久士から食事の誘いがあったと編集長に嘘をついていたシーンの冒頭カット、打ち切りと勘違いした可久士が気合を入れて執筆したために『風のタイツ』が面白くなったことを、事情を知らずに編集長が喜ぶシーンの冒頭カットでも、同じ構図のカットが使われていました。				ブンキョウク	カ	13	21	2	
1247	0005	完了	東京都	文京区	ホテル椿山荘東京	112-0014	東京都文京区関口2-10-8		35.711622	139.725666	"https://www.google.com/maps/@35.7120129,139.7232799,3a,15y,100.48h,102.31t/data=!3m6!1e1!3m4!1s8m4Diy2b31X6O8CJ7Ow1gw!2e0!7i16384!8i8192"				5		かくしごと	カクシゴト	第5話Bパート「泊めたねっ！」で、十丸院五月から原稿の校了落ちと締切限界が明朝であることを告げられた後藤可久士がタクシーで連れてこられ、缶詰めにされていたホテル。				ブンキョウク	カ	13	21	2	
1247	0006	完了	東京都	江東区	アーバンドック ららぽーと豊洲	135-8614	東京都江東区豊洲2-4-9		35.656626	139.792114	"https://www.google.com/maps/@35.6561568,139.7920214,2a,16.5y,113.06h,76.38t/data=!3m6!1e1!3m4!1soFBvcwKZPjPwdUUQnpq5hA!2e0!7i13312!8i6656"				5		かくしごと	カクシゴト	第6話で、後藤可久士が、後藤姫をキッザニア東京で遊ばせている間、姫にバレないようにサイン会を行っていた商業施設。<br />フロア案内図も実物を元に作画されていますが、作中では設定上、アカチャンホンポがサイン会が行われた「記ノ國屋書店」に変えられています。				コウトウク	カ	13	8	2	
1247	0007	完了	東京都	江東区	キッザニア東京	135-8614	東京都江東区豊洲2-4-9	アーバンドック ららぽーと豊洲 1 ノースポート 3F	35.656302	139.791469	"https://www.google.com/maps/@35.6560097,139.7917113,2a,49y,319.98h,94.95t/data=!3m6!1e1!3m4!1sTY3YEZwNiIlUhdq52EqkhQ!2e0!7i13312!8i6656"						かくしごと	カクシゴト	第6話で、後藤可久士が後藤姫を連れてきた子供の職業体験型テーマパーク。				コウトウク	カ	13	8	2	
1247	0008	完了	東京都	渋谷区	都立第一商高交差点	150-0033	東京都渋谷区猿楽町1-17		35.649437	139.698396	"https://www.google.co.jp/maps/@35.6493267,139.6985712,3a,35.4y,301.02h,90.36t/data=!3m6!1e1!3m4!1s5MFbAEvdt5A-ym5KnQ9mHw!2e0!7i13312!8i6656"						かくしごと	カクシゴト	後藤可久士が毎日出勤時に「マリオネットランチマーケット」で着替えてジョブチェンジしている区境の交差点。<br />公式サイトなどで使われているメインビジュアルの一つで、机でマンガを描く可久士が描かれていたのもこの交差点で、公式Twitterで公開されていた、姫役の高橋李依と古武シルビア役の小澤亜李が『かくしごと』の聖地を探す動画企画「めぐろ川たんていじむしょ」で2人がこの場所を探していました。				シブヤク	カ	13	10	2	
1247	0009	完了	東京都	渋谷区	代官山 T-SITE	150-0033	東京都渋谷区猿楽町16-15		35.648864	139.699788	"https://www.google.co.jp/maps/@35.6487705,139.699647,3a,19.8y,323.57h,91.27t/data=!3m6!1e1!3m4!1sL7qKUdbhtc4DMYsxCGVqfw!2e0!7i13312!8i6656"				5		かくしごと	カクシゴト	第1話Bパート「ねがいごと」で、六條一子先生が「おしゃP」という魔物が住む「マンガのない本屋」と呼んでいた店。<br />溺れていた猫を助けたヒーローを探す後藤姫と姫のクラスメイトたち（めぐろ川たんていじむしょ）に追いかけられる後藤可久士が逃げ込んでいました。<br />実際には代官山 蔦屋書店やスターバックス コーヒー 代官山 蔦屋書店などを含む複合施設です。				シブヤク	カ	13	10	2	
1247	0010	完了	東京都	渋谷区	旧山手通り（リストランテASO前）	150-0033	東京都渋谷区猿楽町29		35.648577	139.699497	"https://www.google.co.jp/maps/@35.6486692,139.6995568,3a,53y,215.71h,86.33t/data=!3m6!1e1!3m4!1s3SI0r-Kh2BzsZiT_Wj49GA!2e0!7i16384!8i8192"						かくしごと	カクシゴト	第1話Bパート「ねがいごと」で、溺れていた猫を助けたヒーローを探す後藤姫と姫のクラスメイトたち（めぐろ川たんていじむしょ）が、マリオに追いかけれれていた場所。				シブヤク	カ	13	10	2	
1247	0011	完了	東京都	渋谷区	西郷橋	150-0035	東京都渋谷区鉢山町13		35.650828	139.696928	"https://www.google.com/maps/@35.6507489,139.6968513,3a,46y,43.52h,91.86t/data=!3m6!1e1!3m4!1sO1LTODjzsePeC3qRAnizMw!2e0!7i16384!8i8192"						かくしごと	カクシゴト	エンディングで、後藤姫が渡っていた跨道橋。<br />背景にOLIVESPA PENTHOUSE 代官山店やマダム・トキなどの建物が描かれていました。				シブヤク	カ	13	10	2	
1247	0012	完了	東京都	目黒区	上村坂（ハウスアプリコット脇）	153-0042	東京都目黒区青葉台1-4		35.649287	139.698209	"https://www.google.co.jp/maps/@35.6490853,139.6982366,3a,20y,347.88h,96.3t/data=!3m6!1e1!3m4!1sn626liTYIHhWNhQ9ZkzsUQ!2e0!7i13312!8i6656"				4.5		かくしごと	カクシゴト	第1話Aパート「かくしごと」で、仕事場に来るはずの新しい編集担当（十丸院五月）が家の方に行ってしまったかも知れないと、スーツに着替えて家に向かう後藤可久士が駆け下りていた坂道。				メグロク	カ	13	23	2	
1247	0013	完了	東京都	目黒区	上村坂（エジプト大使館裏口前）	153-0042	東京都目黒区青葉台1-5		35.648931	139.698186	"https://www.google.co.jp/maps/@35.6491878,139.6982251,3a,25y,187.57h,80.32t/data=!3m6!1e1!3m4!1sakx_Lx7eV2zC0rDAZUZ46g!2e0!7i13312!8i6656"				4		かくしごと	カクシゴト	第1話Bパート「ねがいごと」で、川で溺れた猫を助け名乗りもせずに立ち去った後藤可久士が仕事場に向けて歩いていた坂道。<br />同話で、仕事場に来るはずの新しい編集担当（十丸院五月）が家の方に行ってしまったかも知れないと、スーツに着替えて家に向かう可久士が駆け下りていたのもこの場所でした。				メグロク	カ	13	23	2	
1247	0014	完了	東京都	目黒区	FREECITY	153-0042	東京都目黒区青葉台1-5-21		35.649282	139.698316	"https://www.google.co.jp/maps/@35.6494321,139.6982192,3a,30y,143.05h,85.48t/data=!3m6!1e1!3m4!1sB2orkkKG0KWsvqbgMj0nbg!2e0!7i16384!8i8192"						かくしごと	カクシゴト	後藤可久士が毎日仕事場に行く際に服を着替えている古着&セレクトショップ「マリオネットランチマーケット」のモデル。				メグロク	カ	13	23	2	
