作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0182	0001	完了	東京都	千代田区	明神男坂	101-0021	東京都千代田区外神田2-16		35.701442	139.768145	-	18		0			かなめも	カナメモ	第1話、第4話の西田はるかの新聞配達シーンで描かれていた階段坂。				チヨダク	カ	13	17	2	
0182	0002	完了	東京都	千代田区	神田明神 随神門	101-0021	東京都千代田区外神田2-16-2		35.701540	139.767521	"https://www.google.co.jp/maps/@35.7013809,139.7674662,3a,52.4y,30.95h,93.97t/data=!3m6!1e1!3m4!1sVuygRj_WR3AtKQ6FBv2JEg!2e0!7i13312!8i6656"	17		120	1.2	03-3254-0753	かなめも	カナメモ	第1話で、配達中の西田はるかが自転車でこの門の前を走る姿が描かれていました。第2話では、初めての新聞配達に出た中町かなが、突然の大雨に降られて、この門の下で雨宿りしていて、同じく新聞配達中の久地院美華と初遭遇しており、龍の彫刻のある手水舎や柱の上の狛犬の装飾などが描かれていました。	http://www.kandamyoujin.or.jp/	http://www.kandamyoujin.or.jp/		チヨダク	カ	13	17	2	
0182	0003	完了	東京都	千代田区	宮本公園	101-0021	東京都千代田区外神田2-16-9		35.702291	139.767127	-	17		0			かなめも	カナメモ	第2話で、中町かなが専売所のみんなに自転車に乗る特訓を受けていた公園。第4話では、プールにいけないために、気分だけでも味わおうと水着姿で新聞配達をした結果、水着目当てで男たちの群衆ができてしまい、北岡ゆめのアイデアで、集まった男たちに、水着ショーを見る代わりに新聞の契約勧誘をしていたのもこの公園でした。第13話で、かなが一人で自転車の自主練習をしていたのもこの公園でした。				チヨダク	カ	13	17	2	
0182	0004	完了	東京都	千代田区	駿台予備校 お茶の水2号館	101-0062	東京都千代田区神田駿河台2-1		35.699263	139.761728	"https://www.google.co.jp/maps/@35.6991801,139.7615278,3a,58.6y,62.69h,97.56t/data=!3m6!1e1!3m4!1sy3cRGIuE51bp7H511lXzXA!2e0!7i13312!8i6656"	17		120	1.5	03-5259-3321	かなめも	カナメモ	第1話で、配達中の東ひなたが、横目でこの予備校を見ながら、3浪はマズいから、そろそろ本格的に勉強をやらないと思いつつ、自転車でこの予備校前を通っていました。作中では校名が「騎台予備校」になっていました。	http://www2.sundai.ac.jp/yobi/sv/sundai/scontents_P/kousya_PD/1337306172365.html			チヨダク	カ	13	17	2	
0182	0005	完了	東京都	千代田区	JR 御茶ノ水駅	101-0062	東京都千代田区神田駿河台2-6-1		35.699887	139.763627	"https://www.google.co.jp/maps/@35.6998024,139.7632191,3a,37y,79.32h,84.75t/data=!3m6!1e1!3m4!1sD2Bt-Rk5Yh3D5znL2SsTpQ!2e0!7i13312!8i6656"	17		120	3		かなめも	カナメモ	第7話冒頭の新聞の休刊日の朝、中町かなが、街もお盆休みでいつになく静かだと感じていたシーンに、御茶ノ水橋口の駅前風景が描かれていました。				チヨダク	カ	13	17	2	
0182	0006	完了	東京都	千代田区	ニコライ堂（東京復活大聖堂）	101-0062	東京都千代田区神田駿河台4-1-3		35.698035	139.765542	"https://www.google.co.jp/maps/@35.6983418,139.7653145,3a,51.5y,161.27h,102.62t/data=!3m7!1e1!3m5!1sez5kCFH5DjoYLuXlF0g3UA!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3Dez5kCFH5DjoYLuXlF0g3UA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D344.81537%26pitch%3D0!7i13312!8i6656"	17		120	1.6	03-3295-6879	かなめも	カナメモ	東かなたの配達先の一つで、第1話で新聞を門の郵便受けに入れるかなた越しに聖堂が描かれていました。第11話で、中町かなの学校帰りシーンの冒頭カットでもドーム屋根が描かれていました。	http://www.orthodoxjapan.jp/annai/t-tokyo.html	http://www.orthodoxjapan.jp/annai/t-tokyo.html		チヨダク	カ	13	17	2	
0182	0007	完了	東京都	千代田区	ナビパーク神田駿河台第1駐車場	101-0062	東京都千代田区神田駿河台4-2-8		35.697857	139.766272	"https://www.google.com/maps/@35.6980487,139.7662171,3a,36.9y,200.87h,101.7t/data=!3m6!1e1!3m4!1svSdNNzHmAeun0YvEMqXtMw!2e0!7i13312!8i6656?hl=ja"	17	○	120	1		かなめも	カナメモ	第12話で、マリモ姉が軽トラックを停めていた駐車場で、中町かなとマリモ姉との別れの場となっていました。				チヨダク	カ	13	17	2	解体
0182	0008	完了	東京都	千代田区	御茶ノ水駅前広場	101-0062	東京都千代田区神田駿河台4-3		35.699048	139.765210	"https://www.google.co.jp/maps/@35.6992532,139.7652312,3a,42y,191.57h,98.23t/data=!3m6!1e1!3m4!1sf1ObGbvh4kPU88S8yNkPCw!2e0!7i13312!8i6656"	18		120	1.5		かなめも	カナメモ	第12話で、「風神新聞専売所」一行が出店していたフリーマーケットの会場。				チヨダク	カ	13	17	2	
0182	0009	完了	東京都	千代田区	お茶の水サンクレール 脇	101-0062	東京都千代田区神田駿河台4-3		35.699277	139.764860	"https://www.google.co.jp/maps/@35.6993154,139.7648625,3a,28.5y,198.93h,86.35t/data=!3m6!1e1!3m4!1sePZwR0NoaIRxAFX3UqQ_yw!2e0!7i13312!8i6656"	18		120	2		かなめも	カナメモ	第12話で、昼食休憩でフリーマーケットの店を離れた中町かなが、偶然マリモ姉に遭遇し、成り行きで野菜の路上販売を手伝っていた場所。				チヨダク	カ	13	17	2	
0182	0010	完了	東京都	千代田区	カレー屋ジョニー お茶ノ水店	101-0062	東京都千代田区神田駿河台4-5		35.699347	139.765083	"https://www.google.co.jp/maps/@35.6992917,139.7650035,3a,40.6y,44.59h,111.41t/data=!3m6!1e1!3m4!1s2esQBgX_xkP_aWhixUDhpQ!2e0!7i13312!8i6656"	18		120	1		かなめも	カナメモ	第12話で、昼食休憩でフリーマーケットの店を離れた中町かなに、久地院美華が声をかけ、話をしていたシーンで、背後に描かれていた店。作中では店名が「カレー屋 一番星」になっていました。	http://johnnycurry.com/shop.html			チヨダク	カ	13	17	2	
