作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0197	0001	完了	香川県	小豆郡	鹿島明神社	761-4100	香川県小豆郡土庄町2267-1		34.474009	134.169865	-						からかい上手の高木さん	カラカイジョウズノタカギサン	第5話Eパート「雨宿り」で、西片と高木さんが雨宿りしていた神社。<br />第10話Aパート「背比べ」で、成長期で自分の方が背が高くなったと主張する西片に、高木さんが背比べしようと誘ったのもこの神社でした。<br />オープニングでは、社殿前から海側を望む構図や、隣接する公園などが描かれていました。				ショウズグン	カ	37	4	7	
0197	0002	完了	香川県	小豆郡	鹿島明神社 公園	761-4100	香川県小豆郡土庄町2267-1		34.473699	134.170139	"https://www.google.co.jp/maps/@34.473657,134.1703676,3a,24y,294.27h,89.44t/data=!3m6!1e1!3m4!1svhgBxrV9StSl25PsNEZ-9w!2e0!7i13312!8i6656"						からかい上手の高木さん	カラカイジョウズノタカギサン	第4話Bパート「逆上がり」で、西片と高木さんが逆上がり勝負をしていた公園。実際には鉄棒はありません。オープニングでもベンチやシーソー、滑り台などが描かれていました。第9話Cパートでは、学校帰りの西片と高木さんがこの前を通っており、高木さんが西片に変顔を見せていました。				ショウズグン	カ	37	4	7	
0197	0003	完了	香川県	小豆郡	BOOKSことぶき	761-4101	香川県小豆郡土庄町甲36−10		34.482119	134.188683	"https://www.google.co.jp/maps/@34.481765,134.1888008,3a,20y,344.77h,97.32t/data=!3m6!1e1!3m4!1shu_9UIL4xYZUUbOAVRp9Jg!2e0!7i13312!8i6656"					0879-62-6104	からかい上手の高木さん	カラカイジョウズノタカギサン	第5話Dパート「本屋」で、西片が恋愛マンガ「100％片想い」を買っているのを知り合いにバレないように、わざわざ早朝に訪れたものの、店から出たところで散歩中の高木さんと鉢合わせしていた本屋。				ショウズグン	カ	37	4	7	
0197	0011	完了	香川県	小豆郡	住宅地の細道	761-4121	香川県小豆郡土庄町淵崎甲		34.488948	134.184778	-						からかい上手の高木さん	カラカイジョウズノタカギサン	オープニングで、西片と高木さんが歩いていた細道。				ショウズグン	カ	37	4	7	
0197	0004	完了	香川県	小豆郡	土庄町立中央図書館	761-4121	香川県小豆郡土庄町渕崎甲1400-1		34.486102	134.189455	-						からかい上手の高木さん	カラカイジョウズノタカギサン	第5話Aパート「テスト勉強」で、西片が高木さんに勉強を教えて貰っていた図書館。				ショウズグン	カ	37	4	7	
0197	0005	完了	香川県	小豆郡	土庄中学校	761-4121	香川県小豆郡土庄町渕崎甲1936		34.486325	134.192060	-					0879-62-0054	からかい上手の高木さん	カラカイジョウズノタカギサン	西片と高木さんが通う中学校のモデル。オープニング後の提供バックで校舎が描かれており、第1話Bパート「日直」で、西片が朝早く登校するシーンで外観の一部が描かれていました。	http://www.dochu.ed.jp/			ショウズグン	カ	37	4	7	
0197	0006	完了	香川県	小豆郡	エンジェルロード	761-4121	香川県小豆郡土庄町銀波浦		34.477142	134.188551	"https://www.google.co.jp/maps/@34.4778275,134.1886726,3a,32.8y,194.0h,88.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE9wR0NvZVlsS0s5WXEzSjBEMWlVN2hJZVdIaUVTZE5RWk01TUdO!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE9wR0NvZVlsS0s5WXEzSjBEMWlVN2hJZVdIaUVTZE5RWk01TUdO%3Dw203-h100-k-no-pi-0-ya176.94308-ro-0-fo100!7i9728!8i3942 "						からかい上手の高木さん	カラカイジョウズノタカギサン	オープニングで、西片が高木さんに手を引かれて顔を赤らめる姿が描かれていた場所。				ショウズグン	カ	37	4	7	
0197	0007	完了	香川県	小豆郡	八幡橋	761-4121	香川県小豆郡土庄町淵崎		34.488196	134.191052	-						からかい上手の高木さん	カラカイジョウズノタカギサン	オープニングをはじめ、西片と高木さんの通学シーンで度々描かれていた橋。				ショウズグン	カ	37	4	7	
0197	0008	完了	香川県	小豆郡	柳隧道	761-4100	香川県小豆郡土庄町		34.466695	134.163733	"https://www.google.com/maps/@34.4665169,134.163473,3a,37.8y,41.09h,94.41t/data=!3m6!1e1!3m4!1stRPmp3PtPQlVxpoJ7g6hBg!2e0!7i13312!8i6656?hl=ja"						からかい上手の高木さん	カラカイジョウズノタカギサン	第6話Cパート「肝試し」で、西片と高木さんが通っていたトンネル。<br />第8話Dパート「未練」では、日々野ミナ、天川ユカリ、月本サナエの3人が夏休みにやり忘れた肝試しをしに入っていたのも、このトンネルでした。				ショウズグン	カ	37	4	7	
0197	0009	完了	香川県	小豆郡	坂道	761-4100	香川県小豆郡土庄町		34.466084	134.163242	"https://www.google.com/maps/@34.466433,134.1633574,3a,15y,195.64h,85.17t/data=!3m6!1e1!3m4!1sVXpuCjA9jfmkpVHA3fwZBg!2e0!7i13312!8i6656?hl=ja"				5		からかい上手の高木さん	カラカイジョウズノタカギサン	オープニングで、西片と高木さんが歩いていた場所で、第11話エンディングでも同じ坂道が描かれていました。				ショウズグン	カ	37	4	7	
0197	0010	完了	香川県	小豆郡	理容ほしの 駐車場付近	761-4100	香川県小豆郡土庄町		34.474142	134.170871	-						からかい上手の高木さん	カラカイジョウズノタカギサン	第10話Cパート「お誘い」で、高木さんと一緒に学校から帰る西片が、自販機で飲み物を買っていた場所。ほとんど売り切れで、おしることヨモギジュースしかなかったため、結局ヨモギジュースを買っていました。<br />第11話エンディングでもこの場所が描かれていました。<br />※実際にはこの場所に自動販売機はありません。				ショウズグン	カ	37	4	7	
