作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1019	0001	完了	福島県	白河市	水田	961-0027	福島県白河市十文字		37.099053	140.224522	"https://www.google.co.jp/maps/@37.0991907,140.2251308,3a,30y,75.23h,94.28t/data=!3m6!1e1!3m4!1sAwWnx6KBuda_dwIP0cTi1g!2e0!7i13312!8i6656?hl=ja"				2		こみっくがーるず	コミックガールズ	第1話冒頭カットで、かおす（萌田薫子）の田舎の風景として、座標地点辺りから東側を望む構図で、水田が描かれていました。				シラカワシ	コ	7	14	1	
1019	0002	完了	福島県	白河市	国道294号線の県境の案内板（旧陸羽街道）	961-0835	福島県白河市白坂		37.068727	140.185567	"https://www.google.co.jp/maps/@37.0686402,140.185507,3a,16y,46.92h,112.77t/data=!3m6!1e1!3m4!1sW9v13YN1X8CvGVyfoARXrg!2e0!7i13312!8i6656"				5		こみっくがーるず	コミックガールズ	第1話冒頭のかおす（萌田薫子）の暮らす町のカットの一つに描かれていた案内板。				シラカワシ	コ	7	14	1	
1019	0003	完了	福島県	白河市	九十九橋	961-0038	福島県白河市旗宿広表		37.046819	140.227602	"https://www.google.co.jp/maps/@37.0468,140.2275621,3a,50.2y,12.6h,90.64t/data=!3m6!1e1!3m4!1syFJzC5gBql1Rb4_ur73sFg!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第1話で、かおす（萌田薫子）が担当編集の編沢まゆから、自身の作品がアンケートでビリだったとの連絡を受けていたカットで描かれていた橋。				シラカワシ	コ	7	14	1	
1019	0004	完了	福島県	白河市	県道76号線（白河の関バス停前）	961-0038	福島県白河市旗宿関ノ森		37.047179	140.227677	"https://www.google.co.jp/maps/@37.0470497,140.2276882,3a,31.2y,345.14h,90.98t/data=!3m6!1e1!3m4!1spPjA6r56dcCIqLqc4b4zeA!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第1話で、かおす（萌田薫子）が、担当編集の編沢まゆから、マンガが没だった連絡を受けていた場所。				シラカワシ	コ	7	14	1	
1019	0005	完了	福島県	白河市	白河神社	961-0038	福島県白河市旗宿関ノ森		37.047227	140.228403	"https://www.google.co.jp/maps/@37.0472612,140.2281514,3a,90y,115.6h,80.56t/data=!3m6!1e1!3m4!1sCAoSLEFGMVFpcE1NZU11NmJRZ1gwVVNxQ29SN1BybmtUanJfTXBLemVyeUgzMlZV!2e10!7i5376!8i2688"				1		こみっくがーるず	コミックガールズ	第1話で、担当編集の編沢まゆから、マンガが没だった連絡を受けてた萌田薫子が、動物たちに囲まれて慰められていた神社。				シラカワシ	コ	7	14	1	
1019	0006	完了	福島県	白河市	県道76号線（白河実業高校バス停前）	961-0822	福島県白河市瀬戸原6		37.102146	140.228815	"https://www.google.co.jp/maps/@37.1022828,140.2289473,3a,27y,200.66h,91.5t/data=!3m6!1e1!3m4!1sdAjFo4aQWxPExJ7jaNDM1Q!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第1話冒頭のかおす（萌田薫子）の暮らす町のカットの一つに描かれていた場所。				シラカワシ	コ	7	14	1	
1019	0007	完了	福島県	西白河郡	JR 新白河駅	961-8052	福島県西白河郡西郷村字道南東114		37.122667	140.188262	-						こみっくがーるず	コミックガールズ	第1話で、「文芳社女子まんが家寮」に入寮することになったかおす（萌田薫子）が、新幹線に乗るために利用していた駅で、新幹線1番ホームが描かれていました。				ニシシラカワグン	コ	7	15	1	
1019	0062	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1		35.680503	139.765696	"https://www.google.co.jp/maps/@35.6802799,139.7650953,3a,35.4y,45.6h,107.39t/data=!3m6!1e1!3m4!1sZnuG-WPIsrfbya5jI1qvCw!2e0!7i16384!8i8192"						こみっくがーるず	コミックガールズ	第12話で、なんとか締め切りギリギリで原稿を描き上げ、実家に帰るかおす（萌田薫子）が利用していた駅で、ホームで新幹線を待つ間、担当編集の編沢まゆから電話で原稿の感想を聞かされていました。				チヨダク	コ	13	17	2	
1019	0008	完了	東京都	千代田区	秋葉原家松ビル、小暮ビル	101-0021	東京都千代田区外神田1-11		35.699547	139.771083	"https://www.google.co.jp/maps/@35.699792,139.7713161,3a,20y,222.28h,107.97t/data=!3m6!1e1!3m4!1sZD44kzcUKRT5QmXp5vRxJw!2e0!7i13312!8i6656"				4.5		こみっくがーるず	コミックガールズ	第7話で、眼鏡を買いにかおす（萌田薫子）が、外出ついでに憧れの秋葉原に来たシーンのカットで描かれていたビル。				チヨダク	コ	13	17	2	
1019	0009	完了	東京都	千代田区	中央通り	101-0021	東京都千代田区外神田1-12		35.699654	139.771355	"https://www.google.co.jp/maps/@35.6996345,139.7713567,3a,33.4y,182.89h,107.34t/data=!3m7!1e1!3m5!1sV7a-coXG33NljIPVr2HSlQ!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DV7a-coXG33NljIPVr2HSlQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D90.504974%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!5m1!1e1"						こみっくがーるず	コミックガールズ	第7話で、眼鏡を買いにかおす（萌田薫子）が、外出ついでに憧れの秋葉原に来たシーンのカットで描かれていた通り。座標地点辺りから南側を望む構図で、中央の総武線の高架線路と通りの左右に建ち並ぶビル群が描かれていました。				チヨダク	コ	13	17	2	
1019	0059	完了	東京都	千代田区	神田明神	101-0021	東京都千代田区外神田2-16-2		35.702039	139.767935	"https://www.google.co.jp/maps/@35.701799,139.7677539,3a,50.3y,38.54h,92.91t/data=!3m6!1e1!3m4!1s-Mi6aTc5E-Zrrwgy68TZgQ!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第10話で、かおす（萌田薫子）たちが初詣に訪れた神社。				チヨダク	コ	13	17	2	
1019	0010	完了	東京都	千代田区	コミックとらのあな 秋葉原店B 脇の路地	101-0021	東京都千代田区外神田4-2		35.700277	139.771813	"https://www.google.co.jp/maps/@35.7003664,139.7715204,3a,28.4y,108.97h,90.3t/data=!3m6!1e1!3m4!1s27nihGrVCHUdekg-0BN0-g!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第7話で眼鏡を買いにかおす（萌田薫子）が、外出ついでに憧れの秋葉原に寄ってフィギュアを買うも、幼い容姿と挙動不審で婦警さんに声をかけられて逃げ出し、ダンボール箱に隠れていた場所。				チヨダク	コ	13	17	2	
1019	0048	完了	東京都	千代田区	トレーダー 秋葉原3号店 前	101-0021	東京都千代田区外神田4-2		35.700066	139.771582	"https://www.google.co.jp/maps/@35.7000149,139.771564,3a,15y,9.51h,106.24t/data=!3m6!1e1!3m4!1shedAZetkkCLxpIS8bEmxqg!2e0!7i13312!8i6656!5m1!1e1"				5		こみっくがーるず	コミックガールズ	第7話で、眼鏡を買いにかおす（萌田薫子）が、外出ついでに憧れの秋葉原に来たシーンのカットで描かれていたビル。座標地点辺りから北側を望む構図で、トレーダー 秋葉原3号店、東京レジャーランドなどのビル看板が描かれていました。				チヨダク	コ	13	17	2	
1019	0011	完了	東京都	千代田区	アニメイト秋葉原	101-0021	東京都千代田区外神田4-3-2		35.700492	139.771710	"https://www.google.co.jp/maps/@35.6925129,139.7035675,3a,36y,279.62h,91.9t/data=!3m6!1e1!3m4!1sVeZBJreBsu21wLkLJhlKSQ!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第7話で眼鏡を買いにかおす（萌田薫子）が、外出ついでに憧れの秋葉原に寄ってフィギュアを買っていたアニメショップ。				チヨダク	コ	13	17	2	
1019	0012	完了	東京都	千代田区	レンタルボックス バルブ 前	101-0021	東京都千代田区外神田4-3-10		35.700569	139.772083	"https://www.google.co.jp/maps/@35.7005041,139.7721193,3a,15.8y,333.38h,87.13t/data=!3m6!1e1!3m4!1sOaLjtz2l8cFagtOcIIuGkg!2e0!7i13312!8i6656"				5		こみっくがーるず	コミックガールズ	第7話で、憧れの秋葉原で、マンガとフィギュアを買ってご機嫌のかおす（萌田薫子）が、婦警さんに声をかけられ逃げ出していた場所。				チヨダク	コ	13	17	2	
1019	0013	完了	東京都	千代田区	秋葉原UDX前の歩道	101-0021	東京都千代田区外神田4-14		35.700475	139.772228	"https://www.google.co.jp/maps/@35.7006315,139.7722711,2a,27.8y,184.99h,93.8t/data=!3m6!1e1!3m4!1sBio2whyQtN0G2cvD40WS2w!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第7話で、ダンボール箱に隠れて泣いていたかおす（萌田薫子）が、女子まんが家寮のみんなに見つけてもらい、みんなで本来の目的だった眼鏡を買いに向かうシーンで、4人が歩いていた道。				チヨダク	コ	13	17	2	
1019	0014	完了	東京都	千代田区	JR 水道橋駅	101-0061	東京都千代田区神田三崎町2-20		35.702207	139.752162	"https://www.google.co.jp/maps/@35.7022871,139.7520356,3a,51y,128.35h,99.67t/data=!3m6!1e1!3m4!1s7XBRkWLXmSsr91Mwp0Eo-A!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第7話で、一人で眼鏡を買いに出掛けたかおす（萌田薫子）が利用していた駅で、西口駅舎やホームが描かれていました。				チヨダク	コ	13	17	2	
1019	0015	完了	東京都	千代田区	飯田橋駅東側の高架線路	102-0072	東京都千代田区飯田橋4-10		35.702031	139.745542	"https://www.google.co.jp/maps/@35.7016883,139.7461247,3a,15y,305.78h,92.93t/data=!3m6!1e1!3m4!1shqDNjhC760P-02RFg4fgIA!2e0!7i13312!8i6656"				5		こみっくがーるず	コミックガールズ	第2話で、かおす（萌田薫子）たち一行が電車で新宿へ向かう移動シーンの挿入カットで描かれていた高架線路。				チヨダク	コ	13	17	2	
1019	0058	完了	東京都	港区	東京メトロ 麻布十番駅	106-0045	東京都港区麻布十番4-4-9		35.655725	139.737330	"https://www.google.co.jp/maps/@35.6559763,139.7372783,3a,40y,157.43h,102.79t/data=!3m6!1e1!3m4!1sJn10njoWtKsyYzy1bu4M4A!2e0!7i16384!8i8192"						こみっくがーるず	コミックガールズ	第10話で、実家に帰る勝木翼とかおす（萌田薫子）が利用していた駅で、翼が駅のトイレでウィッグを着けていました。<br />駅構内の他、3番出入口周辺が描かれていました。				ミナトク	コ	13	22	2	
1019	0016	完了	東京都	文京区	西片交差点（小石川富士ビル前）	112-0002	東京都文京区小石川1-9		35.711270	139.752603	"https://www.google.co.jp/maps/@35.7113438,139.7528937,3a,16y,254.84h,91.56t/data=!3m6!1e1!3m4!1s7Eqiyh_haceh5Se4kBWBCQ!2e0!7i13312!8i6656"				5		こみっくがーるず	コミックガールズ	オープニングで、たくさんの車が往来する中、オロオロするかおす（萌田薫子）が描かれていた交差点。				ブンキョウク	コ	13	21	2	
1019	0017	完了	東京都	文京区	善光寺坂	112-0002	東京都文京区小石川3-17		35.711879	139.748900	"https://www.google.co.jp/maps/@35.7118084,139.7485436,3a,15y,78.58h,88.34t/data=!3m6!1e1!3m4!1sT8d8iCgZk1JVMEx2Hpe3AA!2e0!7i13312!8i6656"				5		こみっくがーるず	コミックガールズ	オープニングで、学校に向かう色川琉姫と勝木翼が走っていた坂。				ブンキョウク	コ	13	21	2	
1019	0018	完了	東京都	文京区	善光寺坂のムクノキ	112-0002	東京都文京区小石川3-17		35.711801	139.748336	"https://www.google.co.jp/maps/@35.7116668,139.7481767,3a,35y,56.94h,93.57t/data=!3m6!1e1!3m4!1sEGvFZ2owDBkK08W0YBnLeg!2e0!7i16384!8i8192"						こみっくがーるず	コミックガールズ	第4話の通学シーンで、マンガ執筆のため2日連続徹夜でお疲れモードの色川琉姫が、かおす（萌田薫子）たちと、この木の側を歩いていました。				ブンキョウク	コ	13	21	2	
1019	0019	完了	東京都	文京区	東京都立竹早高等学校	112-0002	東京都文京区小石川4-2-1		35.712391	139.744181	"https://www.google.co.jp/maps/@35.7126451,139.7444463,3a,39.2y,178.05h,112.72t/data=!3m6!1e1!3m4!1s-psFZrFjG1Qz6zsn-WnlFg!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	かおす（萌田薫子）たちが通う高校のモデル。第4話、第6話で学校裏から校舎を見上げた構図のカットが描かれていました。	http://www.takehaya-h.metro.tokyo.jp/site/zen/			ブンキョウク	コ	13	21	2	
1019	0061	完了	東京都	文京区	後楽橋交差点から望むビル群	112-0004	東京都文京区後楽1		35.702981	139.751912	"https://www.google.co.jp/maps/@35.7027353,139.7519452,3a,36.5y,184.6h,110.34t/data=!3m6!1e1!3m4!1s2cN8ujB3Maibl7wXq3QWSQ!2e0!7i13312!8i6656"						こみっくがーるず	コミックガールズ	第11話で、かおす（萌田薫子）が担当編集の編沢まゆにネームを見せに行った帰りに、まゆがかおすを見送りながらこの1年のかおすの成長を実感していたカットで、後楽橋交差点辺りから橋のある南側を望む構図で、JR線高架線路越しに西田ビルやガーデンエアタワーなどのビル群が描かれていました。				ブンキョウク	コ	13	21	2	
