作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0364	0001	完了	千葉県	千葉市	コストコ幕張店	261-0024	千葉県千葉市美浜区豊砂1-4		35.655121	140.02794	"https://www.google.co.jp/maps/@35.6544991,140.0275023,3a,50y,10.39h,108.46t/data=!3m6!1e1!3m4!1s21OTTpvh1zi7721SorZKSg!2e0!7i16384!8i8192?hl=ja"	15.0		120		043-213-4111	ささみさん＠がんばらない	ササミサンガンバラナイ	第1話でバレンタインが好きな人にチョコをプレゼントする日だと教えられた月読神臣が、チョコを買いに行った店のモデル。大量のチョコを購入して月読鎖々美にプレゼントし、食べきれないからお兄ちゃんにもちょっとあげると、鎖々美から合法的にチョコを貰う妄想をしていました。作中では店名が「八百万」になっていました。	http://www.costco.co.jp/p/locations/makuhari	http://www.costco.co.jp/p/locations/makuhari		チバシ	サ	12	1	2	
0364	0002	完了	千葉県	松戸市	無添 くら寿司 松戸二十世紀が丘店	271-0084	千葉県松戸市ニ十世紀が丘丸山町33		35.769732	139.909738	"https://www.google.co.jp/maps/@35.7699446,139.9093627,3a,30y,121.25h,94.84t/data=!3m6!1e1!3m4!1sXYGqiyrqLkPQ88f3vbC1_Q!2e0!7i13312!8i6656?hl=ja"	17.0		120	3.5	047-312-7610	ささみさん＠がんばらない	ササミサンガンバラナイ	第5話で月読鎖々美が、邪神かがみの話をしながら月読神臣に寿司を食べさせてもらっていた店。作中では店名が「くらり寿司」になっていました。	http://www.kura-corpo.co.jp/store/detail/150	http://www.kura-corpo.co.jp/store/detail/150		マツドシ	サ	12	13	2	
0364	0003	完了	東京都	千代田区	日比谷公園	100-0012	東京都千代田区日比谷公園1		35.673012	139.756833	"https://www.google.co.jp/maps/@35.6731475,139.7568961,3a,15.6y,202.22h,84.74t/data=!3m7!1e1!3m5!1scI5aSQ5Bn1EP426rPu108Q!2e0!3e5!7i13312!8i6656?hl=ja"	18		120	5	03-3501-6428	ささみさん＠がんばらない	ササミサンガンバラナイ	オープニングに登場する公園のカットで、ずらりと並んだベンチが描かれていました。				チヨダク	サ	13	17	2	
0364	0004	完了	東京都	千代田区	コミックとらのあな 秋葉原店B	101-0021	東京都千代田区外神田4-3-1		35.700353	139.771741	"https://www.google.co.jp/maps/@35.700398,139.771503,3a,75y,119.13h,132.5t/data=!3m4!1e1!3m2!1stUFS-N1mQPfrVIgmZFWeyw!2e0?hl=ja"	18		120		03-3526-5551	ささみさん＠がんばらない	ササミサンガンバラナイ	第4話で月読鎖々美が邪神つるぎのお使いで、フィギュアを買いに訪れたオタクショップ「うずめのあな」のモデル。	http://www.toranoana.jp/shop/akihabara/			チヨダク	サ	13	17	2	
0364	0005	完了	東京都	港区	ニュー新橋ビル 前	105-0004	東京都港区新橋2-16		35.666879	139.757226	"https://www.google.co.jp/maps/@35.6668946,139.7571341,3a,75y,258.17h,111.17t/data=!3m4!1e1!3m2!1skWdpyfZ7HgHJsNQLBF_MiA!2e0?hl=ja"	18		120			ささみさん＠がんばらない	ササミサンガンバラナイ	第4話で月読鎖々美が邪神つるぎから頼まれた買い物をするシーンの夕景カットの2枚目は、座標地点から西側の2丁目9の区画にある雑居ビル群を見上げた構図で描かれていました。				ミナトク	サ	13	22	2	
0364	0006	完了	東京都	港区	汐留シティセンター	105-0021	東京都港区東新橋1-10		35.66077	139.759869	-	17		0			ささみさん＠がんばらない	ササミサンガンバラナイ	第4話で月読鎖々美が邪神つるぎから頼まれた買い物をするシーンの夕景カットの1枚目は、B2Fにあるヴィ・ド・フランス前の広場になります。	http://www.shiodome-cc.com/	http://www.shiodome-cc.com/		ミナトク	サ	13	22	2	
0364	0007	完了	東京都	渋谷区	恵比寿南一公園前交差点	150-0022	東京都渋谷区恵比寿南1-26-1		35.642682	139.711466	"https://www.google.co.jp/maps/@35.6427965,139.7115481,3a,30y,225.02h,86.85t/data=!3m6!1e1!3m4!1simC_3dGtRgs42kUVK_mAFg!2e0!7i13312!8i6656?hl=ja"	18		120	3.5		ささみさん＠がんばらない	ササミサンガンバラナイ	第4話で月読鎖々美が邪神つるぎから頼まれた買い物をするシーンの夕景カットの3枚目は、交差点から中目黒へ向かう南西側の道を望んだ構図で描かれていました。				シブヤク	サ	13	10	2	
0364	0008	完了	東京都	渋谷区	代官山 Bijou Nail	150-0034	東京都渋谷区代官山町13-4	セレサ代官山B1F	35.649834	139.704525	"https://www.google.co.jp/maps/@35.6498185,139.7043674,3a,15y,95.88h,91.67t/data=!3m6!1e1!3m4!1sgupSTVMO6q90p3yTJA3WZA!2e0!7i13312!8i6656?hl=ja"	18		120	5		ささみさん＠がんばらない	ササミサンガンバラナイ	第4話のエンディングのイラストカットで踏み切り方面を歩く月読鎖々美が描かれていました。				シブヤク	サ	13	10	2	
0364	0009	完了	東京都	渋谷区	北参道交差点 首都高速4号新宿線高架下	151-0051	東京都渋谷区千駄ヶ谷4		35.680599	139.704841	"https://www.google.co.jp/maps/@35.6804584,139.7045221,3a,75y,61.09h,93.19t/data=!3m4!1e1!3m2!1sk8bEahVfpOOJjoanqIA8BQ!2e0?hl=ja"	17		120	2.5		ささみさん＠がんばらない	ササミサンガンバラナイ	第1話で改変された世界を元に戻すべく、学校から月読家へ向かう邪神つるぎと邪神たまが走っていた場所。				シブヤク	サ	13	10	2	
0364	0010	完了	東京都	渋谷区	北参道交差点	151-0051	東京都渋谷区千駄ヶ谷4		35.6804	139.704522	"https://www.google.co.jp/maps/@35.6801931,139.7044807,3a,60y,22.76h,88.83t/data=!3m6!1e1!3m4!1s7STb0VAUE2vv-fNeIxJqWg!2e0!7i16384!8i8192?hl=ja"	17		120	4.5		ささみさん＠がんばらない	ササミサンガンバラナイ	第1話で改変された世界を元に戻すべく、学校から月読家へ向かう邪神つるぎと邪神たまが走っていた交差点。				シブヤク	サ	13	10	2	
