作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0418	0001	完了	栃木県	日光市	江戸ワンダ―ランド 日光江戸村	321-2524	栃木県日光市柄倉470-2		36.790672	139.697451	"https://www.google.co.jp/maps/@36.794145,139.697262,3a,61.1y,11.1h,73.79t/data=!3m5!1e1!3m3!1sjJy4brtjmbCj2GKilUB-Hw!2e0!3e5"	17.0		120	1	0288-77-1777	しろくまカフェ	シロクマカフェ	第47話の次回（第48話）予告の実写映像で登場したテーマパーク。	http://www.edowonderland.net/	http://www.edowonderland.net/		ニッコウシ	シ	9	6	2	
0418	0002	完了	埼玉県	所沢市	所沢航空記念公園	359-0042	埼玉県所沢市並木1-13		35.798667	139.467009	"https://www.google.co.jp/maps/@35.798505,139.46707,3a,29.4y,356.91h,89.26t/data=!3m5!1e1!3m3!1scFzQIQgN7V3cpkqvFBCGKw!2e0!3e5?hl=ja"	17.0		120	3	04-2996-2225	しろくまカフェ	シロクマカフェ	第29話の次回（第30話）予告の実写映像で、西武新宿線航空公園駅の駅前に展示されている YS‐11型機の前にシロクマくんたちの紙人形が置かれていました。				トコロザワシ	シ	11	15	2	
0418	0003	完了	埼玉県	所沢市	西武 所沢駅西口 ワルツラブハート	359-1123	埼玉県所沢市日吉町1		35.7862	139.472763	"https://www.google.co.jp/maps/@35.786172,139.472779,3a,75y,90t/data=!3m5!1e2!3m3!1s47169430!2e1!3e10"	18.0		0			しろくまカフェ	シロクマカフェ	第37話の次回（第38話）予告の実写映像で、シロクマくんたちの紙人形のバックに映っていたハートのオブジェ。				トコロザワシ	シ	11	15	2	
0418	0004	完了	埼玉県	所沢市	プロぺ商店街	359-1123	埼玉県所沢市日吉町2		35.786945	139.472806	"https://www.google.co.jp/maps/@35.786797,139.47278,3a,27.4y,4.52h,105.85t/data=!3m4!1e1!3m2!1sOo-xBMrGyTInP8heE05YrQ!2e0"	17.0		120	2		しろくまカフェ	シロクマカフェ	第37話の次回（第38話）予告の実写映像で登場した商店街のゲート。				トコロザワシ	シ	11	15	2	
0418	0005	完了	東京都	港区	テレビ東京	105-8012	東京都港区虎ノ門4-3-12		35.664658	139.743934		18		0		03-5470-7777	しろくまカフェ	シロクマカフェ	第47話で「南極戦隊ペンギンジャー」がテレビ出演でさらに人気が高まったのを見たラマさんが、自分も人気者になろうと「草食戦隊ラマレンジャー」を収録したビデオテープを送りつけたテレビ局。作中では「TV TOKIO」になっていました。	http://www.tv-tokyo.co.jp/	http://www.tv-tokyo.co.jp/		ミナトク	シ	13	22	2	
0418	0006	完了	東京都	江東区	東京メトロ 辰巳駅	135-0053	東京都江東区辰巳1-1-44		35.646431	139.809344	"https://www.google.co.jp/maps/@35.645576,139.81052,2a,90y,90t/data=!3m5!1e2!3m3!1s60347956!2e1!3e10"	18		0			しろくまカフェ	シロクマカフェ	第39話の次回（第40話）予告の実写映像で登場した駅出入口。冒頭に登場した「辰巳1-11」の標識のついた電信柱は、辰巳小学校脇のものと思われます。				コウトウク	シ	13	8	2	
0418	0007	完了	東京都	江東区	辰巳桜橋	135-0062	東京都江東区東雲1-9		35.646389	139.807139	"https://www.google.co.jp/maps/@35.6465461,139.8073434,3a,75y,90t/data=!3m5!1e2!3m3!1s-aNcbif1iGnM%2FTiqYlr6-ijI%2FAAAAAAAAA_A%2FEeepHt-dOxA!2e4!3e15"	16		0		03-3631-1448	しろくまカフェ	シロクマカフェ	第39話の次回（第40話）予告の実写映像で登場した橋。東雲水辺公園側から撮影されています。				コウトウク	シ	13	8	2	
0418	0008	完了	東京都	文京区	東京ドーム	112-0004	東京都文京区後楽1-3-61		35.70565	139.751919		16		0			しろくまカフェ	シロクマカフェ	第31話Bパートでパンダママとキングペンギンが観に行った「YAMAARASHI」のライブ会場。作中では名前が「TOKIO DOME」に変えられていました。				ブンキョウク	シ	13	21	2	
0418	0009	完了	東京都	北区	Retro Side	115-0045	東京都北区赤羽２-49-15	シャレード1F	35.781317	139.722983	-	18		0		03-3901-5963	しろくまカフェ	シロクマカフェ	第42話の次回（第43話）予告の実写映像で登場した美容院。外観はなく、店内のみが使用されていました。	http://www.rinascere.jp/			キタク	シ	13	7	2	
0418	0010	完了	東京都	渋谷区	マルイジャム渋谷	150-0041	東京都渋谷区神南1-22-6		35.660894	139.701065		17		0		03-3464-0101	しろくまカフェ	シロクマカフェ	第36話Aパートで、グリズリーくんがシロクマくんを付きあわせて枕を買いに行ったデパートのモデル。作中では看板が「0101」に変えられていました。ここは女性向けのファッション専門店なので、実際にはインドカレー屋も枕コーナーもありません。	http://www.0101.co.jp/stores/guide/store130.html	http://www.0101.co.jp/stores/guide/store130.html		シブヤク	シ	13	10	2	
0418	0011	完了	東京都	渋谷区	スペイン坂	150-0042	東京都渋谷区宇田川町		35.661535	139.698841	-	18		0			しろくまカフェ	シロクマカフェ	第7話Aパートで半田さんを改造すべくシロクマくんとパンダくんが3人で買い物をした帰りのシーンで女子高生に一緒に写真を撮ってくれれうよう求められていた場所。				シブヤク	シ	13	10	2	
0418	0012	完了	東京都	渋谷区	東急ハンズ渋谷店	150-0042	東京都渋谷区宇田川町12-18		35.662132	139.697554	"https://www.google.co.jp/maps/@35.6622436,139.6971762,3a,75y,109.81h,93.58t/data=!3m4!1e1!3m2!1sCf-ZXiG__HullMuJMpnqcw!2e0?hl=ja"	18		120	3		しろくまカフェ	シロクマカフェ	第7話Aパートで半田さんを改造すべくシロクマくんとパンダくんが3人で買い物をした店。	http://shibuya.tokyu-hands.co.jp/	http://shibuya.tokyu-hands.co.jp/		シブヤク	シ	13	10	2	
0418	0013	完了	東京都	目黒区	MONCEAU FLEURS 自由が丘本店	152-0035	東京都目黒区自由が丘1-8-9	岡田ビル1～2F	35.606741	139.668811	"https://www.google.co.jp/maps/@35.606577,139.668778,3a,75y,322.34h,89.51t/data=!3m4!1e1!3m2!1s4OMVYIelCwyo6jHsQK5WQw!2e0?hl=ja"					03-3717-4187	しろくまカフェ	シロクマカフェ	後期オープニングで描かれていたリンリンの経営するフラワーショップ「Florise RINRIN」のモデル。店の配色こそ変えられていますが、通りや両隣の建物なども忠実に再現されています。	http://monceau-fleurs-japan.com/shop/ziyugaoka.html	http://monceau-fleurs-japan.com/shop/ziyugaoka.html		メグロク	シ	13	23	2	
