作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0417	0001	完了	東京都	千代田区	万世橋	101-0021	東京都千代田区外神田1		35.697096	139.770966	-	16		0			じょしらく	ジョシラク	第13話の秋葉原探訪で、蕪羅亭魔梨威一行が、秋葉原っぽい食事についての話に花を咲かせていた橋。				チヨダク	シ	13	17	2	
0417	0002	完了	東京都	千代田区	オノデン秋葉原	101-0021	東京都千代田区外神田1-2-7		35.698277	139.770979	"https://www.google.co.jp/maps/@35.6982011,139.7711443,3a,40.2y,300.5h,108.97t/data=!3m6!1e1!3m4!1ss4wU_xPB93AmSb4OpPLh-A!2e0!7i13312!8i6656?hl=ja"	18		0		03-3253-3911	じょしらく	ジョシラク	第13話の秋葉原探訪で、蕪羅亭魔梨威一行が家電を見て回っていた家電量販店。<br />作中では店名が「ENODEN」になっていました。	http://www.onoden.co.jp/	http://www.onoden.co.jp/		チヨダク	シ	13	17	2	
0417	0003	完了	東京都	千代田区	あきばお～弐號店	101-0021	東京都千代田区外神田1-8-10	バウハウス1F	35.699083	139.770475	"https://www.google.co.jp/maps/@35.6990513,139.7705583,3a,49.7y,312.24h,92.1t/data=!3m6!1e1!3m4!1stsattobjPVpdCDNJ0NhcjQ!2e0!7i13312!8i6656?hl=ja"	18		120		03-3251-6747	じょしらく	ジョシラク	第13話のソフマップの公式テーマソング「ハローソフマップワールド」を歌いながら秋葉原を行進するシーンで、この店の前を行進していました。<br />作中では店名が「いきばほ～」に変えられていました。	http://www.akibaoo.co.jp/new/	http://www.akibaoo.co.jp/new/		チヨダク	シ	13	17	2	
0417	0004	完了	東京都	千代田区	ゴーゴーカレー秋葉原中央通店	101-0021	東京都千代田区外神田1-11-7		35.699442	139.771124	"https://www.google.co.jp/maps/@35.6994459,139.771283,3a,23.2y,265.17h,90.64t/data=!3m6!1e1!3m4!1ssvHqz1VhXTANAkqoCmYa0g!2e0!7i13312!8i6656?hl=ja"	18		120	4	03-6206-9855	じょしらく	ジョシラク	第13話のソフマップの公式テーマソング「ハローソフマップワールド」を歌いながら秋葉原を行進するシーンで、背景に描かれていた店。	http://www.gogocurry.com/shop_1009.html	http://www.gogocurry.com/shop_1009.html		チヨダク	シ	13	17	2	
0417	0005	完了	東京都	千代田区	COMIC ZIN 秋葉原店	101-0021	東京都千代田区外神田1-11-7	高和秋葉原ビル	35.699488	139.771129	"https://www.google.co.jp/maps/@35.6994772,139.7712372,3a,30.6y,280.92h,90.98t/data=!3m6!1e1!3m4!1sLAfJ9pTpo54VDDT4E_tmMw!2e0!7i13312!8i6656?hl=ja"	18		120		03-5298-5392	じょしらく	ジョシラク	第13話のソフマップの公式テーマソング「ハローソフマップワールド」を歌いながら秋葉原を行進するシーンで、背景に描かれていた店。<br />作中では看板の一部が「COMIC TIN」に変えられていました。	http://www.comiczin.jp/shop/	http://www.comiczin.jp/shop/		チヨダク	シ	13	17	2	
0417	0006	完了	東京都	千代田区	秋葉原電波会館	101-0021	東京都千代田区外神田1-14		35.698532	139.77166	"https://www.google.co.jp/maps/@35.6987121,139.7713509,3a,26y,132.35h,92.81t/data=!3m6!1e1!3m4!1sasn6jynXVDGOtfmvndvEaw!2e0!7i13312!8i6656?hl=ja"	18		120	4		じょしらく	ジョシラク	第13話の秋葉原探訪で、「普通の店（食べ物屋）はないのか」と蕪羅亭魔梨威が激昂し、空琉美遊亭丸京が電車男の話をするシーンで背景として描かれていた商業施設。				チヨダク	シ	13	17	2	
0417	0007	完了	東京都	千代田区	秋葉原ラジオ会館（旧館）	101-0021	東京都千代田区外神田1-15-16		35.698044	139.771939	"https://www.google.co.jp/maps/@35.698171,139.771897,3a,75y,181.1h,139.98t/data=!3m4!1e1!3m2!1skDbN-KpVlgONI9BWIokGmg!2e0?hl=ja"	18	○	120			じょしらく	ジョシラク	第13話の秋葉原探訪で、「ラジ館こそアキバの最深部、ディープアキバ！」と空琉美遊亭丸京が意気揚々案内したものの、すでに廃館となり建替工事中だったというオチで使われていました。				チヨダク	シ	13	17	2	解体
0417	0008	完了	東京都	千代田区	JR 秋葉原駅	101-0021	東京都千代田区外神田1-17-6		35.698333	139.773056	"https://www.google.co.jp/maps/@35.6982352,139.7724871,2a,75y,310.64h,93.8t/data=!3m7!1e1!3m5!1sY6SUpLG2tqY4TEg-bFEsPA!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DY6SUpLG2tqY4TEg-bFEsPA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D105.82229%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=ja"	15		120			じょしらく	ジョシラク	第13話の秋葉原探訪で、蕪羅亭魔梨威たち5人が複雑な構内で迷い、外に出るのに苦労していた駅。空琉美遊亭丸京が「秋葉原駅魔の迷路」と言っていました。				チヨダク	シ	13	17	2	
0417	0009	完了	東京都	千代田区	JR 秋葉原駅 電気街口（南）	101-0021	東京都千代田区外神田1-17-6		35.698201	139.772486	"https://www.google.co.jp/maps/@35.698171,139.771897,3a,75y,276.87h,97.43t/data=!3m4!1e1!3m2!1skDbN-KpVlgONI9BWIokGmg!2e0?hl=ja"	17		120			じょしらく	ジョシラク	第13話の秋葉原探訪で、複雑な駅構内で迷っていた蕪羅亭魔梨威たち5人がようやく出れた駅の外。<br />SEGA（作中では「AEGA」）やトキワムセン（作中では「トキソムセン」）も描かれていました。				チヨダク	シ	13	17	2	
0417	0010	完了	東京都	千代田区	アキバ☆ソフマップ1号店	101-0021	東京都千代田区外神田3-13-12	IMYビル	35.700307	139.771199	"https://www.google.co.jp/maps/@35.7002578,139.7713045,3a,49.4y,325.48h,116.57t/data=!3m6!1e1!3m4!1s1ra6vba1FPF_s7ForM7Ihg!2e0!7i13312!8i6656?hl=ja"	17		120		03-3253-9190	じょしらく	ジョシラク	第13話のソフマップの公式テーマソング「ハローソフマップワールド」を歌いながら秋葉原を行進するシーンで、この店の前を行進していました。<br />作中では、ビル壁の巨大看板が『じょしらく』に変えられていました。	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-sofmap1		チヨダク	シ	13	17	2	
