作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0492	0001	完了	埼玉県	さいたま市	さいたまスーパーアリーナ	330-9109	埼玉県さいたま市中央区新都心8		35.895069	139.630726	-	15.0		0			それが声優！	ソレガセイユウ	第11話で、アニソンオータムフェスティバルが開催されていた会場。				サイタマシ	ソ	11	1	2	
0492	0002	完了	千葉県	松戸市	ダンススタジオアオタ	270-0034	千葉県松戸市新松戸4-6	直井ビル2F	35.825883	139.919251	"https://www.google.co.jp/maps/@35.8256308,139.9192121,3a,43.9y,355.95h,102.2t/data=!3m6!1e1!3m4!1sMMOfmklrOwK0Pj8yWwjbrw!2e0!7i13312!8i6656"	17.0		120	2	047-701-8859	それが声優！	ソレガセイユウ	第12話で、イヤホンズがダンスの練習をしていたダンススタジオ。				マツドシ	ソ	12	13	2	
0492	0003	完了	東京都	千代田区	スタジオゼット	101-0053	東京都千代田区神田美土代町11-9		35.693896	139.766096	"https://www.google.co.jp/maps/@35.6939223,139.7659838,3a,90y,112.28h,109.01t/data=!3m6!1e1!3m4!1s0DpW0lT1VVrJags4Q3lq7Q!2e0!7i13312!8i6656!6m1!1e1"	18	○	120	1.5		それが声優！	ソレガセイユウ	第6話、第9話で「イヤホンズ」がPVの撮影をしていたスタジオ。作中では名前が「G Studio」になっていました。	http://studio-z.jimdo.com/			チヨダク	ソ	13	17	2	解体
0492	0004	完了	東京都	港区	知性ビル（プロセンスタジオ）	107-0051	東京都港区元赤坂1-4-2		35.676995	139.732685	"https://www.google.co.jp/maps/@35.676936,139.732937,3a,75y,294.56h,114.34t/data=!3m6!1e1!3m4!1s1p7JAzlU60-fMY2-yOyf7Q!2e0!7i13312!8i6656"	17		120	1.2	03-3404-4880	それが声優！	ソレガセイユウ	第2話で、一ノ瀬双葉と萌咲いちごと小花鈴の3人が受けた「七色の巨人」のオーディションが行われていた場所。				ミナトク	ソ	13	22	2	
0492	0005	完了	東京都	港区	明治神宮外苑 いちょう並木	107-0061	東京都港区北青山1-7		35.673745	139.720279	"https://www.google.co.jp/maps/@35.6736694,139.7200947,3a,15y,75.57h,88.95t/data=!3m6!1e1!3m4!1scZjEI9a0QxyC2lVO7q9NdQ!2e0!7i13312!8i6656"	16		120	2		それが声優！	ソレガセイユウ	第6話で、ドラマCDで出演した「探偵喫茶スパイラルカフェ」のアニメ化にあたって、自身が担当した役を小花鈴が担当することになり、落ち込む一ノ瀬双葉が、汐留ヒカリに励まされていた場所。たくさん同じようなベンチがありますが、設置されているにが1台のみで、背後に柵の扉があるので、特定することができます。				ミナトク	ソ	13	22	2	
0492	0006	完了	東京都	港区	キハチ青山本店	107-0061	東京都港区北青山2-1-19		35.672507	139.720369	"https://www.google.co.jp/maps/@35.6724486,139.7204901,3a,54.7y,301.03h,83.34t/data=!3m7!1e1!3m5!1sPtmvY8LYvuMQPZ17AP4fkQ!2e0!3e2!7i13312!8i6656"	17		120	1	03-5785-3641	それが声優！	ソレガセイユウ	第13話で、一ノ瀬双葉と萌咲いちごと小花鈴の3人が集まり、双葉の事務所査定の結果を聞いていた店。喫茶店ではなくレストランですが、ティータイム営業もやっているようです。	http://www.kihachi.jp/restaurant/shoplist/aoyama/			ミナトク	ソ	13	22	2	
0492	0007	完了	東京都	港区	青二プロダクション	107-8572	東京都港区南青山2-5-17	ポーラ青山ビル5F	35.671947	139.722791	"https://www.google.co.jp/maps/@35.672363,139.722582,3a,64y,150.86h,120.62t/data=!3m6!1e1!3m4!1sMzymQ4B-GaHwJPdYcU6Clw!2e0!7i13312!8i6656?hl=ja"	17		120	1.3		それが声優！	ソレガセイユウ	第2話で一ノ瀬双葉が台本の受け取りに訪れた所属事務所「青空プロダクション」のモデル。第3話、第6話でも登場。				ミナトク	ソ	13	22	2	
0492	0008	完了	東京都	文京区	キングレコード関口台スタジオ	112-0014	東京都文京区関口2-4-16		35.711892	139.728035	"https://www.google.co.jp/maps/@35.7120903,139.7285,3a,29.8y,240.02h,106.9t/data=!3m6!1e1!3m4!1s_jwXCruxxKkbJSvuGEzQsg!2e0!7i13312!8i6656"	17		120	2.3	03-3945-2116	それが声優！	ソレガセイユウ	第6話で、一ノ瀬双葉と萌咲いちごと小花鈴の3人が「イヤホンズ」のレコーディングをしていたスタジオ。作中では名前が「STAR RECORD」になっていました。	http://cnt.kingrecords.co.jp/studio/			ブンキョウク	ソ	13	21	2	
0492	0009	完了	東京都	渋谷区	原宿アストロホール	150-0001	東京都渋谷区神宮前4-32-12	ニューウェーブ原宿B1F	35.669633	139.706479	"https://www.google.co.jp/maps/@35.669627,139.7062729,3a,21.7y,83.14h,92.95t/data=!3m6!1e1!3m4!1sTmhwrbLIiF8K2VJv8TP5Uw!2e0!7i13312!8i6656!6m1!1e1"	19		120	3		それが声優！	ソレガセイユウ	第12話で、一ノ瀬双葉、萌咲いちご、小花鈴による声優ユニット「イヤホンズ」が1st単独ライブを行ったライブ会場。	http://www.astro-hall.com/			シブヤク	ソ	13	10	2	
0492	0010	完了	東京都	渋谷区	からくり時計	150-0042	東京都渋谷区宇田川町1		35.664451	139.698646	"https://www.google.co.jp/maps/@35.664216,139.698974,3a,21.3y,319.01h,104.5t/data=!3m6!1e1!3m4!1sJLmAV9hj6EP9gVbLlIvwXw!2e0!7i13312!8i6656?hl=ja"	18		120	3		それが声優！	ソレガセイユウ	第5話で、萌咲いちごがキャラクターボイスを担当することになったゲーム「Kuroneko of Eternya2」のイベントに出演するシーンの冒頭カットで描かれていた渋谷公会堂前の時計塔。一ノ瀬双葉と小花鈴がイベントを見に来るシーンの冒頭でも描かれ、それぞれの時間経過を表すカットとなっていました。ちなみにいちごの入り時間は8時、双葉と鈴がやって来たのは15時でした。				シブヤク	ソ	13	10	2	
