作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0512	0003	完了	京都府	京都市	葵橋西詰交差点	602-0822	京都府京都市上京区青龍町		35.031756	135.769553	"https://www.google.co.jp/maps/@35.0316554,135.769593,3a,60y,314.71h,83.39t/data=!3m6!1e1!3m4!1ssg-N7Q0Wr08u15sR-kXQAg!2e0!7i13312!8i6656"						たまこまーけっと	タマコマーケット	第12話の通学シーンで、学校に向かう北白川たまこ、北白川あんこ、大路もち蔵の3人が信号待ちしていた交差点。<br />※木々が生い茂った古い民家は取り壊され撤去済。				キョウトシ	タ	26	10	5	
0512	0066	完了	京都府	京都市	天理教九重分教会 前	602-0824	京都府京都市上京区一真町		35.030018	135.768520	"https://www.google.co.jp/maps/@35.0300862,135.7685154,3a,30y,185.97h,93.36t/data=!3m6!1e1!3m4!1sp5UYkXZOtQTIWD5HMe84dQ!2e0!7i13312!8i6656"						たまこまーけっと	タマコマーケット	第6話で、北白川 たまこたちが作ったお化け屋敷に、朝霧史織と一緒に入ったデラ・モチマッヅィがあげた悲鳴に、犬の散歩中の少年が振り向いていた場所。<br />同話で、八木ただし先生が同じくお化け屋敷であげた悲鳴に、犬の散歩中の少年が振り向く同じ構図のカットが使われていました。<br />作中では餃子の王将 出町店の看板の文字が「うさぎ山食堂」になっていました。				キョウトシ	タ	26	10	5	
0512	0004	完了	京都府	京都市	いづもや豆腐店	602-0824	京都府京都市上京区一真町65		35.030252	135.768238	"https://www.google.co.jp/maps/@35.0302929,135.7682632,3a,71.3y,202.42h,86.2t/data=!3m6!1e1!3m4!1sIEw4ewifdbfDd0zXT6OeKw!2e0!7i13312!8i6656"				2	075-222-0320	たまこまーけっと	タマコマーケット	「うさぎ山商店街」で清水富雄が営んでいる豆腐屋「清水屋」のモデル。<br />第1話、第2話では、学校帰りの北白川たまこが豆腐を買っており、各話で登場していました。<br />作中では看板以外は店舗内も忠実に再現されています。<br />エンディングでは取材協力として、平野とうふ（京都市中京区麩屋町角289）がクレジットされていました。	http://www.izumoya.demachi.jp/	http://www.izumoya.demachi.jp/		キョウトシ	タ	26	10	5	
0512	0005	完了	京都府	京都市	花の春風 出町店	602-0824	京都府京都市上京区一真町65		35.030249	135.768338	"https://www.google.co.jp/maps/@35.0302912,135.7683693,3a,65y,209.71h,84.1t/data=!3m6!1e1!3m4!1sb7WsrYoT-yHniOlg0QRcCw!2e0!7i13312!8i6656"				2	075-221-8783	たまこまーけっと	タマコマーケット	「うさぎ山商店街」で花瀬かおるが営業している花屋「フローリスト・プリンセス」のモデル。<br />第1話では、北白川たまこが花と一緒に出荷されて来ていたデラ・モチマッヅィと出会っていました。				キョウトシ	タ	26	10	5	
0512	0006	完了	京都府	京都市	ちびから本舗 出町店	602-0824	京都府京都市上京区一真町65	吉本ビル1F	35.030231	135.768442	"https://www.google.co.jp/maps/@35.0303314,135.7684999,3a,30.4y,219.43h,86.07t/data=!3m6!1e1!3m4!1s5HCYAGm1JsKcwwRgohtiww!2e0!7i13312!8i6656"					075-213-5979	たまこまーけっと	タマコマーケット	第1話で、デラ・モチマッヅィに頭に乗られた北白川たまこが、買い物をしながら商店街を歩くシーンで背景に描かれていた唐揚屋。<br />第6話で、商店街中に貼り出されたたまこたちのお化け屋敷のポスターを人々が見ていたシーンでもこの店が描かれていました。<br />作中では店名が「からあげ ジューシィ」になっていました。<br />※閉店済。				キョウトシ	タ	26	10	5	閉店
0512	0007	完了	京都府	京都市	喫茶華波	602-0824	京都府京都市上京区一真町65-1	2F	35.030243	135.768390	"https://www.google.co.jp/maps/@35.0302912,135.7683693,3a,75y,154.86h,95.32t/data=!3m6!1e1!3m4!1sb7WsrYoT-yHniOlg0QRcCw!2e0!7i13312!8i6656"				2	075-213-2775	たまこまーけっと	タマコマーケット	「うさぎ山商店街」で八百比邦夫が営む喫茶店兼レコード屋「星とピエロ」のモデル。<br />作中では1階がレコード屋、2階が喫茶店とレコード屋の兼業となっていました。<br />第1話では北白川たまこが亡き母親の歌っていた歌をこの店に通って探していることが語られており、第2話ではデラ・モチマッヅィと常盤みどりが、第3話ではたまこと朝霧史織がお茶をしていました。				キョウトシ	タ	26	10	5	
0512	0008	完了	京都府	京都市	岸本屋倉庫	602-0824	京都府京都市上京区一真町67		35.030065	135.768570	"https://www.google.co.jp/maps/@35.0301264,135.7684953,3a,70y,120.01h,89.86t/data=!3m6!1e1!3m4!1sZDZM0-APZGy_2HvhWXSOeA!2e0!7i13312!8i6656"				2		たまこまーけっと	タマコマーケット	第6話で、お化け屋敷の会場となっていた建物。				キョウトシ	タ	26	10	5	
0512	0009	完了	京都府	京都市	出町桝形商店街（若さばちゃん下の十字路）	602-0825	京都府京都市上京区表町		35.030284	135.768531	"https://www.google.co.jp/maps/@35.0302912,135.7683693,3a,18y,92.65h,92.9t/data=!3m6!1e1!3m4!1sb7WsrYoT-yHniOlg0QRcCw!2e0!7i13312!8i6656"				5		たまこまーけっと	タマコマーケット	物語の舞台である「うさぎ山商店街」のモデル。<br />作中では商店街各所・各店が登場していますが、精肉店「ジャストミート」のモデルとなった野口屋精肉店前で、北白川たまこの家である餅屋「たまや」のある路地に繋がる十字路が、キービジュアルや各話・各シーンで頻繁に描かれていました。<br />商店街のマスコットキャラクターである「若さばちゃん」のオブジェがあるのもこの場所です。<br />エンディングでも取材協力としてクレジットされています。				キョウトシ	タ	26	10	5	
0512	0010	完了	京都府	京都市	出町桝形商店街 西ゲート	602-0825	京都府京都市上京区表町		35.030295	135.767954	"https://www.google.co.jp/maps/@35.0302998,135.7679062,3a,75y,88.05h,120.14t/data=!3m6!1e1!3m4!1s8AhlG0FduPjIeEexDo63VQ!2e0!7i16384!8i8192"				2		たまこまーけっと	タマコマーケット	物語の舞台である「うさぎ山商店街」のモデルで、オープニングの他、座標地点の西側入口ゲートが高頻度で登場しています。<br />作中ではデザインが変えられています。				キョウトシ	タ	26	10	5	
0512	0011	完了	京都府	京都市	出町桝形商店街 西ゲート 脇	602-0825	京都府京都市上京区表町		35.030256	135.767932	"https://www.google.co.jp/maps/@35.0302712,135.7679062,3a,73y,84.7h,91.71t/data=!3m6!1e1!3m4!1syygvYoWG0fg2NFGxJiZ_eQ!2e0!7i13312!8i6656"				2		たまこまーけっと	タマコマーケット	北白川たまこが、常盤みどり、牧野かんなと学校の行き帰りに待ち合わせ及び別れる場所で、学校以外の待ち合わせも含め、作中度々登場します。<br />第1話冒頭では、自分の帰る方向を忘れて進もうとするたまこが、みどりに引き止められていました。<br />第2話では、うさぎのコスプレ姿のたまこが、商店街のCM撮影に協力を頼んだみどりとかんなを待っていました。<br />第4話の通学シーンでは、北白川あんこを連れたたまこが、みどりとかんなに合流しており、柚季が友人と通りかかったことで、あんこの恋が発覚していました。				キョウトシ	タ	26	10	5	
