作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0513	0001	完了	京都府	京都市	京都タワー	600-8216	京都府京都市下京区東塩小路町721-1		34.987555	135.759331	"https://www.google.co.jp/maps/@34.9861972,135.7590031,2a,46y,357.03h,107.37t/data=!3m6!1e1!3m4!1sM6KiFStuB0M77kEj-d_gdg!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	東京へ大学の見学に向かう大路もち蔵と、もち蔵を探す北白川たまこの背景に描かれていたタワー。				キョウトシ	タ	26	10	5	
0513	0002	完了	京都府	京都市	JR 京都駅	600-8216	京都府京都市下京区塩東小路町901		34.986171	135.759003	"https://www.google.co.jp/maps/@34.9870425,135.7593043,3a,35y,195.88h,98.27t/data=!3m6!1e1!3m4!1sxU4EyUS2h4WK4vx0Hanymg!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	常盤みどりから大路もち蔵が東京へ転校してしまうと聞いた北白川たまこが、もち蔵を追ってやって来た駅。				キョウトシ	タ	26	10	5	
0513	0003	完了	京都府	京都市	JR 京都駅　西改札外自由連絡通路	600-8216	京都府京都市下京区塩東小路町901	2F	34.985545	135.758320	"https://www.google.co.jp/maps/@34.9855711,135.7582971,2a,35y,99.4h,83.69t/data=!3m6!1e1!3m4!1sPTPMEICEDwW-uNPvsY4zNA!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	常盤みどりから大路もち蔵が東京へ転校してしまうと聞き、もち蔵を追って駅にやって来た北白川たまこが、もち蔵を探してコインロッカー前を走る姿が描かれてました。				キョウトシ	タ	26	10	5	
0513	0004	完了	京都府	京都市	JR 京都駅　11番線新幹線ホーム	600-8216	京都府京都市下京区塩東小路町901		34.984730	135.758322	"https://www.google.co.jp/maps/@34.9847241,135.7583431,2a,26y,269.02h,83.08t/data=!3m6!1e1!3m4!1sxXibhEvFq--reafhscWzRA!2e0!7i13312!8i6656"				2		たまこラブストーリー	タマコラブストーリー	常盤みどりから大路もち蔵が東京へ転校してしまうと聞き、もち蔵を追って駅にやって来た北白川たまこが、無事もち蔵に糸電話を渡していた新幹線ホーム。<br />DELICA STATION付近になります。				キョウトシ	タ	26	10	5	
0513	0005	完了	京都府	京都市	京都市出町駐車場 前	602-0822	京都府京都市上京区青龍町		35.030266	135.769941	"https://www.google.co.jp/maps/@35.0302604,135.7697552,3a,52y,84.6h,79.97t/data=!3m6!1e1!3m4!1saJ-y1pq_SsATcWDH42VAKg!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	常盤みどりから大路もち蔵が東京へ転校してしまうと聞いて駅に向かう北白川たまこが走っていた場所。<br />たまこが走る姿を、出町桝形商店街側から朝霧史織が目撃していました。				キョウトシ	タ	26	10	5	
0513	0006	完了	京都府	京都市	出町橋	602-0822	京都府京都市上京区青龍町		35.030392	135.771121	"https://www.google.co.jp/maps/@35.0305615,135.7715454,3a,15y,243.59h,89.6t/data=!3m6!1e1!3m4!1sa2mRhnsBUD761S7lTMVyuA!2e0!7i16384!8i8192"				5		たまこラブストーリー	タマコラブストーリー	東京の大学へ進学しようとしていることを北白川たまこになかなか打ち明けることができずにいる大路もち蔵が、一緒に学校に行こうと家の前で待っていたものの、先に学校に行ったことを聞かされ、北白川あんこと一緒に渡っていた橋。<br />もやもやが押さえきれなくなったもち蔵が、あんこを置いて走り出していました。				キョウトシ	タ	26	10	5	
0513	0007	完了	京都府	京都市	ブックスヤマモト	602-0822	京都府京都市上京区青龍町229		35.030306	135.769620	"https://www.google.co.jp/maps/@35.0302196,135.769772,3a,16y,297.18h,89.4t/data=!3m6!1e1!3m4!1sfIWXM4bf2Zx0yka_c-yxag!2e0!7i13312!8i6656"				5		たまこラブストーリー	タマコラブストーリー	朝霧史織が、留学の参考書らしき本を買って出てきた本屋「BOOKSひなぎく」のモデル。店前で、京都市出町駐車場の前を走る北白川たまこを目撃していました。<br />※閉店済。				キョウトシ	タ	26	10	5	閉店
0513	0008	完了	京都府	京都市	いづもや豆腐店	602-0824	京都府京都市上京区一真町65		35.030252	135.768238	"https://www.google.co.jp/maps/@35.0302929,135.7682632,3a,71.3y,202.42h,86.2t/data=!3m6!1e1!3m4!1sIEw4ewifdbfDd0zXT6OeKw!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	「うさぎ山商店街」で清水富雄が営んでいる豆腐屋「清水屋」のモデル。				キョウトシ	タ	26	10	5	
0513	0009	完了	京都府	京都市	花の春風 出町店	602-0824	京都府京都市上京区一真町65		35.030249	135.768338	"https://www.google.co.jp/maps/@35.0302912,135.7683693,3a,65y,209.71h,84.1t/data=!3m6!1e1!3m4!1sb7WsrYoT-yHniOlg0QRcCw!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	「うさぎ山商店街」で花瀬かおるが営業している花屋「フローリスト・プリンセス」のモデル。				キョウトシ	タ	26	10	5	
0513	0010	完了	京都府	京都市	ちびから本舗 出町店	602-0824	京都府京都市上京区一真町65	吉本ビル1F	35.030231	135.768442	"https://www.google.co.jp/maps/@35.0303314,135.7684999,3a,30.4y,219.43h,86.07t/data=!3m6!1e1!3m4!1s5HCYAGm1JsKcwwRgohtiww!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	学校帰りの大路もち蔵が、商店街のマスコットのオブジェ「若さばちゃん」を見上げながら歩いていたシーンの背景に描かれていた店。<br />作中では店名が「からあげ ジューシィ」になっていました。<br />※閉店済。				キョウトシ	タ	26	10	5	
0513	0011	完了	京都府	京都市	喫茶華波	602-0824	京都府京都市上京区一真町65-1	2F	35.030243	135.768390	"https://www.google.co.jp/maps/@35.0302912,135.7683693,3a,75y,154.86h,95.32t/data=!3m6!1e1!3m4!1sb7WsrYoT-yHniOlg0QRcCw!2e0!7i13312!8i6656"				2		たまこラブストーリー	タマコラブストーリー	「うさぎ山商店街」で八百比邦夫が営む喫茶店兼レコード屋「星とピエロ」のモデル。				キョウトシ	タ	26	10	5	
0513	0012	完了	京都府	京都市	出町桝形商店街 西ゲート	602-0825	京都府京都市上京区表町		35.030295	135.767954	"https://www.google.co.jp/maps/@35.0302998,135.7679062,3a,75y,88.05h,120.14t/data=!3m6!1e1!3m4!1s8AhlG0FduPjIeEexDo63VQ!2e0!7i16384!8i8192"				2		たまこラブストーリー	タマコラブストーリー	学校帰りに、常盤みどり、牧野かんなと別れた後の北白川たまこが商店街に入っていったシーンで描かれていたゲート。				キョウトシ	タ	26	10	5	
0513	0013	完了	京都府	京都市	出町桝形商店街 西ゲート 脇	602-0825	京都府京都市上京区表町		35.030256	135.767932	"https://www.google.co.jp/maps/@35.030319,135.7679113,3a,22y,161.89h,86.53t/data=!3m6!1e1!3m4!1sg2k-OPQy471UtSAR01ACPw!2e0!7i13312!8i6656"						たまこラブストーリー	タマコラブストーリー	学校帰りの北白川たまこが、常盤みどり、牧野かんなと別れていた場所。				キョウトシ	タ	26	10	5	
